거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"100,000",2008,2010,사직동,광화문풍림스페이스본(101동~105동),1,20,136.4,9,11110,7
"110,000",2004,2010,내수동,킹스매너,1,8,194.43,110-15,11110,6
"26,500",2005,2010,수송동,로얄팰리스스위트,1,11,40.07,85,11110,8
"30,000",1999,2010,명륜2가,아남3,1,13,47.43,237,11110,4
"25,900",1993,2010,창신동,창신쌍용2,1,5,64.66,703,11110,3
"25,300",1992,2010,창신동,창신쌍용1,1,7,54.7,702,11110,2
"25,000",1993,2010,창신동,창신쌍용2,1,8,64.66,703,11110,11
"27,900",1992,2010,창신동,창신쌍용1,1,11,54.7,702,11110,11
"27,800",1992,2010,창신동,창신쌍용1,1,15,54.7,702,11110,13
"26,800",1993,2010,창신동,창신쌍용2,1,18,64.66,703,11110,11
"26,500",1993,2010,창신동,창신쌍용2,1,19,64.66,703,11110,10
"29,000",1973,2010,창신동,동대문맨션,1,25,83.83,578-5,11110,8
"22,700",1996,2010,창신동,유성,1,25,59.85,640-76,11110,4
"49,800",2004,2010,숭인동,롯데캐슬천지인,1,18,84.95,76,11110,9
"74,000",2008,2010,숭인동,종로센트레빌,1,25,114.67,2-1,11110,10
"53,000",2008,2010,숭인동,종로센트레빌,1,27,84.92,2-1,11110,3
"25,000",1998,2010,평창동,삼성,1,4,59.97,596,11110,3
"90,000",2004,2010,평창동,벽산블루밍평창힐스,1,13,152.06,45,11110,5
"25,500",1998,2010,평창동,삼성,1,18,59.97,596,11110,7
"37,000",2002,2010,부암동,프라임캐슬(케이빌라트),1,20,109.54,265-10,11110,2
"23,500",1998,2010,신영동,대아파크빌,1,26,59.22,254,11110,13
"53,490",2000,2010,무악동,현대,1,11,84.92,82,11110,13
"54,990",2000,2010,무악동,현대,1,15,84.92,82,11110,11
"50,490",2000,2010,무악동,현대,1,18,84.92,82,11110,4
"65,670",2000,2010,무악동,현대,1,31,114.9,82,11110,8
"10,000",1999,2010,통인동,효자,2,15,43.31,5-1,11110,3
"8,000",1999,2010,통인동,효자,2,16,61.49,5-1,11110,4
"77,750",2008,2010,사직동,광화문풍림스페이스본(101동~105동),2,24,95.88,9,11110,9
"200,000",2004,2010,내수동,경희궁의아침3단지,2,26,174.55,72,11110,16
"18,950",2003,2010,익선동,현대뜨레비앙,2,2,46.64,55,11110,4
"12,000",2003,2010,익선동,현대뜨레비앙,2,5,28.1,55,11110,7
"17,100",2003,2010,익선동,현대뜨레비앙,2,10,36.08,55,11110,8
"45,000",2006,2010,인의동,효성쥬얼리시티,2,9,92.81,48-2,11110,11
