거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"24,900",1975,2010,회현동1가,삼풍,1,28,72.06,146-1,11140,4
"380,000",2008,2010,장충동1가,상지리츠빌장충동카일룸,1,16,244.9,104,11140,7
"41,000",2006,2010,을지로5가,삼성파크빌(39-1),1,4,84.96,39-1,11140,15
"60,500",1999,2010,신당동,약수하이츠,1,2,84.88,842,11140,14
"25,000",2003,2010,신당동,청구파크뷰,1,5,76.9,292-35,11140,4
"37,800",1993,2010,신당동,현대,1,7,83.97,840,11140,15
"37,500",1993,2010,신당동,현대,1,7,79.11,840,11140,4
"52,000",2005,2010,신당동,신당푸르지오,1,8,84.39,850,11140,13
"39,900",1993,2010,신당동,현대,1,8,79.11,840,11140,5
"56,350",2002,2010,신당동,남산타운,1,11,84.88,844,11140,6
"54,750",2005,2010,신당동,신당푸르지오,1,11,84.39,850,11140,20
"37,900",2002,2010,신당동,남산타운,1,12,59.94,844,11140,7
"52,000",2002,2010,신당동,남산타운,1,12,84.88,844,11140,3
"33,000",2003,2010,신당동,남산리젠트힐,1,13,93.51,432-1669,11140,2
"9,700",2001,2010,신당동,신신(1차),1,14,38.93,432-1972,11140,4
"80,000",2005,2010,신당동,신당푸르지오,1,14,145.1,850,11140,5
"35,000",2003,2010,신당동,진달래,1,15,81.83,333-42,11140,4
"40,000",2002,2010,신당동,남산타운,1,16,59.94,844,11140,4
"32,500",2002,2010,신당동,남산타운,1,22,59.94,844,11140,1
"60,000",2002,2010,신당동,남산타운,1,23,84.88,844,11140,7
"36,000",1993,2010,신당동,현대,1,23,83.97,840,11140,4
"25,000",2001,2010,신당동,(432-904),1,23,58.59,432-904,11140,5
"73,000",2002,2010,신당동,남산타운,1,25,114.88,844,11140,12
"40,500",2002,2010,신당동,남산타운,1,25,59.94,844,11140,14
"54,500",2002,2010,신당동,남산타운,1,25,84.88,844,11140,16
"56,900",2002,2010,신당동,남산타운,1,25,84.88,844,11140,8
"57,500",2002,2010,신당동,남산타운,1,25,84.88,844,11140,12
"39,000",2002,2010,신당동,남산타운,1,26,59.94,844,11140,12
"84,500",2002,2010,신당동,남산타운,1,26,114.88,844,11140,18
"39,300",2002,2010,신당동,남산타운,1,26,59.94,844,11140,6
"39,450",2002,2010,신당동,남산타운,1,27,59.94,844,11140,18
"71,000",2005,2010,신당동,신당푸르지오,1,27,114.48,850,11140,15
"54,000",2002,2010,신당동,남산타운,1,29,84.88,844,11140,15
"42,000",1999,2010,신당동,약수하이츠,1,30,65.37,842,11140,12
"58,700",2002,2010,신당동,남산타운,1,31,84.88,844,11140,14
"26,750",1994,2010,흥인동,aaa,1,13,56.43,3-4,11140,19
"62,900",2008,2010,황학동,롯데캐슬,1,15,84.9,2545,11140,31
"58,000",2008,2010,황학동,롯데캐슬,1,26,84.92,2545,11140,28
"95,190",2009,2010,충무로4가,남산센트럴 자이,2,25,128.952,306,11140,11
"85,498",2009,2010,충무로4가,남산센트럴 자이,2,26,128.952,306,11140,6
"19,300",1981,2010,묵정동,묵정,2,18,52.46,11-67,11140,10
"18,900",1981,2010,묵정동,묵정,2,20,52.46,11-67,11140,5
"570,000",2008,2010,장충동1가,상지리츠빌장충동카일룸,2,8,244.9,104,11140,7
"40,000",1972,2010,산림동,대림상가,2,17,83.31,207-2,11140,6
"17,000",2001,2010,신당동,신신(2차),2,1,55.73,432-1957,11140,-1
"38,500",1999,2010,신당동,약수하이츠,2,2,57.63,842,11140,19
"24,400",2003,2010,신당동,프라임1,2,3,60.42,432-1632,11140,5
"36,000",1999,2010,신당동,약수하이츠,2,3,57.63,842,11140,9
"38,000",2002,2010,신당동,남산타운,2,3,59.94,844,11140,14
"35,000",2002,2010,신당동,남산타운,2,3,59.94,844,11140,2
"40,000",2002,2010,신당동,남산타운,2,6,59.94,844,11140,4
"43,000",1999,2010,신당동,약수하이츠,2,6,65.37,842,11140,6
"39,500",2002,2010,신당동,남산타운,2,12,59.94,844,11140,9
"96,000",2002,2010,신당동,남산타운,2,16,114.88,844,11140,12
"71,500",1999,2010,신당동,약수하이츠,2,17,114.92,842,11140,9
"61,000",1999,2010,신당동,삼성,2,17,114.91,843,11140,14
"40,500",2002,2010,신당동,남산타운,2,18,59.94,844,11140,14
"66,000",2002,2010,신당동,남산타운,2,18,84.88,844,11140,17
"32,000",1993,2010,신당동,현대,2,19,66.6,840,11140,4
"33,000",1999,2010,신당동,약수하이츠,2,19,57.63,842,11140,12
"34,800",1999,2010,신당동,약수하이츠,2,20,57.63,842,11140,4
"54,000",1999,2010,신당동,약수하이츠,2,21,84.88,842,11140,4
"58,500",1999,2010,신당동,약수하이츠,2,22,114.92,842,11140,1
"52,600",2005,2010,신당동,신당푸르지오,2,23,84.76,850,11140,14
"40,000",1999,2010,신당동,약수하이츠,2,23,57.63,842,11140,3
"40,500",1999,2010,신당동,약수하이츠,2,25,57.63,842,11140,10
"58,500",1999,2010,신당동,약수하이츠,2,26,84.88,842,11140,10
"39,000",1999,2010,신당동,약수하이츠,2,27,57.63,842,11140,4
"35,500",1999,2010,신당동,삼성,2,27,59.98,843,11140,5
"35,400",1999,2010,신당동,삼성,2,27,59.97,843,11140,20
"37,000",2008,2010,황학동,롯데캐슬,2,1,59.91,2545,11140,17
