거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"110,000",2004,2010,후암동,브라운스톤남산,1,7,166.56,458,11170,2
"48,000",1980,2010,후암동,후암미주,1,31,63.31,423-1,11170,1
"28,800",1969,2010,동자동,동자,1,10,44,19-8,11170,1
"40,000",2001,2010,산천동,리버힐삼성,1,29,59.55,193,11170,4
"48,500",1999,2010,원효로4가,강변삼성스위트,1,4,59.92,178,11170,3
"58,700",1971,2010,원효로4가,풍전,1,6,76.56,109-4,11170,6
"52,000",1999,2010,원효로4가,강변삼성스위트,1,14,59.94,178,11170,12
"80,000",1977,2010,원효로4가,산호,1,22,86.12,118-16,11170,10
"58,000",2007,2010,효창동,태원팰리스,1,15,111.92,5-1,11170,4
"41,000",1987,2010,효창동,효창한신,1,18,71.77,5-145,11170,1
"54,800",2007,2010,효창동,태원팰리스,1,20,111.92,5-1,11170,3
"29,000",2004,2010,효창동,예빌리지,1,20,84.83,5-262,11170,5
"60,000",2003,2010,효창동,울트라멤버스,1,26,132.05,5-127,11170,5
"40,000",2006,2010,효창동,세양청마루,1,31,59.28,268,11170,3
"44,700",2001,2010,도원동,삼성래미안,1,6,59.94,23,11170,21
"41,800",2001,2010,도원동,삼성래미안,1,9,59.94,23,11170,3
"42,800",2001,2010,도원동,삼성래미안,1,9,59.94,23,11170,9
"79,500",2001,2010,도원동,삼성래미안,1,21,114.99,23,11170,13
"61,500",2001,2010,도원동,삼성래미안,1,21,84.69,23,11170,21
"59,100",2001,2010,도원동,삼성래미안,1,21,84.69,23,11170,10
"45,900",2001,2010,도원동,삼성래미안,1,29,59.94,23,11170,6
"55,000",2005,2010,문배동,이안용산1차(101동),1,5,84.56,11-14,11170,10
"51,000",2005,2010,문배동,이안용산1차(101동),1,11,84.56,11-14,11170,6
"60,000",2005,2010,문배동,이안용산1차(101동),1,17,84.95,11-14,11170,11
"55,500",2005,2010,문배동,이안용산1차(102동),1,19,84.98,7-6,11170,4
"52,000",2005,2010,문배동,이안용산1차(103동),1,19,84.96,11-29,11170,4
"54,000",2004,2010,문배동,지오베르크,1,22,84.95,17-1,11170,4
"52,500",2005,2010,문배동,이안용산1차(102동),1,24,84.22,7-6,11170,2
"50,000",2005,2010,문배동,이안용산1차(102동),1,27,79.63,7-6,11170,1
"73,750",2005,2010,한강로2가,벽산메가트리움,1,11,84.87,2-8,11170,27
"20,800",2004,2010,한강로2가,한강로대우아이빌,1,16,29.53,2-11,11170,11
"74,500",2005,2010,한강로2가,벽산메가트리움,1,23,84.97,2-8,11170,24
"257,000",2009,2010,용산동5가,용산파크타워(24-1),1,14,158.33,24-1,11170,30
"116,500",2009,2010,용산동5가,용산파크타워(24-0),1,19,100.29,24,11170,10
"149,000",2007,2010,한강로3가,용산 시티파크(1단지),1,21,146.56,63-389,11170,9
"46,250",1995,2010,이촌동,우성,1,2,58.2,399-1,11170,4
"170,000",1971,2010,이촌동,한강맨숀,1,4,120.56,300-23,11170,2
"86,800",1998,2010,이촌동,한가람,1,8,84.96,404,11170,6
"59,000",1998,2010,이촌동,한가람,1,10,59.88,404,11170,16
"57,000",1998,2010,이촌동,한가람,1,10,59.88,404,11170,11
"115,000",1974,2010,이촌동,렉스,1,10,121.82,300-3,11170,4
"68,000",1975,2010,이촌동,현대맨숀,1,11,99.13,301-162,11170,4
"83,000",1998,2010,이촌동,강촌,1,11,84.905,402,11170,15
"120,000",1999,2010,이촌동,이촌코오롱(A),1,12,114.69,412,11170,13
"86,500",1998,2010,이촌동,한가람,1,12,84.96,404,11170,5
"70,000",1975,2010,이촌동,현대맨숀,1,12,99.13,301-162,11170,10
"53,500",1999,2010,이촌동,이촌코오롱(A),1,12,59.82,412,11170,10
"89,500",1979,2010,이촌동,삼익,1,13,104.33,300-301,11170,6
"123,000",1998,2010,이촌동,한가람,1,13,114.96,404,11170,13
"59,000",1998,2010,이촌동,한가람,1,14,59.88,404,11170,16
"85,000",1998,2010,이촌동,강촌,1,14,84.85,402,11170,19
"128,000",1974,2010,이촌동,렉스,1,15,121.82,300-3,11170,8
"58,900",1998,2010,이촌동,한가람,1,16,59.88,404,11170,10
"98,000",1974,2010,이촌동,왕궁,1,16,102.48,300-11,11170,5
"92,500",2003,2010,이촌동,LG한강자이,1,17,66.39,430,11170,22
"84,000",1997,2010,이촌동,현대한강,1,19,84.88,400,11170,1
"131,000",1974,2010,이촌동,렉스,1,20,121.82,300-3,11170,10
"58,000",1998,2010,이촌동,한가람,1,21,59.88,404,11170,6
"180,000",1971,2010,이촌동,한강맨숀,1,21,120.56,300-23,11170,3
"87,000",2000,2010,이촌동,한강(대우),1,22,84.98,415,11170,3
"110,000",1998,2010,이촌동,한가람,1,22,114.96,404,11170,11
"142,000",2002,2010,이촌동,이촌동삼성리버스위트,1,23,137.37,426,11170,5
"117,000",2001,2010,이촌동,동부센트레빌,1,23,100.8,418,11170,15
"86,000",1998,2010,이촌동,강촌,1,25,84.77,402,11170,8
"56,500",1998,2010,이촌동,한가람,1,26,59.88,404,11170,11
"84,500",1998,2010,이촌동,강촌,1,26,84.77,402,11170,21
"98,000",1974,2010,이촌동,왕궁,1,26,102.48,300-11,11170,5
"52,500",1998,2010,이촌동,한가람,1,27,59.88,404,11170,2
"60,000",1971,2010,이촌동,골든맨숀,1,27,130.61,302-53,11170,3
"157,500",1971,2010,이촌동,한강맨숀,1,27,101.95,300-23,11170,1
