거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"32,000",2001,2010,하왕십리동,극동미라주,1,5,59.4,1058,11200,23
"30,000",2001,2010,하왕십리동,금호베스트빌,1,5,59.79,1052,11200,15
"55,600",2009,2010,하왕십리동,왕십리 지웰,1,5,84.957,1064,11200,2
"53,820",2009,2010,하왕십리동,왕십리 지웰,1,5,84.957,1064,11200,1
"47,800",1989,2010,하왕십리동,한신무학,1,9,114.59,990,11200,13
"31,800",1989,2010,하왕십리동,한신무학,1,11,62.41,990,11200,9
"33,000",2001,2010,하왕십리동,극동미라주,1,11,59.4,1058,11200,21
"45,000",2001,2010,하왕십리동,극동미라주,1,12,84.33,1058,11200,13
"29,500",2001,2010,하왕십리동,금호베스트빌,1,14,59.79,1052,11200,6
"55,600",2009,2010,하왕십리동,왕십리 지웰,1,15,84.957,1064,11200,2
"55,440",2009,2010,하왕십리동,왕십리 지웰,1,18,84.981,1064,11200,2
"42,700",2001,2010,하왕십리동,극동미라주,1,18,84.33,1058,11200,3
"58,000",1996,2010,하왕십리동,청계벽산,1,20,114.46,258,11200,5
"36,500",2004,2010,하왕십리동,왕십리풍림아이원,1,20,59.936,1061,11200,16
"32,750",2004,2010,하왕십리동,왕십리풍림아이원,1,20,59.936,1061,11200,1
"38,500",2004,2010,하왕십리동,왕십리풍림아이원,1,22,59.936,1061,11200,17
"56,180",2009,2010,하왕십리동,왕십리 지웰,1,22,84.957,1064,11200,3
"54,500",1996,2010,하왕십리동,청계벽산,1,22,114.46,258,11200,9
"38,000",2001,2010,하왕십리동,금호베스트빌,1,22,84.97,1052,11200,22
"35,900",2004,2010,하왕십리동,왕십리풍림아이원,1,23,59.936,1061,11200,5
"29,300",2001,2010,하왕십리동,금호베스트빌,1,28,59.79,1052,11200,8
"53,670",2009,2010,하왕십리동,왕십리 지웰,1,28,84.981,1064,11200,1
"36,800",2004,2010,하왕십리동,왕십리풍림아이원,1,30,59.936,1061,11200,7
"47,400",1996,2010,하왕십리동,청계벽산,1,30,84.94,258,11200,9
"42,000",2001,2010,하왕십리동,금호베스트빌,1,31,84.97,1052,11200,12
"36,700",2006,2010,도선동,삼성쉐르빌,1,30,71.34,69,11200,5
"44,300",2004,2010,마장동,신성미소지움,1,6,84.93,822,11200,10
"36,500",2004,2010,마장동,대성유니드,1,6,59.7,825,11200,16
"27,800",1998,2010,마장동,현대,1,9,59.94,818,11200,1
"32,500",1996,2010,마장동,삼성,1,9,59.76,817,11200,5
"35,950",1986,2010,마장동,세림,1,9,72.84,784,11200,5
"33,000",1996,2010,마장동,삼성,1,11,59.76,817,11200,14
"37,400",1986,2010,마장동,세림,1,11,72.84,784,11200,14
"44,800",1998,2010,마장동,현대,1,12,84.91,818,11200,15
"44,000",1998,2010,마장동,현대,1,12,84.91,818,11200,10
"67,000",1998,2010,마장동,현대,1,14,134.79,818,11200,22
"62,500",1996,2010,마장동,삼성,1,15,134.97,817,11200,19
"34,000",1996,2010,마장동,삼성,1,18,59.76,817,11200,5
"40,200",2004,2010,마장동,신성미소지움,1,20,84.93,822,11200,1
"47,500",2004,2010,마장동,대성유니드,1,21,84.71,825,11200,17
"24,770",1986,2010,마장동,세림,1,22,40.86,784,11200,10
"44,000",1996,2010,마장동,삼성,1,23,84.93,817,11200,18
"60,000",1996,2010,마장동,삼성,1,26,134.97,817,11200,2
"46,500",2004,2010,마장동,대성유니드,1,28,84.71,825,11200,19
"34,300",2004,2010,마장동,태성,1,28,81.05,829,11200,6
"36,800",1986,2010,마장동,세림,1,29,72.84,784,11200,4
"27,000",1989,2010,사근동,중앙하이츠,1,1,71.85,199,11200,5
"28,100",1989,2010,사근동,중앙하이츠,1,11,71.85,199,11200,15
"27,900",1989,2010,사근동,중앙하이츠,1,14,71.85,199,11200,1
"28,700",2000,2010,사근동,벽산,1,31,59.84,314,11200,12
"34,800",2006,2010,행당동,이수 브라운스톤,1,7,59.27,364,11200,1
"57,200",2000,2010,행당동,행당 한진타운,1,7,84.71,346,11200,10
"66,000",2006,2010,행당동,이수 브라운스톤,1,9,114.76,364,11200,1
"40,000",2006,2010,행당동,이수 브라운스톤,1,11,59.27,364,11200,5
"35,500",2000,2010,행당동,대림e-편한세상,1,12,59.96,347,11200,7
"36,000",2000,2010,행당동,행당 한진타운,1,12,59.96,346,11200,12
"61,000",1998,2010,행당동,서울숲삼부아파트,1,13,84.09,147,11200,12
"67,200",2000,2010,행당동,행당 한진타운,1,13,114.62,346,11200,7
"51,500",2000,2010,행당동,행당 한진타운,1,15,84.71,346,11200,13
"36,100",2000,2010,행당동,행당 한진타운,1,15,59.96,346,11200,15
