거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"27,300",2001,2010,면목동,솔루테아파트,1,2,71.591,1523,11260,11
"35,900",1994,2010,면목동,현대,1,4,84.81,1502,11260,18
"33,950",1988,2010,면목동,한신,1,4,84.92,193-1,11260,7
"43,000",2005,2010,면목동,면목동금호어울림아파트,1,5,84.8726,1528,11260,13
"27,500",2002,2010,면목동,동일,1,5,70.8,376-5,11260,4
"12,000",1988,2010,면목동,한신,1,5,27,193-1,11260,2
"23,500",2000,2010,면목동,면목삼호101,1,6,83.27,1513,11260,7
"33,500",2002,2010,면목동,늘푸른동아,1,6,84.97,715,11260,1
"28,000",2000,2010,면목동,두산4,1,10,59.72,1522,11260,12
"11,500",1988,2010,면목동,한신,1,15,27,193-1,11260,5
"35,000",1994,2010,면목동,현대,1,15,84.09,1502,11260,4
"33,000",1994,2010,면목동,현대,1,19,84.09,1502,11260,2
"39,000",1997,2010,면목동,면목삼익,1,20,111.94,1516,11260,21
"15,000",1988,2010,면목동,한신,1,20,35.3,193-1,11260,13
"20,000",2004,2010,면목동,승일카이저,1,20,80.08,151-4,11260,6
"42,000",2009,2010,면목동,주함해븐,1,20,141.33,91-15,11260,8
"41,000",2000,2010,면목동,두산4,1,21,84.87,1522,11260,6
"18,300",1988,2010,면목동,한신,1,23,44.5,193-1,11260,4
"29,900",2002,2010,면목동,한영드림,1,27,84.16,121-32,11260,2
"22,000",1997,2010,면목동,풍림,1,28,59.4,1514,11260,9
"19,000",1988,2010,면목동,한신,1,29,44.5,193-1,11260,12
"20,900",1990,2010,면목동,용마한신,1,30,44.35,1077-1,11260,4
"32,600",2006,2010,면목동,경남아너스빌,1,31,59.981,1529,11260,2
"39,700",1996,2010,상봉동,"엘지, 쌍용아파트",1,12,84.67,484,11260,14
"33,500",1997,2010,상봉동,건영1,1,12,84.96,1,11260,8
"36,200",1996,2010,상봉동,건영2차아파트,1,18,84.96,63,11260,23
"28,000",1996,2010,상봉동,"엘지, 쌍용아파트",1,22,68.12,484,11260,9
"22,750",1999,2010,상봉동,동부아파트,1,23,54,495,11260,12
"25,000",1996,2010,상봉동,건영2차아파트,1,27,57.3,63,11260,6
"33,000",1996,2010,상봉동,건영2차아파트,1,28,74.9,63,11260,7
"43,000",2006,2010,상봉동,건영캐스빌,1,28,84.6475,499,11260,17
"30,000",1996,2010,상봉동,"엘지, 쌍용아파트",1,30,68.12,484,11260,7
"39,700",1997,2010,중화동,한신1차,1,4,84.69,450,11260,13
"25,000",2004,2010,중화동,로얄,1,8,76.65,110-26,11260,1
"23,900",1998,2010,중화동,한신1차,1,8,50.37,450,11260,12
"23,900",1998,2010,중화동,한신1차,1,12,50.37,450,11260,14
"23,800",1998,2010,중화동,한신1차,1,12,50.37,450,11260,6
"32,000",2007,2010,중화동,미영리치타운,1,12,84.71,207-14,11260,8
"34,100",2004,2010,중화동,강오(A동),1,14,82.7,307-76,11260,5
"20,100",1998,2010,중화동,한신1차,1,14,50.37,450,11260,9
"23,000",1998,2010,중화동,한신1차,1,14,50.37,450,11260,5
"35,500",2007,2010,중화동,미영리치타운,1,15,84.71,207-14,11260,14
"40,000",1997,2010,중화동,한신1차,1,18,84.03,450,11260,20
"27,900",1997,2010,중화동,한신1차,1,18,59.76,450,11260,15
"27,200",1998,2010,중화동,한신1차,1,19,59.76,450,11260,23
"24,300",2004,2010,중화동,한솔e(B동),1,22,68.76,19-3,11260,5
"26,650",1998,2010,중화동,한신1차,1,23,59.76,450,11260,13
"29,800",1998,2010,중화동,한신1차,1,29,59.76,450,11260,19
"24,500",1998,2010,중화동,한신1차,1,29,50.37,450,11260,5
"21,700",1998,2010,중화동,한신1차,1,30,50.37,450,11260,1
"28,000",1998,2010,중화동,한신1차,1,30,59.76,450,11260,5
"24,000",1996,2010,묵동,신내,1,5,59.76,13,11260,1
"23,000",2004,2010,묵동,신도브래뉴,1,5,51.86,169-10,11260,12
"32,800",1999,2010,묵동,극동늘푸른,1,9,84.08,379,11260,11
"41,300",2003,2010,묵동,금호어울림,1,11,84.85,386,11260,15
"50,000",1995,2010,묵동,신내대림,1,13,107.05,20,11260,5
"23,550",1999,2010,묵동,극동늘푸른,1,14,57.63,379,11260,18
"62,500",1995,2010,묵동,신내대림,1,14,126.28,20,11260,7
"28,000",2005,2010,묵동,태창네스트빌,1,15,70.9883,389,11260,5
"55,000",1995,2010,묵동,신내두산,1,18,102.7,20,11260,10
"37,200",2000,2010,묵동,신안2,1,19,84.924,382,11260,6
"25,700",2000,2010,묵동,세방,1,20,59.94,383,11260,14
"23,000",1996,2010,묵동,신내,1,22,49.77,13,11260,5
"56,900",1995,2010,묵동,신내대림,1,23,126.28,20,11260,6
"28,000",2005,2010,묵동,공감대,1,23,59.959,171-4,11260,3
"24,000",2002,2010,묵동,백운,1,26,67.43,122-146,11260,2
"56,800",1995,2010,묵동,신내두산,1,27,126.28,20,11260,8
"56,000",1995,2010,묵동,신내대림,1,29,126.28,20,11260,1
"30,000",2002,2010,망우동,가야써니빌,1,12,84.92,576,11260,9
"25,000",2004,2010,망우동,예성그린캐슬,1,14,58.9,577,11260,19
"28,800",1984,2010,망우동,염광,1,20,69.1,178-80,11260,3
"17,000",2003,2010,망우동,망우,1,23,45.45,184-6,11260,7
"28,000",2005,2010,망우동,한울네세창,1,26,84.4,579,11260,8
"23,700",2000,2010,신내동,벽산,1,2,59.783,437,11260,4
"31,000",1996,2010,신내동,건영2차,1,7,74.25,785,11260,16
"15,500",1996,2010,신내동,신내9진흥,1,8,33.18,657,11260,5
"34,800",1994,2010,신내동,성원,1,8,84.32,783,11260,17
"31,250",1994,2010,신내동,성원,1,10,84.4,783,11260,22
"17,500",1996,2010,신내동,신내6대주,1,12,39.84,650,11260,5
"22,000",1996,2010,신내동,신내6대주,1,12,49.77,650,11260,1
"23,500",1996,2010,신내동,신내6대주,1,12,49.77,650,11260,12
"25,000",1997,2010,신내동,동성3,1,13,59.4,618,11260,17
"34,000",1994,2010,신내동,성원,1,13,84.32,783,11260,9
"26,200",1996,2010,신내동,신내9진흥,1,16,49.93,657,11260,10
"31,400",1995,2010,신내동,화성두산아파트,1,19,66.96,656,11260,5
"39,000",2004,2010,신내동,영풍마드레빌,1,19,84.8485,801,11260,12
"25,000",1996,2010,신내동,신내9진흥,1,19,49.93,657,11260,4
"29,100",1996,2010,신내동,신내6대주,1,19,59.76,650,11260,4
"24,100",1996,2010,신내동,신내6대주,1,20,49.77,650,11260,6
"31,500",1996,2010,신내동,건영2차,1,21,74.25,785,11260,17
"18,900",1996,2010,신내동,신내11대명,1,21,39.76,661,11260,11
"19,000",1996,2010,신내동,신내6대주,1,22,39.84,650,11260,4
"24,300",1996,2010,신내동,신내9진흥,1,22,49.93,657,11260,7
"30,750",1996,2010,신내동,신내6대주,1,23,59.76,650,11260,6
"45,000",2005,2010,신내동,우남푸르미아,1,23,117.15,802,11260,9
"15,700",1996,2010,신내동,신내9진흥,1,23,33.18,657,11260,4
"43,000",2000,2010,신내동,벽산,1,23,134.94,437,11260,8
"31,700",1995,2010,신내동,화성,1,25,66.96,656,11260,8
"19,050",1996,2010,신내동,신내6대주,1,25,39.84,650,11260,6
"28,000",1996,2010,신내동,중앙하이츠,1,26,84.97,479,11260,1
"19,200",1996,2010,신내동,신내6대주,1,26,39.84,650,11260,8
"33,000",1994,2010,신내동,성원,1,26,84.32,783,11260,3
"37,700",2005,2010,신내동,대성유니트,1,26,95.89,803,11260,12
"32,000",1996,2010,신내동,중앙하이츠,1,26,84.97,479,11260,8
"24,500",1996,2010,신내동,신내6대주,1,26,49.77,650,11260,10
"24,000",1996,2010,신내동,신내11대명,1,27,49.77,661,11260,5
"28,500",1996,2010,신내동,신내11대명,1,27,59.76,661,11260,8
"29,800",1996,2010,신내동,신내6대주,1,29,59.76,650,11260,5
"25,400",1996,2010,신내동,건영2차,1,29,57.3,785,11260,17
"18,200",1996,2010,신내동,신내9진흥,1,29,39.84,657,11260,5
"18,200",1996,2010,신내동,신내9진흥,1,29,39.84,657,11260,9
"24,700",1996,2010,신내동,신내6대주,1,29,49.77,650,11260,8
"24,750",1997,2010,신내동,동성3,1,30,59.4,618,11260,4
"33,000",1994,2010,신내동,성원,1,30,84.32,783,11260,21
"28,300",1996,2010,신내동,신내6대주,1,30,59.76,650,11260,2
"39,000",2004,2010,신내동,영풍마드레빌,1,30,84.8485,801,11260,17
"29,000",1997,2010,신내동,석탑,1,31,84.6,787,11260,7
"31,000",1997,2010,면목동,면목삼익,2,1,84.99,1516,11260,21
"35,500",1992,2010,면목동,용마금호타운,2,1,84.9,494,11260,8
"16,400",1990,2010,면목동,용마한신,2,1,35.44,1077-1,11260,5
"33,800",1988,2010,면목동,한신,2,1,84.92,193-1,11260,10
"27,900",2002,2010,면목동,늘푸른동아,2,3,59.65,715,11260,13
"22,500",2001,2010,면목동,진로,2,4,82.86,1517,11260,4
"18,000",1990,2010,면목동,용마한신,2,5,35.44,1077-1,11260,5
"17,420",1990,2010,면목동,용마한신,2,5,35.44,1077-1,11260,9
"42,670",2006,2010,면목동,경남아너스빌,2,5,84.961,1529,11260,6
"25,000",2003,2010,면목동,세모하이츠(A),2,6,75.75,132-63,11260,5
"18,400",1988,2010,면목동,한신,2,6,44.5,193-1,11260,15
"30,000",1994,2010,면목동,현대,2,6,74.79,1502,11260,2
"29,900",2000,2010,면목동,면목삼호101,2,8,83.64,1513,11260,1
"38,000",2004,2010,면목동,리치카운티,2,9,84.741,1505,11260,11
"28,100",2002,2010,면목동,늘푸른동아,2,10,59.65,715,11260,4
"19,000",1998,2010,면목동,신우,2,10,59.92,1518,11260,4
"14,180",1988,2010,면목동,한신,2,11,35.3,193-1,11260,9
"14,900",1988,2010,면목동,한신,2,11,35.3,193-1,11260,13
"44,500",2000,2010,면목동,두산4,2,12,84.86,1522,11260,20
"20,000",1990,2010,면목동,용마한신,2,16,59.22,1077-1,11260,3
"38,500",2003,2010,면목동,대원칸타빌,2,16,90.1209,581,11260,2
"36,700",1995,2010,면목동,두산3,2,16,84.77,1511,11260,14
"22,000",1990,2010,면목동,용마한신,2,18,44.35,1077-1,11260,12
"34,800",2006,2010,면목동,경남아너스빌,2,18,59.981,1529,11260,9
"42,000",2002,2010,면목동,늘푸른동아,2,19,114.73,715,11260,2
"34,700",2002,2010,면목동,늘푸른동아,2,19,84.97,715,11260,2
"24,000",1990,2010,면목동,용마한신,2,22,59.22,1077-1,11260,1
"38,500",1994,2010,면목동,현대,2,22,84.09,1502,11260,16
"34,000",1993,2010,면목동,용마동아,2,23,84.88,1499,11260,13
"33,000",1992,2010,면목동,용마금호타운,2,23,84.9,494,11260,13
"29,000",2002,2010,면목동,늘푸른동아,2,23,59.65,715,11260,11
"27,500",1987,2010,면목동,한신,2,24,66.56,193-1,11260,4
"30,000",2002,2010,상봉동,우정아파트,2,1,57.189,496,11260,13
"28,350",2003,2010,상봉동,태영데시앙2(1411동),2,6,59.94,498,11260,1
"33,000",1997,2010,상봉동,건영1,2,12,84.96,1,11260,18
"32,000",2006,2010,상봉동,미랜드프래임빌(102동),2,16,79.62,115-84,11260,4
"42,500",2006,2010,상봉동,건영캐스빌,2,17,84.6475,499,11260,1
"45,000",2003,2010,상봉동,한일써너스빌,2,17,84.981,81-5,11260,21
"23,000",1999,2010,상봉동,동부아파트,2,19,54,495,11260,3
"40,500",2003,2010,상봉동,태영데시앙2(1411동),2,20,84.6,498,11260,7
"37,000",1997,2010,상봉동,건영1,2,23,84.96,1,11260,23
"18,500",2003,2010,중화동,금강,2,1,58.05,297-84,11260,5
"36,000",1998,2010,중화동,한신2,2,1,84.03,450,11260,4
"24,800",1998,2010,중화동,한신1차,2,1,50.37,450,11260,20
"29,000",1998,2010,중화동,한신1차,2,4,59.76,450,11260,16
"35,800",1997,2010,중화동,한신1차,2,8,84.2,450,11260,26
"30,000",2005,2010,중화동,태능에셈빌,2,20,80.14,314-1,11260,12
"41,000",1997,2010,중화동,한신1차,2,23,84.03,450,11260,7
"58,000",1995,2010,묵동,신내두산,2,1,126.28,20,11260,6
"24,000",1996,2010,묵동,신내,2,1,59.76,13,11260,1
"33,000",2006,2010,묵동,SM해그린,2,2,84.37,390,11260,3
"22,000",1996,2010,묵동,신내,2,3,49.77,13,11260,7
"17,500",1996,2010,묵동,신내,2,4,39.84,13,11260,5
"18,400",1996,2010,묵동,신내,2,4,39.84,13,11260,4
"23,800",2004,2010,묵동,신도브래뉴,2,8,51.86,169-10,11260,8
"45,000",2002,2010,묵동,현대아이파크,2,9,84.9785,385,11260,14
"41,900",2003,2010,묵동,금호어울림,2,11,84.85,386,11260,9
"27,000",2005,2010,묵동,공감대,2,19,59.959,171-4,11260,14
"30,600",1999,2010,묵동,신안1,2,19,84.99,381,11260,1
"41,000",2004,2010,묵동,브라운스톤태릉,2,20,83.5358,387,11260,4
"15,500",1996,2010,묵동,신내,2,20,39.84,13,11260,1
"20,000",2004,2010,묵동,신도브래뉴,2,25,51.86,169-10,11260,11
"42,900",2002,2010,묵동,현대아이파크,2,27,84.9416,385,11260,22
"25,000",1989,2010,망우동,경남,2,2,52.71,226,11260,2
"23,500",2001,2010,망우동,청광,2,5,59.6625,575,11260,3
"23,800",2005,2010,망우동,해오름102동,2,8,57.66,508-11,11260,5
"31,670",2006,2010,망우동,금호어울림(580),2,19,59.96,580,11260,14
"21,930",1997,2010,신내동,석탑,2,1,59.82,787,11260,21
"30,500",1996,2010,신내동,신내6대주,2,1,59.76,650,11260,7
"24,000",1996,2010,신내동,신내9진흥,2,2,49.93,657,11260,2
"18,600",1996,2010,신내동,신내6대주,2,2,39.84,650,11260,12
"16,500",1996,2010,신내동,신내9진흥,2,3,33.18,657,11260,9
"41,000",1995,2010,신내동,진로,2,3,101.86,654,11260,1
"31,500",1996,2010,신내동,중앙하이츠,2,4,84.97,479,11260,10
"46,800",1995,2010,신내동,진로,2,5,101.86,654,11260,8
"19,200",1996,2010,신내동,신내6대주,2,6,39.84,650,11260,4
"32,800",1998,2010,신내동,새한,2,8,84.4,795,11260,20
"34,500",1997,2010,신내동,동성4,2,8,84.08,591,11260,16
"23,000",1997,2010,신내동,동성3,2,9,59.4,618,11260,2
"22,900",1996,2010,신내동,신내9진흥,2,9,49.93,657,11260,2
"29,200",1998,2010,신내동,새한,2,10,84.4,795,11260,2
"24,000",1996,2010,신내동,신내9진흥,2,11,49.93,657,11260,4
"26,400",1996,2010,신내동,신내6대주,2,11,59.76,650,11260,1
"20,600",1996,2010,신내동,신내9진흥,2,11,49.82,657,11260,1
"24,600",1999,2010,신내동,동성7,2,11,59.34,797,11260,9
