거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"43,500",2002,2010,성북동,성북좋은,1,25,92.57,179-96,11290,2
"34,300",1998,2010,돈암동,한진(609-1),1,2,84.87,609-1,11290,1
"29,500",2004,2010,돈암동,성일우리미,1,7,84.95,637,11290,5
"34,900",2007,2010,돈암동,돈암힐스테이트,1,8,59.38,639,11290,7
"43,000",2003,2010,돈암동,동부센트레빌,1,9,81.82,633,11290,11
"48,000",1998,2010,돈암동,한진(609-1),1,11,113.67,609-1,11290,16
"44,500",2003,2010,돈암동,동부센트레빌,1,11,81.82,633,11290,6
"24,000",1998,2010,돈암동,한진(609-1),1,12,59.58,609-1,11290,15
"21,300",1999,2010,돈암동,돈암동 풍림아파트 101~105동,1,12,59.64,632,11290,2
"28,800",1998,2010,돈암동,한신,1,13,68.13,609-1,11290,10
"57,500",1998,2010,돈암동,한신,1,13,113.67,609-1,11290,17
"52,300",1998,2010,돈암동,한신,1,14,113.67,609-1,11290,8
"37,300",1998,2010,돈암동,한진(609-1),1,15,84.87,609-1,11290,20
"17,250",1991,2010,돈암동,돈암현대아파트,1,15,41.58,1,11290,2
"25,200",1998,2010,돈암동,한진(609-1),1,16,59.58,609-1,11290,15
"22,800",1991,2010,돈암동,돈암현대아파트,1,18,55.89,1,11290,7
"33,250",2004,2010,돈암동,이수브라운스톤돈암,1,19,59.99,636,11290,5
"46,500",2004,2010,돈암동,이수브라운스톤돈암,1,20,84.97,636,11290,17
"58,000",1998,2010,돈암동,한신,1,22,132.96,609-1,11290,6
"17,300",1991,2010,돈암동,돈암현대아파트,1,23,41.58,1,11290,5
"23,000",1998,2010,돈암동,한진(609-1),1,25,59.58,609-1,11290,8
"38,000",1999,2010,돈암동,돈암동삼성,1,27,84.59,15-1,11290,22
"61,500",1998,2010,돈암동,한진(609-1),1,29,152.25,609-1,11290,4
"34,000",2004,2010,돈암동,이수브라운스톤돈암,1,30,59.99,636,11290,16
"24,800",1999,2010,돈암동,돈암동삼성,1,30,59.4,15-1,11290,5
"32,500",1998,2010,돈암동,한진(609-1),1,30,84.87,609-1,11290,1
"52,700",1998,2010,돈암동,한진(609-1),1,31,113.67,609-1,11290,10
"24,000",1998,2010,동소문동4가,송산아파트,1,25,58.59,279,11290,6
"45,000",2008,2010,동소문동4가,삼보힐하우스,1,28,84.59,103-20,11290,6
"46,500",2008,2010,삼선동2가,삼선푸르지오,1,20,84.83,425,11290,10
"52,000",2008,2010,삼선동2가,삼선푸르지오,1,22,114.65,425,11290,1
"29,000",1999,2010,삼선동4가,코오롱,1,10,59.94,73,11290,4
"31,000",1999,2010,삼선동4가,코오롱,1,16,59.94,73,11290,8
"32,000",1999,2010,삼선동4가,코오롱,1,16,59.94,73,11290,10
"33,000",2003,2010,동선동3가,태극에버빌,1,20,112.64,257,11290,3
"25,000",2008,2010,동선동4가,한양수자인,1,23,68.81,295-1,11290,8
"23,500",2008,2010,동선동4가,한양수자인,1,30,68.03,295-1,11290,11
"32,900",2005,2010,안암동1가,안암동삼성래미안,1,19,59.6983,361,11290,2
"40,000",2005,2010,안암동1가,안암동삼성래미안,1,30,84.8681,361,11290,2
"14,500",1971,2010,안암동3가,대광,1,21,52,136-1,11290,2
"48,500",2003,2010,보문동3가,현대I-PARK,1,29,84.3,2,11290,15
"24,400",1999,2010,정릉동,경남,1,1,59.59,1015,11290,21
"41,000",2004,2010,정릉동,정릉힐스테이트,1,6,84.92,1025,11290,22
"17,000",1977,2010,정릉동,"산장아파트 가동, 나동",1,7,52.89,780,11290,6
"22,500",1999,2010,정릉동,청구,1,8,68.54,1013,11290,3
"39,000",2007,2010,정릉동,정릉힐스테이트1차,1,9,84.853,1030,11290,12
"28,750",2006,2010,정릉동,정릉e-편한세상,1,10,59.77,1028,11290,3
"29,000",2000,2010,정릉동,정릉우성아파트 101~105동,1,11,84.96,1020,11290,3
"16,500",2001,2010,정릉동,대우,1,13,43.11,1021,11290,3
"30,000",2008,2010,정릉동,정릉힐스테이트3차,1,13,59.98,1031,11290,7
"24,800",2003,2010,정릉동,정릉푸른마을동아,1,14,59.94,210,11290,2
"33,000",2004,2010,정릉동,정릉하이츠빌1단지,1,14,84.98,494,11290,3
"22,000",1999,2010,정릉동,정릉스카이 쌍용 아파트,1,14,59.9,1014,11290,7
"23,500",1999,2010,정릉동,쌍용2,1,15,59.9,1017,11290,7
"30,000",2006,2010,정릉동,정릉e-편한세상,1,16,59.77,1028,11290,5
"16,500",2001,2010,정릉동,대우,1,16,43.11,1021,11290,14
"30,000",2001,2010,정릉동,대우,1,17,84.83,1021,11290,15
"36,750",2004,2010,정릉동,정릉하이츠빌1단지,1,17,84.98,494,11290,6
"42,000",2005,2010,정릉동,정릉풍림아이원,1,18,114.75,239,11290,12
"22,000",2001,2010,정릉동,대우,1,18,59.98,1021,11290,4
"30,000",2009,2010,정릉동,우정에쉐르,1,18,84.97,1033,11290,12
"25,400",2005,2010,정릉동,정릉풍림아이원,1,20,59.88,239,11290,14
"16,000",2001,2010,정릉동,대우,1,20,43.11,1021,11290,7
"54,775",2008,2010,정릉동,라온유,1,21,109.75,1034,11290,13
"32,000",2005,2010,정릉동,정릉풍림아이원,1,23,84.09,239,11290,2
"28,000",2005,2010,정릉동,정릉풍림아이원,1,23,60,239,11290,10
"37,000",2004,2010,정릉동,정릉하이츠빌1단지,1,23,84.98,494,11290,18
"21,800",1999,2010,정릉동,우방,1,25,59.94,1016,11290,10
"44,000",2007,2010,정릉동,정릉힐스테이트1차,1,25,84.535,1030,11290,10
"33,500",2000,2010,정릉동,정릉우성아파트 101~105동,1,25,84.96,1020,11290,14
"40,000",2007,2010,정릉동,정릉힐스테이트1차,1,27,84.823,1030,11290,11
"23,150",2005,2010,정릉동,정릉풍림아이원,1,28,59.88,239,11290,3
"17,400",2001,2010,정릉동,대우,1,29,43.11,1021,11290,11
"25,950",1999,2010,정릉동,정릉스카이 쌍용 아파트,1,29,59.9,1014,11290,9
"31,500",2000,2010,정릉동,정릉우성아파트 101~105동,1,29,84.96,1020,11290,6
"24,300",1999,2010,정릉동,쌍용2,1,30,59.9,1017,11290,7
"38,800",2005,2010,정릉동,정릉하이츠빌2단지,1,30,84.6824,435,11290,7
"31,800",2005,2010,정릉동,정릉풍림아이원,1,30,84.09,239,11290,1
"29,850",2006,2010,정릉동,정릉e-편한세상,1,31,59.77,1028,11290,17
"26,900",2005,2010,길음동,길음뉴타운2단지푸르지오,1,4,59.77,1280,11290,12
"37,000",2007,2010,길음동,길음뉴타운6단지(래미안),1,5,59.373,1283,11290,12
"25,900",1998,2010,길음동,돈암2-1삼부,1,6,59.94,1276,11290,10
"55,200",2005,2010,길음동,길음뉴타운2단지푸르지오,1,6,114.73,1280,11290,15
"34,000",2003,2010,길음동,길음뉴타운1단지(래미안길음1차),1,7,59.99,1279,11290,13
"24,000",2000,2010,길음동,길음현대,1,8,59.98,1277,11290,8
"43,000",2005,2010,길음동,길음뉴타운2단지푸르지오,1,9,84.97,1280,11290,13
"30,500",2005,2010,길음동,길음뉴타운4단지(e편한세상),1,9,59.97,1281,11290,3
"39,000",2007,2010,길음동,길음뉴타운6단지(래미안),1,10,59.373,1283,11290,12
