거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"27,000",2003,2010,미아동,삼각산아이원,1,2,59.758,1357,11305,2
"37,200",2004,2010,미아동,에스케이북한산시티,1,4,84.76,1353,11305,11
"26,900",2004,2010,미아동,에스케이북한산시티,1,5,59.98,1353,11305,16
"31,000",2006,2010,미아동,미아1차래미안,1,5,59.9,797,11305,11
"47,000",2006,2010,미아동,미아동부센트레빌,1,6,84.92,474,11305,6
"28,600",2003,2010,미아동,삼각산아이원,1,7,59.758,1357,11305,16
"37,700",2004,2010,미아동,벽산라이브파크,1,10,84.89,1354,11305,22
"24,000",2009,2010,미아동,성북프라자,1,11,68.675,318-5,11305,8
"25,700",2004,2010,미아동,벽산라이브파크,1,12,60,1354,11305,11
"36,400",2004,2010,미아동,에스케이북한산시티,1,12,84.71,1353,11305,15
"26,950",2004,2010,미아동,에스케이북한산시티,1,13,59.98,1353,11305,10
"35,400",2004,2010,미아동,에스케이북한산시티,1,15,84.76,1353,11305,3
"34,100",2006,2010,미아동,미아동부센트레빌,1,17,59.96,474,11305,6
"35,000",2006,2010,미아동,미아동부센트레빌,1,17,59.96,474,11305,4
"47,500",2004,2010,미아동,에스케이북한산시티,1,19,114.85,1353,11305,23
"46,000",2002,2010,미아동,미아한일유앤아이,1,19,111.296,1355,11305,7
"29,500",2006,2010,미아동,미아1차래미안,1,20,59.9,797,11305,2
"67,000",2006,2010,미아동,미아동부센트레빌,1,20,114.82,474,11305,6
"36,000",2004,2010,미아동,에스케이북한산시티,1,20,84.86,1353,11305,10
"29,800",2003,2010,미아동,경남아너스빌(1356-0),1,22,59.964,1356,11305,14
"26,500",2004,2010,미아동,에스케이북한산시티,1,23,59.98,1353,11305,8
"35,000",2004,2010,미아동,에스케이북한산시티,1,23,84.86,1353,11305,14
"27,500",2004,2010,미아동,에스케이북한산시티,1,23,59.98,1353,11305,19
"26,900",2004,2010,미아동,에스케이북한산시티,1,24,59.98,1353,11305,12
"25,300",2004,2010,미아동,벽산라이브파크,1,25,60,1354,11305,7
"45,000",2004,2010,미아동,에스케이북한산시티,1,29,114.85,1353,11305,12
"27,800",2004,2010,미아동,에스케이북한산시티,1,30,59.98,1353,11305,17
"24,850",2000,2010,번동,기산그린,1,7,59.94,191,11305,18
"25,350",1999,2010,번동,번동솔그린,1,9,59.82,136,11305,8
"34,000",1998,2010,번동,삼성,1,19,84.96,470-1,11305,12
"26,750",1998,2010,번동,번동금호어울림,1,21,59.43,656,11305,3
"25,000",1991,2010,번동,주공1단지,1,23,49.94,242,11305,13
"20,500",1991,2010,번동,주공4단지,1,24,49.94,234,11305,1
"26,000",2005,2010,번동,효성인텔리안,1,25,71.05,418-3,11305,11
"39,300",2001,2010,번동,오동공원현대,1,27,84.7848,760,11305,6
"29,400",1992,2010,수유동,극동,1,8,84.99,553-61,11305,4
"37,000",1993,2010,수유동,수유벽산1차,1,13,84.92,205,11305,9
"30,000",1992,2010,수유동,극동,1,15,84.99,553-61,11305,12
"25,200",2001,2010,수유동,래미안수유,1,26,59.88,730,11305,2
"45,000",1993,2010,수유동,수유벽산1차,1,30,122.58,205,11305,11
"25,250",2004,2010,미아동,에스케이북한산시티,2,1,59.98,1353,11305,20
"25,300",2008,2010,미아동,현대캐슬,2,4,65.74,133-12,11305,5
"26,900",2004,2010,미아동,에스케이북한산시티,2,5,59.98,1353,11305,19
"26,800",2004,2010,미아동,에스케이북한산시티,2,5,59.98,1353,11305,8
"26,600",2004,2010,미아동,에스케이북한산시티,2,8,59.98,1353,11305,24
"23,800",1998,2010,미아동,현대성우,2,9,59.4,561-2,11305,7
"23,500",2006,2010,미아동,신일해피트리,2,9,59.27,1358,11305,3
"33,700",2004,2010,미아동,벽산라이브파크,2,9,84.89,1354,11305,6
"24,700",2006,2010,미아동,신일해피트리,2,11,59.27,1358,11305,8
"39,500",2003,2010,미아동,삼각산아이원,2,11,84.705,1357,11305,20
"36,900",2004,2010,미아동,에스케이북한산시티,2,17,84.76,1353,11305,24
"25,500",2004,2010,미아동,에스케이북한산시티,2,18,59.98,1353,11305,7
"37,800",2003,2010,미아동,삼각산아이원,2,20,84.705,1357,11305,17
"34,000",2004,2010,미아동,벽산라이브파크,2,20,84.89,1354,11305,4
"23,000",2004,2010,미아동,벽산라이브파크,2,20,59.67,1354,11305,4
"37,000",2004,2010,미아동,에스케이북한산시티,2,21,84.92,1353,11305,11
"37,000",2004,2010,미아동,에스케이북한산시티,2,21,84.76,1353,11305,7
"26,900",2004,2010,미아동,에스케이북한산시티,2,22,59.98,1353,11305,16
"22,000",1996,2010,미아동,두원프라자,2,22,56.1,1351,11305,6
"26,800",2004,2010,미아동,에스케이북한산시티,2,22,59.98,1353,11305,15
"22,000",2004,2010,미아동,에스케이북한산시티,2,25,59.98,1353,11305,12
"37,100",2008,2010,미아동,경남아너스빌,2,25,84.9134,796,11305,9
"23,400",2009,2010,미아동,성북프라자,2,26,68.675,318-5,11305,6
"23,700",2009,2010,미아동,성북프라자,2,26,68.675,318-5,11305,4
"23,000",2008,2010,미아동,현대캐슬,2,26,67.24,133-12,11305,5
"32,000",2002,2010,미아동,미아한일유앤아이,2,27,84.552,1355,11305,7
"23,700",1998,2010,번동,동문,2,3,59.64,657,11305,4
"33,000",2005,2010,번동,한솔솔파크,2,10,84.88,138,11305,1
"20,500",1991,2010,번동,주공1단지,2,10,41.3,242,11305,11
"24,000",2005,2010,번동,효성인텔리안,2,10,71.05,418-3,11305,9
"36,000",1996,2010,번동,훼밀리힐,2,16,126.67,148-490,11305,7
"23,600",1997,2010,번동,현대(148-494),2,17,59.97,148-494,11305,9
"49,000",2001,2010,번동,오동공원현대,2,20,117.2775,760,11305,16
"26,750",1991,2010,번동,주공4단지,2,22,59.22,234,11305,4
"27,500",1998,2010,번동,동문,2,22,59.64,657,11305,6
"23,000",2000,2010,번동,기산그린,2,25,59.94,191,11305,17
"29,750",2001,2010,번동,오동공원현대,2,27,59.6283,760,11305,12
"26,300",2005,2010,수유동,우암센스뷰,2,1,84.83,229-50,11305,5
"30,500",1993,2010,수유동,수유벽산1차,2,5,84.95,205,11305,1
"35,500",1993,2010,수유동,수유벽산1차,2,6,84.92,205,11305,3
"34,000",1993,2010,수유동,수유벽산1차,2,11,84.92,205,11305,14
"21,000",2009,2010,수유동,청솔(269-25),2,16,55.04,269-25,11305,9
"26,500",2003,2010,수유동,은진,2,17,76.35,690-9,11305,2
"36,500",1993,2010,수유동,수유벽산1차,2,18,84.92,205,11305,10
"30,000",1992,2010,수유동,극동,2,22,84.99,553-61,11305,4
"28,000",2008,2010,수유동,태솔에버빌,2,24,84.67,52-30,11305,3
"21,000",2000,2010,수유동,수유현대,2,24,51.38,729,11305,3
"35,800",1993,2010,수유동,수유벽산1차,2,25,84.95,205,11305,4
"36,500",1993,2010,수유동,수유벽산1차,2,27,84.92,205,11305,3
"28,000",1990,2010,우이동,성원상떼빌,2,1,84.98,1,11305,8
"39,000",2000,2010,우이동,대우,2,8,84.93,342,11305,4
"27,070",2004,2010,미아동,에스케이북한산시티,3,3,59.98,1353,11305,17
"29,250",2003,2010,미아동,경남아너스빌(1356-0),3,4,59.964,1356,11305,14
"23,000",2008,2010,미아동,현대캐슬,3,5,68.74,133-12,11305,3
"23,950",2004,2010,미아동,벽산라이브파크,3,5,59.67,1354,11305,13
"31,700",2006,2010,미아동,미아동부센트레빌,3,5,59.96,474,11305,1
"36,000",2003,2010,미아동,삼각산아이원,3,7,84.705,1357,11305,13
"49,000",2003,2010,미아동,삼각산아이원,3,9,114.88,1357,11305,11
"50,390",2003,2010,미아동,삼각산아이원,3,10,114.88,1357,11305,4
"40,000",2004,2010,미아동,에스케이북한산시티,3,10,84.86,1353,11305,19
"29,000",2000,2010,미아동,미아신구,3,11,84.9,1352,11305,10
"26,600",2004,2010,미아동,에스케이북한산시티,3,11,59.98,1353,11305,22
"24,500",2004,2010,미아동,벽산라이브파크,3,13,59.67,1354,11305,14
"26,000",2004,2010,미아동,벽산라이브파크,3,13,60,1354,11305,16
"36,000",2004,2010,미아동,벽산라이브파크,3,15,84.89,1354,11305,15
"25,500",2004,2010,미아동,벽산라이브파크,3,16,60,1354,11305,18
"18,900",1990,2010,미아동,한일,3,17,54.99,258-732,11305,2
"39,500",2003,2010,미아동,경남아너스빌(1356-0),3,17,84.873,1356,11305,9
"37,000",2004,2010,미아동,에스케이북한산시티,3,23,84.76,1353,11305,11
"25,800",2008,2010,미아동,현대캐슬,3,23,68.74,133-12,11305,2
"50,500",2003,2010,미아동,경남아너스빌(1356-0),3,24,114.922,1356,11305,20
"36,000",2004,2010,미아동,에스케이북한산시티,3,24,84.71,1353,11305,24
"48,000",2003,2010,미아동,삼각산아이원,3,24,114.88,1357,11305,13
"26,800",2004,2010,미아동,에스케이북한산시티,3,29,59.98,1353,11305,8
"51,750",2003,2010,미아동,경남아너스빌(1356-0),3,31,114.922,1356,11305,7
"34,000",2003,2010,번동,해모로아파트,3,4,84.93,139,11305,3
"39,000",2005,2010,번동,한솔솔파크,3,6,84.88,138,11305,7
"34,000",2001,2010,번동,오동공원현대,3,12,84.7848,760,11305,3
"18,000",1991,2010,번동,주공1단지,3,13,41.3,242,11305,4
"26,200",1998,2010,번동,삼성,3,15,59.77,470-1,11305,7
"38,250",2005,2010,번동,한솔솔파크,3,17,84.88,138,11305,13
"38,500",2001,2010,번동,오동공원현대,3,23,84.7848,760,11305,15
"24,500",2000,2010,번동,신원,3,23,59.96,204,11305,10
"29,000",1998,2010,번동,번동금호어울림,3,23,84.96,656,11305,11
"54,800",2003,2010,번동,해모로아파트,3,23,127.25,139,11305,10
"15,000",2005,2010,번동,효성인텔리안,3,24,40.99,418-3,11305,10
"33,000",2005,2010,수유동,우암센스뷰,3,3,84.83,229-50,11305,9
"22,500",1994,2010,수유동,수유벽산2차,3,5,57.46,648,11305,4
"29,800",1992,2010,수유동,극동,3,9,84.99,553-61,11305,9
"26,200",1993,2010,수유동,수유벽산1차,3,13,63.78,205,11305,15
"25,500",1998,2010,수유동,수유삼호,3,16,74.48,63,11305,8
"42,500",2001,2010,수유동,래미안수유,3,17,84.993,730,11305,17
"26,300",1993,2010,수유동,수유벽산1차,3,22,63.78,205,11305,7
"31,500",1992,2010,수유동,극동,3,22,84.99,553-61,11305,10
"20,000",2002,2010,수유동,대성월드빌,3,28,60.48,45-93,11305,6
"23,200",2003,2010,우이동,북한산굿모닝,3,17,71.36,175,11305,1
"33,000",2002,2010,미아동,미아한일유앤아이,4,7,84.552,1355,11305,14
"27,500",2004,2010,미아동,에스케이북한산시티,4,8,59.98,1353,11305,10
"36,000",2003,2010,미아동,경남아너스빌(1356-0),4,12,84.873,1356,11305,6
"38,000",2004,2010,미아동,에스케이북한산시티,4,13,84.71,1353,11305,13
"33,500",2004,2010,미아동,에스케이북한산시티,4,17,84.86,1353,11305,8
"29,000",1998,2010,미아동,현대성우,4,21,84.92,561-2,11305,9
"35,500",2004,2010,미아동,에스케이북한산시티,4,24,84.71,1353,11305,13
"26,700",2004,2010,미아동,에스케이북한산시티,4,24,59.98,1353,11305,8
"25,000",2004,2010,미아동,벽산라이브파크,4,24,60,1354,11305,7
"37,000",2003,2010,미아동,삼각산아이원,4,25,84.705,1357,11305,4
"32,600",2004,2010,미아동,에스케이북한산시티,4,26,84.86,1353,11305,23
"34,000",1992,2010,미아동,현대(190-2),4,26,84.91,190-2,11305,10
"33,600",2004,2010,미아동,벽산라이브파크,4,27,84.89,1354,11305,14
"42,500",2009,2010,번동,수유역두산위브1,4,1,84.9986,410,11305,10
"29,000",2005,2010,번동,효성인텔리안,4,3,81.12,418-3,11305,10
"28,300",1991,2010,번동,주공4단지,4,6,59.22,234,11305,10
"36,500",1998,2010,번동,동문,4,12,84.86,657,11305,9
"18,000",1991,2010,번동,주공1단지,4,12,41.3,242,11305,9
"29,200",2003,2010,번동,해모로아파트,4,19,59.98,139,11305,17
"36,500",2005,2010,번동,한솔솔파크,4,22,84.88,138,11305,10
"24,250",1998,2010,번동,번동금호어울림,4,22,59.43,656,11305,2
"16,900",1991,2010,번동,주공1단지,4,30,41.3,242,11305,2
"41,000",1993,2010,수유동,수유벽산1차,4,1,122.58,205,11305,1
"25,700",2008,2010,수유동,다경하이빌,4,10,73.8,177-2,11305,2
"24,300",2009,2010,수유동,청솔(269-25),4,17,67.32,269-25,11305,5
"28,000",2001,2010,수유동,래미안수유,4,17,59.88,730,11305,12
"28,000",1992,2010,수유동,극동,4,19,84.99,553-61,11305,15
"26,200",1993,2010,수유동,수유벽산1차,4,21,63.78,205,11305,11
"25,800",1993,2010,수유동,수유벽산1차,4,22,63.78,205,11305,4
"27,500",1992,2010,수유동,극동,4,26,84.99,553-61,11305,3
"30,500",1992,2010,수유동,극동,4,27,84.99,553-61,11305,4
"28,800",1992,2010,수유동,극동,4,28,84.99,553-61,11305,11
"27,000",1990,2010,우이동,성원상떼빌,4,7,84.98,1,11305,3
"32,500",2000,2010,우이동,대우,4,26,59.94,342,11305,3
"29,500",2004,2010,미아동,에스케이북한산시티,5,1,84.71,1353,11305,1
"50,000",2004,2010,미아동,벽산라이브파크,5,2,114.68,1354,11305,5
"33,000",2004,2010,미아동,에스케이북한산시티,5,3,84.92,1353,11305,7
"33,000",2003,2010,미아동,삼각산아이원,5,3,84.705,1357,11305,3
"32,500",2004,2010,미아동,에스케이북한산시티,5,4,84.92,1353,11305,4
"27,000",1996,2010,미아동,두원프라자,5,5,84.24,1351,11305,7
"52,000",2006,2010,미아동,미아동부센트레빌,5,6,84.89,474,11305,12
"37,000",2004,2010,미아동,에스케이북한산시티,5,6,84.92,1353,11305,14
"32,750",2004,2010,미아동,에스케이북한산시티,5,7,84.86,1353,11305,21
"25,250",2004,2010,미아동,에스케이북한산시티,5,8,59.98,1353,11305,6
"34,100",2003,2010,미아동,삼각산아이원,5,9,84.705,1357,11305,5
"41,200",2004,2010,미아동,벽산라이브파크,5,10,114.68,1354,11305,18
"44,500",2004,2010,미아동,에스케이북한산시티,5,11,114.85,1353,11305,9
"26,400",2006,2010,미아동,신일해피트리,5,12,68.47,1358,11305,9
"25,000",2004,2010,미아동,에스케이북한산시티,5,13,59.98,1353,11305,16
"26,500",2004,2010,미아동,에스케이북한산시티,5,13,59.98,1353,11305,14
"42,000",2004,2010,미아동,에스케이북한산시티,5,15,114.85,1353,11305,20
"23,000",2004,2010,미아동,벽산라이브파크,5,17,59.67,1354,11305,14
"23,000",2004,2010,미아동,벽산라이브파크,5,18,60,1354,11305,3
"43,700",2004,2010,미아동,벽산라이브파크,5,18,114.68,1354,11305,15
"24,580",2004,2010,미아동,에스케이북한산시티,5,18,59.98,1353,11305,22
"25,000",2004,2010,미아동,에스케이북한산시티,5,22,59.98,1353,11305,20
"34,500",2004,2010,미아동,벽산라이브파크,5,24,84.89,1354,11305,18
"32,700",2004,2010,미아동,에스케이북한산시티,5,25,84.76,1353,11305,11
"25,000",2009,2010,미아동,성북프라자,5,25,68.675,318-5,11305,11
"37,000",2003,2010,미아동,경남아너스빌(1356-0),5,25,84.873,1356,11305,13
"27,500",2004,2010,미아동,에스케이북한산시티,5,26,59.98,1353,11305,9
"33,500",2004,2010,미아동,에스케이북한산시티,5,27,84.92,1353,11305,6
"32,000",2006,2010,미아동,신일해피트리,5,27,83.72,1358,11305,10
"22,800",2004,2010,미아동,에스케이북한산시티,5,28,59.98,1353,11305,2
"33,000",1992,2010,번동,번동한양아파트,5,4,84.67,133-1,11305,3
"34,000",1992,2010,번동,번동한양아파트,5,6,84.67,133-1,11305,15
"30,500",1992,2010,번동,번동한양아파트,5,6,84.67,133-1,11305,2
"15,000",1991,2010,번동,주공1단지,5,11,41.3,242,11305,8
"34,000",1997,2010,번동,현대(148-494),5,18,84.9,148-494,11305,4
"23,500",2009,2010,수유동,청솔(269-25),5,8,67.32,269-25,11305,6
"21,000",2000,2010,수유동,수유현대,5,11,59.67,729,11305,8
"17,800",2002,2010,수유동,청솔,5,12,56.85,178-1,11305,2
"25,600",1993,2010,수유동,수유벽산1차,5,28,63.78,205,11305,7
"25,000",2004,2010,미아동,에스케이북한산시티,6,6,59.98,1353,11305,9
"54,000",2003,2010,미아동,경남아너스빌(1356-0),6,8,114.922,1356,11305,19
"32,000",2003,2010,미아동,삼각산아이원,6,9,84.705,1357,11305,19
"22,900",2005,2010,미아동,요진,6,10,59.42,152,11305,10
"36,000",2004,2010,미아동,벽산라이브파크,6,10,84.89,1354,11305,12
"32,800",2006,2010,미아동,미아동부센트레빌,6,14,59.96,474,11305,9
"25,000",2004,2010,미아동,에스케이북한산시티,6,15,59.98,1353,11305,21
"32,800",2004,2010,미아동,에스케이북한산시티,6,19,84.76,1353,11305,6
"43,000",2004,2010,미아동,에스케이북한산시티,6,21,114.85,1353,11305,14
"24,000",2004,2010,미아동,벽산라이브파크,6,22,59.67,1354,11305,1
"42,000",2010,2010,미아동,삼성래미안트리베라2단지,6,23,84.29,812,11305,20
"35,000",2008,2010,미아동,경남아너스빌,6,24,84.8712,796,11305,12
"28,750",2001,2010,번동,오동공원현대,6,8,59.6283,760,11305,9
"30,000",1992,2010,번동,번동한양아파트,6,9,84.67,133-1,11305,15
"17,000",1991,2010,번동,주공4단지,6,10,44.89,234,11305,4
"16,800",1991,2010,번동,주공1단지,6,22,41.3,242,11305,5
"35,700",2001,2010,수유동,래미안수유,6,7,84.993,730,11305,5
"20,000",2000,2010,수유동,수유현대,6,18,59.67,729,11305,13
"27,000",1992,2010,수유동,극동,6,19,84.99,553-61,11305,10
