거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"30,900",2002,2010,쌍문동,한양6,1,2,83.86,59-5,11320,13
"25,700",1990,2010,쌍문동,금호1,1,4,70.13,199-1,11320,5
"18,000",2002,2010,쌍문동,금강,1,4,65.77,357-6,11320,2
"23,000",2004,2010,쌍문동,파라다이스빌,1,5,58.49,727,11320,13
"18,000",1988,2010,쌍문동,삼익세라믹,1,6,42.93,56,11320,15
"23,700",2004,2010,쌍문동,동일씨티빌,1,7,77.4,19-20,11320,1
"17,700",1988,2010,쌍문동,삼익세라믹,1,8,42.93,56,11320,11
"33,000",2002,2010,쌍문동,한양6,1,8,83.86,59-5,11320,13
"21,000",1988,2010,쌍문동,한양3,1,8,59.67,59,11320,9
"25,800",1989,2010,쌍문동,성원,1,9,71.78,53,11320,14
"22,000",2002,2010,쌍문동,신일라이프,1,9,59.47,726,11320,4
"25,000",1990,2010,쌍문동,금호1,1,10,54.48,199-1,11320,9
"22,200",1988,2010,쌍문동,삼익세라믹,1,11,58.77,56,11320,8
"20,700",1990,2010,쌍문동,금호1,1,11,54.48,199-1,11320,13
"14,150",1989,2010,쌍문동,한양4,1,11,35.1,59,11320,11
"43,750",2002,2010,쌍문동,쌍문동삼성래미안,1,12,114.9396,725,11320,2
"23,700",1995,2010,쌍문동,미라보,1,13,59.96,160,11320,14
"22,000",1988,2010,쌍문동,삼익세라믹,1,13,58.77,56,11320,5
"17,000",1988,2010,쌍문동,삼익세라믹,1,13,40.11,56,11320,10
"14,000",1989,2010,쌍문동,한양4,1,18,35.1,59,11320,14
"14,450",1989,2010,쌍문동,한양4,1,18,35.1,59,11320,6
"19,500",1990,2010,쌍문동,현대1,1,18,56.7,54,11320,2
"24,800",1990,2010,쌍문동,현대1,1,18,70.3,54,11320,3
"25,000",1991,2010,쌍문동,금호2,1,18,69.82,산69-1,11320,2
"24,900",1988,2010,쌍문동,한양2,1,18,76.92,59,11320,15
"26,300",1991,2010,쌍문동,금호2,1,18,71.98,산69-1,11320,10
"32,400",2002,2010,쌍문동,한양6,1,18,83.86,59-5,11320,6
"31,300",1989,2010,쌍문동,성원,1,19,84.98,53,11320,13
"22,600",1988,2010,쌍문동,삼익세라믹,1,19,58.77,56,11320,15
"30,000",1990,2010,쌍문동,현대1,1,19,84.66,54,11320,7
"33,950",1996,2010,쌍문동,청구,1,19,84.63,195,11320,12
"30,900",1991,2010,쌍문동,한양5,1,20,84.635,59-3,11320,11
"29,900",1986,2010,쌍문동,한양1,1,22,66.33,388-33,11320,1
"23,000",1988,2010,쌍문동,삼익세라믹,1,22,58.77,56,11320,6
"36,700",1986,2010,쌍문동,한양1,1,23,79.2,388-33,11320,11
"11,500",1989,2010,쌍문동,한양4,1,23,28.71,59,11320,13
"32,400",1988,2010,쌍문동,삼익세라믹,1,25,79.98,56,11320,12
"33,000",1993,2010,쌍문동,한양7,1,25,84.92,158,11320,15
"22,450",1988,2010,쌍문동,한양2,1,25,59.67,59,11320,8
"18,250",1988,2010,쌍문동,삼익세라믹,1,25,42.93,56,11320,14
"21,500",2001,2010,쌍문동,에덴,1,26,67.404,713,11320,3
"16,500",1988,2010,쌍문동,삼익세라믹,1,27,42.93,56,11320,2
"18,500",1988,2010,쌍문동,한양2,1,27,48.96,59,11320,15
"26,250",1988,2010,쌍문동,한양2,1,28,76.92,59,11320,7
"23,250",1986,2010,쌍문동,한양1,1,28,50.58,388-33,11320,3
"38,900",2002,2010,쌍문동,한양6,1,29,83.86,59-5,11320,8
"26,100",1990,2010,쌍문동,현대1,1,30,70.3,54,11320,9
"26,200",1993,2010,쌍문동,한양7,1,30,71.22,158,11320,5
"22,200",1991,2010,방학동,벽산아파트1,1,2,63.38,275,11320,4
"72,500",2002,2010,방학동,방학동삼성래미안1,1,6,118.381,720-18,11320,16
"30,500",1994,2010,방학동,거성학마을아파트,1,6,84.93,701-15,11320,1
"29,500",1996,2010,방학동,성원아파트,1,8,84.54,735,11320,13
"23,500",1998,2010,방학동,벽산아파트2,1,8,59.581,496,11320,10
"50,000",2001,2010,방학동,대상타운현대아파트,1,8,84.78,720-1,11320,20
"21,200",1994,2010,방학동,청구아파트,1,9,72.21,734,11320,1
"17,300",2004,2010,방학동,태양아파트,1,10,67.4,612-34,11320,1
