거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"38,000",1987,2010,수색동,"수정가,나동(17-9)",1,6,65.34,17-9,11380,3
"40,000",2003,2010,수색동,대림한숲,1,20,84.951,415-1,11380,8
"37,000",1987,2010,수색동,"수정가,나동(17-9)",1,28,65.34,17-9,11380,5
"53,350",1993,2010,녹번동,대림아파트(276),1,9,133.87,276,11380,8
"23,950",2002,2010,녹번동,녹번JR아파트,1,30,59.866,280-1,11380,4
"25,000",2002,2010,불광동,삼흥아파트,1,4,75.36,484-57,11380,3
"27,500",1988,2010,불광동,라이프미성,1,6,66.7,248,11380,3
"27,500",1988,2010,불광동,라이프미성,1,6,66.7,248,11380,1
"33,000",2006,2010,불광동,북한산 한양 수자인 아파트,1,8,84.97,636,11380,15
"62,750",2004,2010,불광동,북한산현대홈타운,1,9,114.9984,633,11380,6
"34,500",2004,2010,불광동,북한산현대홈타운,1,12,59.9765,633,11380,5
"27,000",2006,2010,불광동,북한산 한양 수자인 아파트,1,12,59.69,636,11380,2
"25,700",2004,2010,불광동,북한산대창센시티,1,15,59.85,71-16,11380,7
"38,000",2004,2010,불광동,북한산현대홈타운,1,15,59.9765,633,11380,8
"29,800",1988,2010,불광동,라이프미성,1,20,66.7,248,11380,12
"32,500",2000,2010,불광동,대호프라자 아파트,1,21,84.64,631-1,11380,16
"48,000",2004,2010,불광동,북한산현대홈타운,1,21,84.9956,633,11380,6
"33,000",2004,2010,불광동,북한산현대홈타운,1,21,59.9765,633,11380,2
"29,000",1988,2010,불광동,라이프미성,1,21,66.7,248,11380,3
"28,000",1988,2010,불광동,라이프미성,1,22,66.7,248,11380,8
"39,700",1988,2010,불광동,라이프미성,1,23,84.65,248,11380,14
"28,000",1988,2010,불광동,라이프미성,1,25,66.7,248,11380,1
"27,500",2004,2010,불광동,북한산대창센시티,1,27,59.85,71-16,11380,14
"47,500",1999,2010,불광동,대호아파트,1,30,114.84,629,11380,16
"52,500",1988,2010,불광동,라이프미성,1,30,125.75,248,11380,3
"27,400",2006,2010,불광동,북한산 한양 수자인 아파트,1,31,59.69,636,11380,9
"35,000",1997,2010,갈현동,미미,1,21,124.65,538,11380,3
"23,000",2002,2010,갈현동,천지,1,30,73.33,276-37,11380,3
"15,700",2004,2010,구산동,두일,1,4,84.62,308-3,11380,1
"26,000",1991,2010,구산동,동익파크(355-98),1,5,84.95,355-98,11380,5
"26,800",2003,2010,구산동,뉴월드빌(16-28),1,9,84.96,16-28,11380,5
"23,700",2009,2010,구산동,이안,1,12,55.98,308-81,11380,5
"17,700",1995,2010,구산동,우신,1,15,54.18,25-53,11380,6
"23,000",2009,2010,구산동,이안,1,24,77.96,308-81,11380,3
"27,000",1991,2010,구산동,동익파크(355-95),1,26,84.98,355-95,11380,8
"24,000",1991,2010,구산동,동익파크(355-98),1,30,84.95,355-98,11380,2
"22,600",2009,2010,구산동,구산그린빌,1,31,59.5,226,11380,8
"18,500",2007,2010,대조동,초원넥스빌,1,5,50.06,87-30,11380,4
"23,000",2001,2010,대조동,장미빌라트,1,18,71.21,31-17,11380,4
"37,800",1998,2010,응암동,응암동금호,1,4,84.3,739,11380,5
"37,000",2009,2010,응암동,명남더블레스,1,5,77.67,93-6,11380,13
"27,000",2008,2010,응암동,대우푸르지오,1,9,59.58,176,11380,4
"24,700",2002,2010,응암동,서안,1,10,81.9,626-108,11380,1
"34,000",2006,2010,응암동,애필리움,1,11,84.96,113-35,11380,4
"29,000",2003,2010,응암동,응암하이포롬,1,12,84.99,117-22,11380,4
"31,300",2003,2010,응암동,응암하이포롬,1,21,84.99,117-22,11380,7
"20,000",2003,2010,응암동,자선메르시안(119-15),1,21,65.15,119-15,11380,4
"23,000",2004,2010,응암동,월드빌(120-6),1,23,63.39,120-6,11380,3
"23,850",1995,2010,응암동,경남,1,23,59.36,714,11380,9
"45,500",2001,2010,응암동,서강스카이빌,1,23,150.37,109-3,11380,8
"40,000",1998,2010,응암동,응암동금호,1,31,84.93,739,11380,5
"21,200",2003,2010,역촌동,역촌월드,1,17,73.59,19-3,11380,2
"26,500",2004,2010,역촌동,프라우드아파트,1,25,84.87,9-54,11380,4
"35,800",1987,2010,신사동,라이프미성,1,5,83.27,140-1,11380,8
"31,300",1994,2010,신사동,현대2,1,10,84.83,355,11380,14
"27,000",1988,2010,신사동,신성,1,12,82.74,155-1,11380,3
"27,900",1997,2010,신사동,현대1,1,12,84.17,359,11380,10
"26,500",2002,2010,신사동,유한베스트빌,1,14,84.96,11-21,11380,3
"20,500",1995,2010,신사동,홍익,1,14,59.94,19-117,11380,12
"25,500",1994,2010,신사동,현대2,1,18,84.83,355,11380,1
"26,300",1997,2010,신사동,현대1,1,18,84.17,359,11380,7
"23,300",2004,2010,신사동,이랜드 타운아파트,1,21,59.982,367,11380,4
"29,000",2003,2010,신사동,신사동한신휴플러스,1,21,59.76,365,11380,12
"29,500",1992,2010,신사동,라이프씨티,1,21,83.04,354,11380,11
"25,200",1987,2010,신사동,라이프미성,1,22,63.53,140-1,11380,11
"28,500",2006,2010,신사동,대광,1,22,78.21,21-8,11380,3
"24,500",1993,2010,신사동,뉴신사신성,1,22,84.42,356,11380,4
"26,000",1997,2010,신사동,현대1,1,25,84.17,359,11380,1
"29,400",2003,2010,신사동,신사동한신휴플러스,1,25,59.76,365,11380,10
"28,800",1994,2010,신사동,현대2,1,26,84.83,355,11380,16
"25,900",1993,2010,신사동,뉴신사신성,1,26,84.42,356,11380,9
"21,200",1993,2010,신사동,신사씨티,1,27,58.09,297,11380,16
"23,500",2004,2010,신사동,테마빌2,1,30,71.69,338-2,11380,1
"28,000",2003,2010,신사동,뉴서울(277-19),1,31,77.05,277-19,11380,2
"42,800",2004,2010,증산동,자선메르시안(162-20),1,1,109.16,162-20,11380,5
"30,000",2000,2010,증산동,DMC우방,1,4,59.91,244,11380,8
"39,000",2004,2010,증산동,자선메르시안(162-20),1,12,109.16,162-20,11380,6
"32,000",1997,2010,증산동,DMC덕원,1,16,59.57,220-1,11380,3
"42,500",1997,2010,증산동,DMC덕원,1,20,95.04,220-1,11380,3
"35,000",1997,2010,증산동,DMC덕원,1,30,95.04,220-1,11380,10
"37,300",2009,2010,진관동,은평뉴타운 우물골(두산위브5단지),1,5,84.51,83,11380,4
"71,600",2009,2010,진관동,은평뉴타운 마고정(센트레빌3단지),1,6,134.96,107,11380,4
"31,962",2009,2010,진관동,은평뉴타운 마고정2단지,1,6,84.04,105,11380,2
"21,293",2009,2010,진관동,은평뉴타운 마고정2단지,1,7,59.36,105,11380,3
"37,700",2009,2010,진관동,은평뉴타운 마고정(센트레빌3단지),1,7,84.04,107,11380,3
"42,000",2008,2010,진관동,은평뉴타운상림마을(롯데캐슬A-12),1,7,84.79,20,11380,5
"36,064",2009,2010,진관동,은평뉴타운 우물골(두산위브6단지),1,9,84.51,81,11380,6
"40,000",2009,2010,진관동,은평뉴타운 우물골(두산위브6단지),1,9,84.51,81,11380,7
"73,700",2009,2010,진관동,은평뉴타운 마고정(센트레빌3단지),1,12,134.96,107,11380,12
"25,000",2009,2010,진관동,은평뉴타운 마고정(센트레빌3단지),1,12,59.37,107,11380,4
"36,550",2009,2010,진관동,은평뉴타운 우물골(두산위브8단지),1,13,84.49,88,11380,8
"38,140",2009,2010,진관동,은평뉴타운 우물골(두산위브8단지),1,13,84.69,88,11380,3
"37,596",2009,2010,진관동,은평뉴타운 우물골(두산위브8단지),1,14,84.54,88,11380,11
"53,500",2009,2010,진관동,은평뉴타운 마고정2단지,1,14,101.81,105,11380,12
"38,341",2009,2010,진관동,은평뉴타운 마고정(동부센트레빌11단지),1,15,84.92,106,11380,9
"24,500",2009,2010,진관동,은평뉴타운 마고정(센트레빌3단지),1,15,59.37,107,11380,4
"25,255",2009,2010,진관동,은평뉴타운 우물골(두산위브5단지),1,16,59.37,83,11380,5
"24,675",2009,2010,진관동,은평뉴타운 마고정(센트레빌3단지),1,16,59.14,107,11380,4
"37,600",2009,2010,진관동,은평뉴타운 마고정(동부센트레빌11단지),1,18,84.35,106,11380,8
"67,000",2009,2010,진관동,은평뉴타운 마고정(동부센트레빌11단지),1,18,134.96,106,11380,10
"22,875",2009,2010,진관동,은평뉴타운 마고정(센트레빌3단지),1,18,59.37,107,11380,2
"71,500",2008,2010,진관동,은평뉴타운 박석고개(힐스테이트13단지),1,19,134.84,123,11380,12
"41,679",2009,2010,진관동,은평뉴타운 우물골(두산위브6단지),1,20,84.51,81,11380,9
"72,800",2009,2010,진관동,은평뉴타운 우물골(두산위브8단지),1,20,134.66,88,11380,2
"94,300",2009,2010,진관동,은평뉴타운 마고정(센트레빌3단지),1,20,167.14,107,11380,17
"94,000",2009,2010,진관동,은평뉴타운 마고정2단지,1,20,167.14,105,11380,17
"101,200",2009,2010,진관동,은평뉴타운 마고정(동부센트레빌11단지),1,21,167.49,106,11380,7
"39,300",2009,2010,진관동,은평뉴타운 마고정(동부센트레빌11단지),1,21,84.92,106,11380,10
"23,080",2009,2010,진관동,은평뉴타운 박석고개(힐스테이트1단지),1,21,59.63,102,11380,8
"32,451",2009,2010,진관동,은평뉴타운 마고정2단지,1,21,84.16,105,11380,3
"70,510",2009,2010,진관동,은평뉴타운 마고정(센트레빌3단지),1,21,134.96,107,11380,6
"38,000",2009,2010,진관동,은평뉴타운 마고정(동부센트레빌11단지),1,21,84.92,106,11380,5
"26,600",2009,2010,진관동,은평뉴타운 우물골(두산위브5단지),1,22,59.89,83,11380,2
