거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"50,000",2005,2010,충정로3가,충정솔레디움(101동),1,12,82.37,30-17,11410,7
"17,900",2004,2010,충정로3가,충정리시온,1,28,33.32,465,11410,12
"28,000",2006,2010,충정로3가,행복한,1,29,39.91,3-46,11410,3
"27,000",2002,2010,냉천동,동부센트레빌,1,20,59.86,260,11410,2
"27,500",2002,2010,냉천동,동부센트레빌,1,20,59.86,260,11410,2
"30,000",2002,2010,냉천동,동부센트레빌,1,31,59.86,260,11410,7
"34,800",2006,2010,천연동,천연뜨란채,1,7,59.47,145,11410,2
"35,000",2006,2010,천연동,천연뜨란채,1,15,57.78,145,11410,13
"32,000",2006,2010,천연동,천연뜨란채,1,15,55.85,145,11410,11
"33,500",2006,2010,천연동,천연뜨란채,1,21,55.85,145,11410,18
"37,800",1995,2010,영천동,독립문삼호,1,8,75.66,100,11410,9
"36,500",1995,2010,영천동,독립문삼호,1,11,75.66,100,11410,13
"38,000",1995,2010,영천동,독립문삼호,1,20,75.66,100,11410,11
"45,000",1995,2010,영천동,독립문삼호,1,28,84.78,100,11410,8
"39,000",1998,2010,현저동,독립문극동(200-0),1,11,59.58,200,11410,10
"52,000",1998,2010,현저동,독립문극동(200-0),1,11,84.87,200,11410,15
"38,000",1998,2010,현저동,독립문극동(200-0),1,26,59.58,200,11410,19
"45,000",1998,2010,현저동,독립문극동(200-0),1,30,84.87,200,11410,20
"29,900",1999,2010,북아현동,두산,1,13,59.96,1009,11410,7
"30,000",1999,2010,북아현동,두산,1,21,59.96,1009,11410,5
"27,200",1999,2010,북아현동,두산,1,22,59.96,1009,11410,10
"27,500",1999,2010,북아현동,두산,1,23,59.96,1009,11410,3
"40,000",2002,2010,북아현동,북아현3차,1,24,116.62,189-22,11410,3
"31,000",1999,2010,북아현동,두산,1,25,59.96,1009,11410,15
"31,000",2003,2010,홍제동,인왕산벽산,1,3,59.82,465,11410,16
"42,900",2000,2010,홍제동,인왕산현대,1,5,84.9,460,11410,6
"23,300",2002,2010,홍제동,문화촌현대,1,7,59.94,463,11410,1
"28,700",1993,2010,홍제동,홍제한양,1,8,60.06,82,11410,6
"42,650",1994,2010,홍제동,청구1차,1,8,84.78,453,11410,13
