거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"31,000",1969,2010,아현동,현대,1,20,56.2,372-29,11440,3
"49,500",2005,2010,공덕동,래미안공덕4차,1,3,59.9,464,11440,6
"57,000",2004,2010,공덕동,공덕2삼성래미안,1,4,84.94,43,11440,11
"145,701",2009,2010,공덕동,롯데캐슬프레지던트,1,5,191.872,467,11440,18
"40,000",1988,2010,공덕동,마포현대,1,5,84.87,188-108,11440,1
"60,000",2005,2010,공덕동,래미안공덕4차,1,5,83.42,464,11440,1
"47,400",2005,2010,공덕동,래미안공덕4차,1,6,59.9,464,11440,10
"51,500",2004,2010,공덕동,공덕3삼성래미안,1,8,59.97,457,11440,14
"38,700",1999,2010,공덕동,공덕1삼성래미안,1,11,59.74,371,11440,14
"50,000",2004,2010,공덕동,공덕3삼성래미안,1,12,59.97,457,11440,13
"52,300",2004,2010,공덕동,공덕3삼성래미안,1,14,59.97,457,11440,15
"44,700",2005,2010,공덕동,래미안공덕4차,1,15,59.9,464,11440,11
"59,800",1999,2010,공덕동,공덕1삼성래미안,1,16,84.94,371,11440,21
"40,500",1999,2010,공덕동,공덕1삼성래미안,1,18,59.74,371,11440,4
"52,000",2004,2010,공덕동,공덕3삼성래미안,1,22,59.97,457,11440,12
"75,000",2004,2010,공덕동,공덕3삼성래미안,1,25,84.98,457,11440,13
"45,900",2005,2010,공덕동,래미안공덕4차,1,27,59.9,464,11440,2
"45,700",2005,2010,공덕동,래미안공덕4차,1,28,59.9,464,11440,4
"40,400",1999,2010,공덕동,공덕1삼성래미안,1,29,59.74,371,11440,6
"36,000",1999,2010,공덕동,공덕1삼성래미안,1,30,59.74,371,11440,2
"58,900",1999,2010,공덕동,공덕1삼성래미안,1,30,84.94,371,11440,9
"52,000",2004,2010,공덕동,공덕3삼성래미안,1,31,59.97,457,11440,13
"78,000",2000,2010,신공덕동,신공덕1차삼성래미안1아파트,1,5,114.75,155,11440,13
"57,000",2000,2010,신공덕동,신공덕1차삼성래미안1아파트,1,9,84.9,155,11440,23
"43,850",2003,2010,신공덕동,신공덕래미안3차,1,10,59.96,161,11440,17
"34,000",2000,2010,신공덕동,신공덕래미안2차,1,11,59.48,159,11440,2
"44,400",2000,2010,신공덕동,신공덕1차삼성래미안1아파트,1,13,59.76,155,11440,4
"62,500",2000,2010,신공덕동,신공덕1차삼성래미안1아파트,1,17,84.9,155,11440,18
"45,250",2003,2010,신공덕동,신공덕래미안3차,1,17,59.96,161,11440,21
"57,000",2000,2010,신공덕동,신공덕1차삼성래미안1아파트,1,17,84.9,155,11440,15
"57,000",2000,2010,신공덕동,신공덕1차삼성래미안1아파트,1,19,84.9,155,11440,10
"52,000",2000,2010,신공덕동,신공덕래미안2차,1,26,84.73,159,11440,16
"18,800",2005,2010,신공덕동,대우메트로디오빌,1,27,29.11,167,11440,21
"46,700",2000,2010,신공덕동,신공덕1차삼성래미안1아파트,1,29,59.76,155,11440,12
"53,900",2003,2010,신공덕동,신공덕래미안3차,1,29,84.69,161,11440,7
"76,000",2000,2010,신공덕동,신공덕1차삼성래미안1아파트,1,30,114.75,155,11440,16
"60,800",1996,2010,도화동,도화동현대,1,6,128.26,357,11440,3
"45,000",1997,2010,도화동,삼성,1,6,72.185,550,11440,5
"34,000",1996,2010,도화동,도화동현대,1,7,54.72,357,11440,12
"33,400",1996,2010,도화동,도화동현대,1,8,54.72,357,11440,4
"49,850",2000,2010,도화동,현대홈타운,1,9,84.95,353,11440,11
"47,600",2000,2010,도화동,현대홈타운,1,12,84.95,353,11440,8
"53,000",1996,2010,도화동,도화동현대,1,16,112.09,357,11440,6
"47,500",2000,2010,도화동,현대홈타운,1,16,84.95,353,11440,8
"49,500",2000,2010,도화동,현대홈타운,1,18,84.95,353,11440,5
"69,000",1996,2010,도화동,도화동현대,1,19,128.26,357,11440,14
"64,800",1997,2010,도화동,삼성,1,21,84.985,550,11440,6
"90,000",1997,2010,도화동,삼성,1,23,136.1,550,11440,10
"36,500",1996,2010,도화동,도화동현대,1,25,54.72,357,11440,7
"64,000",1996,2010,도화동,도화동현대,1,27,128.26,357,11440,9
"69,000",2004,2010,용강동,대림2차,1,4,84.88,501,11440,16
"59,500",2003,2010,용강동,마포용강삼성래미안,1,11,84.2,380,11440,3
"44,900",2003,2010,용강동,마포용강삼성래미안,1,14,59.99,380,11440,5
"47,000",2003,2010,용강동,마포용강삼성래미안,1,23,59.98,380,11440,14
"52,900",2000,2010,마포동,쌍용,1,4,84.9,253,11440,15
"62,500",2000,2010,마포동,쌍용,1,20,114.84,253,11440,5
"17,800",1992,2010,마포동,강변한신코아,1,28,51.48,350,11440,6
"33,000",1999,2010,대흥동,마포태영,1,6,59.4,660,11440,3
"65,500",1999,2010,대흥동,마포태영,1,11,114.93,660,11440,2
"38,000",1999,2010,대흥동,마포태영,1,18,59.4,660,11440,12
"54,000",1999,2010,대흥동,마포태영,1,19,84.77,660,11440,9
