거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"44,200",1988,2010,신정동,목동신시가지10,1,1,53.82,311,11470,12
"68,300",1987,2010,신정동,목동신시가지9,1,2,71.37,312,11470,4
"44,000",1987,2010,신정동,목동신시가지14,1,3,55.02,329,11470,13
"41,400",1987,2010,신정동,목동신시가지14,1,5,55.02,329,11470,2
"25,900",2001,2010,신정동,푸른마을3,1,5,59.99,1283,11470,6
"105,000",1987,2010,신정동,목동신시가지10,1,5,105.58,311,11470,15
"44,000",1987,2010,신정동,목동신시가지14,1,5,55.02,329,11470,13
"53,900",1997,2010,신정동,목동현대3차,1,6,84.77,1279,11470,14
"39,000",2008,2010,신정동,예지팰리스50차,1,6,81.05,895-3,11470,8
"68,000",1987,2010,신정동,목동신시가지8,1,6,71.77,314,11470,8
"51,000",1996,2010,신정동,목동삼성,1,7,84.77,1278,11470,4
"105,000",1987,2010,신정동,목동신시가지10,1,7,105.58,311,11470,5
"44,500",1988,2010,신정동,목동신시가지10,1,7,53.82,311,11470,11
"43,500",1988,2010,신정동,목동신시가지14,1,7,55.02,329,11470,2
"97,000",2003,2010,신정동,대림아크로빌,1,7,174.25,324-7,11470,14
"62,700",1987,2010,신정동,목동신시가지13,1,8,70.73,327,11470,5
"45,500",1988,2010,신정동,목동신시가지14,1,8,55.02,329,11470,10
"57,500",2004,2010,신정동,롯데캐슬,1,8,84.73,1309,11470,6
"63,400",1987,2010,신정동,목동신시가지14,1,8,71.4,329,11470,1
"26,500",2004,2010,신정동,신일해피트리,1,8,69.66,1219-1,11470,9
"62,950",1987,2010,신정동,목동신시가지14,1,9,74.19,329,11470,4
"65,000",1987,2010,신정동,목동신시가지13,1,9,70.73,327,11470,12
"40,200",1988,2010,신정동,목동신시가지11,1,9,51.48,325,11470,15
"66,250",1987,2010,신정동,목동신시가지9,1,9,71.37,312,11470,9
"94,500",1987,2010,신정동,목동신시가지13,1,9,98.63,327,11470,9
"44,800",1988,2010,신정동,목동신시가지12,1,9,53.46,326,11470,11
"67,000",1987,2010,신정동,목동신시가지8,1,9,71.77,314,11470,12
"24,800",2000,2010,신정동,신트리4,1,9,48.96,1277,11470,9
"36,000",2003,2010,신정동,명지해드는터,1,9,59.97,1300,11470,2
"51,500",2002,2010,신정동,길훈로즈빌,1,9,84.95,1297,11470,2
"41,000",2002,2010,신정동,학마을3,1,9,84.72,1291,11470,9
"51,500",1997,2010,신정동,목동현대3차,1,9,84.77,1279,11470,2
"46,000",1988,2010,신정동,목동신시가지14,1,10,55.02,329,11470,9
"58,000",1997,2010,신정동,목동현대3차,1,11,84.77,1279,11470,17
"55,000",2004,2010,신정동,롯데캐슬,1,11,84.73,1309,11470,3
"70,600",1997,2010,신정동,목동현대3차,1,11,114.93,1279,11470,3
