거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"34,500",1999,2010,염창동,동아3,1,5,59.83,258-1,11500,12
"64,000",2005,2010,염창동,염창1차한화꿈에그린,1,7,84.93,281-22,11500,11
"26,300",1998,2010,염창동,한강동아,1,7,59.97,293,11500,2
"52,000",2005,2010,염창동,강변힐스테이트,1,7,84.99,299,11500,15
"32,700",1999,2010,염창동,금호타운,1,8,59.88,240-32,11500,19
"32,500",1996,2010,염창동,현대3,1,11,83.71,291,11500,3
"34,300",1994,2010,염창동,현대1,1,11,84.34,288,11500,2
"51,250",2005,2010,염창동,강변힐스테이트,1,12,84.99,299,11500,4
"40,000",2007,2010,염창동,강변코아루,1,12,84.77,303,11500,4
"58,000",2007,2010,염창동,강변코아루,1,12,114.78,303,11500,2
"63,900",2005,2010,염창동,염창1차한화꿈에그린,1,13,84.93,281-22,11500,15
"30,000",1999,2010,염창동,동아3,1,13,59.7,258-1,11500,4
"27,500",1998,2010,염창동,동아,1,13,59.97,292,11500,6
"37,000",2005,2010,염창동,송촌,1,13,84.99,264-18,11500,14
"20,500",1999,2010,염창동,무학,1,14,59.38,255,11500,2
"30,000",1998,2010,염창동,한강동아,1,15,59.97,293,11500,9
"28,000",1998,2010,염창동,한강동아,1,16,59.97,293,11500,6
"45,000",2005,2010,염창동,강변한솔솔파크,1,16,84.97,300,11500,1
"52,800",2005,2010,염창동,강변힐스테이트,1,16,84.99,299,11500,15
"28,900",1995,2010,염창동,삼성한마음,1,17,59.94,244-2,11500,8
"51,400",2005,2010,염창동,강변한솔솔파크,1,18,84.97,300,11500,19
"36,150",1992,2010,염창동,우성2,1,19,84.7,287-1,11500,9
"38,000",1994,2010,염창동,현대1,1,19,84.34,288,11500,8
"42,000",1995,2010,염창동,신동아,1,20,84.9,289,11500,13
"54,000",1999,2010,염창동,무학,1,21,114.92,255,11500,10
"22,500",1994,2010,염창동,삼성하나로,1,22,59.26,248-3,11500,4
"55,500",2001,2010,염창동,성원,1,22,114.12,295,11500,12
"42,350",1993,2010,염창동,염창3우성,1,23,84.96,272-28,11500,7
"39,800",1995,2010,염창동,신동아,1,23,84.9,289,11500,6
"52,900",2005,2010,염창동,강변힐스테이트,1,24,84.99,299,11500,16
"35,500",2006,2010,염창동,염창3차보람,1,25,84.98,301,11500,5
"36,000",1994,2010,염창동,현대1,1,27,84.34,288,11500,4
"31,000",1997,2010,염창동,관음삼성,1,27,59.96,268,11500,2
"26,900",1998,2010,염창동,동아,1,28,59.97,292,11500,3
"27,200",1999,2010,염창동,동아3,1,30,59.7,258-1,11500,2
"31,650",1999,2010,염창동,극동상록수,1,31,59.91,280,11500,9
"53,000",2002,2010,등촌동,대림e편한세상,1,4,96.73,561-1,11500,14
"27,100",1998,2010,등촌동,태영,1,5,59.97,632-2,11500,3
"40,500",2003,2010,등촌동,대동황토방2,1,6,80.93,713,11500,15
"81,600",1995,2010,등촌동,동성,1,7,150.05,691-1,11500,17
"27,000",1999,2010,등촌동,제일(코오롱),1,7,59.95,642,11500,4
"23,500",1995,2010,등촌동,주공3,1,8,37.67,688,11500,13
"30,800",2000,2010,등촌동,임광,1,9,59.34,562-5,11500,16
"22,700",1995,2010,등촌동,"등촌1,2단지주공아파트",1,9,41.85,687,11500,14
"21,500",1995,2010,등촌동,주공3,1,10,37.67,688,11500,2
"39,300",2002,2010,등촌동,보람(640),1,13,83.07,640,11500,13
"18,000",1995,2010,등촌동,"등촌1,2단지주공아파트",1,15,41.85,687,11500,7
"59,500",2004,2010,등촌동,등촌동아이파크,1,15,84.7556,715,11500,9
"29,000",1997,2010,등촌동,삼성한사랑1,1,16,59.69,632-4,11500,15
"22,300",1995,2010,등촌동,"등촌1,2단지주공아파트",1,18,41.16,687,11500,9
"54,600",2004,2010,등촌동,등촌동아이파크,1,18,84.9958,715,11500,9
"55,000",2004,2010,등촌동,등촌동아이파크,1,19,84.9958,715,11500,4
"58,500",2004,2010,등촌동,등촌동아이파크,1,19,84.9958,715,11500,9
"22,800",1995,2010,등촌동,"등촌1,2단지주공아파트",1,19,41.85,687,11500,9
"58,900",2004,2010,등촌동,등촌동아이파크,1,20,84.9958,715,11500,11
"45,900",1994,2010,등촌동,부영,1,21,80.64,691-3,11500,9
"22,000",1995,2010,등촌동,"등촌1,2단지주공아파트",1,22,41.85,687,11500,9
"33,500",1995,2010,등촌동,주공3,1,22,58.14,688,11500,6
"33,000",1995,2010,등촌동,주공10,1,22,58.14,702,11500,9
"20,700",1995,2010,등촌동,"등촌1,2단지주공아파트",1,23,41.85,687,11500,3
"33,800",1999,2010,등촌동,서광등촌마을2,1,24,59.67,638,11500,16
"44,000",1994,2010,등촌동,부영,1,26,80.64,691-3,11500,3
"22,600",1995,2010,등촌동,주공5,1,26,37.67,695,11500,11
"22,000",1994,2010,등촌동,"등촌7,8단지주공아파트",1,27,41.85,707,11500,2
"22,300",1995,2010,등촌동,"등촌1,2단지주공아파트",1,30,41.85,687,11500,5
"35,900",1995,2010,등촌동,주공3,1,30,58.14,688,11500,9
"29,500",1992,2010,화곡동,대림,1,2,84.84,361-1,11500,1
"28,250",2004,2010,화곡동,태창네스트힐,1,5,82.35,1146,11500,4
"33,200",2008,2010,화곡동,프라임팰리스(1024-23),1,5,84.09,1024-23,11500,6
"17,500",2002,2010,화곡동,살렘,1,5,56.92,56-30,11500,4
