거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"35,500",2000,2010,신도림동,동아2,1,3,59.595,644,11530,7
"53,000",2000,2010,신도림동,동아3,1,4,84.99,645,11530,4
"86,000",2003,2010,신도림동,대림e-편한세상4,1,4,117.74,646,11530,12
"49,500",2000,2010,신도림동,동아2,1,6,84.908,644,11530,2
"52,100",2003,2010,신도림동,대림e-편한세상5,1,6,84.789,647,11530,7
"72,850",2003,2010,신도림동,대림e-편한세상4,1,6,84.78,646,11530,21
"40,000",1993,2010,신도림동,우성3,1,7,84.75,637,11530,2
"30,500",1999,2010,신도림동,현대홈타운아파트,1,9,59.73,641,11530,7
"41,000",1996,2010,신도림동,우성2,1,9,84.82,639,11530,5
"53,000",2000,2010,신도림동,동아2,1,9,84.908,644,11530,9
"31,700",1999,2010,신도림동,대림1,1,9,59.88,642,11530,4
"35,200",1999,2010,신도림동,대림1,1,9,59.9,642,11530,12
"36,700",2000,2010,신도림동,동아2,1,9,59.595,644,11530,13
"36,300",1999,2010,신도림동,동아1,1,10,59.978,643,11530,9
"36,500",1999,2010,신도림동,동아1,1,11,59.978,643,11530,13
"16,700",1989,2010,신도림동,미성,1,13,37.91,290,11530,1
"33,450",1999,2010,신도림동,대림1,1,15,59.88,642,11530,22
"56,000",2004,2010,신도림동,대림e-편한세상7,1,17,84.928,649,11530,8
"40,000",2000,2010,신도림동,동아3,1,19,60,645,11530,11
"32,500",1999,2010,신도림동,대림1,1,19,59.88,642,11530,15
"43,500",1999,2010,신도림동,대림1,1,19,84.95,642,11530,23
"37,800",1999,2010,신도림동,동아1,1,19,59.978,643,11530,12
"46,000",2001,2010,신도림동,대림2,1,20,84.95,642,11530,2
"46,900",1999,2010,신도림동,동아1,1,21,84.908,643,11530,9
"58,000",2004,2010,신도림동,대림e-편한세상7,1,21,84.928,649,11530,21
"37,000",1999,2010,신도림동,동아1,1,22,59.978,643,11530,21
"18,800",1989,2010,신도림동,미성,1,22,37.91,290,11530,6
"31,500",2001,2010,신도림동,대림2,1,22,59.88,642,11530,19
"67,950",2003,2010,신도림동,대림e-편한세상4,1,22,84.78,646,11530,6
"100,000",2003,2010,신도림동,대림e-편한세상4,1,22,117.74,646,11530,15
"47,700",1999,2010,신도림동,동아1,1,23,84.908,643,11530,6
"41,000",2006,2010,신도림동,SK VIEW,1,23,84.98,432-1,11530,27
"26,000",1989,2010,신도림동,미성,1,23,52.45,290,11530,7
"56,000",2000,2010,신도림동,동아2,1,25,84.908,644,11530,20
"35,450",1999,2010,신도림동,대림1,1,25,59.9,642,11530,13
"61,000",2008,2010,신도림동,신도림2차푸르지오,1,26,84.62,338,11530,10
"52,500",2000,2010,신도림동,동아3,1,26,84.99,645,11530,11
"36,700",2000,2010,신도림동,동아2,1,26,59.595,644,11530,20
"54,800",2000,2010,신도림동,동아3,1,26,84.99,645,11530,11
"37,400",1999,2010,신도림동,동아1,1,26,59.978,643,11530,14
"30,700",2001,2010,신도림동,대림2,1,29,59.88,642,11530,3
"40,700",2000,2010,신도림동,동아3,1,30,60,645,11530,9
"44,800",2004,2010,구로동,신도림LG자이,1,2,84.952,42,11530,14
"13,500",2002,2010,구로동,성호메이플라워멤버스빌,1,3,41.4,104-9,11530,17
"21,400",1998,2010,구로동,구로두산,1,3,44.64,1265,11530,7
"71,000",2007,2010,구로동,신구로자이,1,3,133.78,501,11530,32
"47,800",2004,2010,구로동,삼성래미안,1,4,78.665,256-1,11530,9
"23,700",2005,2010,구로동,순영웰라이빌2차,1,5,64.45,97-2,11530,5
"53,000",2006,2010,구로동,쌍용플래티넘노블,1,5,124.19,46,11530,19
"22,000",1988,2010,구로동,한신,1,5,59.88,642-9,11530,7
"46,250",2004,2010,구로동,신도림LG자이,1,6,84.952,42,11530,10
"15,000",1988,2010,구로동,한신,1,6,35.277,642-9,11530,7
"31,950",1999,2010,구로동,신도림롯데아파트,1,6,59.68,1263,11530,16
"22,000",2006,2010,구로동,구로두산위브,1,6,36.88,1278,11530,8
"34,400",2004,2010,구로동,삼성래미안,1,7,56.036,256-1,11530,10
"20,000",1998,2010,구로동,구로두산,1,7,44.64,1265,11530,2
"41,000",2007,2010,구로동,신구로자이,1,8,84.87,501,11530,18
"21,750",1998,2010,구로동,구로두산,1,8,44.64,1265,11530,7
"13,860",2002,2010,구로동,성호메이플라워멤버스빌,1,8,41.4,104-9,11530,10
"45,800",2000,2010,구로동,신도림태영타운,1,9,84.87,1267,11530,3
"33,500",2006,2010,구로동,한일유앤아이,1,9,84.962,1281,11530,14
"26,200",1998,2010,구로동,구로두산,1,10,51.84,1265,11530,5
"62,000",2000,2010,구로동,신도림태영타운,1,11,101.74,1267,11530,19
"31,800",1999,2010,구로동,신도림롯데아파트,1,11,59.68,1263,11530,8
"29,700",2006,2010,구로동,한일유앤아이,1,11,74.229,1281,11530,3
"28,000",1989,2010,구로동,현대연예인,1,12,84.91,685-70,11530,11
"22,400",1998,2010,구로동,구로두산,1,12,44.64,1265,11530,20
"20,500",2006,2010,구로동,구로두산위브,1,12,36.88,1278,11530,10
"22,700",1998,2010,구로동,구일우성,1,12,59.44,1259,11530,19
"35,500",2000,2010,구로동,신도림태영타운,1,13,59.88,1267,11530,22
"22,150",2006,2010,구로동,구로두산위브,1,13,36.88,1278,11530,10
"26,300",1998,2010,구로동,구로두산,1,13,51.84,1265,11530,22
"24,700",1998,2010,구로동,구로두산,1,13,51.84,1265,11530,4
"37,165",2009,2010,구로동,SR친오애,1,13,84.961,97-5,11530,16
"30,600",2001,2010,구로동,중앙하이츠(1269),1,13,59.73,1269,11530,16
"35,000",1998,2010,구로동,희훈타워빌,1,14,128.68,110-1,11530,18
"32,000",2006,2010,구로동,구로두산위브,1,15,50.14,1278,11530,9
"22,700",2006,2010,구로동,구로두산위브,1,15,36.88,1278,11530,6
"24,600",2003,2010,구로동,순영웰라이빌1차,1,15,59.5,106-10,11530,9
"58,000",2006,2010,구로동,한일유앤아이,1,15,114.722,1281,11530,17
"70,000",2007,2010,구로동,신구로자이,1,15,133.78,501,11530,19
"23,800",1984,2010,구로동,극동,1,15,58.19,314,11530,5
"19,000",1988,2010,구로동,성락,1,16,57.33,145-23,11530,7
"27,000",1998,2010,구로동,구로두산,1,16,63.33,1265,11530,2
"36,000",2000,2010,구로동,신도림태영타운,1,16,59.88,1267,11530,27
"38,150",2007,2010,구로동,한신휴플러스(1280-0),1,16,58.03,1280,11530,6
"47,000",1999,2010,구로동,현대파크빌,1,16,153.259,108,11530,12
"22,000",1998,2010,구로동,구로두산,1,16,51.84,1265,11530,1
"23,200",2006,2010,구로동,구로두산위브,1,16,36.88,1278,11530,6
"26,000",2005,2010,구로동,순영웰라이빌2차,1,17,64.45,97-2,11530,18
"58,500",2000,2010,구로동,신도림태영타운,1,18,101.74,1267,11530,16
"24,000",2006,2010,구로동,덕영드림,1,18,56.19,1282,11530,11
