거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"29,000",1998,2010,가산동,두산,1,9,59.84,769,11545,24
"39,000",1998,2010,가산동,두산,1,22,84.9,769,11545,19
"49,700",1998,2010,가산동,두산,1,25,134.95,769,11545,7
"32,000",1991,2010,독산동,한신아파트,1,6,89.46,1093-4,11545,23
"32,000",1990,2010,독산동,독산주공14단지,1,6,76.51,1088,11545,12
"22,500",1996,2010,독산동,진도1차,1,7,59.94,1002,11545,10
"25,000",2002,2010,독산동,금천현대,1,9,59.82,711-2,11545,5
"28,500",1998,2010,독산동,계룡아파트,1,12,84.96,332-14,11545,2
"29,700",1991,2010,독산동,한신아파트,1,12,89.46,1093-4,11545,10
"16,900",1990,2010,독산동,독산주공14단지,1,15,44.89,1088,11545,9
"15,600",1990,2010,독산동,독산주공14단지,1,16,44.94,1088,11545,10
"31,700",1991,2010,독산동,한신아파트,1,17,89.46,1093-4,11545,12
"30,500",1991,2010,독산동,한신아파트,1,17,89.46,1093-4,11545,14
"26,500",1999,2010,독산동,진도3차아파트,1,19,59.34,1136,11545,19
"15,000",1990,2010,독산동,독산주공14단지,1,20,44.94,1088,11545,3
"13,100",1990,2010,독산동,독산주공14단지,1,23,38.64,1088,11545,15
"30,000",1991,2010,독산동,한신아파트,1,26,89.46,1093-4,11545,1
"22,500",2006,2010,독산동,을미월드힐,1,28,64.87,958,11545,8
"31,000",1991,2010,독산동,한신아파트,1,29,89.46,1093-4,11545,20
"37,000",2004,2010,독산동,독산동중앙하이츠빌,1,29,84.8768,1140,11545,17
"30,500",1991,2010,독산동,한신아파트,1,31,89.46,1093-4,11545,20
"26,600",1986,2010,시흥동,성지,1,2,67.27,산173-8,11545,3
"26,200",1984,2010,시흥동,현대(220-2),1,5,49.14,220-2,11545,3
"29,300",2000,2010,시흥동,벽산,1,5,84.99,1010,11545,7
"30,700",2004,2010,시흥동,관악산벽산타운5,1,7,84.97,1013,11545,3
"8,000",1975,2010,시흥동,시흥(817-29),1,8,39.83,817-29,11545,5
"30,500",1999,2010,시흥동,삼익,1,9,84.96,5-13,11545,7
"24,000",1999,2010,시흥동,삼익,1,13,59.9,5-13,11545,6
"42,500",2004,2010,시흥동,관악산벽산타운5,1,13,114.84,1013,11545,9
"33,700",2004,2010,시흥동,관악산벽산타운5,1,13,84.97,1013,11545,9
"31,900",2004,2010,시흥동,관악산벽산타운5,1,13,84.97,1013,11545,9
"15,000",1989,2010,시흥동,남서울건영2,1,13,41.34,384-12,11545,1
"19,650",1981,2010,시흥동,럭키남서울아파트,1,13,41.22,1002-1,11545,2
"34,500",2006,2010,시흥동,시흥동 월드메르디앙,1,14,82.81,806,11545,12
"19,800",1981,2010,시흥동,럭키남서울아파트,1,15,41.22,1002-1,11545,7
"23,600",2002,2010,시흥동,우방,1,17,59.91,1011,11545,7
"34,000",2004,2010,시흥동,관악산벽산타운5,1,18,84.97,1013,11545,15
"20,500",1981,2010,시흥동,럭키남서울아파트,1,18,41.22,1002-1,11545,7
"28,100",2002,2010,시흥동,탑스빌,1,18,79.84,268-46,11545,11
"39,400",2002,2010,시흥동,우방,1,19,114.89,1011,11545,2
"34,500",2006,2010,시흥동,시흥동 월드메르디앙,1,19,82.81,806,11545,8
"32,000",2004,2010,시흥동,관악산벽산타운5,1,20,84.97,1013,11545,6
"22,000",1999,2010,시흥동,삼익,1,23,59.9,5-13,11545,6
"32,500",1986,2010,시흥동,성지,1,24,79.42,산173-8,11545,6
"24,000",2006,2010,시흥동,시흥동 월드메르디앙,1,25,59.88,806,11545,6
"21,800",1999,2010,시흥동,삼익,1,25,59.9,5-13,11545,2
"32,150",2004,2010,시흥동,관악산벽산타운5,1,25,84.97,1013,11545,12
"19,800",1982,2010,시흥동,럭키남서울아파트,1,25,41.22,1002-1,11545,1
"20,500",1998,2010,시흥동,벽산3,1,27,59.94,1006,11545,4
"23,650",2000,2010,시흥동,금강,1,28,59.95,1008,11545,17
"32,400",2008,2010,시흥동,백운한비치Ⅱ,1,28,84.979,1018,11545,8
"28,100",1998,2010,시흥동,벽산3,1,28,84.96,1006,11545,16
"23,100",2004,2010,시흥동,관악산벽산타운5,1,29,59.34,1013,11545,6
"28,500",2004,2010,시흥동,관악산벽산타운5,1,30,84.97,1013,11545,1
"36,400",1998,2010,가산동,두산,2,6,84.9,769,11545,11
"25,000",2003,2010,가산동,백운한비치,2,10,72.8,238-4,11545,4
"51,000",1998,2010,가산동,두산,2,12,134.95,769,11545,11
"45,000",1998,2010,가산동,두산,2,12,101.67,769,11545,4
"30,500",1991,2010,독산동,한신아파트,2,2,89.46,1093-4,11545,9
"33,000",2003,2010,독산동,예전이룸(965-1),2,2,84.657,965-1,11545,3
"28,000",1991,2010,독산동,한신아파트,2,3,89.46,1093-4,11545,1
"52,000",2002,2010,독산동,신도브래뉴,2,4,116.29,955,11545,13
"34,700",2004,2010,독산동,독산동중앙하이츠빌,2,6,84.8768,1140,11545,9
"29,900",1991,2010,독산동,한신아파트,2,8,89.46,1093-4,11545,8
"31,000",1997,2010,독산동,진도2차,2,8,84.58,1133,11545,13
"24,000",1998,2010,독산동,계룡아파트,2,8,59.34,332-14,11545,8
"16,500",1990,2010,독산동,독산주공14단지,2,10,44.89,1088,11545,6
"36,500",2004,2010,독산동,세진웰빙102,2,10,95.5,992-37,11545,5
"32,000",2004,2010,독산동,독산동중앙하이츠빌,2,17,84.8768,1140,11545,3
"34,500",2004,2010,독산동,독산동중앙하이츠빌,2,18,84.8768,1140,11545,12
"13,500",1990,2010,독산동,독산주공14단지,2,20,38.64,1088,11545,9
"34,000",2004,2010,독산동,독산동중앙하이츠빌,2,20,84.8768,1140,11545,5
"48,000",1991,2010,독산동,한신아파트,2,22,129.66,1093-4,11545,12
"23,000",1990,2010,독산동,독산주공14단지,2,23,59.22,1088,11545,15
"24,200",2004,2010,독산동,힐탑,2,24,69.68,894-20,11545,5
"48,500",1991,2010,독산동,한신아파트,2,24,129.66,1093-4,11545,11
"13,000",1990,2010,독산동,독산주공14단지,2,25,38.64,1088,11545,3
"26,500",2002,2010,독산동,대덕트윈빌,2,27,59.56,1028,11545,6
"22,000",1998,2010,시흥동,벽산3,2,2,59.94,1006,11545,4
"33,500",2004,2010,시흥동,관악산벽산타운5,2,2,84.97,1013,11545,8
"31,000",2004,2010,시흥동,관악산벽산타운5,2,3,84.97,1013,11545,6
