거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"50,500",1997,2010,노량진동,우성,1,2,84.96,323,11590,12
"32,500",1997,2010,노량진동,우성,1,4,59.82,323,11590,6
"32,900",1997,2010,노량진동,우성,1,7,59.82,323,11590,4
"49,300",1997,2010,노량진동,우성,1,8,84.96,323,11590,8
"33,700",2001,2010,노량진동,신동아리버파크,1,20,59.67,325,11590,5
"34,600",2001,2010,노량진동,신동아리버파크,1,25,59.67,325,11590,7
"47,300",2001,2010,노량진동,신동아리버파크,1,27,84.88,325,11590,5
"34,500",2001,2010,노량진동,신동아리버파크,1,28,59.67,325,11590,9
"35,400",2001,2010,노량진동,신동아리버파크,1,30,59.67,325,11590,16
"49,000",2004,2010,상도동,아이파크,1,6,84.96,416,11590,14
"45,250",2003,2010,상도동,중앙하이츠빌,1,6,84.9883,415,11590,4
"80,000",2007,2010,상도동,포스코더샵,1,7,101.993,521,11590,14
"40,000",2004,2010,상도동,상도동래미안1차,1,8,59.828,450,11590,5
"25,700",1992,2010,상도동,현대(관악),1,9,58.59,407,11590,15
"36,000",2003,2010,상도동,상도현대,1,9,84.97,412,11590,9
"41,000",1992,2010,상도동,현대(관악),1,9,84.78,407,11590,12
"80,300",2004,2010,상도동,래미안상도3차,1,9,114.97,431,11590,12
"44,900",2003,2010,상도동,중앙하이츠빌,1,9,84.9943,415,11590,1
"59,400",2004,2010,상도동,래미안상도3차,1,11,84.96,431,11590,2
"87,500",2007,2010,상도동,포스코더샵,1,11,132.735,521,11590,10
"16,500",2003,2010,상도동,초원,1,11,71.91,301-4,11590,4
"47,500",2007,2010,상도동,삼환나우빌(520-0),1,12,84.87,520,11590,4
"74,000",2004,2010,상도동,래미안상도3차,1,12,114.97,431,11590,8
"28,000",1995,2010,상도동,동아,1,13,83.09,409,11590,15
"40,700",2003,2010,상도동,삼성래미안2,1,15,59.886,421,11590,13
"52,200",2003,2010,상도동,삼성래미안2,1,15,84.796,421,11590,12
"40,500",2003,2010,상도동,쌍용스윗닷홈,1,16,59.578,418,11590,3
"39,300",2007,2010,상도동,이수브라운스톤상도(527-0),1,16,59.94,527,11590,1
"61,800",2004,2010,상도동,래미안상도3차,1,16,84.96,431,11590,14
"84,500",2004,2010,상도동,래미안상도3차,1,16,114.97,431,11590,10
"16,000",2003,2010,상도동,백촌빌라트,1,18,46.93,159-41,11590,5
"24,000",2001,2010,상도동,숭실골드,1,18,70.97,473,11590,3
"38,000",1992,2010,상도동,현대(관악),1,19,84.78,407,11590,14
"53,000",2007,2010,상도동,이수브라운스톤상도(527-0),1,20,84.99,527,11590,18
"44,700",2007,2010,상도동,포스코더샵,1,20,59.99,521,11590,11
"41,000",2003,2010,상도동,중앙하이츠빌,1,22,84.9883,415,11590,1
"41,250",2003,2010,상도동,쌍용스윗닷홈,1,22,59.578,418,11590,12
"70,000",2004,2010,상도동,아이파크,1,22,114.83,416,11590,13
"39,500",1992,2010,상도동,현대(관악),1,22,84.78,407,11590,9
"62,500",2003,2010,상도동,쌍용스윗닷홈,1,23,112.756,418,11590,9
"27,300",1992,2010,상도동,현대(관악),1,24,58.59,407,11590,13
"40,000",1992,2010,상도동,현대(관악),1,25,84.78,407,11590,7
"109,000",2007,2010,상도동,포스코더샵,1,25,152.222,521,11590,11
"53,900",2004,2010,상도동,아이파크,1,26,84.96,416,11590,11
"67,000",2004,2010,상도동,아이파크,1,28,114.83,416,11590,14
"60,000",2007,2010,상도동,포스코더샵,1,28,84.992,521,11590,3
"21,500",1997,2010,상도동,건영,1,29,32.8,414,11590,3
"55,000",2003,2010,상도동,삼성래미안2,1,30,84.796,421,11590,6
"65,700",2004,2010,상도동,래미안상도3차,1,31,84.96,431,11590,15
"62,500",2004,2010,상도동,래미안상도3차,1,31,84.96,431,11590,10
"27,000",2002,2010,상도1동,백경,1,5,68.15,328-11,11590,2
"33,800",2003,2010,상도1동,현진베스트빌,1,8,93.34,501-3,11590,5
"62,750",1999,2010,본동,한강쌍용,1,1,114.18,150,11590,11
"29,100",1993,2010,본동,신동아,1,9,46.75,481,11590,12
"40,700",2000,2010,본동,유원강변,1,15,59.79,482,11590,13
"51,000",2000,2010,본동,유원강변,1,20,84.28,482,11590,4
"58,000",1993,2010,본동,신동아,1,26,104.7,481,11590,11
"70,800",2004,2010,본동,삼성래미안,1,29,114.9855,492,11590,6
"61,800",1988,2010,흑석동,한강현대,1,6,83.475,28,11590,9
"250,000",2009,2010,흑석동,MARKHILLS,1,14,244.43,172-8,11590,3
"87,000",1988,2010,흑석동,한강현대,1,14,131.06,28,11590,15
"27,500",1997,2010,흑석동,청호,1,16,59.85,327,11590,6
"53,400",1988,2010,흑석동,한강현대,1,17,66.225,28,11590,5
"60,000",1988,2010,흑석동,한강현대,1,22,83.475,28,11590,12
"90,000",1988,2010,흑석동,한강현대,1,25,131.4,28,11590,5
"48,000",2003,2010,흑석동,흑석동양아파트,1,26,84.985,328,11590,7
"52,000",2003,2010,흑석동,우리유앤미,1,29,113.9684,329,11590,7
"44,500",2006,2010,동작동,이수교KCC스위첸,1,7,59.91,332,11590,3
"52,500",2003,2010,동작동,금강KCC,1,13,84.95,331,11590,13
"38,500",2001,2010,동작동,신동아갯마을,1,20,80.55,329,11590,2
"27,000",1993,2010,사당동,극동(105),1,1,46.75,105,11590,4
"28,500",1993,2010,사당동,극동(105),1,2,46.75,105,11590,8
"45,000",2004,2010,사당동,사당롯데캐슬2차,1,3,71.634,1149,11590,11
"27,000",2003,2010,사당동,라이즈1동,1,4,61.11,64-264,11590,4
"36,900",1990,2010,사당동,대림(169-8),1,5,59.67,169-8,11590,4
"22,000",2006,2010,사당동,삼성휘버스,1,6,40.759,1037-9,11590,2
"63,900",1990,2010,사당동,대림(169-8),1,6,125.4,169-8,11590,11
"53,500",1993,2010,사당동,사당우성2,1,8,84.66,105,11590,14
"38,400",1990,2010,사당동,대림(169-8),1,8,59.67,169-8,11590,4
"38,500",1993,2010,사당동,사당우성3,1,8,59.89,105,11590,9
"56,200",2004,2010,사당동,사당롯데캐슬2차,1,9,84.614,1149,11590,7
"64,000",1993,2010,사당동,신동아4,1,9,118.25,105,11590,5
"30,000",1993,2010,사당동,극동(105),1,10,46.75,105,11590,13
"36,000",1999,2010,사당동,사당자이,1,11,60,1139,11590,9
"76,500",2003,2010,사당동,삼성래미안,1,11,114.502,1133,11590,13
"30,800",1998,2010,사당동,경남아너스빌2차,1,12,59.9,1135,11590,3
"42,900",1993,2010,사당동,사당우성3,1,12,46.75,105,11590,14
"53,500",1993,2010,사당동,사당우성3,1,12,84.66,105,11590,9
"27,800",1993,2010,사당동,극동(105),1,12,51.57,105,11590,1
"36,800",1993,2010,사당동,사당우성3,1,13,59.89,105,11590,3
