거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"16,200",1999,2010,봉천동,동아타운,1,2,32.76,1629-2,11620,6
"36,100",2000,2010,봉천동,두산,1,3,59.92,1708,11620,16
"16,900",1998,2010,봉천동,관악캠퍼스타워,1,4,41.1,875-1,11620,11
"43,000",2005,2010,봉천동,브라운스톤관악,1,5,84.41,1721,11620,2
"36,000",2006,2010,봉천동,신원메트로빌,1,5,84.6,870-13,11620,6
"35,200",2003,2010,봉천동,관악드림(삼성),1,7,84.96,1712,11620,2
"33,000",2009,2010,봉천동,에이스인헌,1,8,66.38,196-215,11620,1
"32,700",2004,2010,봉천동,관악푸르지오,1,8,59.58,1717,11620,17
"43,800",2003,2010,봉천동,관악드림(삼성),1,8,84.96,1712,11620,6
"31,700",2003,2010,봉천동,관악드림(삼성),1,8,59.85,1712,11620,17
"33,000",2004,2010,봉천동,벽산블루밍3차,1,9,59.8,1720,11620,15
"48,000",2000,2010,봉천동,봉천동아,1,9,114.69,1703,11620,12
"41,500",2005,2010,봉천동,벽산블루밍,1,9,84.99,1718,11620,21
"36,800",2006,2010,봉천동,서울대입구아이원 (1560-61),1,9,59.96,1560-61,11620,9
"26,900",1992,2010,봉천동,현대(관악),1,9,58.59,1000,11620,2
"35,400",2004,2010,봉천동,신성새실마을101동,1,11,83.97,1605-1,11620,3
"30,000",2000,2010,봉천동,봉천우성,1,11,59.76,1706,11620,5
"37,700",2005,2010,봉천동,관악월드메르디앙,1,11,79.27,1724,11620,6
"28,400",2000,2010,봉천동,봉천우성,1,12,59.76,1706,11620,6
"49,500",2004,2010,봉천동,관악푸르지오,1,12,84.2,1717,11620,15
"27,750",2000,2010,봉천동,봉천동아,1,12,59.76,1703,11620,15
"29,000",2001,2010,봉천동,반석블레스빌,1,12,65.97,1615-17,11620,9
"41,000",2004,2010,봉천동,벽산블루밍3차,1,13,84.72,1720,11620,7
"43,200",2000,2010,봉천동,봉천우성,1,13,84.96,1706,11620,17
"12,850",1998,2010,봉천동,관악캠퍼스타워,1,13,28.56,875-1,11620,8
"33,000",2004,2010,봉천동,아이펠리스,1,14,111.78,179-2,11620,5
"37,300",2009,2010,봉천동,늘푸른,1,14,82.04,916-22,11620,2
"48,270",2001,2010,봉천동,은천1,1,15,84.65,1707,11620,15
"36,000",2000,2010,봉천동,두산,1,15,59.92,1708,11620,8
"43,900",2003,2010,봉천동,관악드림(동아),1,16,84.96,1712,11620,13
"54,000",2003,2010,봉천동,관악드림(동아),1,16,114.75,1712,11620,3
"30,000",2002,2010,봉천동,신부,1,16,82.91,457-146,11620,2
"47,700",2000,2010,봉천동,두산,1,16,84.87,1708,11620,20
"26,000",1999,2010,봉천동,그린,1,16,72.53,1702,11620,4
"37,500",2000,2010,봉천동,두산,1,16,59.92,1708,11620,11
"30,000",2000,2010,봉천동,봉천우성,1,17,59.76,1706,11620,12
"41,800",2000,2010,봉천동,봉천동아,1,19,84.87,1703,11620,14
"40,700",2000,2010,봉천동,봉천동아,1,19,84.87,1703,11620,18
"54,000",2005,2010,봉천동,벽산블루밍,1,19,114.97,1718,11620,16
"60,750",2004,2010,봉천동,관악동부센트레빌,1,19,113.83,1719,11620,4
"53,300",2000,2010,봉천동,봉천동아,1,19,114.69,1703,11620,19
"28,500",1992,2010,봉천동,현대(관악),1,19,58.59,1000,11620,9
"44,000",2005,2010,봉천동,신성새실마을102동,1,19,89.98,1605-39,11620,7
"48,000",2000,2010,봉천동,봉천우성,1,19,114.78,1706,11620,8
"28,100",2000,2010,봉천동,봉천동아,1,19,59.76,1703,11620,22
"51,500",2000,2010,봉천동,봉천우성,1,20,114.78,1706,11620,22
"41,000",2000,2010,봉천동,봉천우성,1,20,84.96,1706,11620,9
"32,500",2000,2010,봉천동,은천2단지아파트,1,20,59.93,1707-1,11620,8
"36,000",2000,2010,봉천동,두산,1,20,59.89,1708,11620,17
"46,500",2000,2010,봉천동,두산,1,20,84.87,1708,11620,19
"25,800",2003,2010,봉천동,관악드림(동아),1,20,60,1712,11620,1
"48,100",2003,2010,봉천동,관악드림(동아),1,20,102,1712,11620,5
"32,900",2004,2010,봉천동,관악푸르지오,1,20,59.58,1717,11620,12
"29,800",2005,2010,봉천동,벽산블루밍,1,20,59.99,1718,11620,8
"47,000",2000,2010,봉천동,봉천우성,1,22,114.78,1706,11620,14
"24,500",2000,2010,봉천동,은천2단지아파트,1,22,49.95,1707-1,11620,3
"53,000",2000,2010,봉천동,두산,1,22,84.92,1708,11620,19
"34,900",2000,2010,봉천동,두산,1,22,59.92,1708,11620,1
"38,400",2003,2010,봉천동,관악드림(동아),1,22,84.96,1712,11620,1
"28,300",1992,2010,봉천동,현대(관악),1,22,58.59,1000,11620,9
"31,000",1992,2010,봉천동,현대(관악),1,23,68.8,1000,11620,6
"12,700",1998,2010,봉천동,관악캠퍼스타워,1,23,28.56,875-1,11620,13
"39,000",2005,2010,봉천동,벽산블루밍,1,23,84.99,1718,11620,20
"29,000",2009,2010,봉천동,관악청광플러스원,1,23,59.81,1726,11620,13
"28,200",2005,2010,봉천동,벽산블루밍,1,23,59.99,1718,11620,5
"49,000",2004,2010,봉천동,관악푸르지오,1,23,84.2,1717,11620,11
"43,500",2003,2010,봉천동,관악드림(삼성),1,23,84.96,1712,11620,12
"16,000",1999,2010,봉천동,동아타운,1,23,32.76,1629-2,11620,12
"30,500",2003,2010,봉천동,관악드림(동아),1,25,59.85,1712,11620,24
"29,900",2004,2010,봉천동,관악푸르지오,1,25,59.58,1717,11620,1
"29,000",2005,2010,봉천동,벽산블루밍,1,25,59.99,1718,11620,13
"31,500",2003,2010,봉천동,관악드림(삼성),1,25,59.85,1712,11620,18
"28,800",1992,2010,봉천동,현대(관악),1,26,58.59,1000,11620,14
"49,200",1992,2010,봉천동,현대(관악),1,26,116.86,1000,11620,9
"47,400",2000,2010,봉천동,두산,1,26,84.87,1708,11620,6
"18,000",1985,2010,봉천동,일두(1021),1,26,38.92,1021,11620,5
"39,000",1992,2010,봉천동,현대(관악),1,26,84.74,1000,11620,5
"30,800",2000,2010,봉천동,봉천우성,1,26,59.76,1706,11620,16
"39,000",2000,2010,봉천동,봉천동아,1,26,84.87,1703,11620,3
"25,750",1999,2010,봉천동,신봉,1,26,59.75,1705,11620,7
"44,450",2000,2010,봉천동,봉천우성,1,26,84.96,1706,11620,10
"48,200",2005,2010,봉천동,벽산블루밍,1,27,101.95,1718,11620,14
"36,000",2004,2010,봉천동,관악푸르지오,1,28,59.58,1717,11620,18
"34,500",2000,2010,봉천동,두산,1,28,59.92,1708,11620,3
"45,800",2003,2010,봉천동,관악드림(동아),1,30,84.96,1712,11620,23
"28,500",2005,2010,봉천동,벽산블루밍,1,30,59.99,1718,11620,15
"40,000",2005,2010,봉천동,벽산블루밍,1,30,84.99,1718,11620,22
"53,500",2003,2010,봉천동,관악드림(동아),1,30,114.75,1712,11620,4
"27,850",2005,2010,봉천동,벽산블루밍,1,30,59.99,1718,11620,11
"41,500",1992,2010,봉천동,현대(관악),1,30,84.74,1000,11620,11
"31,800",1992,2010,봉천동,현대(관악),1,30,68.8,1000,11620,10
"23,500",2004,2010,봉천동,대경,1,30,71.4,1531-34,11620,1
"45,500",1993,2010,신림동,신림현대,1,3,105.36,1694,11620,8
"20,000",1993,2010,신림동,신림현대,1,4,34.86,1694,11620,9
"38,500",1982,2010,신림동,라이프미성,1,7,93.79,1656,11620,1
"29,000",2008,2010,신림동,관악산휴먼시아 2단지,1,7,59.96,1735,11620,18
"27,500",2008,2010,신림동,관악산휴먼시아 1단지,1,7,59.99,1735-1,11620,15
