거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"50,000",1999,2010,방배동,방배1차현대홈타운,1,2,59.94,1344,11650,2
"103,000",2005,2010,방배동,방배래미안타워,1,4,134.36,485-3,11650,17
"21,800",2004,2010,방배동,한신트리플,1,4,43.93,816-1,11650,12
"153,921",2005,2010,방배동,신한엔시모,1,5,244.2,802-4,11650,4
"78,000",1998,2010,방배동,롯데빌라트,1,5,165.24,987-1,11650,7
"83,250",1981,2010,방배동,신동아,1,6,105.86,988-1,11650,12
"68,300",1992,2010,방배동,대우(효령),1,7,84.91,1038,11650,10
"105,000",1985,2010,방배동,임광,1,7,136.38,1015,11650,7
"105,000",2004,2010,방배동,래미안방배아트힐(1008-2),1,8,127.31,1008-2,11650,1
"67,000",1991,2010,방배동,방배우성,1,9,84.99,2525,11650,4
"21,000",2004,2010,방배동,한신트리플,1,9,39.31,816-1,11650,7
"190,095",2006,2010,방배동,방배롯데캐슬OSCAR,1,11,270.6,1-21,11650,3
"100,000",2006,2010,방배동,방배아이파크,1,11,125.58,3277,11650,4
"80,500",2006,2010,방배동,롯데캐슬헤론,1,12,95.66,754-1,11650,4
"22,600",2005,2010,방배동,방배대우디오빌,1,13,29.6,866-20,11650,17
"41,700",1988,2010,방배동,방배임광,1,13,51.84,1010-1,11650,8
"119,000",2002,2010,방배동,상지리츠빌1,1,14,195.34,1-29,11650,4
"82,000",2004,2010,방배동,방배아크로리버,1,14,84.74,752-36,11650,24
"20,000",2005,2010,방배동,방배대우디오빌,1,15,29.6,866-20,11650,15
"160,000",2003,2010,방배동,노블하임,1,15,242.77,807-5,11650,2
"76,500",1981,2010,방배동,신동아,1,17,103.97,988-1,11650,1
"90,500",1980,2010,방배동,경남,1,18,103.09,1028-1,11650,7
"102,000",2005,2010,방배동,방배래미안타워,1,18,134.36,485-3,11650,8
"135,000",1980,2010,방배동,경남,1,18,155.85,1028-1,11650,7
"105,000",2004,2010,방배동,방배아크로리버,1,18,149.225,752-36,11650,19
"55,000",2004,2010,방배동,방배삼성홈타운(102),1,18,105.82,877-6,11650,2
"23,000",2005,2010,방배동,방배대우디오빌,1,19,29.6,866-20,11650,11
"19,000",2005,2010,방배동,방배대우디오빌,1,20,28.84,866-20,11650,4
"77,600",2001,2010,방배동,방배2차현대홈타운,1,20,84.94,2001,11650,6
"83,950",2001,2010,방배동,방배2차현대홈타운,1,20,84.94,2001,11650,14
"48,000",2002,2010,방배동,서초이에스에이3차,1,21,59.4,1006-1,11650,10
"55,000",1975,2010,방배동,삼호 1동~3동,1,21,80.33,770-1,11650,1
"47,500",2004,2010,방배동,방배엔스위트,1,22,84.31,481-11,11650,5
"50,000",1996,2010,방배동,두원,1,22,84.87,473-1,11650,8
"138,000",2005,2010,방배동,베로니스3차,1,22,173.25,807-11,11650,4
"38,200",2003,2010,방배동,푸른마을,1,23,63.1,763-12,11650,5
"56,000",2006,2010,방배동,이연아마빌레,1,23,84.286,814-31,11650,5
"87,500",2005,2010,방배동,방배CJ나인빌2차,1,25,161.19,889-6,11650,4
"57,500",1999,2010,방배동,방배1차현대홈타운,1,25,59.94,1344,11650,6
"58,000",1999,2010,방배동,방배1차현대홈타운,1,25,59.94,1344,11650,10
"55,500",2001,2010,방배동,빌라도르,1,26,112.03,840-10,11650,2
"74,000",1985,2010,방배동,임광,1,26,84.78,1015,11650,6
"72,000",2005,2010,방배동,멤버스카운티601,1,27,107.62,801-7,11650,2
"130,000",1983,2010,방배동,방배신삼호,1,27,185.46,725,11650,4
"85,000",1976,2010,방배동,삼호2,1,27,127.94,758-4,11650,5
"105,000",1991,2010,방배동,탑빌라트,1,28,205.29,797-1,11650,4
"144,500",2005,2010,방배동,신한엔시모,1,28,244.57,802-4,11650,2
"35,500",1988,2010,방배동,방배임광,1,28,44.61,1010-1,11650,1
"112,000",1976,2010,방배동,삼호3,1,28,181.6,757-3,11650,11
"68,000",1992,2010,방배동,대우(효령),1,29,84.91,1038,11650,12
"115,000",1976,2010,방배동,삼호2,1,29,177.52,758-4,11650,7
"84,500",1983,2010,방배동,방배신삼호,1,30,105.04,725,11650,8
"103,000",2004,2010,방배동,방배3차현대홈타운,1,30,122.961,2233,11650,8
"21,500",2005,2010,방배동,방배대우디오빌,1,31,28.84,866-20,11650,15
"110,000",2009,2010,방배동,리치팰리스,1,31,135.11,808-8,11650,5
"65,500",2006,2010,방배동,방배디오슈페리움Ⅰ,1,31,84.82,3001-2,11650,5
"72,500",2003,2010,방배동,삼성래미안1,1,31,84.91,2626,11650,9
"55,750",1991,2010,양재동,우성,1,7,84.58,154-2,11650,1
"49,500",2001,2010,양재동,노블하우스,1,8,68.2,325-1,11650,3
"62,500",2001,2010,양재동,경희궁,1,8,83.01,317-4,11650,2
"140,000",2006,2010,양재동,(66-3),1,11,199.86,66-3,11650,6
"55,500",1996,2010,양재동,우성KBS,1,12,84.69,160-2,11650,5
"44,000",2002,2010,양재동,포레스빌,1,15,84.92,119-3,11650,4
"62,400",2006,2010,양재동,한솔로이젠트,1,15,84.97,11-17,11650,15
"60,000",1991,2010,양재동,우성,1,16,84.58,154-2,11650,15
"52,500",1991,2010,양재동,우성112,1,18,84.58,137-1,11650,10
"43,000",2002,2010,양재동,파크뷰,1,18,69.95,389-2,11650,4
"29,000",2001,2010,양재동,새티스(402-10),1,18,53.44,402-10,11650,3
"24,750",2002,2010,양재동,신영체르니,1,19,39.1,90,11650,2
"18,000",2002,2010,양재동,신영체르니,1,19,32.08,90,11650,4
"58,500",2001,2010,양재동,경희궁,1,20,79.5,317-4,11650,5
"63,000",2006,2010,양재동,한솔로이젠트,1,25,84.97,11-17,11650,9
"44,500",2003,2010,양재동,양재테크노5,1,26,93.53,7-39,11650,1
"63,000",2006,2010,양재동,한솔로이젠트,1,29,84.97,11-17,11650,10
"65,700",1995,2010,우면동,동고,1,10,84.96,59,11650,10
"63,500",1995,2010,우면동,동고,1,12,84.96,59,11650,8
"47,000",1994,2010,우면동,코오롱,1,16,52.47,70,11650,4
"46,000",1994,2010,우면동,코오롱,1,18,52.47,70,11650,5
"66,500",1995,2010,우면동,동고,1,18,84.96,59,11650,10
"51,000",1994,2010,우면동,한라,1,22,59.98,67,11650,2
"55,000",1981,2010,잠원동,신반포10,1,2,53.88,58-16,11650,5
"101,000",1980,2010,잠원동,신반포6,1,4,107.81,74-2,11650,6
