거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"19,000",2001,2010,역삼동,한화진넥스빌,1,4,43.58,706-20,11680,21
"18,800",2002,2010,역삼동,대우디오빌,1,4,30.03,720-25,11680,18
"70,000",2005,2010,역삼동,e-편한세상,1,4,59.606,755-4,11680,22
"76,000",2007,2010,역삼동,쌍용플레티넘밸류,1,5,110.57,826-37,11680,13
"79,000",1978,2010,역삼동,성보,1,6,101.7,709,11680,12
"20,000",2002,2010,역삼동,대우디오빌,1,6,39.13,720-25,11680,7
"17,500",2002,2010,역삼동,대우디오빌,1,6,30.03,720-25,11680,7
"17,500",2002,2010,역삼동,대우디오빌,1,6,30.03,720-25,11680,12
"17,500",2002,2010,역삼동,대우디오빌,1,6,30.03,720-25,11680,17
"20,000",2002,2010,역삼동,대우디오빌,1,6,39.13,720-25,11680,18
"65,800",2005,2010,역삼동,역삼래미안,1,6,59.4,757,11680,17
"71,500",2005,2010,역삼동,e-편한세상,1,7,59.606,755-4,11680,14
"132,000",1979,2010,역삼동,개나리5,1,8,133.22,716-1,11680,9
"29,500",2004,2010,역삼동,역삼우정에쉐르2,1,8,49.38,707-18,11680,5
"53,800",2002,2010,역삼동,경남아너스빌,1,9,84.688,722,11680,9
"156,500",2006,2010,역삼동,개나리 푸르지오,1,11,132.8355,755-1,11680,8
"71,500",2005,2010,역삼동,e-편한세상,1,12,59.606,755-4,11680,11
"43,000",2003,2010,역삼동,세방하이빌1,1,12,59.77,771-4,11680,11
"69,000",2005,2010,역삼동,e-편한세상,1,12,59.606,755-4,11680,9
"45,500",1997,2010,역삼동,대림역삼,1,13,59.66,761-10,11680,11
"111,000",1978,2010,역삼동,성보,1,13,129.6,709,11680,14
"65,000",1978,2010,역삼동,성보,1,13,77.77,709,11680,10
"19,300",1996,2010,역삼동,한스빌(836),1,14,39.89,836,11680,8
"100,800",2006,2010,역삼동,역삼푸르지오,1,15,84.9097,754-1,11680,13
"70,000",2005,2010,역삼동,e-편한세상,1,16,59.606,755-4,11680,15
"138,000",2006,2010,역삼동,역삼 I'PARK,1,16,116.285,713-11,11680,13
"92,000",2006,2010,역삼동,역삼푸르지오,1,18,84.9097,754-1,11680,2
"19,000",1996,2010,역삼동,한스빌(836),1,19,39.89,836,11680,3
"19,700",2002,2010,역삼동,대우디오빌,1,19,30.03,720-25,11680,17
"73,400",1998,2010,역삼동,동부센트레빌,1,21,84.97,716,11680,16
"90,700",2005,2010,역삼동,e-편한세상,1,21,84.991,755-4,11680,1
"19,000",2001,2010,역삼동,한화진넥스빌,1,21,39.2,706-20,11680,17
"116,500",2006,2010,역삼동,상지리츠빌역삼2차,1,21,174.83,761-3,11680,2
"79,500",1978,2010,역삼동,성보,1,21,101.7,709,11680,4
"65,000",2005,2010,역삼동,역삼래미안,1,21,59.4,757,11680,4
"94,000",2005,2010,역삼동,e-편한세상,1,22,84.991,755-4,11680,4
"19,500",1996,2010,역삼동,한스빌(836),1,22,39.89,836,11680,9
"68,000",2006,2010,역삼동,역삼푸르지오,1,23,59.8848,754-1,11680,20
"27,950",2004,2010,역삼동,대우디오빌플러스,1,25,43.99,824-25,11680,8
"71,000",2005,2010,역삼동,e-편한세상,1,25,59.606,755-4,11680,5
"58,000",2007,2010,역삼동,쎄비앙 102동,1,25,125.36,778-5,11680,5
"66,000",2005,2010,역삼동,역삼래미안,1,25,59.4,757,11680,4
"80,000",1978,2010,역삼동,성보,1,27,101.7,709,11680,15
"150,000",2007,2010,역삼동,래미안펜타빌,1,28,157.41,713-7,11680,11
"115,000",2009,2010,역삼동,래미안그레이튼,1,28,84.97,763-16,11680,13
"41,000",2002,2010,역삼동,갤러리아트,1,30,81.18,783-28,11680,4
"52,900",2002,2010,역삼동,경남아너스빌,1,30,84.688,722,11680,13
"53,000",2004,2010,역삼동,정원,1,30,96.58,828-46,11680,2
"109,800",1982,2010,개포동,개포주공 1단지,1,4,49.56,141,11680,4
"66,900",1982,2010,개포동,개포주공 4단지,1,4,35.64,189,11680,4
"76,300",1987,2010,개포동,우성8,1,4,79.61,179,11680,1
"72,400",1982,2010,개포동,개포주공 1단지,1,4,35.64,141,11680,5
"35,000",2000,2010,개포동,새롬(1164-13),1,5,59.67,1164-13,11680,3
"72,800",1984,2010,개포동,시영,1,5,40.53,656,11680,2
"93,000",1984,2010,개포동,시영,1,5,51.18,656,11680,1
"72,900",1984,2010,개포동,시영,1,5,40.53,656,11680,1
"88,000",1984,2010,개포동,개포우성3차,1,5,104.43,652,11680,2
"68,000",1982,2010,개포동,개포주공 4단지,1,6,35.87,189,11680,1
"94,000",1982,2010,개포동,개포주공 3단지,1,6,42.55,138,11680,4
"43,000",1992,2010,개포동,성원대치2단지아파트,1,6,39.53,12,11680,5
"100,000",1982,2010,개포동,개포주공 1단지,1,7,50.38,141,11680,3
"71,750",1982,2010,개포동,개포주공 3단지,1,7,35.87,138,11680,2
"103,000",1984,2010,개포동,경남1,1,7,96.98,649,11680,8
"77,500",1983,2010,개포동,개포주공 6단지,1,7,60.13,185,11680,5
"72,000",1982,2010,개포동,개포주공 3단지,1,8,35.87,138,11680,5
"84,200",1982,2010,개포동,개포주공 1단지,1,8,42.55,141,11680,4
"54,500",1984,2010,개포동,시영,1,8,28.79,656,11680,1
"110,300",1984,2010,개포동,시영,1,8,57.42,656,11680,4
"68,500",1983,2010,개포동,개포주공 7단지,1,9,53.46,185,11680,2
"96,500",1983,2010,개포동,개포주공 7단지,1,9,73.26,185,11680,7
"102,000",1983,2010,개포동,개포주공 6단지,1,9,83.21,185,11680,2
"53,600",1984,2010,개포동,시영,1,9,28.79,656,11680,3
"54,900",1984,2010,개포동,시영,1,9,28.79,656,11680,5
"39,500",1992,2010,개포동,삼익대청아파트,1,9,39.53,12,11680,2
"114,000",1983,2010,개포동,개포주공 7단지,1,9,83.7,185,11680,14
"42,000",1992,2010,개포동,성원대치2단지아파트,1,10,39.53,12,11680,14
"44,000",1992,2010,개포동,삼익대청아파트,1,11,39.53,12,11680,9
"82,500",1982,2010,개포동,개포주공 4단지,1,11,41.99,189,11680,3
"82,000",1982,2010,개포동,개포주공 4단지,1,11,42.55,189,11680,4
"73,500",1984,2010,개포동,시영,1,11,40.42,656,11680,3
"84,300",1982,2010,개포동,개포주공 1단지,1,11,42.55,141,11680,1
"82,000",1982,2010,개포동,개포주공 1단지,1,12,42.55,141,11680,5
"83,000",1982,2010,개포동,개포주공 1단지,1,12,41.98,141,11680,1
"145,000",1984,2010,개포동,경남1,1,12,166.48,649,11680,1
"113,000",1982,2010,개포동,개포주공 4단지,1,13,50.67,189,11680,1
"137,500",1982,2010,개포동,주공2,1,13,71.65,140,11680,3
"74,000",1982,2010,개포동,개포주공 3단지,1,13,35.64,138,11680,4
"96,000",1982,2010,개포동,개포주공 3단지,1,13,41.99,138,11680,5
"81,800",1982,2010,개포동,개포주공 4단지,1,13,41.99,189,11680,5
"73,500",1982,2010,개포동,개포주공 3단지,1,13,35.87,138,11680,5
"83,000",1982,2010,개포동,개포주공 1단지,1,13,42.55,141,11680,1
"83,000",1982,2010,개포동,개포주공 4단지,1,14,42.55,189,11680,3
"84,000",1982,2010,개포동,개포주공 1단지,1,14,42.55,141,11680,2
"55,000",1984,2010,개포동,시영,1,14,28.79,656,11680,1
"120,000",1982,2010,개포동,개포주공 1단지,1,14,53.63,141,11680,5
"69,200",1983,2010,개포동,개포주공 5단지,1,14,53.98,187,11680,14
"45,000",1992,2010,개포동,성원대치2단지아파트,1,14,39.53,12,11680,8
"78,000",1983,2010,개포동,개포주공 7단지,1,15,60.76,185,11680,6
"85,000",1982,2010,개포동,개포주공 1단지,1,16,41.98,141,11680,5
"135,000",1982,2010,개포동,개포주공 1단지,1,16,58.08,141,11680,5
"52,800",1984,2010,개포동,시영,1,16,28.79,656,11680,2
"105,000",1982,2010,개포동,주공2,1,16,61.75,140,11680,3
"105,000",1982,2010,개포동,개포주공 3단지,1,16,50.67,138,11680,3
"57,000",1982,2010,개포동,주공2,1,16,25.43,140,11680,3
"113,000",1982,2010,개포동,개포주공 4단지,1,16,50.67,189,11680,2
"81,500",1987,2010,개포동,우성8,1,16,79.61,179,11680,3
"69,000",1983,2010,개포동,개포주공 5단지,1,16,53.98,187,11680,1
"6,500",1982,2010,개포동,개포주공 3단지,1,18,35.64,138,11680,2
"42,800",1992,2010,개포동,성원대치2단지아파트,1,18,39.53,12,11680,4
"34,500",1992,2010,개포동,성원대치2단지아파트,1,18,33.18,12,11680,12
"81,000",1991,2010,개포동,"우성9차아파트 901동, 902동",1,18,84.9,651-1,11680,7
"83,500",1982,2010,개포동,개포주공 4단지,1,18,41.99,189,11680,5
"34,000",1992,2010,개포동,성원대치2단지아파트,1,18,33.18,12,11680,6
"83,800",1982,2010,개포동,개포주공 1단지,1,18,42.55,141,11680,1
"65,000",1992,2010,개포동,삼익대청아파트,1,19,60,12,11680,9
