거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"70,500",1983,2010,잠실동,우성4차,1,2,95.84,320,11710,15
"168,000",2008,2010,잠실동,리센츠,1,3,124.22,22,11710,22
"100,000",2008,2010,잠실동,잠실엘스,1,4,84.8,19,11710,6
"150,000",1978,2010,잠실동,주공아파트 5단지,1,4,82.51,27,11710,1
"125,000",1978,2010,잠실동,주공아파트 5단지,1,5,76.5,27,11710,8
"100,000",2007,2010,잠실동,트리지움,1,5,84.97,35,11710,29
"71,400",1983,2010,잠실동,우성4차,1,5,95.84,320,11710,5
"88,000",1981,2010,잠실동,우성아파트,1,6,96.65,101-1,11710,3
"126,000",1978,2010,잠실동,주공아파트 5단지,1,7,76.5,27,11710,9
"90,000",1981,2010,잠실동,우성아파트,1,7,96.65,101-1,11710,11
"149,000",1978,2010,잠실동,주공아파트 5단지,1,7,82.61,27,11710,9
"100,500",2008,2010,잠실동,리센츠,1,8,84.99,22,11710,8
"72,000",2008,2010,잠실동,잠실엘스,1,8,59.96,19,11710,5
"74,800",2007,2010,잠실동,트리지움,1,8,59.88,35,11710,19
"85,000",1981,2010,잠실동,우성아파트,1,8,96.65,101-1,11710,6
"132,500",1981,2010,잠실동,우성아파트,1,8,136.34,101-1,11710,8
"74,650",2007,2010,잠실동,트리지움,1,9,59.88,35,11710,22
"73,800",2007,2010,잠실동,트리지움,1,9,59.88,35,11710,22
"105,000",2008,2010,잠실동,잠실엘스,1,10,84.8,19,11710,16
"112,500",1981,2010,잠실동,우성아파트,1,11,136.34,101-1,11710,1
"93,000",1981,2010,잠실동,우성아파트,1,11,96.65,101-1,11710,5
"105,000",2006,2010,잠실동,레이크팰리스,1,11,84.82,44,11710,7
"77,500",2007,2010,잠실동,트리지움,1,11,59.88,35,11710,19
"144,500",2006,2010,잠실동,레이크팰리스,1,11,116.19,44,11710,24
"125,000",1978,2010,잠실동,주공아파트 5단지,1,11,76.5,27,11710,10
"100,000",2008,2010,잠실동,잠실엘스,1,11,84.88,19,11710,18
"114,300",2008,2010,잠실동,잠실엘스,1,11,84.8,19,11710,20
"140,000",2007,2010,잠실동,트리지움,1,12,114.7,35,11710,25
"99,500",2008,2010,잠실동,잠실엘스,1,12,84.8,19,11710,12
"98,700",2006,2010,잠실동,레이크팰리스,1,12,84.82,44,11710,12
"125,000",1978,2010,잠실동,주공아파트 5단지,1,12,76.5,27,11710,5
"125,000",1978,2010,잠실동,주공아파트 5단지,1,12,76.5,27,11710,10
"125,000",1978,2010,잠실동,주공아파트 5단지,1,12,76.5,27,11710,3
"150,000",1978,2010,잠실동,주공아파트 5단지,1,12,82.51,27,11710,5
"115,000",2006,2010,잠실동,레이크팰리스,1,12,84.82,44,11710,18
"103,000",2006,2010,잠실동,레이크팰리스,1,13,84.82,44,11710,8
"106,000",2006,2010,잠실동,레이크팰리스,1,13,84.82,44,11710,22
"52,000",1990,2010,잠실동,현대,1,13,71.9,331,11710,5
"79,000",2008,2010,잠실동,잠실엘스,1,13,59.96,19,11710,20
"92,800",1981,2010,잠실동,우성아파트,1,13,96.65,101-1,11710,5
"178,000",2005,2010,잠실동,갤러리아팰리스,1,13,176.034,40,11710,10
"103,000",2008,2010,잠실동,리센츠,1,13,84.99,22,11710,13
"124,500",1978,2010,잠실동,주공아파트 5단지,1,14,76.5,27,11710,13
"91,400",1981,2010,잠실동,우성아파트,1,14,96.65,101-1,11710,4
"128,500",1981,2010,잠실동,우성아파트,1,14,136.34,101-1,11710,10
"105,000",2008,2010,잠실동,잠실엘스,1,14,84.8,19,11710,7
"126,000",1978,2010,잠실동,주공아파트 5단지,1,15,76.5,27,11710,11
"39,700",2005,2010,잠실동,잠실월드메르디앙,1,15,59.23,175-4,11710,5
"197,000",1986,2010,잠실동,아시아선수촌아파트,1,15,151.008,86,11710,11
"127,500",1978,2010,잠실동,주공아파트 5단지,1,16,76.5,27,11710,10
"73,300",2006,2010,잠실동,레이크팰리스,1,17,59.97,44,11710,4
"172,500",2007,2010,잠실동,트리지움,1,17,149.45,35,11710,9
"39,700",2005,2010,잠실동,잠실월드메르디앙,1,18,59.23,175-4,11710,5
"127,250",1981,2010,잠실동,우성아파트,1,18,131.08,101-1,11710,6
"126,000",1978,2010,잠실동,주공아파트 5단지,1,18,76.5,27,11710,4
"72,600",2008,2010,잠실동,잠실엘스,1,18,59.96,19,11710,6
"143,000",1981,2010,잠실동,우성아파트,1,19,160.74,101-1,11710,2
"93,000",1981,2010,잠실동,우성아파트,1,19,96.65,101-1,11710,5
"75,000",2007,2010,잠실동,트리지움,1,19,59.88,35,11710,19
"35,900",2008,2010,잠실동,리센츠,1,19,27.68,22,11710,2
"117,500",1981,2010,잠실동,우성아파트,1,20,136.34,101-1,11710,1
"136,000",1986,2010,잠실동,아시아선수촌아파트,1,20,99.385,86,11710,14
"95,000",2008,2010,잠실동,리센츠,1,20,84.99,22,11710,14
"90,000",2007,2010,잠실동,트리지움,1,20,84.83,35,11710,11
"146,200",2006,2010,잠실동,레이크팰리스,1,21,116.19,44,11710,12
"81,000",2008,2010,잠실동,잠실엘스,1,21,59.96,19,11710,21
"73,000",2008,2010,잠실동,잠실엘스,1,22,59.96,19,11710,12
"73,500",2008,2010,잠실동,잠실엘스,1,22,59.96,19,11710,27
"95,000",2008,2010,잠실동,잠실엘스,1,22,84.88,19,11710,24
"97,500",2007,2010,잠실동,트리지움,1,22,84.97,35,11710,23
"193,000",1986,2010,잠실동,아시아선수촌아파트,1,22,151.008,86,11710,9
"75,000",2006,2010,잠실동,레이크팰리스,1,22,59.97,44,11710,19
