거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"54,400",1983,2010,명일동,삼익그린2차,1,5,66.87,15,11740,12
"81,000",1986,2010,명일동,현대(고덕),1,5,131.83,56,11740,9
"62,000",1986,2010,명일동,명일우성,1,5,84.93,42,11740,13
"46,800",1984,2010,명일동,삼익가든,1,5,71.2,270,11740,12
"61,500",1986,2010,명일동,현대(고덕),1,6,84.91,56,11740,3
"34,100",1981,2010,명일동,삼익그린1차,1,7,55.34,294,11740,4
"33,000",1988,2010,명일동,현대(명일),1,7,57.09,251-1,11740,9
"55,000",1985,2010,명일동,고덕주공9,1,7,83.21,257,11740,9
"60,000",1984,2010,명일동,삼익가든,1,8,117.76,270,11740,7
"34,550",1980,2010,명일동,삼익그린1차,1,8,55.83,294,11740,5
"35,750",1982,2010,명일동,삼익그린1차,1,8,56.56,294,11740,10
"33,350",1983,2010,명일동,삼익그린2차,1,8,42.93,15,11740,15
"32,500",1988,2010,명일동,현대(명일),1,8,57.09,251-1,11740,10
"34,300",1983,2010,명일동,삼익그린2차,1,9,42.93,15,11740,7
"25,000",2004,2010,명일동,태천해오름102동A,1,9,61.07,352-8,11740,6
"66,600",1986,2010,명일동,명일우성,1,11,84.93,42,11740,6
"64,000",1986,2010,명일동,명일우성,1,11,84.93,42,11740,10
"44,000",1980,2010,명일동,삼익그린1차,1,12,69.55,294,11740,8
"71,000",1983,2010,명일동,삼익그린2차,1,12,84.755,15,11740,14
"35,500",1983,2010,명일동,삼익그린2차,1,13,42.93,15,11740,6
"36,000",1983,2010,명일동,삼익그린2차,1,13,42.93,15,11740,6
"54,000",1985,2010,명일동,고덕주공9,1,13,83.21,257,11740,12
"47,000",1999,2010,명일동,명일엘지,1,13,84.96,332,11740,9
"37,000",1982,2010,명일동,삼익그린1차,1,13,56.56,294,11740,4
"58,300",1992,2010,명일동,삼환,1,16,84.92,47,11740,8
"53,500",1980,2010,명일동,삼익그린1차,1,16,76.1,294,11740,9
"45,500",1980,2010,명일동,삼익그린1차,1,16,70.21,294,11740,4
"43,800",1986,2010,명일동,삼익그린11차,1,16,66.87,38,11740,1
"52,000",1985,2010,명일동,고덕주공9,1,16,83.93,257,11740,14
"29,200",1999,2010,명일동,명일엘지,1,18,59.79,332,11740,10
"75,000",1983,2010,명일동,삼익그린2차,1,18,84.755,15,11740,8
"30,500",1999,2010,명일동,명일엘지,1,18,59.4,332,11740,2
"55,700",1992,2010,명일동,삼환,1,18,84.92,47,11740,12
"41,900",1999,2010,명일동,명일엘지,1,19,84.9,332,11740,11
"56,000",1983,2010,명일동,삼익그린2차,1,20,66.87,15,11740,13
"30,900",2002,2010,명일동,다성씨티(2),1,20,84.82,352-5,11740,3
"46,700",1984,2010,명일동,삼익그린2차,1,20,54.81,15,11740,7
"45,000",1988,2010,명일동,현대(명일),1,21,84.66,251-1,11740,10
"28,000",1988,2010,명일동,현대(명일),1,21,57.09,251-1,11740,1
"27,000",1999,2010,명일동,명일엘지,1,21,59.79,332,11740,1
"32,700",2004,2010,명일동,다성이즈빌(346-12),1,22,84.14,346-12,11740,6
"40,900",1999,2010,명일동,명일엘지,1,23,84.9,332,11740,4
"33,000",2006,2010,명일동,동은그랜드,1,23,83.79,348-4,11740,5
"63,500",1986,2010,명일동,현대(고덕),1,23,84.91,56,11740,13
"46,000",1983,2010,명일동,삼익그린2차,1,23,54.81,15,11740,3
"36,500",1981,2010,명일동,삼익그린1차,1,23,55.34,294,11740,4
"54,700",1985,2010,명일동,고덕주공9,1,25,83.52,257,11740,12
"54,750",1985,2010,명일동,고덕주공9,1,25,83.52,257,11740,5
"26,200",1999,2010,명일동,명일엘지,1,25,59.79,332,11740,4
"83,200",1986,2010,명일동,현대(고덕),1,26,131.83,56,11740,11
"37,000",1982,2010,명일동,삼익그린1차,1,26,55.97,294,11740,11
"70,500",1983,2010,명일동,삼익그린2차,1,27,84.755,15,11740,4
"36,900",1982,2010,명일동,삼익그린1차,1,28,54.71,294,11740,1
"51,000",1981,2010,명일동,삼익그린1차,1,29,78.02,294,11740,4
"88,500",1986,2010,명일동,신동아,1,29,127.33,44,11740,15
"36,900",2002,2010,명일동,형인허브빌,1,29,84.43,354,11740,6
"36,900",1982,2010,명일동,삼익그린1차,1,30,55.97,294,11740,2
"43,900",1984,2010,명일동,삼익가든,1,30,66.87,270,11740,11
"53,500",1981,2010,명일동,삼익그린1차,1,30,78.02,294,11740,6
"66,800",1983,2010,고덕동,주공2,1,5,48.6,212,11740,2
"43,900",1984,2010,고덕동,고덕시영,1,5,34.01,492,11740,3
"52,300",1995,2010,고덕동,배재현대,1,5,84.9,312,11740,12
"44,800",1984,2010,고덕동,고덕시영,1,6,34.01,492,11740,4
"54,500",1984,2010,고덕동,고덕시영,1,7,43.002,492,11740,2
"55,000",1984,2010,고덕동,고덕시영,1,7,43.002,492,11740,1
"55,000",1984,2010,고덕동,고덕시영,1,7,43,492,11740,5
"55,000",1984,2010,고덕동,고덕시영,1,8,43,492,11740,1
"56,000",1984,2010,고덕동,고덕시영,1,9,43.002,492,11740,1
"53,000",1995,2010,고덕동,배재현대,1,9,84.9,312,11740,13
"52,750",1986,2010,고덕동,삼익그린12,1,11,75.351,220,11740,1
"53,500",1995,2010,고덕동,배재현대,1,11,84.9,312,11740,21
"75,000",1984,2010,고덕동,고덕시영,1,11,59,492,11740,4
"38,500",1995,2010,고덕동,배재현대,1,13,59.94,312,11740,11
"68,000",1982,2010,고덕동,주공2,1,14,48.6,212,11740,3
"55,500",1983,2010,고덕동,주공2,1,15,39.33,212,11740,1
"79,500",1983,2010,고덕동,주공2,1,16,55.8,212,11740,3
"66,000",1983,2010,고덕동,주공2,1,16,48.6,212,11740,5
"38,200",1995,2010,고덕동,배재현대,1,16,59.94,312,11740,14
"46,000",1984,2010,고덕동,고덕시영,1,18,34.01,492,11740,5
"46,000",1984,2010,고덕동,고덕시영,1,20,34.01,492,11740,4
"56,000",1995,2010,고덕동,배재현대,1,20,84.9,312,11740,5
"56,000",1984,2010,고덕동,고덕시영,1,20,43,492,11740,5
"55,500",1984,2010,고덕동,고덕시영,1,21,43,492,11740,3
"47,000",1984,2010,고덕동,고덕시영,1,21,34.01,492,11740,2
"45,500",1996,2010,고덕동,아남1,1,21,84.91,486,11740,3
"60,000",1983,2010,고덕동,주공2,1,21,41.62,212,11740,3
"64,000",1983,2010,고덕동,주공2,1,21,46.93,212,11740,5
"69,000",1983,2010,고덕동,주공2,1,22,48.6,212,11740,2
"42,750",1996,2010,고덕동,아남1,1,22,78.3,486,11740,12
"50,900",1996,2010,고덕동,아남1,1,25,84.91,486,11740,18
"43,150",1996,2010,고덕동,아남1,1,26,84.91,486,11740,1
"70,000",1983,2010,고덕동,주공2,1,26,48.6,212,11740,5
"27,000",1996,2010,고덕동,아남1,1,27,50.2,486,11740,2
"49,000",1996,2010,고덕동,아남1,1,27,84.91,486,11740,6
"58,500",1983,2010,상일동,주공7,1,2,55.44,187,11740,1
"66,000",1983,2010,상일동,주공4,1,5,55.8,134,11740,4
"29,000",1997,2010,상일동,동아,1,6,59.25,473,11740,7
"60,000",1983,2010,상일동,주공3,1,6,48.6,121,11740,3
"33,500",1992,2010,상일동,중앙하이츠,1,8,59.94,476,11740,9
"70,000",1983,2010,상일동,주공3,1,9,55.8,121,11740,3
"70,000",1983,2010,상일동,주공7,1,9,65.16,187,11740,4
"45,000",1992,2010,상일동,중앙하이츠,1,12,84.23,476,11740,10
"55,200",1983,2010,상일동,주공5,1,13,55.12,131,11740,2
"57,500",1983,2010,상일동,주공6,1,14,55.44,124,11740,1
"30,000",1983,2010,상일동,주공4,1,14,48.6,134,11740,5
"65,000",1983,2010,상일동,주공5,1,15,65.1,131,11740,5
"53,600",1983,2010,상일동,주공4,1,15,48.6,134,11740,5
"42,000",1997,2010,상일동,동아,1,19,84.94,473,11740,14
"59,900",1983,2010,상일동,주공3,1,21,48.6,121,11740,1
"53,700",1983,2010,상일동,주공3,1,22,41.62,121,11740,3
"45,500",1992,2010,상일동,중앙하이츠,1,25,84.23,476,11740,4
"59,500",1983,2010,상일동,주공3,1,25,48.85,121,11740,2
"65,000",1983,2010,상일동,주공6,1,27,65.16,124,11740,1
"45,000",1992,2010,상일동,중앙하이츠,1,27,84.23,476,11740,10
"27,750",1997,2010,상일동,동아,1,27,59.25,473,11740,11
"35,650",1992,2010,상일동,중앙하이츠,1,29,59.94,476,11740,12
"28,400",1982,2010,길동,삼익파크맨션,1,2,55.7,53,11740,9
"19,800",2009,2010,길동,동서울오네뜨,1,4,54.12,339-1,11740,10
"30,300",2004,2010,길동,에이치비골드빌(103동),1,6,83.11,384-5,11740,7
"39,900",1996,2010,길동,현대1,1,6,84.87,470,11740,14
"35,000",2006,2010,길동,강동한신휴플러스,1,7,84.93,414-10,11740,4
"55,000",1999,2010,길동,신세대빌라트,1,7,150.56,351-2,11740,9
"42,200",1994,2010,길동,길동우성,1,7,84.75,400,11740,7
"40,000",1983,2010,길동,삼익파크맨션,1,8,79.57,53,11740,10
"41,600",1994,2010,길동,길동우성,1,8,84.75,400,11740,11
"32,024",2009,2010,길동,동서울오네뜨,1,8,84.82,339-1,11740,6
"33,500",1983,2010,길동,삼익파크맨션,1,8,62.91,53,11740,6
"26,500",2003,2010,길동,양촌,1,8,79.4,352-3,11740,3
"32,500",2004,2010,길동,장인이즈빌,1,9,82.918,475,11740,4
"39,500",1994,2010,길동,길동우성,1,10,84.75,400,11740,3
"27,500",2003,2010,길동,태성,1,11,76.45,360-5,11740,6
"40,500",1996,2010,길동,현대1,1,13,84.87,470,11740,6
"28,000",2004,2010,길동,에이치비골드빌(103동),1,13,74.51,384-5,11740,8
"27,500",2004,2010,길동,에이치비골드빌(102동),1,13,64.19,384-4,11740,11
"40,000",1983,2010,길동,삼익파크맨션,1,15,79.57,53,11740,7
"31,200",2004,2010,길동,에스엠이로빌(379-0),1,16,81.5,379,11740,8
"33,700",1983,2010,길동,삼익파크맨션,1,16,63.32,53,11740,3
"28,300",2009,2010,길동,태솔,1,17,73.79,347-20,11740,5
"29,700",1983,2010,길동,삼익파크맨션,1,18,59.65,53,11740,11
"27,250",2001,2010,길동,한빛골드빌1차,1,18,72.41,384-1,11740,16
"17,500",1999,2010,길동,신동아4,1,18,35.42,92,11740,11
"42,500",1998,2010,길동,라인,1,18,105.71,365-1,11740,13
"38,900",1996,2010,길동,현대1,1,19,84.87,470,11740,15
"23,300",2001,2010,길동,도림씨티빌1,1,19,68.64,99-1,11740,8
"39,800",1982,2010,길동,삼익파크맨션,1,20,72.89,53,11740,9
"32,000",1983,2010,길동,신동아,1,20,60.42,160,11740,8
"60,700",2003,2010,길동,강동LG자이,1,21,84.88,474,11740,17
"33,900",1983,2010,길동,삼익파크맨션,1,21,62.91,53,11740,5
"33,800",1983,2010,길동,삼익파크맨션,1,21,62.91,53,11740,8
"21,500",1994,2010,길동,길동우성,1,21,40.36,400,11740,3
"30,750",1994,2010,길동,길동우성,1,22,57.1,400,11740,6
"31,800",2009,2010,길동,태솔,1,23,77.19,347-20,11740,5
"45,000",1983,2010,길동,신동아,1,23,87.12,160,11740,1
"31,700",1983,2010,길동,신동아,1,23,60.42,160,11740,10
"30,400",1982,2010,길동,삼익파크맨션,1,23,56.16,53,11740,8
"32,500",2003,2010,길동,우림루미아트,1,23,84.07,45,11740,5
"71,000",2003,2010,길동,강동LG자이,1,23,126.43,474,11740,11
"33,700",1983,2010,길동,삼익파크맨션,1,25,63.32,53,11740,2
"32,000",2009,2010,길동,태솔,1,25,77.19,347-20,11740,2
"29,700",1996,2010,길동,현대1,1,25,59.94,470,11740,1
"37,100",1983,2010,길동,신동아3,1,25,73.34,43,11740,9
"29,300",2003,2010,길동,태성,1,26,76.45,360-5,11740,8
"35,000",1989,2010,길동,한전우성1,1,27,81.63,332,11740,7
"32,000",2009,2010,길동,태솔,1,27,77.19,347-20,11740,6
"29,500",2008,2010,길동,다성이즈빌,1,27,84.96,348-4,11740,2
"32,500",1983,2010,길동,신동아,1,27,60.39,160,11740,11
"47,000",1983,2010,길동,신동아,1,28,85.46,160,11740,11
"34,800",1983,2010,길동,삼익파크맨션,1,28,62.91,53,11740,10
"37,000",1989,2010,길동,한전우성1,1,28,81.63,332,11740,8
"53,000",1983,2010,길동,신동아,1,28,102.8,160,11740,4
"21,600",2002,2010,길동,신암가온,1,29,56.7,414-6,11740,5
"51,200",1983,2010,길동,삼익파크맨션,1,30,95.87,53,11740,3
"30,800",1994,2010,길동,길동우성,1,31,57.1,400,11740,9
"29,800",2004,2010,길동,예다움,1,31,79.25,347-27,11740,6
"26,700",2009,2010,둔촌동,둔촌늘푸른,1,2,58.83,65-4,11740,4
"34,400",1998,2010,둔촌동,신성둔촌미소지움1,1,2,59.78,546,11740,15
"67,000",1980,2010,둔촌동,둔촌주공3단지,1,4,70.87,174-1,11740,6
"85,500",1980,2010,둔촌동,둔촌주공2단지,1,5,79.93,174-1,11740,1
"85,000",1980,2010,둔촌동,둔촌주공2단지,1,6,80.03,174-1,11740,5
"41,700",1980,2010,둔촌동,둔촌주공1단지,1,6,25.42,170-1,11740,5
"68,000",1980,2010,둔촌동,둔촌주공3단지,1,7,70.87,174-1,11740,4
"41,200",1988,2010,둔촌동,현대2,1,7,79.79,70-5,11740,2
"98,850",1980,2010,둔촌동,둔촌주공4단지,1,9,99.61,170-1,11740,6
"74,000",1980,2010,둔촌동,둔촌주공1단지,1,9,58.08,170-1,11740,2
"73,000",1980,2010,둔촌동,둔촌주공4단지,1,9,78.24,170-1,11740,3
"33,700",1998,2010,둔촌동,신성둔촌미소지움1,1,9,59.78,546,11740,9
"43,000",1980,2010,둔촌동,둔촌주공1단지,1,11,25.52,170-1,11740,2
