건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
2010,2011,남대문로5가,"47,000",남산트라팰리스,1,0,8,126.78,827,11140,16
2010,2011,회현동1가,"45,000",남산 SK LEADERS VIEW,1,0,29,115.04,206,11140,7
2010,2011,회현동2가,"57,000",쌍용남산플래티넘,1,0,10,166.24,87,11140,24
2010,2011,회현동2가,"58,000",쌍용남산플래티넘,1,0,20,166.24,87,11140,10
1970,2011,충무로4가,"17,000",진양상가,1,0,5,107.9,120-3,11140,7
1981,2011,묵정동,"9,000",묵정,1,0,26,52.46,11-67,11140,7
1981,2011,장충동2가,"1,000",장충,1,45,9,31.64,193-29,11140,2
2002,2011,신당동,"20,000",남산타운,1,0,2,59.94,844,11140,15
2003,2011,신당동,"25,000",청구파크뷰,1,0,3,84.69,292-35,11140,4
2002,2011,신당동,"39,000",남산타운,1,0,4,114.88,844,11140,12
1999,2011,신당동,"27,000",삼성,1,0,4,84.96,843,11140,17
1999,2011,신당동,"21,000",약수하이츠,1,0,4,57.63,842,11140,3
1999,2011,신당동,"29,000",삼성,1,0,5,114.91,843,11140,15
1993,2011,신당동,"17,000",현대,1,0,5,66.6,840,11140,9
1999,2011,신당동,"22,000",삼성,1,0,5,59.97,843,11140,2
1999,2011,신당동,"27,000",삼성,1,0,5,84.96,843,11140,5
2002,2011,신당동,"5,000",남산타운,1,93,5,59.94,844,11140,10
1993,2011,신당동,"16,000",현대,1,0,6,66.6,840,11140,13
2001,2011,신당동,"18,000",한진그랑빌,1,0,6,59.76,845,11140,12
2002,2011,신당동,"35,000",남산타운,1,0,6,114.88,844,11140,5
1999,2011,신당동,"23,000",약수하이츠,1,0,7,57.63,842,11140,1
2002,2011,신당동,"22,000",남산타운,1,0,7,59.94,844,11140,4
2002,2011,신당동,"30,000",남산타운,1,0,7,84.88,844,11140,11
2002,2011,신당동,"23,500",남산타운,1,0,7,59.94,844,11140,15
2001,2011,신당동,"5,500",동산,1,0,7,46.53,432-579,11140,4
2002,2011,신당동,"23,000",남산타운,1,0,7,59.94,844,11140,4
2001,2011,신당동,"19,000",한진그랑빌,1,0,8,59.76,845,11140,3
2005,2011,신당동,"10,000",신당푸르지오,1,110,8,84.39,850,11140,11
2003,2011,신당동,"22,500",청구파크뷰,1,0,8,78.2,292-35,11140,5
1999,2011,신당동,"25,000",약수하이츠,1,0,8,84.88,842,11140,4
2002,2011,신당동,"10,000",남산타운,1,0,8,84.88,844,11140,14
1999,2011,신당동,"24,000",약수하이츠,1,0,8,65.37,842,11140,1
1999,2011,신당동,"20,000",삼성,1,0,8,59.98,843,11140,2
2002,2011,신당동,"4,000",남산타운,1,90,8,59.94,844,11140,9
1999,2011,신당동,"4,000",약수하이츠,1,100,10,57.63,842,11140,10
1999,2011,신당동,"18,000",약수하이츠,1,0,11,57.63,842,11140,3
2001,2011,신당동,"10,000",푸른마을(B),1,0,11,59.42,432-922,11140,2
2002,2011,신당동,"29,000",남산타운,1,0,11,84.88,844,11140,8
2001,2011,신당동,"10,000",수산타운(2차),1,0,11,59.99,432-2006,11140,2
2002,2011,신당동,"36,000",남산타운,1,0,12,114.88,844,11140,2
2002,2011,신당동,"37,000",남산타운,1,0,12,114.88,844,11140,2
1999,2011,신당동,"24,500",약수하이츠,1,0,12,65.37,842,11140,11
1999,2011,신당동,"27,000",삼성,1,0,12,84.96,843,11140,6
2005,2011,신당동,"28,000",신당푸르지오,1,0,13,84.39,850,11140,13
2005,2011,신당동,"39,000",남산정은스카이,1,0,13,143.049,366-126,11140,9
2010,2011,신당동,"2,000",(372-66),1,110,14,63.9,372-66,11140,4
1999,2011,신당동,"35,000",약수하이츠,1,0,14,114.92,842,11140,6
2001,2011,신당동,"16,000",한진그랑빌,1,0,14,59.76,845,11140,6
1999,2011,신당동,"10,000",삼성,1,0,15,59.98,843,11140,15
2002,2011,신당동,"33,000",남산타운,1,0,15,114.88,844,11140,4
1999,2011,신당동,"20,000",약수하이츠,1,0,15,57.63,842,11140,17
2002,2011,신당동,"33,000",남산타운,1,0,15,84.88,844,11140,14
1999,2011,신당동,"20,000",삼성,1,0,15,59.97,843,11140,10
1999,2011,신당동,"21,000",약수하이츠,1,0,17,57.63,842,11140,4
1999,2011,신당동,"28,000",삼성,1,0,17,114.91,843,11140,10
2002,2011,신당동,"30,000",남산타운,1,0,17,84.88,844,11140,16
2002,2011,신당동,"23,000",남산타운,1,0,17,59.94,844,11140,13
1993,2011,신당동,"24,000",현대,1,0,17,139.275,840,11140,15
2005,2011,신당동,"3,500",신당푸르지오,1,150,17,84.39,850,11140,1
1999,2011,신당동,"23,500",삼성,1,0,18,84.96,843,11140,4
2005,2011,신당동,"36,000",신당푸르지오,1,0,18,114.48,850,11140,6
2002,2011,신당동,"39,000",남산타운,1,0,19,114.88,844,11140,12
2002,2011,신당동,"23,000",남산타운,1,0,19,59.94,844,11140,14
2002,2011,신당동,"18,500",남산타운,1,35,19,59.94,844,11140,15
1999,2011,신당동,"23,000",약수하이츠,1,0,20,57.63,842,11140,3
2002,2011,신당동,"16,000",남산타운,1,40,21,59.94,844,11140,15
1993,2011,신당동,"30,000",현대,1,0,21,122.275,840,11140,15
2002,2011,신당동,"21,000",남산타운,1,0,21,59.94,844,11140,3
1999,2011,신당동,"24,000",약수하이츠,1,0,22,57.63,842,11140,1
2005,2011,신당동,"30,000",신당푸르지오,1,0,22,84.39,850,11140,8
2002,2011,신당동,"29,000",남산타운,1,0,22,84.88,844,11140,3
1999,2011,신당동,"21,000",삼성,1,0,24,59.98,843,11140,7
2005,2011,신당동,"35,000",신당푸르지오,1,0,24,114.48,850,11140,15
2002,2011,신당동,"32,000",남산타운,1,0,24,84.88,844,11140,17
2002,2011,신당동,"22,000",남산타운,1,0,24,59.94,844,11140,15
2002,2011,신당동,"17,000",남산타운,1,0,25,59.94,844,11140,1
2002,2011,신당동,"5,000",남산타운,1,140,25,84.88,844,11140,14
1993,2011,신당동,"17,500",현대,1,15,25,83.97,840,11140,8
2002,2011,신당동,"29,000",남산타운,1,0,25,84.88,844,11140,7
2002,2011,신당동,"39,000",남산타운,1,0,26,114.88,844,11140,16
2002,2011,신당동,"30,000",남산타운,1,0,27,84.88,844,11140,4
2005,2011,신당동,"25,000",신당푸르지오,1,0,27,84.39,850,11140,1
1999,2011,신당동,"5,000",약수하이츠,1,110,27,57.63,842,11140,12
2002,2011,신당동,"5,000",남산타운,1,190,27,114.88,844,11140,8
