건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
1980,2011,후암동,"12,000",후암미주,1,0,5,64.07,423-1,11170,1
2003,2011,후암동,"11,000",남산애지앙,1,0,20,44.88,1-10,11170,1
1980,2011,후암동,"12,000",후암미주,1,0,21,62.78,423-1,11170,6
1980,2011,후암동,"12,000",후암미주,1,0,30,63.44,423-1,11170,4
2005,2011,신창동,"27,000",세방리버하이빌,1,0,8,84.77,102,11170,10
2001,2011,산천동,"2,699",리버힐삼성아파트(임대),1,14,3,32.99,194,11170,9
2001,2011,산천동,"5,000",리버힐삼성,1,110,3,84.98,193,11170,9
2001,2011,산천동,"20,000",리버힐삼성,1,0,3,59.98,193,11170,9
2001,2011,산천동,"2,699",리버힐삼성아파트(임대),1,0,3,32.99,194,11170,16
2001,2011,산천동,"18,000",리버힐삼성,1,0,5,59.55,193,11170,3
2001,2011,산천동,"25,500",리버힐삼성,1,0,5,84.98,193,11170,9
2001,2011,산천동,"24,000",리버힐삼성,1,0,6,84.98,193,11170,19
2001,2011,산천동,"15,000",한강타운,1,0,6,59.69,204,11170,5
2001,2011,산천동,"20,000",리버힐삼성,1,0,6,59.55,193,11170,6
2001,2011,산천동,"16,000",한강타운,1,0,8,59.69,204,11170,1
2001,2011,산천동,"3,000",한강타운,1,100,10,59.69,204,11170,13
2001,2011,산천동,"24,000",리버힐삼성,1,0,14,84.98,193,11170,3
2001,2011,산천동,"25,500",리버힐삼성,1,0,14,84.98,193,11170,11
2001,2011,산천동,"31,500",리버힐삼성,1,0,15,114.48,193,11170,15
2001,2011,산천동,"25,000",리버힐삼성,1,0,15,84.98,193,11170,7
2001,2011,산천동,"31,000",리버힐삼성,1,0,15,114.48,193,11170,4
2001,2011,산천동,"26,000",리버힐삼성,1,0,16,84.98,193,11170,15
2001,2011,산천동,"25,000",리버힐삼성,1,0,17,84.98,193,11170,19
2001,2011,산천동,"30,000",리버힐삼성,1,0,17,114.48,193,11170,12
2001,2011,산천동,300,리버힐삼성,1,15,17,84.98,193,11170,13
2001,2011,산천동,"25,000",리버힐삼성,1,0,17,84.98,193,11170,16
2001,2011,산천동,"32,000",리버힐삼성,1,0,20,114.48,193,11170,20
2001,2011,산천동,"2,699",리버힐삼성아파트(임대),1,0,21,32.99,194,11170,2
2001,2011,산천동,"18,000",리버힐삼성,1,45,21,84.98,193,11170,11
2001,2011,산천동,"22,000",리버힐삼성,1,0,22,84.98,193,11170,1
2001,2011,산천동,"5,000",리버힐삼성,1,80,22,59.55,193,11170,7
2001,2011,산천동,"23,000",리버힐삼성,1,0,25,84.98,193,11170,18
2001,2011,산천동,"19,000",리버힐삼성,1,0,27,59.55,193,11170,4
1999,2011,원효로4가,"4,000",강변삼성스위트,1,110,2,72.84,178,11170,10
1999,2011,원효로4가,"21,000",강변삼성스위트,1,0,3,59.94,178,11170,21
1999,2011,원효로4가,"27,500",강변삼성스위트,1,0,8,84.9,178,11170,6
1977,2011,원효로4가,"20,000",산호,1,0,8,103.74,118-16,11170,5
1977,2011,원효로4가,"7,000",산호,1,40,10,78.06,118-16,11170,8
1999,2011,원효로4가,"5,000",강변삼성스위트,1,85,15,59.94,178,11170,11
1977,2011,원효로4가,"15,000",산호,1,0,18,78.06,118-16,11170,10
1971,2011,원효로4가,"13,000",풍전,1,0,20,81.72,109-4,11170,6
1971,2011,원효로4가,"12,000",풍전,1,0,22,67.04,109-4,11170,6
1999,2011,원효로4가,"3,000",강변삼성스위트,1,140,31,84.9,178,11170,3
