건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
2001,2011,하왕십리동,"3,209",극동미라주(임대),1,16,3,32.76,1057,11200,3
2004,2011,하왕십리동,"25,000",왕십리풍림아이원,1,0,7,84.417,1061,11200,13
2004,2011,하왕십리동,"7,000",왕십리풍림아이원,1,0,8,84.417,1061,11200,6
2004,2011,하왕십리동,"23,000",왕십리풍림아이원,1,0,8,59.936,1061,11200,16
2004,2011,하왕십리동,"26,000",왕십리풍림아이원,1,0,8,84.417,1061,11200,1
2004,2011,하왕십리동,"20,000",왕십리풍림아이원,1,0,11,59.936,1061,11200,6
1996,2011,하왕십리동,"20,000",청계벽산,1,0,12,71.33,258,11200,12
1996,2011,하왕십리동,"21,500",청계벽산,1,0,12,84.94,258,11200,6
2001,2011,하왕십리동,"22,000",극동미라주,1,0,13,114.63,1058,11200,5
2001,2011,하왕십리동,"23,000",극동미라주,1,0,20,72.72,1058,11200,4
1996,2011,하왕십리동,"20,000",청계벽산,1,0,21,84.94,258,11200,15
2004,2011,하왕십리동,"25,000",왕십리풍림아이원,1,0,22,84.417,1061,11200,11
2004,2011,하왕십리동,"28,000",왕십리풍림아이원,1,0,24,114.928,1061,11200,5
2004,2011,하왕십리동,"25,000",왕십리풍림아이원,1,0,28,59.936,1061,11200,4
2004,2011,하왕십리동,"2,250",왕십리풍림아이원,1,0,29,59.936,1061,11200,12
2005,2011,홍익동,"10,000",청계대주파크빌,1,70,25,84.98,53,11200,8
2006,2011,도선동,"25,000",삼성쉐르빌,1,0,5,84.93,69,11200,14
2006,2011,도선동,"25,000",삼성쉐르빌,1,0,14,84.74,69,11200,12
2006,2011,도선동,"5,000",삼성쉐르빌,1,140,17,84.93,69,11200,9
2006,2011,도선동,"24,000",삼성쉐르빌,1,0,21,84.99,69,11200,21
2006,2011,도선동,"25,000",삼성쉐르빌,1,0,31,84.74,69,11200,10
1986,2011,마장동,"14,000",세림,1,0,3,40.86,784,11200,3
2004,2011,마장동,"21,300",대성유니드,1,0,4,59.7,825,11200,15
1986,2011,마장동,"18,000",세림,1,0,4,72.84,784,11200,9
1996,2011,마장동,"19,000",삼성,1,0,4,59.76,817,11200,15
1986,2011,마장동,"14,000",세림,1,0,4,40.86,784,11200,13
2006,2011,마장동,"27,000",금호어울림,1,36,5,114.97,820,11200,17
1986,2011,마장동,"3,000",세림,1,65,5,40.86,784,11200,2
1996,2011,마장동,"19,000",삼성,1,0,6,59.76,817,11200,11
1998,2011,마장동,"17,500",현대,1,0,7,59.94,818,11200,6
1996,2011,마장동,"23,000",삼성,1,0,7,84.93,817,11200,13
1986,2011,마장동,"13,000",세림,1,0,8,40.86,784,11200,8
2006,2011,마장동,"32,000",금호어울림,1,0,10,84.97,820,11200,5
2004,2011,마장동,"16,000",아트리움,1,0,10,82.2,768-1,11200,3
2006,2011,마장동,"18,000",금호어울림,1,50,11,59.97,820,11200,12
2004,2011,마장동,"20,500",신성미소지움,1,0,11,59.96,822,11200,3
1986,2011,마장동,"15,000",세림,1,30,12,84.93,784,11200,4
1999,2011,마장동,"22,000",마장동중앙하이츠,1,0,13,84.8,819,11200,5
1998,2011,마장동,"18,000",현대,1,0,13,59.91,818,11200,3
2006,2011,마장동,"4,000",마장에스에이치빌,1,11,14,39.84,831,11200,6
1998,2011,마장동,"3,000",현대,1,120,14,84.91,818,11200,1
1996,2011,마장동,"23,000",삼성,1,0,14,84.93,817,11200,18
1986,2011,마장동,"12,500",세림,1,0,15,40.86,784,11200,2
2002,2011,마장동,"23,000",장원,1,0,17,77.6,767-1,11200,8
1996,2011,마장동,"5,000",삼성,1,93,18,59.76,817,11200,16
1986,2011,마장동,"16,000",세림,1,0,19,84.93,784,11200,5
1998,2011,마장동,"18,000",현대,1,0,21,59.91,818,11200,16
1996,2011,마장동,"30,000",삼성,1,0,21,134.97,817,11200,13
2004,2011,마장동,"28,000",대성유니드,1,0,22,114.52,825,11200,11
1996,2011,마장동,"20,000",삼성,1,0,22,59.76,817,11200,4
1986,2011,마장동,"4,800",세림,1,12,24,40.86,784,11200,11
1986,2011,마장동,"5,000",세림,1,100,24,84.93,784,11200,3
1996,2011,마장동,"25,000",삼성,1,0,24,84.93,817,11200,24
1986,2011,마장동,"13,500",세림,1,0,26,40.86,784,11200,7
1998,2011,마장동,"17,000",현대,1,0,28,59.94,818,11200,22
1986,2011,마장동,"14,000",세림,1,10,28,72.84,784,11200,5
1986,2011,마장동,"5,000",세림,1,75,29,72.84,784,11200,1
1989,2011,사근동,"5,000",중앙하이츠,1,80,29,71.85,199,11200,10
2000,2011,사근동,"10,000",벽산,1,0,31,84.8,314,11200,3
1998,2011,행당동,"28,000",서울숲삼부아파트,1,0,2,84.09,147,11200,12
2000,2011,행당동,"32,000",대림e-편한세상,1,0,3,114.94,347,11200,6
2003,2011,행당동,"23,000",행당한신,1,0,3,59.91,349,11200,4
2000,2011,행당동,"28,000",대림e-편한세상,1,0,3,84.87,347,11200,15
2000,2011,행당동,"30,000",행당 한진타운,1,0,3,84.71,346,11200,10
2009,2011,행당동,"28,500",두산위브,1,0,3,59.99,375,11200,2
2000,2011,행당동,"10,000",행당 한진타운,1,100,4,84.71,346,11200,12
2000,2011,행당동,"3,000",대림e-편한세상,1,135,4,84.87,347,11200,8
1997,2011,행당동,"22,000",두산,1,30,4,84.87,345,11200,13
2000,2011,행당동,"33,000",행당 한진타운,1,0,4,114.62,346,11200,14
2000,2011,행당동,"30,000",행당 한진타운,1,0,5,84.71,346,11200,15
2000,2011,행당동,"22,000",행당 한진타운,1,0,5,59.96,346,11200,17
2000,2011,행당동,"20,000",행당 한진타운,1,50,5,84.71,346,11200,5
2003,2011,행당동,"20,000",행당한신,1,0,5,59.94,349,11200,8
2000,2011,행당동,"35,000",행당 한진타운,1,0,5,114.62,346,11200,25
2000,2011,행당동,"10,000",행당 한진타운,1,60,5,59.96,346,11200,8
2000,2011,행당동,"29,000",행당 한진타운,1,0,5,84.71,346,11200,4
2000,2011,행당동,"22,000",행당 한진타운,1,0,6,59.96,346,11200,18
2000,2011,행당동,"23,000",행당 한진타운,1,0,6,59.96,346,11200,25
2000,2011,행당동,"22,000",행당 한진타운,1,0,6,59.96,346,11200,17
2000,2011,행당동,"34,000",행당 한진타운,1,0,6,114.62,346,11200,23
2003,2011,행당동,"26,500",행당한신,1,0,7,84.95,349,11200,18
2000,2011,행당동,"23,000",대림e-편한세상,1,0,7,84.87,347,11200,10
2000,2011,행당동,"21,000",대림e-편한세상,1,0,7,59.96,347,11200,2
2000,2011,행당동,"28,000",대림e-편한세상,1,0,7,84.87,347,11200,8
2000,2011,행당동,"32,000",행당 한진타운,1,0,7,114.62,346,11200,2
1995,2011,행당동,"25,000",신동아,1,0,7,114.96,344,11200,4
2000,2011,행당동,"22,000",대림e-편한세상,1,0,8,59.96,347,11200,10
1997,2011,행당동,"25,000",두산,1,0,8,84.87,345,11200,15
2000,2011,행당동,"30,000",행당 한진타운,1,0,8,114.62,346,11200,3
1995,2011,행당동,"19,000",신동아,1,0,8,59.97,344,11200,11
2000,2011,행당동,"23,000",행당 한진타운,1,0,8,59.96,346,11200,19
2003,2011,행당동,"24,500",행당한신,1,0,10,59.91,349,11200,11
2003,2011,행당동,"24,500",행당한신,1,0,10,59.94,349,11200,22
1995,2011,행당동,"19,000",신동아,1,0,10,76.41,344,11200,15
2000,2011,행당동,"23,000",행당 한진타운,1,0,11,59.96,346,11200,4
2000,2011,행당동,"35,000",대림e-편한세상,1,0,11,114.94,347,11200,15
2000,2011,행당동,"28,500",대림e-편한세상,1,0,12,84.87,347,11200,6
1998,2011,행당동,"27,000",서울숲삼부아파트,1,0,12,84.93,147,11200,13
2000,2011,행당동,"25,500",대림e-편한세상,1,0,13,84.87,347,11200,1
2003,2011,행당동,"22,000",행당한신,1,0,13,59.91,349,11200,21
2003,2011,행당동,"19,000",행당한신,1,0,13,59.94,349,11200,23
2000,2011,행당동,"33,000",행당 한진타운,1,0,13,114.62,346,11200,3
2000,2011,행당동,"30,500",행당 한진타운,1,0,13,84.71,346,11200,4
2000,2011,행당동,"10,000",행당 한진타운,1,90,14,84.71,346,11200,20
2003,2011,행당동,"28,000",행당한신,1,0,14,84.95,349,11200,10
2003,2011,행당동,"22,000",행당한신,1,0,14,59.91,349,11200,4
2000,2011,행당동,"24,000",행당 한진타운,1,0,14,59.96,346,11200,17
2000,2011,행당동,"29,000",대림e-편한세상,1,0,14,84.87,347,11200,11
2003,2011,행당동,"35,000",행당한신,1,0,15,114.97,349,11200,16
2000,2011,행당동,"26,000",행당 한진타운,1,0,15,84.71,346,11200,3
2000,2011,행당동,"24,000",대림e-편한세상,1,0,15,84.87,347,11200,1
2006,2011,행당동,"28,000",이수 브라운스톤,1,0,15,59.27,364,11200,3
2000,2011,행당동,"30,000",대림e-편한세상,1,0,15,84.87,347,11200,5
2000,2011,행당동,"30,000",행당 한진타운,1,0,15,84.71,346,11200,19
2000,2011,행당동,"22,000",대림e-편한세상,1,0,17,59.96,347,11200,15
1995,2011,행당동,"18,000",신동아,1,0,17,59.97,344,11200,14
2009,2011,행당동,"46,000",두산위브,1,0,17,114.99,375,11200,5
2009,2011,행당동,"43,000",두산위브,1,0,17,114.99,375,11200,5
2000,2011,행당동,"22,000",대림e-편한세상,1,0,17,59.96,347,11200,8
2000,2011,행당동,"1,067",행당 한진타운(임대),1,14,17,32.96,346-1,11200,18
2000,2011,행당동,"30,500",행당 한진타운,1,0,17,84.71,346,11200,9
2000,2011,행당동,"11,000",행당 한진타운,1,100,17,84.71,346,11200,13
2000,2011,행당동,"25,000",대림e-편한세상,1,0,18,84.87,347,11200,1
2000,2011,행당동,"6,000",대림e-편한세상,1,120,18,84.87,347,11200,5
2000,2011,행당동,"22,000",대림e-편한세상,1,0,18,59.96,347,11200,7
2000,2011,행당동,"27,000",행당 한진타운,1,0,18,114.62,346,11200,12
2000,2011,행당동,"23,000",행당 한진타운,1,0,18,59.96,346,11200,12
2000,2011,행당동,"20,100",행당 한진타운,1,0,19,59.96,346,11200,2
2000,2011,행당동,"24,000",행당 한진타운,1,0,19,59.96,346,11200,19
2000,2011,행당동,"20,000",행당 한진타운,1,0,19,59.96,346,11200,1
2003,2011,행당동,"10,000",행당한신,1,100,19,84.95,349,11200,17
2000,2011,행당동,979,대림e-편한세상(임대),1,13,19,32.76,347,11200,10
2000,2011,행당동,"1,067",행당 한진타운(임대),1,14,20,32.96,346-1,11200,9
2000,2011,행당동,"23,000",행당 한진타운,1,0,20,59.96,346,11200,4
1998,2011,행당동,"26,000",서울숲삼부아파트,1,0,20,84.09,147,11200,1
2000,2011,행당동,"23,000",행당 한진타운,1,0,20,59.96,346,11200,10
2000,2011,행당동,"38,000",행당 한진타운,1,0,21,114.62,346,11200,9
2003,2011,행당동,"28,000",행당한신,1,0,21,84.95,349,11200,8
2000,2011,행당동,"15,000",행당 한진타운,1,40,21,59.96,346,11200,7
2003,2011,행당동,"28,000",행당한신,1,0,21,84.95,349,11200,13
2000,2011,행당동,"28,000",행당 한진타운,1,0,22,84.71,346,11200,24
2000,2011,행당동,"23,000",행당 한진타운,1,0,22,59.96,346,11200,5
2000,2011,행당동,"23,000",대림e-편한세상,1,0,22,59.96,347,11200,7
2000,2011,행당동,"29,500",행당 한진타운,1,0,22,84.71,346,11200,13
2000,2011,행당동,"21,000",행당 한진타운,1,0,22,59.96,346,11200,1
2000,2011,행당동,"28,000",대림e-편한세상,1,0,22,84.87,347,11200,12
2003,2011,행당동,"26,000",행당한신,1,0,24,84.95,349,11200,11
1995,2011,행당동,"7,000",신동아,1,70,24,76.41,344,11200,12
1995,2011,행당동,"8,500",신동아,1,60,24,59.97,344,11200,10
2000,2011,행당동,"28,000",대림e-편한세상,1,0,24,84.87,347,11200,8
2000,2011,행당동,"5,000",대림e-편한세상,1,100,24,59.96,347,11200,3
2000,2011,행당동,"30,000",행당 한진타운,1,0,25,84.71,346,11200,11
2000,2011,행당동,"20,000",대림e-편한세상,1,0,26,59.96,347,11200,2
2000,2011,행당동,"3,000",대림e-편한세상,1,120,26,59.96,347,11200,13
2000,2011,행당동,"20,000",행당 한진타운,1,0,26,59.96,346,11200,11
2003,2011,행당동,"37,000",행당한신,1,0,26,114.97,349,11200,19
2003,2011,행당동,"2,000",행당한신,1,140,27,59.91,349,11200,10
2000,2011,행당동,"23,000",행당 한진타운,1,0,27,59.96,346,11200,10
2006,2011,행당동,"28,000",이수 브라운스톤,1,0,27,59.27,364,11200,13
2000,2011,행당동,"3,000",행당 한진타운,1,120,27,59.96,346,11200,15
2000,2011,행당동,"17,500",행당 한진타운,1,0,28,59.96,346,11200,2
2000,2011,행당동,"23,000",행당 한진타운,1,0,28,59.96,346,11200,8
2000,2011,행당동,"30,000",대림e-편한세상,1,0,28,84.87,347,11200,7
2000,2011,행당동,"33,900",대림e-편한세상,1,0,28,59.96,347,11200,2
2003,2011,행당동,"25,000",행당한신,1,0,28,84.95,349,11200,15
2003,2011,행당동,"6,000",행당한신,1,130,29,84.95,349,11200,6
2000,2011,행당동,"22,000",대림e-편한세상,1,0,29,84.87,347,11200,6
2000,2011,행당동,"23,000",행당 한진타운,1,0,29,59.96,346,11200,20
2000,2011,행당동,"25,000",행당 한진타운,1,0,29,59.96,346,11200,21
2003,2011,행당동,"24,000",행당한신,1,0,29,59.91,349,11200,15
1998,2011,행당동,"26,000",서울숲삼부아파트,1,0,30,84.09,147,11200,5
1995,2011,행당동,"18,500",신동아,1,0,30,76.41,344,11200,11
2003,2011,행당동,"27,000",행당한신,1,0,31,84.95,349,11200,22
1995,2011,행당동,"18,000",신동아,1,0,31,59.97,344,11200,15
2000,2011,행당동,"31,000",행당 한진타운,1,0,31,114.62,346,11200,15
1995,2011,행당동,"20,000",신동아,1,0,31,84.99,344,11200,8
2001,2011,응봉동,"35,000",대림강변,1,0,3,114.88,15,11200,10
2003,2011,응봉동,"2,000",동아리버그린,1,130,3,59.98,276,11200,10
1996,2011,응봉동,"20,000",신동아,1,0,3,84.81,275,11200,10
1986,2011,응봉동,"23,000",대림(1차),1,0,4,113.71,100,11200,4
1989,2011,응봉동,"20,000",대림(2차),1,0,4,84.53,97,11200,7
1989,2011,응봉동,"17,000",대림(2차),1,15,5,84.53,97,11200,4
2003,2011,응봉동,"10,000",동아리버그린,1,140,6,114.86,276,11200,21
1990,2011,응봉동,"20,000",금호현대,1,0,7,79.8,98,11200,5
2001,2011,응봉동,"6,000",대림강변,1,140,8,84.42,15,11200,9
2001,2011,응봉동,"23,500",대림강변,1,0,8,59.76,15,11200,6
1990,2011,응봉동,"6,000",금호현대,1,70,8,79.8,98,11200,4
2001,2011,응봉동,"23,000",대림강변,1,0,11,59.76,15,11200,6
2001,2011,응봉동,"30,000",대림강변,1,0,14,84.42,15,11200,6
1986,2011,응봉동,"20,000",대림(1차),1,0,15,75.51,100,11200,10
2001,2011,응봉동,"3,000",대림강변,1,160,15,84.42,15,11200,18
1996,2011,응봉동,"1,000",신동아,1,120,15,59.97,275,11200,10
2001,2011,응봉동,"22,000",대림강변,1,0,17,84.42,15,11200,1
2003,2011,응봉동,"21,500",동아리버그린,1,0,19,59.98,276,11200,1
1996,2011,응봉동,"16,500",신동아,1,0,19,59.97,275,11200,3
1990,2011,응봉동,"20,000",금호현대,1,0,20,79.8,98,11200,4
1990,2011,응봉동,"14,500",금호현대,1,40,21,79.8,98,11200,6
2003,2011,응봉동,"23,500",동아리버그린,1,0,21,59.98,276,11200,7
2001,2011,응봉동,"28,500",대림강변,1,0,22,84.42,15,11200,17
1986,2011,응봉동,"15,500",대림(1차),1,0,22,63.18,100,11200,12
1986,2011,응봉동,"20,000",대림(1차),1,0,24,75.51,100,11200,13
1990,2011,응봉동,"19,000",금호현대,1,0,24,59.91,98,11200,2
1986,2011,응봉동,"18,000",대림(1차),1,0,25,63.18,100,11200,13
1986,2011,응봉동,"20,000",대림(1차),1,0,25,75.51,100,11200,13
1986,2011,응봉동,"17,000",대림(1차),1,0,25,63.18,100,11200,12
1989,2011,응봉동,"18,000",대림(2차),1,0,26,59.91,97,11200,5
1989,2011,응봉동,"3,000",대림(2차),1,90,26,59.91,97,11200,4
1990,2011,응봉동,"20,000",금호현대,1,0,26,79.8,98,11200,5
2003,2011,응봉동,"24,000",동아리버그린,1,0,27,59.98,276,11200,7
1986,2011,응봉동,"5,000",대림(1차),1,80,27,63.18,100,11200,13
1996,2011,응봉동,"18,000",신동아,1,0,29,59.97,275,11200,10
2001,2011,응봉동,"23,000",대림강변,1,0,29,59.76,15,11200,8
