건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
1995,2011,중곡동,"16,000",삼민,1,0,10,73.5,609,11215,5
2002,2011,중곡동,"20,000",중곡동광덕,1,0,15,78,683,11215,4
1999,2011,중곡동,"23,000",에스케이,1,0,24,84.6,292,11215,2
1976,2011,중곡동,"10,000",중곡1단지,1,0,29,57.88,191-77,11215,5
2010,2011,구의동,"33,000",아차산휴먼시아,1,0,3,84.68,663,11215,11
1996,2011,구의동,"25,000",구의현대2단지,1,0,3,84.75,611,11215,5
1997,2011,구의동,"22,500",현대프라임,1,0,3,59.82,631-1,11215,26
1996,2011,구의동,"29,000",구의현대2단지,1,0,4,84.91,611,11215,12
1997,2011,구의동,"23,000",현대프라임,1,0,4,59.82,631-1,11215,25
1997,2011,구의동,"45,000",현대프라임,1,0,4,183.87,631-1,11215,1
2010,2011,구의동,"25,000",아차산휴먼시아,1,0,4,84.68,663,11215,1
2001,2011,구의동,"26,000",삼성쉐르빌,1,0,5,84.94,199-18,11215,15
2003,2011,구의동,"20,000",명성,1,0,5,78.48,237-5,11215,4
1997,2011,구의동,"22,500",현대프라임,1,0,6,59.82,631-1,11215,4
1996,2011,구의동,"29,000",구의현대2단지,1,0,6,84.91,611,11215,6
1992,2011,구의동,"26,000",구의강변우성아파트,1,0,6,84.76,546-7,11215,6
1997,2011,구의동,"5,000",현대프라임,1,100,7,59.82,631-1,11215,22
2010,2011,구의동,"22,000",아차산휴먼시아,1,0,7,59.63,663,11215,1
2002,2011,구의동,"29,500",세양,1,0,7,84.32,658,11215,2
1996,2011,구의동,"29,000",구의현대2단지,1,0,8,84.91,611,11215,13
1997,2011,구의동,"21,000",구의현대7단지현대홈타운,1,0,8,59.97,587-54,11215,20
1994,2011,구의동,"28,000",구의현대6단지,1,0,8,84.93,610,11215,16
1997,2011,구의동,"27,000",현대프라임,1,0,10,84.99,631-1,11215,2
2010,2011,구의동,"11,000",아차산휴먼시아,1,150,10,84.76,663,11215,6
1996,2011,구의동,"28,000",구의현대2단지,1,0,10,84.88,611,11215,16
1997,2011,구의동,"19,000",현대프라임,1,30,11,59.82,631-1,11215,18
1996,2011,구의동,"29,000",구의현대2단지,1,0,11,84.86,611,11215,17
1996,2011,구의동,"28,000",구의현대2단지,1,0,11,84.86,611,11215,27
2010,2011,구의동,"29,000",아차산휴먼시아,1,0,11,84.68,663,11215,11
2002,2011,구의동,"32,000",세양,1,0,11,84.32,658,11215,13
1997,2011,구의동,"5,000",현대프라임,1,100,11,59.82,631-1,11215,17
2010,2011,구의동,"29,000",아차산휴먼시아,1,0,12,84.76,663,11215,3
1994,2011,구의동,"28,000",구의현대6단지,1,0,12,84.92,610,11215,13
2010,2011,구의동,"15,000",아차산휴먼시아,1,90,12,84.68,663,11215,10
1997,2011,구의동,"23,000",현대프라임,1,0,13,59.82,631-1,11215,14
1997,2011,구의동,"21,000",현대프라임,1,0,14,59.82,631-1,11215,15
1997,2011,구의동,"19,000",현대프라임,1,0,14,59.82,631-1,11215,9
2001,2011,구의동,"26,000",삼성쉐르빌,1,0,14,84.94,199-18,11215,16
2007,2011,구의동,"35,000",아차산인앤인W클래스102동,1,0,14,140.87,58-25,11215,7
1997,2011,구의동,"31,000",현대프라임,1,0,14,84.99,631-1,11215,9
1996,2011,구의동,"13,000",구의현대2단지,1,100,15,84.88,611,11215,19
2010,2011,구의동,"14,000",아차산휴먼시아,1,0,15,84.68,663,11215,5
2010,2011,구의동,"30,000",아차산휴먼시아,1,0,15,84.76,663,11215,11
1997,2011,구의동,"22,000",구의현대7단지현대홈타운,1,0,15,59.97,587-54,11215,11
1994,2011,구의동,"30,000",구의현대6단지,1,0,15,84.84,610,11215,10
1997,2011,구의동,"23,000",현대프라임,1,0,15,59.82,631-1,11215,15
1996,2011,구의동,"50,000",신원빌라트,1,0,15,244.13,590,11215,9
1996,2011,구의동,"5,000",구의현대2단지,1,140,15,84.91,611,11215,9
2010,2011,구의동,"30,000",아차산휴먼시아,1,0,16,84.68,663,11215,6
1996,2011,구의동,"29,000",구의현대2단지,1,0,17,84.88,611,11215,9
1996,2011,구의동,"28,000",구의현대2단지,1,0,17,84.86,611,11215,4
2006,2011,구의동,"29,500",현대13차폴라트리움,1,0,17,84.85,199-23,11215,7
1996,2011,구의동,"29,000",구의현대2단지,1,0,18,84.86,611,11215,20
2010,2011,구의동,"27,000",아차산휴먼시아,1,0,18,84.68,663,11215,9
1997,2011,구의동,"23,000",현대프라임,1,0,19,59.82,631-1,11215,4
1997,2011,구의동,"22,000",현대프라임,1,0,19,59.82,631-1,11215,14
1992,2011,구의동,"28,000",구의강변우성아파트,1,0,20,84.76,546-7,11215,10
1996,2011,구의동,"27,000",구의현대2단지,1,0,20,84.91,611,11215,22
2007,2011,구의동,"38,000",아차산인앤인W클래스101동,1,0,20,118.81,58-26,11215,3
1997,2011,구의동,"20,000",현대프라임,1,12,20,59.82,631-1,11215,13
1997,2011,구의동,"3,000",현대프라임,1,120,20,59.82,631-1,11215,10
1997,2011,구의동,"3,000",현대프라임,1,120,20,59.82,631-1,11215,28
1997,2011,구의동,"25,000",현대프라임,1,0,20,59.82,631-1,11215,22
1992,2011,구의동,"3,000",구의강변우성아파트,1,145,21,84.76,546-7,11215,11
2008,2011,구의동,"24,200",하늘애,1,0,21,84.4,224-1,11215,2
1996,2011,구의동,"28,000",구의현대2단지,1,0,21,84.91,611,11215,16
1997,2011,구의동,"23,000",현대프라임,1,0,22,59.82,631-1,11215,27
1997,2011,구의동,"7,000",현대프라임,1,80,22,59.82,631-1,11215,11
1997,2011,구의동,"22,000",현대프라임,1,0,22,59.82,631-1,11215,17
1996,2011,구의동,"25,500",구의현대2단지,1,0,22,84.75,611,11215,27
1997,2011,구의동,"20,000",구의현대7단지현대홈타운,1,0,23,59.97,587-54,11215,13
1994,2011,구의동,"22,000",구의현대6단지,1,0,24,84.92,610,11215,3
1997,2011,구의동,"27,000",구의현대7단지현대홈타운,1,0,25,84.99,587-54,11215,9
1997,2011,구의동,"44,000",현대프라임,1,0,25,126.66,631-1,11215,30
1997,2011,구의동,"10,000",구의현대7단지현대홈타운,1,50,25,59.97,587-54,11215,2
1996,2011,구의동,"29,000",구의현대2단지,1,0,25,84.91,611,11215,4
1997,2011,구의동,"4,000",현대프라임,1,110,26,59.82,631-1,11215,21
1997,2011,구의동,"23,500",현대프라임,1,0,26,59.82,631-1,11215,19
1996,2011,구의동,"10,000",구의현대2단지,1,95,27,84.88,611,11215,7
1997,2011,구의동,"23,000",현대프라임,1,0,27,59.82,631-1,11215,19
2004,2011,구의동,"32,000",아크로리버,1,0,28,150.6416,589-10,11215,9
2001,2011,구의동,"24,000",성동강변파크빌101(강변타워),1,0,29,84.97,657,11215,1
2010,2011,구의동,"10,000",아차산휴먼시아,1,140,29,84.68,663,11215,10
1997,2011,구의동,"19,000",현대프라임,1,0,31,59.82,631-1,11215,1
1997,2011,구의동,"50,000",현대프라임,1,0,31,126.66,631-1,11215,6
1996,2011,구의동,"29,000",구의현대2단지,1,0,31,84.88,611,11215,9
1989,2011,광장동,"21,500",현대5,1,0,1,59.67,554-7,11215,19
1997,2011,광장동,"3,100",상록타워아파트,1,0,1,59.4,570,11215,10
2007,2011,광장동,"34,000",신동아파밀리에,1,0,3,84.78,250,11215,7
1996,2011,광장동,"10,000",광나루현대,1,95,3,84.92,567,11215,13
1995,2011,광장동,"32,000","현대8(801동,802동)",1,0,3,84.92,565,11215,15
1996,2011,광장동,"23,000",청구,1,0,4,59.95,566,11215,8
2003,2011,광장동,"45,000",광장11현대홈타운,1,0,4,84.94,579,11215,1
2000,2011,광장동,"31,500",현대파크빌,1,0,4,84.81,577,11215,1
1996,2011,광장동,"23,000",청구,1,0,4,59.95,566,11215,3
1989,2011,광장동,"30,000",삼성광장2,1,0,4,84.66,453-1,11215,3
1990,2011,광장동,"32,500",현대3,1,0,4,84.97,484,11215,9
1989,2011,광장동,"28,000",극동2,1,0,4,84.55,218-1,11215,11
2008,2011,광장동,"58,000",광장자이,1,0,5,158.26,581,11215,6
1990,2011,광장동,"22,000",현대3,1,0,5,59.67,484,11215,21
2007,2011,광장동,"22,000",신동아파밀리에,1,0,5,84.69,250,11215,1
2008,2011,광장동,"40,000",광장자이,1,0,5,158.26,581,11215,12
1990,2011,광장동,"28,500",현대3,1,0,6,84.97,484,11215,2
2001,2011,광장동,"30,000",금호베스트빌,1,0,6,84.91,578,11215,20
1989,2011,광장동,"34,000",현대5,1,0,6,84.53,554-7,11215,10
1999,2011,광장동,"32,000",광장현대9단지,1,0,6,84.96,576,11215,3
1989,2011,광장동,"23,000",현대5,1,0,7,59.67,554-7,11215,19
1987,2011,광장동,"26,000",삼성광장1,1,0,7,79.53,561,11215,5
1996,2011,광장동,"32,000",청구,1,0,7,84.86,566,11215,10
