건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
2007,2011,신설동,"22,000",청계천대성스카이렉스1,1,0,7,75.24,109-13,11230,7
1994,2011,용두동,"15,000",신동아,1,0,4,58.59,779,11230,7
2007,2011,용두동,"25,000",청계천대성스카이렉스2,1,0,5,84.99,255-66,11230,17
2011,2011,용두동,"27,000",래미안 허브리츠,1,0,6,84.96,792,11230,9
2009,2011,용두동,"10,000",용두 두산위브,1,80,8,59.99,791,11230,13
2009,2011,용두동,"23,000",용두 두산위브,1,0,8,59.99,791,11230,4
1994,2011,용두동,"12,000",신동아,1,0,8,58.59,779,11230,1
2009,2011,용두동,"28,000",용두 두산위브,1,0,10,84.99,791,11230,6
2009,2011,용두동,"28,000",용두 두산위브,1,0,10,84.99,791,11230,1
2009,2011,용두동,"27,000",용두 두산위브,1,0,11,84.99,791,11230,17
2009,2011,용두동,"5,000",롯데캐슬피렌체,1,50,13,26.08,790,11230,7
1994,2011,용두동,"15,500",신동아,1,0,16,58.59,779,11230,4
2009,2011,용두동,"24,000",용두 두산위브,1,30,17,84.99,791,11230,16
1994,2011,용두동,"2,000",신동아,1,75,18,49.68,779,11230,13
2009,2011,용두동,"2,000",롯데캐슬피렌체,1,80,18,26.08,790,11230,11
2011,2011,용두동,"14,000",래미안 허브리츠,1,80,20,84.96,792,11230,5
2009,2011,용두동,"25,000",용두 두산위브,1,0,20,59.99,791,11230,3
2011,2011,용두동,"31,000",래미안 허브리츠,1,0,21,84.97,792,11230,14
2009,2011,용두동,"28,000",용두 두산위브,1,0,21,84.99,791,11230,17
2009,2011,용두동,"5,000",롯데캐슬피렌체,1,80,26,37.73,790,11230,6
2009,2011,용두동,"33,000",용두 두산위브,1,0,28,105.6,791,11230,11
2009,2011,용두동,"29,500",용두 두산위브,1,0,29,84.99,791,11230,1
2003,2011,제기동,"21,000",안암골벽산,1,0,5,84.98,153,11230,5
2003,2011,제기동,"17,000",안암골벽산,1,40,6,84.98,153,11230,21
2004,2011,제기동,"16,000",한신,1,0,10,59.84,1212,11230,15
2004,2011,제기동,"23,000",한신,1,0,10,114.885,1212,11230,5
2005,2011,제기동,"22,000",이수브라운스톤,1,0,10,59.73,252,11230,7
2003,2011,제기동,"27,000",안암골벽산,1,0,11,116.69,153,11230,13
2004,2011,제기동,"7,000",한신,1,50,11,59.84,1212,11230,12
2004,2011,제기동,"17,000",한신,1,0,14,84.76,1212,11230,2
2003,2011,제기동,"24,500",안암골벽산,1,0,15,84.98,153,11230,2
2003,2011,제기동,"19,000",안암골벽산,1,0,15,84.98,153,11230,6
2004,2011,제기동,"19,000",한신,1,0,15,84.76,1212,11230,11
2004,2011,제기동,"14,000",한신,1,0,16,59.84,1212,11230,14
1977,2011,제기동,"17,000",경동미주,1,0,17,67.21,892-68,11230,6
2004,2011,제기동,"16,500",한신,1,0,18,84.76,1212,11230,1
2003,2011,제기동,"21,000",안암골벽산,1,0,23,84.98,153,11230,8
2003,2011,제기동,"5,000",안암골벽산,1,100,25,59.94,153,11230,21
2004,2011,제기동,"16,000",한신,1,0,27,59.84,1212,11230,8
2003,2011,제기동,"23,000",안암골벽산,1,0,27,84.98,153,11230,14
1999,2011,제기동,"17,000",현대,1,0,31,59.92,892-66,11230,11
2003,2011,제기동,"33,700",안암골벽산,1,0,31,116.69,153,11230,10
1997,2011,전농동,"5,000",동아,1,80,1,114.81,645-2,11230,18
2000,2011,전농동,656,전농SK(임대),1,9,3,32.77,10-1,11230,8
1992,2011,전농동,"17,500",전농우성,1,0,3,115.56,6,11230,5
2010,2011,전농동,"31,000",래미안아름숲,1,0,3,114.92,688,11230,8
2000,2011,전농동,656,전농SK(임대),1,9,3,32.77,10-1,11230,8
2010,2011,전농동,"5,000",래미안아름숲,1,150,4,84.91,688,11230,4
2010,2011,전농동,"25,000",래미안아름숲,1,0,4,84.92,688,11230,4
2010,2011,전농동,"23,000",래미안아름숲,1,0,4,84.91,688,11230,13
2000,2011,전농동,"20,000",전농SK,1,0,5,84.95,10,11230,11
2000,2011,전농동,"5,000",전농SK,1,80,5,84.95,10,11230,10
2000,2011,전농동,"21,000",전농동삼성래미안,1,0,7,84.98,155,11230,20
1992,2011,전농동,"8,000",전농우성,1,70,7,115.56,6,11230,5
2010,2011,전농동,"32,000",래미안아름숲,1,0,7,114.92,688,11230,6
2000,2011,전농동,"21,000",전농동삼성래미안,1,0,7,84.98,155,11230,15
1992,2011,전농동,"16,000",전농우성,1,0,8,84.84,6,11230,13
1992,2011,전농동,"13,500",전농우성,1,0,8,59.78,6,11230,9
2005,2011,전농동,"18,000",전농동신성미소지움,1,0,8,55.371,687,11230,18
2010,2011,전농동,"15,000",래미안아름숲,1,0,8,84.92,688,11230,4
2005,2011,전농동,"17,000",전농동신성미소지움,1,0,9,55.371,687,11230,16
2000,2011,전농동,"5,000",전농SK,1,67,10,59.34,10,11230,7
2010,2011,전농동,"35,000",래미안아름숲,1,0,10,114.92,688,11230,13
2010,2011,전농동,"25,000",래미안아름숲,1,0,10,84.92,688,11230,11
2000,2011,전농동,"2,874",전농SK(임대),1,0,10,32.77,10-1,11230,22
2010,2011,전농동,"27,000",래미안아름숲,1,0,10,84.92,688,11230,13
2005,2011,전농동,"10,000",전농동신성미소지움,1,50,11,55.371,687,11230,5
