건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
2005,2011,면목동,"20,000",면목동금호어울림아파트,1,0,2,84.0827,1528,11260,1
2000,2011,면목동,"18,000",두산4,1,0,3,84.86,1522,11260,2
1997,2011,면목동,"19,000",성원상떼빌,1,0,4,84.96,1515,11260,14
1994,2011,면목동,"17,000",현대,1,0,4,84.81,1502,11260,2
1994,2011,면목동,"18,000",현대,1,0,4,84.81,1502,11260,2
2009,2011,면목동,"16,000",대명미르테,1,0,5,83.09,1532,11260,9
2000,2011,면목동,"18,000",면목삼호101,1,0,5,83.27,1513,11260,2
1993,2011,면목동,"8,000",용마동아,1,0,6,84.88,1499,11260,2
2000,2011,면목동,"17,000",두산4,1,0,6,59.97,1522,11260,2
2000,2011,면목동,"23,000",두산4,1,0,6,84.87,1522,11260,23
2002,2011,면목동,"19,500",늘푸른동아,1,0,6,84.97,715,11260,19
1994,2011,면목동,"16,000",현대,1,0,6,84.81,1502,11260,20
1987,2011,면목동,"9,500",한신,1,0,7,45.44,193-1,11260,2
2003,2011,면목동,"20,000",동원베네스트,1,0,7,84.86,1508,11260,4
1987,2011,면목동,"2,000",한신,1,40,8,35.3,193-1,11260,15
2000,2011,면목동,"5,000",두산4,1,70,8,59.97,1522,11260,7
2002,2011,면목동,"2,000",늘푸른동아,1,0,9,59.65,715,11260,16
2002,2011,면목동,"20,000",늘푸른동아,1,0,10,84.97,715,11260,14
1990,2011,면목동,"17,000",용마한신,1,0,10,82.39,1077-1,11260,4
2003,2011,면목동,"21,000",대원칸타빌,1,0,10,105.9035,581,11260,9
2006,2011,면목동,"18,000",경남아너스빌,1,0,10,59.981,1529,11260,13
2006,2011,면목동,"22,000",경남아너스빌,1,0,11,84.961,1529,11260,4
1987,2011,면목동,"8,500",한신,1,0,11,45.44,193-1,11260,1
1987,2011,면목동,"1,500",한신,1,35,11,27,193-1,11260,6
1999,2011,면목동,"13,000",일신강변,1,0,11,59.6,1520,11260,5
2000,2011,면목동,"19,000",두산4,1,0,11,84.86,1522,11260,2
2000,2011,면목동,"19,000",두산4,1,0,11,84.86,1522,11260,4
2006,2011,면목동,"17,000",경남아너스빌,1,0,12,59.981,1529,11260,2
1987,2011,면목동,"1,000",한신,1,65,12,44.5,193-1,11260,11
2000,2011,면목동,"19,000",두산4,1,0,12,84.86,1522,11260,3
1998,2011,면목동,"13,000",신성,1,0,12,59.91,1519,11260,13
2002,2011,면목동,"16,000",늘푸른동아,1,0,13,59.65,715,11260,15
2000,2011,면목동,"18,000",면목삼호101,1,0,13,83.08,1513,11260,3
1990,2011,면목동,"2,000",용마한신,1,60,14,44.35,1077-1,11260,13
2002,2011,면목동,"18,000",늘푸른동아,1,0,14,59.65,715,11260,10
2007,2011,면목동,"21,000",마젤란21,1,0,15,78.941,1531,11260,6
1998,2011,면목동,"18,000",신우,1,0,15,84.66,1518,11260,6
1987,2011,면목동,"1,000",한신,1,60,15,44.5,193-1,11260,2
1994,2011,면목동,"18,000",현대,1,0,17,74.79,1502,11260,19
2000,2011,면목동,"22,000",두산4,1,0,17,84.87,1522,11260,22
1997,2011,면목동,"18,200",성원상떼빌,1,0,18,84.96,1515,11260,5
2003,2011,면목동,"19,000",대원칸타빌,1,0,18,79.5359,581,11260,14
1992,2011,면목동,"15,000",용마금호타운,1,0,20,84.9,494,11260,4
2006,2011,면목동,"21,000",경남아너스빌,1,0,21,84.961,1529,11260,9
1997,2011,면목동,"8,000",면목삼익,1,50,21,59.5,1516,11260,6
2007,2011,면목동,"21,500",글로벌파크,1,0,22,93.94,564-1,11260,7
2005,2011,면목동,"16,000",미래한건아파트 101동,1,0,22,84.81,136-77,11260,2
1998,2011,면목동,"19,000",용마한신2,1,0,22,84.51,1073,11260,16
2000,2011,면목동,"21,000",두산4,1,0,23,84.86,1522,11260,7
1998,2011,면목동,"12,000",신성,1,0,24,59.91,1519,11260,1
2003,2011,면목동,"17,000",다울101동,1,0,24,119.48,178-50,11260,6
1993,2011,면목동,"18,000",두산1,1,0,24,84.87,1500,11260,6
1987,2011,면목동,"3,500",한신,1,20,26,27,193-1,11260,4
2003,2011,면목동,"21,000",동원베네스트,1,0,26,84.86,1508,11260,4
1987,2011,면목동,"10,000",한신,1,0,26,45.44,193-1,11260,13
1996,2011,면목동,"10,000",형진,1,0,27,59.94,1512,11260,1
1994,2011,면목동,"17,000",현대,1,0,27,84.09,1502,11260,1
1987,2011,면목동,"7,500",한신,1,0,28,35.3,193-1,11260,13
1990,2011,면목동,"2,000",용마한신,1,50,29,35.44,1077-1,11260,13
2005,2011,면목동,"18,000",면목동2차미소지움아파트,1,0,29,77.62,1530,11260,8
1994,2011,면목동,"18,500",현대,1,0,29,84.99,1502,11260,5
1994,2011,면목동,"19,000",현대,1,0,30,84.81,1502,11260,16
2006,2011,면목동,"13,000",용마산금호어울림,1,0,30,84.699,1525,11260,10
2005,2011,면목동,"19,000",면목동2차미소지움아파트,1,0,30,81.96,1530,11260,2
2000,2011,면목동,"17,000",두산4,1,0,31,59.72,1522,11260,18
2003,2011,면목동,"12,500",동원베네스트,1,0,31,84.86,1508,11260,7
2006,2011,면목동,"17,000",경남아너스빌,1,0,31,59.858,1529,11260,10
2000,2011,면목동,"18,000",면목삼호101,1,0,31,83.08,1513,11260,1
1996,2011,상봉동,"16,000","엘지, 쌍용아파트",1,0,5,68.12,484,11260,8
2003,2011,상봉동,"21,000",한일써너스빌,1,0,5,84.848,81-5,11260,13
2010,2011,상봉동,"15,000",동일스카이시티 102동,1,0,7,62.62,284-13,11260,7
1999,2011,상봉동,"17,000",동부아파트,1,0,8,84.99,495,11260,12
2006,2011,상봉동,"22,500",건영캐스빌,1,0,8,84.6475,499,11260,4
2003,2011,상봉동,"10,000",한일써너스빌,1,50,8,66.254,81-5,11260,20
2003,2011,상봉동,"19,000",한일써너스빌,1,0,8,84.936,81-5,11260,12
1996,2011,상봉동,"16,500",건영2차아파트,1,0,10,84.96,63,11260,20
2003,2011,상봉동,"17,000",태영데시앙1,1,0,15,84.9353,497,11260,8
1997,2011,상봉동,"17,500",건영1,1,0,17,84.96,1,11260,12
1996,2011,상봉동,"15,500","엘지, 쌍용아파트",1,0,17,68.12,484,11260,3
2002,2011,상봉동,"20,000",우정아파트,1,0,18,81.783,496,11260,4
2002,2011,상봉동,"8,500",풍산쉐르빌 102동,1,0,20,47.35,226-25,11260,5
2004,2011,상봉동,"17,000",백운아파트,1,0,21,69.79,84-39,11260,7
2006,2011,상봉동,"22,000",건영캐스빌,1,0,21,84.6475,499,11260,3
1996,2011,상봉동,"17,000","엘지, 쌍용아파트",1,0,24,68.12,484,11260,13
1996,2011,상봉동,"16,000","엘지, 쌍용아파트",1,0,24,68.12,484,11260,10
1999,2011,상봉동,"2,900",동부아파트,1,0,28,84.99,495,11260,11
2009,2011,상봉동,"13,000",동일스카이시티 101동,1,0,28,90.78,284-11,11260,6
1996,2011,상봉동,"16,000",건영2차아파트,1,0,31,84.96,63,11260,7
1996,2011,상봉동,"16,000","엘지, 쌍용아파트",1,0,31,68.12,484,11260,6
2003,2011,상봉동,"22,000",태영데시앙1,1,0,31,84.9353,497,11260,27
2006,2011,중화동,"15,000",태솔,1,0,4,73.65,318-81,11260,5
1998,2011,중화동,"15,000",한신2,1,0,4,59.76,450,11260,13
1998,2011,중화동,"16,000",한신2,1,0,5,84.03,450,11260,19
1995,2011,중화동,"16,000",삼익,1,0,7,80.58,438,11260,11
2007,2011,중화동,"6,000",미영리치타운,1,60,8,84.71,207-14,11260,9
