건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
2004,2011,미아동,"20,000",벽산라이브파크,1,0,1,114.68,1354,11305,10
2004,2011,미아동,"20,000",에스케이북한산시티,1,0,3,114.85,1353,11305,6
2003,2011,미아동,631,삼각산아이원(임대),1,7,3,24.053,1357-2,11305,8
2004,2011,미아동,741,벽산라이브파크(임대),1,11,3,32.94,1354-1,11305,11
2004,2011,미아동,741,벽산라이브파크(임대),1,11,3,32.94,1354-1,11305,1
2008,2011,미아동,"15,000",현대캐슬,1,0,4,66.71,133-12,11305,4
1992,2011,미아동,"5,000",현대(190-2),1,80,4,84.91,190-2,11305,4
2004,2011,미아동,"15,000",에스케이북한산시티,1,0,4,59.98,1353,11305,21
2010,2011,미아동,"22,000",삼성래미안트리베라2단지,1,0,4,84.29,812,11305,13
2004,2011,미아동,"4,000",에스케이북한산시티,1,85,5,84.86,1353,11305,8
2004,2011,미아동,"8,000",에스케이북한산시티,1,55,5,84.76,1353,11305,4
2003,2011,미아동,"16,000",삼각산아이원,1,0,5,84.705,1357,11305,4
2006,2011,미아동,"20,000",미아동부센트레빌,1,0,5,59.96,474,11305,7
2003,2011,미아동,"21,000",삼각산아이원,1,0,5,114.88,1357,11305,12
2004,2011,미아동,"18,000",벽산라이브파크,1,0,5,114.68,1354,11305,6
2006,2011,미아동,"16,500",미아1차래미안,1,0,5,59.9,797,11305,4
2010,2011,미아동,"6,000",삼성래미안트리베라2단지,1,75,6,59.38,812,11305,20
2006,2011,미아동,"13,000",미아동부센트레빌,1,80,6,84.93,474,11305,11
2006,2011,미아동,"25,000",미아동부센트레빌,1,0,6,84.93,474,11305,4
2006,2011,미아동,"22,000",미아동부센트레빌,1,0,6,84.93,474,11305,9
2010,2011,미아동,"22,000",래미안트리베라1단지,1,0,6,84.97,813,11305,8
2004,2011,미아동,"19,000",벽산라이브파크,1,0,6,114.68,1354,11305,8
2010,2011,미아동,"2,605",래미안트리베라2단지(임대),1,26,7,42.2,812,11305,12
2010,2011,미아동,"5,000",송천센트레빌,1,90,7,59.818,461,11305,13
2008,2011,미아동,"20,000",경남아너스빌,1,0,7,84.9134,796,11305,9
2004,2011,미아동,"16,000",에스케이북한산시티,1,0,7,59.98,1353,11305,13
2004,2011,미아동,"13,000",에스케이북한산시티,1,0,7,114.85,1353,11305,19
2004,2011,미아동,"16,000",에스케이북한산시티,1,0,8,59.98,1353,11305,8
2004,2011,미아동,"16,000",에스케이북한산시티,1,0,8,59.98,1353,11305,21
2003,2011,미아동,"18,000",경남아너스빌(1356-0),1,0,8,84.873,1356,11305,2
2003,2011,미아동,"13,000",경남아너스빌(1356-0),1,0,8,84.873,1356,11305,1
2004,2011,미아동,"20,000",에스케이북한산시티,1,0,8,114.85,1353,11305,9
2010,2011,미아동,"19,000",삼성래미안트리베라2단지,1,0,9,59.38,812,11305,4
2003,2011,미아동,"2,544",삼각산아이원(임대),1,0,10,24.053,1357-2,11305,3
2004,2011,미아동,"7,000",벽산라이브파크,1,40,10,59.67,1354,11305,6
2003,2011,미아동,"18,500",삼각산아이원,1,0,10,84.705,1357,11305,20
2003,2011,미아동,"18,000",삼각산아이원,1,0,10,84.705,1357,11305,1
2004,2011,미아동,"19,000",에스케이북한산시티,1,0,10,84.76,1353,11305,12
2004,2011,미아동,"14,000",벽산라이브파크,1,0,10,59.67,1354,11305,7
2004,2011,미아동,"19,000",에스케이북한산시티,1,0,10,114.85,1353,11305,16
2004,2011,미아동,"19,000",에스케이북한산시티,1,0,10,84.86,1353,11305,13
2004,2011,미아동,"7,000",에스케이북한산시티,1,40,10,59.98,1353,11305,3
2003,2011,미아동,"2,544",삼각산아이원(임대),1,0,11,24.053,1357-2,11305,23
2010,2011,미아동,"25,000",송천센트레빌,1,0,11,84.867,461,11305,3
2006,2011,미아동,"24,000",미아동부센트레빌,1,0,11,84.89,474,11305,5
2003,2011,미아동,"21,000",삼각산아이원,1,0,11,114.88,1357,11305,19
2004,2011,미아동,"2,999",벽산라이브파크(임대),1,3,11,32.94,1354-1,11305,18
2002,2011,미아동,"3,000",월드,1,50,11,46.53,311-9,11305,2
2004,2011,미아동,"7,000",벽산라이브파크,1,60,12,84.89,1354,11305,11
2003,2011,미아동,"15,000",경남아너스빌(1356-0),1,0,12,59.964,1356,11305,2
2003,2011,미아동,"5,000",삼각산아이원,1,70,12,84.705,1357,11305,16
2006,2011,미아동,"21,000",미아동부센트레빌,1,0,13,84.93,474,11305,1
2004,2011,미아동,"15,000",벽산라이브파크,1,0,13,60,1354,11305,22
2003,2011,미아동,"20,000",삼각산아이원,1,0,13,114.88,1357,11305,20
2004,2011,미아동,"5,000",에스케이북한산시티,1,85,13,84.76,1353,11305,9
2006,2011,미아동,"15,000",미아1차래미안,1,0,14,59.9,797,11305,3
2008,2011,미아동,"8,000",경남아너스빌,1,50,14,84.9134,796,11305,4
2004,2011,미아동,"14,000",에스케이북한산시티,1,28,14,84.86,1353,11305,20
2004,2011,미아동,"16,000",벽산라이브파크,1,0,14,84.89,1354,11305,17
2004,2011,미아동,"2,500",벽산라이브파크,1,105,15,84.89,1354,11305,20
2003,2011,미아동,"18,500",경남아너스빌(1356-0),1,0,15,84.873,1356,11305,2
2004,2011,미아동,"19,000",에스케이북한산시티,1,0,15,84.86,1353,11305,17
2002,2011,미아동,"17,500",미아한일유앤아이,1,0,17,84.552,1355,11305,8
2004,2011,미아동,"1,065",에스케이북한산시티(임대),1,15,17,32.79,1353-1,11305,19
2004,2011,미아동,"18,500",에스케이북한산시티,1,0,17,84.76,1353,11305,13
2004,2011,미아동,"3,378",벽산라이브파크(임대),1,0,17,32.94,1354-1,11305,13
2004,2011,미아동,"19,000",에스케이북한산시티,1,0,17,84.76,1353,11305,12
2003,2011,미아동,"18,000",경남아너스빌(1356-0),1,0,17,84.873,1356,11305,5
2006,2011,미아동,"25,000",미아동부센트레빌,1,0,17,84.93,474,11305,11
2004,2011,미아동,"3,378",벽산라이브파크(임대),1,0,17,32.94,1354-1,11305,13
2004,2011,미아동,"3,378",벽산라이브파크(임대),1,0,17,32.94,1354-1,11305,4
2004,2011,미아동,"15,000",에스케이북한산시티,1,0,18,59.98,1353,11305,21
2003,2011,미아동,"16,000",경남아너스빌(1356-0),1,0,18,59.964,1356,11305,17
2004,2011,미아동,"3,378",벽산라이브파크(임대),1,0,19,32.94,1354-1,11305,9
2004,2011,미아동,"19,200",에스케이북한산시티,1,0,19,84.76,1353,11305,2
2004,2011,미아동,"21,000",벽산라이브파크,1,0,19,114.68,1354,11305,14
2006,2011,미아동,"16,500",신일해피트리,1,0,20,83.72,1358,11305,4
2004,2011,미아동,"3,378",벽산라이브파크(임대),1,0,20,32.94,1354-1,11305,7
2004,2011,미아동,"3,378",벽산라이브파크(임대),1,0,20,32.94,1354-1,11305,15
2004,2011,미아동,"2,901",에스케이북한산시티(임대),1,0,20,32.79,1353-1,11305,12
2004,2011,미아동,"1,461",벽산라이브파크(임대),1,5,20,32.94,1354-1,11305,1
2004,2011,미아동,"14,000",에스케이북한산시티,1,0,20,59.98,1353,11305,17
2004,2011,미아동,"2,901",에스케이북한산시티(임대),1,0,20,32.79,1353-1,11305,15
1998,2011,미아동,"14,000",현대성우,1,0,20,59.4,561-2,11305,2
2004,2011,미아동,"1,065",에스케이북한산시티(임대),1,15,20,32.79,1353-1,11305,11
2003,2011,미아동,"18,500",경남아너스빌(1356-0),1,0,21,84.873,1356,11305,17
2004,2011,미아동,"18,500",에스케이북한산시티,1,0,21,114.85,1353,11305,17
2006,2011,미아동,"7,500",미아1차래미안,1,50,21,59.9,797,11305,2
1992,2011,미아동,"16,000",현대(190-2),1,0,21,84.91,190-2,11305,8
2004,2011,미아동,"17,500",에스케이북한산시티,1,0,21,84.92,1353,11305,8
2004,2011,미아동,"2,901",에스케이북한산시티(임대),1,0,21,32.79,1353-1,11305,20
2004,2011,미아동,"13,500",벽산라이브파크,1,0,22,59.67,1354,11305,4
2010,2011,미아동,"22,000",래미안트리베라1단지,1,0,22,84.97,813,11305,11
2004,2011,미아동,"15,000",에스케이북한산시티,1,0,22,84.86,1353,11305,11
2004,2011,미아동,"18,000",에스케이북한산시티,1,0,22,84.92,1353,11305,14
2004,2011,미아동,"17,500",벽산라이브파크,1,0,22,84.89,1354,11305,2
2010,2011,미아동,"24,500",삼성래미안트리베라2단지,1,0,22,84.15,812,11305,4
2003,2011,미아동,"20,500",삼각산아이원,1,0,22,84.705,1357,11305,2
2004,2011,미아동,"15,500",에스케이북한산시티,1,0,22,59.98,1353,11305,11
2004,2011,미아동,"8,000",에스케이북한산시티,1,80,22,114.85,1353,11305,9
2003,2011,미아동,"23,000",경남아너스빌(1356-0),1,0,22,114.922,1356,11305,13
2004,2011,미아동,"16,500",에스케이북한산시티,1,0,23,84.71,1353,11305,11
2006,2011,미아동,"30,000",미아동부센트레빌,1,0,24,114.82,474,11305,1
2010,2011,미아동,"18,000",삼성래미안트리베라2단지,1,0,24,59.33,812,11305,3
2004,2011,미아동,"14,000",에스케이북한산시티,1,0,25,59.98,1353,11305,17
2004,2011,미아동,"3,000",벽산라이브파크,1,70,25,59.67,1354,11305,8
2004,2011,미아동,"3,378",벽산라이브파크(임대),1,0,25,32.94,1354-1,11305,11
