건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
2004,2011,쌍문동,"17,000",파라다이스빌,1,0,3,84.61,727,11320,11
2010,2011,쌍문동,"17,000",그린스테이트,1,0,3,78.18,311,11320,8
1989,2011,쌍문동,"7,800",한양4,1,0,3,35.1,59,11320,5
1988,2011,쌍문동,"11,500",삼익세라믹,1,0,3,58.77,56,11320,6
1991,2011,쌍문동,"11,800",한양5,1,0,4,65.37,59-3,11320,6
1990,2011,쌍문동,"6,500",금호1,1,0,4,36.36,199-1,11320,14
1988,2011,쌍문동,"2,000",삼익세라믹,1,58,5,58.77,56,11320,7
2010,2011,쌍문동,"16,000",그린스테이트,1,0,5,73.12,311,11320,4
1986,2011,쌍문동,"10,000",한양1,1,0,5,50.58,388-33,11320,6
2002,2011,쌍문동,"14,000",한양6,1,0,6,83.86,59-5,11320,6
2006,2011,쌍문동,"18,000",브라운스톤쌍문,1,0,6,84.969,729,11320,1
1988,2011,쌍문동,"11,000",삼익세라믹,1,0,6,58.77,56,11320,14
1989,2011,쌍문동,"7,500",한양4,1,0,6,35.1,59,11320,9
2002,2011,쌍문동,"15,000",한양6,1,0,6,83.86,59-5,11320,11
1989,2011,쌍문동,"7,800",한양4,1,0,7,35.1,59,11320,11
2007,2011,쌍문동,"23,000",e편한세상,1,0,7,84.75,731,11320,15
1989,2011,쌍문동,"1,000",한양4,1,40,8,35.1,59,11320,2
1996,2011,쌍문동,"14,500",극동,1,0,10,84.79,721,11320,9
2010,2011,쌍문동,"14,000",그린스테이트,1,0,10,73.12,311,11320,6
2010,2011,쌍문동,"16,000",그린스테이트,1,0,10,73.12,311,11320,4
1990,2011,쌍문동,"1,000",금호1,1,45,10,36.36,199-1,11320,10
1989,2011,쌍문동,"6,500",한양4,1,0,10,35.1,59,11320,1
1989,2011,쌍문동,"13,500",성원,1,0,10,84.98,53,11320,3
1988,2011,쌍문동,"8,000",삼익세라믹,1,0,10,40.11,56,11320,9
1988,2011,쌍문동,"11,500",삼익세라믹,1,0,11,58.77,56,11320,11
1986,2011,쌍문동,"13,000",한양1,1,0,11,66.33,388-33,11320,11
1988,2011,쌍문동,"15,000",삼익세라믹,1,0,12,79.98,56,11320,6
1988,2011,쌍문동,"8,500",삼익세라믹,1,0,12,42.93,56,11320,15
1989,2011,쌍문동,"8,000",한양4,1,0,12,35.1,59,11320,14
1989,2011,쌍문동,"3,000",한양4,1,20,12,28.71,59,11320,4
1987,2011,쌍문동,"11,000",동익미라벨,1,0,12,65.42,285-5,11320,11
1986,2011,쌍문동,"16,000",한양1,1,0,12,79.2,388-33,11320,8
1993,2011,쌍문동,"4,000",한양7,1,70,13,71.22,158,11320,9
2006,2011,쌍문동,"16,000",브라운스톤쌍문,1,0,13,74.8016,729,11320,3
1988,2011,쌍문동,"16,000",삼익세라믹,1,0,14,79.98,56,11320,10
2002,2011,쌍문동,"14,000",한양6,1,0,14,83.86,59-5,11320,1
2004,2011,쌍문동,"18,000",파라다이스빌,1,0,15,84.61,727,11320,10
2010,2011,쌍문동,"17,000",그린스테이트,1,0,15,78.18,311,11320,5
1986,2011,쌍문동,"12,000",한양1,1,0,15,66.33,388-33,11320,9
2010,2011,쌍문동,"16,000",그린스테이트,1,0,17,73.12,311,11320,5
1988,2011,쌍문동,"7,000",기용,1,0,17,41.31,153,11320,2
2002,2011,쌍문동,"19,500",쌍문동삼성래미안,1,0,18,84.9383,725,11320,12
1989,2011,쌍문동,"12,000",성원,1,0,19,71.78,53,11320,12
1993,2011,쌍문동,"15,000",현대2,1,0,19,85,50,11320,13
2002,2011,쌍문동,"15,000",쌍문동삼성래미안,1,0,19,59.9899,725,11320,4
1988,2011,쌍문동,"7,800",경남,1,0,19,44.5,73,11320,11
1991,2011,쌍문동,"13,000",금호2,1,0,19,84.46,산69-1,11320,1
1989,2011,쌍문동,"1,000",한양4,1,40,19,28.71,59,11320,15
1990,2011,쌍문동,"12,000",금호1,1,0,19,70.13,199-1,11320,15
1988,2011,쌍문동,"9,000",삼익세라믹,1,0,19,42.93,56,11320,6
1988,2011,쌍문동,"12,000",삼익세라믹,1,0,19,58.77,56,11320,8
2010,2011,쌍문동,"16,000",그린스테이트,1,0,19,73.12,311,11320,5
2006,2011,쌍문동,"20,000",브라운스톤쌍문,1,0,20,84.99,729,11320,9
2010,2011,쌍문동,"17,000",그린스테이트,1,0,20,78.18,311,11320,4
