건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
2003,2011,수색동,"13,000",대림한숲,1,0,5,59.895,415-1,11380,5
2003,2011,수색동,"3,000",대림한숲,1,80,7,84.951,415-1,11380,6
2003,2011,수색동,"15,500",대림한숲,1,0,7,59.895,415-1,11380,4
2003,2011,수색동,"18,000",대림한숲,1,0,8,84.951,415-1,11380,14
2003,2011,수색동,"10,000",대림한숲,1,50,9,84.951,415-1,11380,9
2007,2011,수색동,"5,000",제일아파트가동(345-4),1,60,10,90.06,345-4,11380,1
2007,2011,수색동,"12,000",제일아파트가동(345-4),1,0,10,90.06,345-4,11380,2
2000,2011,수색동,"19,000",청구,1,0,12,84.76,413,11380,7
2003,2011,수색동,"14,500",대림한숲,1,0,15,59.895,415-1,11380,10
2003,2011,수색동,"17,000",대림한숲,1,0,15,84.951,415-1,11380,9
2003,2011,수색동,"17,500",대림한숲,1,0,17,84.951,415-1,11380,8
2000,2011,수색동,"15,000",청구,1,0,18,59.97,413,11380,5
2003,2011,수색동,"17,200",대림한숲,1,0,21,84.951,415-1,11380,10
2003,2011,수색동,"15,000",대림한숲,1,0,24,59.895,415-1,11380,8
2001,2011,수색동,"15,000",밀레니엄삼우,1,0,25,114.3,148-2,11380,5
2000,2011,수색동,"15,000",청구,1,0,25,59.83,413,11380,7
2003,2011,수색동,"16,000",대림한숲,1,0,26,84.951,415-1,11380,2
2003,2011,수색동,"18,000",대림한숲,1,0,26,84.951,415-1,11380,5
2003,2011,수색동,"20,000",대림한숲,1,0,27,114.18,415-1,11380,7
2003,2011,수색동,"20,000",진흥엣세벨,1,0,27,106.423,416-1,11380,5
2003,2011,수색동,"17,000",대림한숲,1,0,29,84.951,415-1,11380,6
2003,2011,수색동,"16,000",대림한숲,1,0,29,84.951,415-1,11380,8
2003,2011,수색동,"15,000",대림한숲,1,0,30,59.895,415-1,11380,9
2003,2011,수색동,"15,000",진흥엣세벨,1,0,30,57.5033,416-1,11380,13
2002,2011,녹번동,"18,000",녹번JR아파트,1,0,5,84.923,280-1,11380,7
2008,2011,녹번동,"15,000",거성,1,0,5,63.34,83-37,11380,4
2000,2011,녹번동,"17,000",대신홈타운(168-33),1,0,7,83.85,168-33,11380,6
2002,2011,녹번동,"16,000",녹번JR아파트,1,0,10,59.866,280-1,11380,17
2002,2011,녹번동,"18,000",녹번JR아파트,1,0,14,84.923,280-1,11380,13
2001,2011,녹번동,"20,000",녹번2현대,1,0,15,84.94,278-1,11380,6
