건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
2010,2011,충정로3가,"9,000",충림예하임,1,90,8,84.6,477,11410,7
2010,2011,충정로3가,"23,000",충림예하임,1,0,11,84.6,477,11410,3
2010,2011,충정로3가,"23,000",충림예하임,1,0,12,84.6,477,11410,8
2010,2011,충정로3가,"24,000",충림예하임,1,0,14,84.6,477,11410,3
2004,2011,충정로3가,"3,000",충정리시온,1,100,15,45.75,465,11410,17
1987,2011,충정로3가,"20,000",피어리스,1,0,19,84.24,222,11410,11
2010,2011,충정로3가,"24,000",충림예하임,1,0,21,84.6,477,11410,2
2004,2011,충정로3가,"4,000",충정리시온,1,90,22,44.88,465,11410,11
2004,2011,충정로3가,"3,500",충정리시온,1,90,26,44.88,465,11410,10
2010,2011,충정로3가,"3,000",충림예하임,1,130,28,84.6,477,11410,4
2004,2011,충정로3가,"10,000",충정리시온,1,45,31,45.89,465,11410,13
2008,2011,합동,"5,000",에스케이뷰,1,0,5,84.909,118,11410,13
2008,2011,합동,"24,000",에스케이뷰,1,0,10,59.956,118,11410,4
2008,2011,합동,"10,000",에스케이뷰,1,200,18,84.909,118,11410,13
2008,2011,합동,"30,000",에스케이뷰,1,0,18,84.909,118,11410,6
2008,2011,합동,"30,000",에스케이뷰,1,0,29,84.909,118,11410,10
1971,2011,미근동,"1,000",서소문,1,50,31,39.34,215,11410,3
2011,2011,냉천동,"36,000",돈의문센트레빌,1,0,3,84.99,261,11410,6
2002,2011,냉천동,"18,500",동부센트레빌,1,0,6,84.93,260,11410,4
2002,2011,냉천동,"20,000",동부센트레빌,1,0,6,59.86,260,11410,13
2002,2011,냉천동,"20,000",동부센트레빌,1,0,8,59.86,260,11410,5
2011,2011,냉천동,"6,000",돈의문센트레빌,1,170,12,84.99,261,11410,3
2002,2011,냉천동,"17,000",동부센트레빌,1,15,20,59.86,260,11410,9
2011,2011,냉천동,"3,000",돈의문센트레빌,1,150,24,59.98,261,11410,2
2011,2011,냉천동,"41,000",돈의문센트레빌,1,0,27,114.98,261,11410,10
2011,2011,냉천동,"27,000",돈의문센트레빌,1,0,28,59.98,261,11410,6
2011,2011,냉천동,"37,000",돈의문센트레빌,1,0,29,84.99,261,11410,6
2002,2011,냉천동,"30,000",동부센트레빌,1,0,31,114.92,260,11410,3
2006,2011,천연동,"3,000",천연뜨란채,1,100,9,56.02,145,11410,4
2006,2011,천연동,"27,000",천연뜨란채,1,0,10,75.55,145,11410,4
2006,2011,천연동,"22,000",천연뜨란채,1,0,11,57.78,145,11410,9
2006,2011,천연동,"4,000",천연뜨란채,1,100,13,57.78,145,11410,12
2006,2011,천연동,"29,000",천연뜨란채,1,0,17,75.55,145,11410,9
2006,2011,천연동,"28,000",천연뜨란채,1,0,29,84.74,145,11410,6
1995,2011,영천동,"19,000",독립문삼호,1,0,2,75.66,100,11410,9
