건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
1994,2011,신도림동,"14,500",우성5,1,0,3,59.91,638,11530,3
2006,2011,신도림동,"5,000",SK VIEW,1,100,3,84.96,432-1,11530,20
1999,2011,신도림동,"19,500",대림1,1,0,3,59.93,642,11530,9
1996,2011,신도림동,"25,000",우성2,1,0,3,84.82,639,11530,10
2006,2011,신도림동,"23,000",SK VIEW,1,0,4,84.98,432-1,11530,27
2001,2011,신도림동,"3,000",대림2,1,100,4,59.93,642,11530,14
2008,2011,신도림동,"37,000",신도림2차푸르지오,1,0,4,122.02,338,11530,9
2000,2011,신도림동,"20,000",동아2,1,0,4,59.595,644,11530,20
1987,2011,신도림동,"17,000",미성,1,0,5,83.67,290,11530,5
2003,2011,신도림동,"33,000",대림e-편한세상4,1,0,5,84.78,646,11530,14
1993,2011,신도림동,"3,000",우성3,1,120,5,84.75,637,11530,7
1999,2011,신도림동,"25,500",대림1,1,0,5,101.48,642,11530,12
2006,2011,신도림동,"4,000",SK VIEW,1,120,6,84.96,432-1,11530,11
1999,2011,신도림동,"17,000",대림1,1,0,6,59.9,642,11530,2
2003,2011,신도림동,"28,000",대림e-편한세상5,1,0,6,84.789,647,11530,8
2000,2011,신도림동,"18,000",동아3,1,0,7,60,645,11530,18
2004,2011,신도림동,"24,000",대림e-편한세상7,1,0,7,84.928,649,11530,3
1996,2011,신도림동,"23,000",우성2,1,0,7,84.82,639,11530,7
2003,2011,신도림동,"27,000",대림e-편한세상5,1,0,7,84.789,647,11530,9
2004,2011,신도림동,"29,000",대림e-편한세상7,1,0,7,84.928,649,11530,15
2008,2011,신도림동,"39,000",신도림2차푸르지오,1,0,8,122.02,338,11530,19
1999,2011,신도림동,"22,000",대림1,1,0,8,84.95,642,11530,8
1999,2011,신도림동,"25,000",동아1,1,0,8,84.908,643,11530,20
1987,2011,신도림동,"13,000",미성,1,0,8,52.45,290,11530,1
1999,2011,신도림동,"24,500",동아1,1,0,8,84.908,643,11530,3
2003,2011,신도림동,"28,500",대림e-편한세상5,1,0,8,84.789,647,11530,15
2008,2011,신도림동,"40,000",신도림2차푸르지오,1,0,8,122.02,338,11530,12
1987,2011,신도림동,"13,000",미성,1,0,8,66.03,290,11530,10
2008,2011,신도림동,"40,000",신도림2차푸르지오,1,0,9,122.02,338,11530,13
1987,2011,신도림동,"10,000",미성,1,0,10,37.91,290,11530,6
2003,2011,신도림동,"28,000",대림e-편한세상5,1,0,10,84.789,647,11530,16
2006,2011,신도림동,"24,500",SK VIEW,1,0,10,84.99,432-1,11530,10
2006,2011,신도림동,"25,000",SK VIEW,1,0,10,84.96,432-1,11530,28
2003,2011,신도림동,"27,000",대림e-편한세상5,1,0,11,84.789,647,11530,3
1996,2011,신도림동,"24,000",우성2,1,0,11,84.82,639,11530,8
2001,2011,신도림동,"27,000",대림2,1,0,11,101.48,642,11530,17
1987,2011,신도림동,"3,000",미성,1,45,12,37.91,290,11530,8
2000,2011,신도림동,"20,500",동아3,1,0,12,60,645,11530,3
1999,2011,신도림동,"23,500",대림1,1,0,12,84.95,642,11530,21
1996,2011,신도림동,"18,000",우성2,1,0,12,84.94,639,11530,5
1999,2011,신도림동,"30,000",동아1,1,0,12,169.199,643,11530,22
1996,2011,신도림동,"9,000",우성2,1,0,12,84.82,639,11530,3
1997,2011,신도림동,"2,000",신성은하수,1,80,12,59.88,640,11530,6
1999,2011,신도림동,"25,000",동아1,1,0,13,84.908,643,11530,25
1999,2011,신도림동,"20,000",대림1,1,0,13,59.9,642,11530,7
1999,2011,신도림동,"33,000",동아1,1,0,13,169.199,643,11530,19
2000,2011,신도림동,"21,000",동아3,1,0,13,60,645,11530,26
1999,2011,신도림동,"18,500",대림1,1,0,14,59.88,642,11530,23
1997,2011,신도림동,"3,000",신성은하수,1,80,14,59.88,640,11530,7
2003,2011,신도림동,"28,000",대림e-편한세상4,1,0,14,84.78,646,11530,5
2003,2011,신도림동,"33,000",대림e-편한세상4,1,0,14,84.78,646,11530,19
2006,2011,신도림동,"24,000",SK VIEW,1,0,15,84.99,432-1,11530,17
2001,2011,신도림동,"10,000",대림2,1,60,15,59.88,642,11530,9
1999,2011,신도림동,"25,000",동아1,1,0,15,84.908,643,11530,6
2003,2011,신도림동,"34,000",대림e-편한세상4,1,0,15,84.78,646,11530,3
1987,2011,신도림동,"15,000",미성,1,0,15,66.03,290,11530,12
1992,2011,신도림동,"16,000",우성1,1,0,15,73.18,312-17,11530,9
1992,2011,신도림동,"18,000",우성1,1,0,15,73.18,312-17,11530,7
2006,2011,신도림동,"24,500",SK VIEW,1,0,15,84.99,432-1,11530,13
2006,2011,신도림동,"22,000",SK VIEW,1,0,15,84.96,432-1,11530,8
2001,2011,신도림동,"19,000",대림2,1,0,15,59.82,642,11530,2
1999,2011,신도림동,"24,000",대림1,1,0,15,84.95,642,11530,6
1999,2011,신도림동,"16,500",대림1,1,0,15,59.88,642,11530,27
1999,2011,신도림동,"8,000",동아1,1,100,15,84.908,643,11530,4
2003,2011,신도림동,"28,000",대림e-편한세상5,1,0,16,84.789,647,11530,22
1987,2011,신도림동,"9,500",미성,1,0,16,37.91,290,11530,3
1999,2011,신도림동,"25,000",동아1,1,0,17,84.908,643,11530,24
1987,2011,신도림동,"13,000",미성,1,0,17,52.45,290,11530,7
2003,2011,신도림동,"28,000",대림e-편한세상5,1,0,17,84.789,647,11530,5
2003,2011,신도림동,"22,500",대림e-편한세상6,1,0,18,84.816,648,11530,9
2001,2011,신도림동,"5,000",대림2,1,120,18,84.95,642,11530,22
1999,2011,신도림동,"18,000",현대홈타운아파트,1,0,18,59.73,641,11530,5
2003,2011,신도림동,"25,800",대림e-편한세상5,1,0,18,84.789,647,11530,2
2000,2011,신도림동,"28,000",동아3,1,0,19,84.99,645,11530,19
1999,2011,신도림동,"25,000",동아1,1,0,19,84.908,643,11530,27
2000,2011,신도림동,"29,000",동아3,1,0,19,84.99,645,11530,17
2006,2011,신도림동,"25,000",SK VIEW,1,0,19,84.96,432-1,11530,25
1999,2011,신도림동,"32,000",대림1,1,0,20,134.99,642,11530,15
1987,2011,신도림동,"13,000",미성,1,0,20,52.45,290,11530,3
1999,2011,신도림동,"20,000",동아1,1,0,20,59.978,643,11530,25
1999,2011,신도림동,"27,000",동아1,1,0,21,84.908,643,11530,20
2003,2011,신도림동,"26,000",대림e-편한세상6,1,0,22,84.816,648,11530,14
1987,2011,신도림동,"12,000",미성,1,0,22,52.45,290,11530,5
1999,2011,신도림동,"19,000",대림1,1,0,22,59.88,642,11530,15
1987,2011,신도림동,"15,000",미성,1,0,24,66.03,290,11530,11
2003,2011,신도림동,"33,000",대림e-편한세상4,1,0,24,84.78,646,11530,1
2003,2011,신도림동,"28,000",대림e-편한세상5,1,0,24,84.789,647,11530,17
1987,2011,신도림동,"14,000",미성,1,0,24,66.03,290,11530,8
1999,2011,신도림동,"22,000",동아1,1,0,25,59.978,643,11530,1
1999,2011,신도림동,"20,000",대림1,1,0,27,59.93,642,11530,21
2000,2011,신도림동,"19,000",동아2,1,0,27,59.595,644,11530,19
1999,2011,신도림동,"25,000",동아1,1,0,27,84.908,643,11530,24
2004,2011,신도림동,"26,500",대림e-편한세상7,1,0,27,84.928,649,11530,14
1992,2011,신도림동,"22,000",우성1,1,0,28,84.96,312-17,11530,12
2000,2011,신도림동,"20,000",동아2,1,60,28,84.908,644,11530,14
1999,2011,신도림동,"24,000",대림1,1,0,29,84.95,642,11530,7
1987,2011,신도림동,"13,000",미성,1,0,29,52.45,290,11530,11
2000,2011,신도림동,"5,000",동아2,1,120,29,84.908,644,11530,15
1999,2011,신도림동,"25,000",동아1,1,0,30,84.908,643,11530,5
1992,2011,신도림동,"22,000",우성1,1,0,30,73.18,312-17,11530,13
1997,2011,신도림동,"8,000",신성은하수,1,50,30,59.88,640,11530,3
2002,2011,신도림동,"8,000",성광빌딩,1,0,31,36.96,309-6,11530,8
2001,2011,신도림동,"3,000",대림2,1,140,31,101.48,642,11530,13
2006,2011,구로동,"9,000",구로두산위브,1,33,3,36.88,1278,11530,2
2003,2011,구로동,"18,000",신성미소지움,1,0,3,84.23,1274,11530,9
2004,2011,구로동,"18,000",신도림LG자이,1,0,3,84.952,42,11530,12
2006,2011,구로동,"20,000",구로에스케이뷰,1,0,3,84.945,567-4,11530,14
2005,2011,구로동,"18,000",순영웰라이빌2차,1,0,3,65.54,97-2,11530,8
1987,2011,구로동,"12,000",주공2,1,0,3,49.94,685-223,11530,7
1998,2011,구로동,"14,000",구로두산,1,0,3,44.64,1265,11530,9
