건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
1998,2011,가산동,"12,000",주상복합두산,1,0,10,59.25,772,11545,9
1998,2011,가산동,"18,000",삼익,1,0,15,84.69,234-46,11545,10
1998,2011,가산동,"15,000",두산,1,0,15,59.84,769,11545,9
2004,2011,가산동,"13,000",드림캐슬,1,0,17,79.17,235-57,11545,4
1998,2011,가산동,"22,000",두산,1,0,20,134.95,769,11545,8
1998,2011,가산동,"15,500",두산,1,0,20,59.84,769,11545,23
1998,2011,가산동,"17,000",두산,1,0,24,84.9,769,11545,1
1998,2011,가산동,"9,500",주상복합두산,1,0,29,47.15,772,11545,9
1998,2011,가산동,"22,000",두산,1,0,30,134.95,769,11545,4
1998,2011,가산동,"16,000",두산,1,0,30,59.84,769,11545,13
1998,2011,가산동,"12,000",주상복합두산,1,0,31,59.25,772,11545,7
1990,2011,독산동,"3,000",독산주공14단지,1,30,1,44.94,1088,11545,13
1991,2011,독산동,"16,000",한신아파트,1,0,4,89.46,1093-4,11545,11
2002,2011,독산동,"15,000",금천현대,1,0,6,84.83,711-2,11545,16
1990,2011,독산동,"8,100",독산주공14단지,1,0,6,38.64,1088,11545,10
2002,2011,독산동,"14,000",금천현대,1,0,7,84.83,711-2,11545,1
2004,2011,독산동,"18,000",독산동중앙하이츠빌,1,0,8,84.8768,1140,11545,22
1997,2011,독산동,"17,000",진도2차,1,0,8,84.58,1133,11545,14
1990,2011,독산동,"8,000",독산주공14단지,1,0,10,38.64,1088,11545,1
2004,2011,독산동,"17,000",독산동중앙하이츠빌,1,0,10,84.8768,1140,11545,2
1991,2011,독산동,"2,000",한신아파트,1,80,10,89.46,1093-4,11545,11
2002,2011,독산동,"15,000",금천현대,1,0,11,84.83,711-2,11545,11
1991,2011,독산동,"17,000",한신아파트,1,0,12,89.46,1093-4,11545,13
2004,2011,독산동,"19,500",독산동중앙하이츠빌,1,0,12,84.8768,1140,11545,11
2004,2011,독산동,"18,000",독산동중앙하이츠빌,1,0,12,84.8768,1140,11545,14
2004,2011,독산동,"7,000",독산동중앙하이츠빌,1,70,14,84.8768,1140,11545,7
1991,2011,독산동,"15,000",한신아파트,1,0,14,89.46,1093-4,11545,5
2002,2011,독산동,"13,000",금천현대,1,0,15,59.82,711-2,11545,4
1990,2011,독산동,"14,000",독산주공14단지,1,0,17,84.79,1088,11545,10
1990,2011,독산동,"13,000",독산주공14단지,1,0,17,59.22,1088,11545,10
2002,2011,독산동,"15,300",금천현대,1,0,17,84.83,711-2,11545,4
2004,2011,독산동,"18,000",독산동중앙하이츠빌,1,0,19,84.8768,1140,11545,20
2004,2011,독산동,"34,000",독산동중앙하이츠빌,1,0,19,84.8768,1140,11545,11
1999,2011,독산동,"14,000",진도3차아파트,1,0,21,79.71,1136,11545,14
2004,2011,독산동,"18,000",독산동중앙하이츠빌,1,0,21,84.8768,1140,11545,18
1990,2011,독산동,"8,000",독산주공14단지,1,0,21,44.94,1088,11545,6
2004,2011,독산동,"17,000",독산동중앙하이츠빌,1,0,22,84.8768,1140,11545,6
2004,2011,독산동,"17,500",독산동중앙하이츠빌,1,0,22,84.8768,1140,11545,10
2002,2011,독산동,"15,500",각산,1,0,23,84.78,1093-5,11545,10
1999,2011,독산동,"16,000",진도3차아파트,1,0,23,79.71,1136,11545,18
2004,2011,독산동,"1,000",독산동중앙하이츠빌,1,30,24,84.8768,1140,11545,11
2008,2011,독산동,"15,000",이랜드해가든,1,0,24,84.927,1143,11545,6
2004,2011,독산동,"19,000",독산동중앙하이츠빌,1,0,26,84.8768,1140,11545,21
1990,2011,독산동,309,독산주공13단지,1,0,26,40.32,1088-1,11545,2
2004,2011,독산동,"17,000",한아프라임102동,1,0,27,84.95,147-1,11545,4
2004,2011,독산동,"14,200",독산동중앙하이츠빌,1,0,27,84.8768,1140,11545,16
2006,2011,독산동,"17,500",을미월드힐,1,0,28,84.87,958,11545,4
1996,2011,독산동,"12,000",진도1차,1,0,28,59.94,1002,11545,6
2003,2011,독산동,"16,000",동심,1,0,31,84.3668,184-4,11545,5
2008,2011,독산동,"18,000",이랜드해가든,1,0,31,84.927,1143,11545,9
2004,2011,시흥동,"20,000",관악산벽산타운5,1,0,1,114.84,1013,11545,15
2003,2011,시흥동,"16,000",백운한비치,1,0,1,78.1642,1012,11545,5
1999,2011,시흥동,"19,000",삼익,1,0,3,114.48,5-13,11545,13
1999,2011,시흥동,"13,000",삼익,1,0,3,59.9,5-13,11545,5
2004,2011,시흥동,"17,000",관악산벽산타운5,1,0,4,84.97,1013,11545,3
1984,2011,시흥동,"6,000",현대(220-2),1,0,4,49.14,220-2,11545,2
2004,2011,시흥동,"13,700",관악산벽산타운5,1,0,4,59.34,1013,11545,13
2004,2011,시흥동,"19,000",관악산벽산타운5,1,0,4,114.84,1013,11545,3
2000,2011,시흥동,"19,000",벽산,1,0,4,114.84,1010,11545,11
1999,2011,시흥동,"12,000",삼익,1,0,5,59.9,5-13,11545,2
2004,2011,시흥동,"15,000",한빛무궁화101동,1,0,6,68.309,1016,11545,9
2004,2011,시흥동,"15,000",시흥베르빌,1,0,6,58.96,1015,11545,5
1999,2011,시흥동,"19,500",삼익,1,0,7,114.48,5-13,11545,9
2004,2011,시흥동,"20,000",관악산벽산타운5,1,0,8,114.84,1013,11545,10
1980,2011,시흥동,"7,500",무지개,1,0,8,53.75,109-1,11545,3
2000,2011,시흥동,"17,000",벽산,1,0,8,114.84,1010,11545,11
1989,2011,시흥동,"7,500",남서울건영2,1,0,8,41.34,384-12,11545,11
1989,2011,시흥동,"7,000",남서울건영2,1,0,8,41.34,384-12,11545,5
1989,2011,시흥동,"7,000",남서울건영2,1,0,10,41.34,384-12,11545,6
2000,2011,시흥동,"13,000",금강,1,0,10,59.95,1008,11545,10
2004,2011,시흥동,"16,000",관악산벽산타운5,1,0,10,84.97,1013,11545,5
2004,2011,시흥동,"18,000",시흥베르빌,1,0,11,84.94,1015,11545,15
2004,2011,시흥동,"16,500",관악산벽산타운5,1,0,11,84.97,1013,11545,10
2004,2011,시흥동,"14,000",관악산벽산타운5,1,0,11,59.34,1013,11545,14
2004,2011,시흥동,"17,000",관악산벽산타운5,1,0,11,84.97,1013,11545,17
2000,2011,시흥동,"16,000",벽산,1,0,11,114.84,1010,11545,2
2003,2011,시흥동,"9,500",산호시티빌,1,0,11,41.58,999-1,11545,9
1982,2011,시흥동,"12,000",남서울건영아파트,1,0,13,77.02,992-2,11545,12
2000,2011,시흥동,"18,000",벽산,1,0,13,114.84,1010,11545,17
2000,2011,시흥동,"19,000",벽산,1,0,14,114.84,1010,11545,12
1998,2011,시흥동,"13,500",벽산3,1,0,15,59.94,1006,11545,12
1980,2011,시흥동,"6,000",무지개,1,0,15,53.75,109-1,11545,10
1999,2011,시흥동,"13,000",삼익,1,0,15,59.9,5-13,11545,5
1980,2011,시흥동,"7,000",무지개,1,0,17,53.79,109-1,11545,10
1999,2011,시흥동,"13,000",삼익,1,0,17,59.9,5-13,11545,5
2004,2011,시흥동,"16,000",관악산벽산타운5,1,0,17,84.97,1013,11545,1
2000,2011,시흥동,"15,500",벽산,1,0,17,84.99,1010,11545,1
2000,2011,시흥동,"18,000",벽산,1,0,17,114.84,1010,11545,4
2003,2011,시흥동,"8,500",산호시티빌,1,0,18,41.58,999-1,11545,12
1984,2011,시흥동,"1,000",현대(220-2),1,40,18,49.14,220-2,11545,5
2000,2011,시흥동,"15,500",벽산,1,0,19,84.99,1010,11545,6
2003,2011,시흥동,"9,500",산호시티빌,1,0,19,41.58,999-1,11545,4
2004,2011,시흥동,"14,000",관악산벽산타운5,1,0,19,59.34,1013,11545,5
2004,2011,시흥동,"5,000",관악산벽산타운5,1,55,20,59.34,1013,11545,19
1999,2011,시흥동,"12,100",삼익,1,0,20,59.9,5-13,11545,14
2004,2011,시흥동,"17,500",관악산벽산타운5,1,0,20,114.84,1013,11545,1
1999,2011,시흥동,"13,000",삼익,1,0,20,59.9,5-13,11545,13
2008,2011,시흥동,"3,000",백운한비치Ⅱ,1,0,20,84.668,1018,11545,6
1981,2011,시흥동,"11,000",럭키남서울아파트,1,0,21,49.75,1002-1,11545,10
1984,2011,시흥동,"8,000",현대(220-2),1,0,21,49.14,220-2,11545,5
2004,2011,시흥동,"17,000",관악산벽산타운5,1,0,22,84.97,1013,11545,19
2004,2011,시흥동,"14,000",관악산벽산타운5,1,0,22,59.34,1013,11545,8
1998,2011,시흥동,"15,000",벽산3,1,0,24,84.96,1006,11545,16
1981,2011,시흥동,"9,000",럭키남서울아파트,1,0,24,49.79,1002-1,11545,11
1989,2011,시흥동,"8,500",남서울건영2,1,0,25,41.34,384-12,11545,9
2002,2011,시흥동,"14,000",우방,1,0,25,59.91,1011,11545,5
2000,2011,시흥동,"2,578",벽산,1,13,26,32.7,1010,11545,17
1998,2011,시흥동,"13,000",벽산3,1,0,26,59.94,1006,11545,17
1989,2011,시흥동,"16,000",남서울건영2,1,0,26,84.82,384-12,11545,8
1984,2011,시흥동,"7,500",현대(220-2),1,0,26,49.14,220-2,11545,2
2006,2011,시흥동,"20,000",관악산신도브래뉴,1,0,27,94.6,1017,11545,8
2000,2011,시흥동,941,벽산,1,13,27,32.7,1010,11545,17
2000,2011,시흥동,"17,000",벽산,1,0,27,84.99,1010,11545,2
2002,2011,시흥동,"7,000",우방,1,50,27,59.91,1011,11545,22
2006,2011,시흥동,"17,000",관악산신도브래뉴,1,0,27,84.8,1017,11545,8
1981,2011,시흥동,"10,000",럭키남서울아파트,1,0,27,49.75,1002-1,11545,6
2004,2011,시흥동,"18,000",관악산벽산타운5,1,0,27,84.97,1013,11545,5
1989,2011,시흥동,"13,000",남서울건영2,1,0,28,61.14,384-12,11545,7
2000,2011,시흥동,"17,000",벽산,1,0,28,114.84,1010,11545,15
2004,2011,시흥동,"15,500",관악산벽산타운5,1,0,28,84.97,1013,11545,3
1998,2011,시흥동,"15,000",벽산3,1,0,28,114.98,1006,11545,11
2004,2011,시흥동,"18,500",시흥베르빌,1,0,29,81.16,1015,11545,13
1980,2011,시흥동,"7,000",무지개,1,0,29,53.79,109-1,11545,3
1980,2011,시흥동,"7,500",무지개,1,0,29,53.79,109-1,11545,6
1980,2011,시흥동,"11,000",무지개,1,0,29,67.93,109-1,11545,10
