건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
2004,2011,영등포동,"7,000",두산위브,1,0,3,83.98,649,11560,12
2002,2011,영등포동,"20,500",영등포푸르지오,1,0,4,59.912,647,11560,8
2002,2011,영등포동,"23,000",영등포푸르지오,1,0,5,73.133,647,11560,6
2002,2011,영등포동,"23,000",영등포푸르지오,1,0,5,79.777,647,11560,13
2002,2011,영등포동,"25,000",영등포푸르지오,1,0,8,79.777,647,11560,15
2002,2011,영등포동,"23,500",영등포푸르지오,1,0,9,79.777,647,11560,3
2002,2011,영등포동,"27,000",영등포푸르지오,1,0,10,84.908,647,11560,16
2002,2011,영등포동,"24,000",영등포푸르지오,1,0,11,79.777,647,11560,7
2002,2011,영등포동,"10,000",영등포푸르지오,1,85,11,84.84,647,11560,22
2002,2011,영등포동,"24,000",영등포푸르지오,1,0,12,79.777,647,11560,19
2002,2011,영등포동,"25,000",영등포푸르지오,1,0,12,84.84,647,11560,8
2002,2011,영등포동,"24,000",영등포푸르지오,1,0,12,79.777,647,11560,16
2002,2011,영등포동,"20,000",영등포푸르지오,1,0,13,73.133,647,11560,14
1969,2011,영등포동,"2,000",영일,1,35,13,38.02,618-83,11560,1
2002,2011,영등포동,"20,000",영등포푸르지오,1,0,14,73.133,647,11560,23
2002,2011,영등포동,"23,500",영등포푸르지오,1,0,14,79.777,647,11560,21
2002,2011,영등포동,"23,000",영등포푸르지오,1,0,15,79.777,647,11560,10
2002,2011,영등포동,"25,000",영등포푸르지오,1,0,15,79.777,647,11560,12
2002,2011,영등포동,"22,000",영등포푸르지오,1,0,15,79.777,647,11560,14
2002,2011,영등포동,"20,000",영등포푸르지오,1,0,17,59.912,647,11560,13
2002,2011,영등포동,"10,000",영등포푸르지오,1,90,17,79.777,647,11560,17
2002,2011,영등포동,"26,000",영등포푸르지오,1,0,20,84.908,647,11560,14
2002,2011,영등포동,"10,000",영등포푸르지오,1,60,20,73.133,647,11560,15
2002,2011,영등포동,"27,000",영등포푸르지오,1,0,20,84.908,647,11560,15
2002,2011,영등포동,"24,000",영등포푸르지오,1,0,21,73.133,647,11560,5
2002,2011,영등포동,"24,000",영등포푸르지오,1,0,21,73.133,647,11560,17
2004,2011,영등포동,"19,500",두산위브,1,0,25,59.8,649,11560,10
2004,2011,영등포동,"15,500",두산위브,1,0,25,59.8,649,11560,3
2002,2011,영등포동,"25,000",영등포푸르지오,1,0,25,84.908,647,11560,3
2002,2011,영등포동,"22,000",영등포푸르지오,1,0,25,79.777,647,11560,8
2002,2011,영등포동,"24,000",영등포푸르지오,1,0,28,84.908,647,11560,18
2002,2011,영등포동,"8,000",영등포푸르지오,1,100,29,84.908,647,11560,9
1969,2011,영등포동,"5,000",영일,1,0,29,38.02,618-83,11560,5
2002,2011,영등포동,"26,000",영등포푸르지오,1,0,29,84.84,647,11560,22
2002,2011,영등포동,"20,000",영등포푸르지오,1,0,29,59.912,647,11560,5
