거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"67,000",1994,2010,105.83,청운동,청풍헌주택,1,12,164.64,108-20,11110,2
"49,000",2001,2010,62.12,청운동,(51-5),1,20,107.57,51-5,11110,3
"11,400",2000,2010,14.15,누상동,청마F동,1,5,34.65,74,11110,3
"24,500",2002,2010,23.304,누상동,우리빌,1,9,58.89,166-65,11110,2
"26,000",2002,2010,23.39,누상동,코디골드빌105동,1,14,59.32,80,11110,4
"33,500",1997,2010,63.54,삼청동,진산빌라,1,12,79.68,35-130,11110,1
"32,500",1997,2010,40.21,계동,계동빌라,1,23,79.15,75-4,11110,2
"18,000",2002,2010,24.21,원서동,운현빌라,1,30,59.91,76-43,11110,-1
"25,100",2004,2010,21.487,동숭동,(13-1),1,11,57.01,13-1,11110,2
"10,500",1996,2010,16.66,동숭동,(4-147),1,13,44.92,4-147,11110,1
"9,000",1996,2010,16.66,동숭동,(4-147),1,13,44.92,4-147,11110,-1
"10,500",1996,2010,16.66,동숭동,(4-147),1,13,44.92,4-147,11110,3
"10,500",1996,2010,16.66,동숭동,(4-147),1,13,44.92,4-147,11110,4
"10,500",1996,2010,16.66,동숭동,(4-147),1,13,44.92,4-147,11110,2
"27,700",2003,2010,35.98,명륜1가,청화빌,1,13,76.8,16-66,11110,2
"26,800",2004,2010,36.87,명륜1가,해피타운6차,1,19,65.46,7-3,11110,4
"19,000",2003,2010,33.2,숭인동,(720-0),1,9,75.5,720,11110,4
"7,000",1997,2010,11.15,숭인동,보물빌라,1,22,28.66,181-120,11110,-1
"39,500",2004,2010,30.56,평동,수정빌-1,1,29,51.36,26-46,11110,4
"42,800",1988,2010,113.88,구기동,현대구기빌라,1,16,84.42,130,11110,2
"20,500",2002,2010,28.86,구기동,한솔리더빌3차(A동),1,23,66.98,81-48,11110,1
"20,300",1998,2010,33.03,평창동,송원빌라트,1,6,67.88,182-9,11110,3
"25,800",2001,2010,78.1,평창동,(571-8),1,15,95.68,571-8,11110,2
"79,000",1991,2010,243.74,평창동,평창현대주택,1,16,199.8,523-39,11110,-1
"24,800",1989,2010,61.97,평창동,금강하이츠빌라,1,20,49.57,64-3,11110,3
"24,700",1989,2010,61.97,평창동,금강하이츠빌라,1,22,49.57,64-3,11110,1
"28,014",1992,2010,104.37,평창동,금강주택,1,22,84.95,170,11110,1
"33,500",1986,2010,105.13,평창동,현대평창빌라,1,24,84.96,176,11110,2
"6,000",1996,2010,40.29,평창동,평창아트빌라,1,25,36.06,234-25,11110,-1
"8,800",1996,2010,40.29,평창동,평창아트빌라,1,30,36.06,234-25,11110,1
"32,200",2009,2010,53.48,부암동,유수미앤빌16차,1,27,85.83,208-14,11110,5
"31,000",2006,2010,38.21,부암동,베네스트,1,31,79.17,208-40,11110,5
"11,000",1989,2010,62.22,신영동,완성주택,1,20,36.9,213-1,11110,2
"15,000",2000,2010,28.93,신영동,수정맨션,1,21,55.69,105-29,11110,4
"34,500",1987,2010,103.37,신영동,삼성중앙빌라,1,25,79.56,150-6,11110,2
"23,000",1997,2010,82.94,신영동,양지주택,1,26,80.48,214-44,11110,3
"30,000",1981,2010,42,무악동,무악복합상가,1,28,80.76,63-4,11110,4
"25,000",1994,2010,40.75,누하동,남전빌라,2,26,50.04,126,11110,3
"23,800",1994,2010,42.66,누하동,남전빌라,2,26,52.38,126,11110,3
"39,000",1998,2010,36.57,옥인동,옥인하우스,2,2,67.83,19-35,11110,5
"3,000",2002,2010,10.145,사직동,코디골드빌,2,19,24.12,262-120,11110,-1
"32,000",1997,2010,35.11,계동,계동빌라,2,25,69.1,75-4,11110,2
"27,000",1998,2010,27.76,원서동,조은빌라,2,12,59.89,77-44,11110,3
"20,000",1999,2010,16.4,원서동,상원빌라트,2,18,53.58,135-71,11110,-1
"27,500",1999,2010,23.92,원서동,상원빌라트,2,18,78.08,135-71,11110,-1
"10,000",1999,2010,15.02,원서동,(135-97),2,24,37.5,135-97,11110,-1
"30,100",2002,2010,27.36,원서동,부림빌라,2,28,59.96,76-42,11110,3
"20,800",2000,2010,21.68,연건동,예림주택,2,24,66.98,101,11110,3
"12,200",2000,2010,18.46,동숭동,(4-67),2,1,58.74,4-67,11110,1
"23,000",2003,2010,39.41,동숭동,(201-23),2,1,69.445,201-23,11110,2
"17,200",1989,2010,50.8,동숭동,(50-95),2,6,70.14,50-95,11110,1
"21,000",2003,2010,39.41,동숭동,(201-23),2,23,69.445,201-23,11110,2
"15,000",1996,2010,29.53,혜화동,(26-1),2,4,55.35,26-1,11110,-1
"18,000",2002,2010,37.58,혜화동,동림주택,2,11,70.66,20-15,11110,-1
"10,000",1997,2010,22.741,명륜1가,칼라하우스A동,2,10,36.27,78-15,11110,-1
"10,000",1997,2010,17.95,명륜1가,칼라하우스B동,2,20,33.12,78-33,11110,-1
"15,000",1995,2010,14.06,명륜1가,대명,2,25,45.35,5-105,11110,1
"11,000",1996,2010,15.6,명륜3가,(1-101),2,16,42.8,1-101,11110,3
"42,000",1997,2010,57.2,창신동,대일빌라트 나동,2,3,81.42,130-68,11110,1
"11,500",2001,2010,11.22,창신동,(660-120),2,4,25.28,660-120,11110,4
"4,800",1990,2010,19.8,창신동,(23-8),2,10,31,23-8,11110,1
"17,500",1995,2010,21.82,창신동,(638-22),2,11,56.09,638-22,11110,3
"35,000",2002,2010,34.41,창신동,정우빌라,2,25,63.75,131-90,11110,2
"14,500",1998,2010,16.2,창신동,(627-1),2,25,28.46,627-1,11110,2
"36,000",2009,2010,46.05,숭인동,프리마힐,2,1,79.11,178-16,11110,4
"23,000",2007,2010,25.57,숭인동,천지인빌에이동,2,5,59.85,669,11110,2
"29,000",2009,2010,38.43,숭인동,프리마힐,2,9,65.93,178-16,11110,3
"22,800",2001,2010,20.66,숭인동,월드팰리스,2,9,59.73,811,11110,-1
"16,000",2004,2010,13.53,숭인동,숭인동다세대주택,2,11,23.46,179-95,11110,1
"16,950",2009,2010,13.37,숭인동,세현빌라,2,20,40.95,713,11110,-1
"17,000",2009,2010,13.03,숭인동,세현빌라,2,22,39.93,713,11110,1
"18,000",2009,2010,13.37,숭인동,세현빌라,2,23,40.95,713,11110,2
"14,700",2005,2010,17.14,숭인동,드림타운(181-68),2,23,42.34,181-68,11110,-1
"25,000",2007,2010,30.9,숭인동,천지인빌비동,2,24,66.42,668-2,11110,2
"22,800",2001,2010,20.66,숭인동,월드팰리스,2,25,59.73,811,11110,-1
"30,000",2009,2010,35.55,숭인동,프리마힐,2,26,61,178-16,11110,1
"40,000",2004,2010,30.17,평동,수정빌-2,2,25,54.32,26-35,11110,5
"34,000",1993,2010,28.43,교북동,(35-4),2,19,42.02,35-4,11110,2
"12,000",1996,2010,19.84,행촌동,(210-345),2,2,50.73,210-345,11110,4
"31,000",2002,2010,93.28,구기동,그린빌라,2,4,99.49,53-5,11110,1
"51,000",1996,2010,175.48,구기동,동익빌라,2,6,144.33,40,11110,3
"28,500",1998,2010,96.25,구기동,청림빌라,2,12,93.43,260-6,11110,1
"33,000",1996,2010,103.15,구기동,동익빌라,2,16,84.84,40,11110,2
"23,500",2002,2010,41.09,구기동,한솔리더빌,2,19,69.45,95-14,11110,3
"15,000",1983,2010,69.72,구기동,북악파크,2,23,82.01,125-5,11110,1
"15,500",1990,2010,58.05,평창동,한명그린빌라,2,5,62.62,234-34,11110,-1
"50,000",2003,2010,103,평창동,해든숲빌라,2,8,114.95,148-21,11110,3
"39,000",1992,2010,113.33,평창동,평창아트빌,2,20,119.28,523-7,11110,-1
"21,000",2002,2010,41.09,부암동,로얄그린빌라,2,22,81.09,210-19,11110,1
"7,700",1994,2010,54.35,홍지동,춘원,2,8,52.46,35-5,11110,-1
"16,000",1992,2010,83.88,홍지동,고은빌라,2,22,67.41,64,11110,1
"14,650",1997,2010,68.22,신영동,경남그린하우스,2,8,49.14,179-7,11110,1
"9,700",1986,2010,30.18,신영동,향원주택2,2,13,45.56,105-38,11110,-1
"23,500",2002,2010,40.03,신영동,참가정빌라,2,22,72.49,111-1,11110,3
"21,000",1995,2010,33.06,신영동,현대빌리지,2,23,81.79,103-1,11110,4
"52,000",1988,2010,81.03,청운동,청운벽산빌리지,3,11,83.61,1,11110,1
"60,500",2004,2010,149.51,청운동,라임카운티,3,24,151.8,30-1,11110,3
"39,000",2003,2010,40.46,통의동,(9-1),3,6,63.15,9-1,11110,2
"30,000",2003,2010,27.55,누상동,문화빌라C동,3,3,65.64,29-18,11110,2
"25,000",2002,2010,28.57,누상동,코디골드빌101동,3,7,59.97,162,11110,4
"30,000",2007,2010,23.121,누상동,해오름빌,3,8,60.55,29-8,11110,3
"26,000",2002,2010,26.72,누상동,한마루빌,3,19,67.5,166-24,11110,2
"6,500",2001,2010,9.41,사직동,동성주택,3,16,20.31,262-100,11110,3
"6,500",2001,2010,9.41,사직동,동성주택,3,16,20.31,262-100,11110,2
"6,300",2001,2010,9.41,사직동,동성주택,3,16,20.31,262-100,11110,1
"56,000",1997,2010,102.78,신문로2가,경희궁뜰,3,8,169.56,1-105,11110,1
"21,900",2001,2010,21.31,원서동,(135-74),3,3,47.49,135-74,11110,1
"9,000",2001,2010,14.25,원서동,미림빌라,3,16,28.57,77-60,11110,3
"23,000",2000,2010,24.59,원서동,(77-67),3,23,56.82,77-67,11110,1
"5,000",2000,2010,5.73,원서동,(77-67),3,23,13.27,77-67,11110,1
"34,500",1996,2010,43.025,원서동,(135-9),3,24,63.72,135-9,11110,3
"18,500",2002,2010,24.21,원서동,운현빌라,3,25,59.91,76-43,11110,-1
"11,800",1994,2010,12.65,연건동,(103-1),3,16,35.11,103-1,11110,4
"13,200",2001,2010,14.05,동숭동,보석빌라트,3,21,40.05,2-15,11110,3
"13,100",2001,2010,14.05,동숭동,보석빌라트,3,26,40.05,2-15,11110,4
"36,500",2004,2010,47.1,혜화동,혜화쉐르빌2차,3,9,91.9,22-13,11110,3
"18,600",1994,2010,26.3,혜화동,(26-39),3,15,44.91,26-39,11110,1
"20,000",1996,2010,29.54,혜화동,(26-1),3,15,55.35,26-1,11110,3
"30,500",2002,2010,37.62,혜화동,동림주택,3,15,70.66,20-15,11110,3
"24,000",1996,2010,43.93,혜화동,대보빌라,3,16,84.53,20-28,11110,-1
"30,500",2001,2010,43.58,혜화동,(10-4),3,24,84.78,10-4,11110,1
"35,000",1995,2010,80.95,혜화동,두산빌라,3,25,116.84,15-8,11110,1
"16,600",1997,2010,22.741,명륜1가,칼라하우스A동,3,3,36.27,78-15,11110,2
"31,000",2008,2010,39.03,명륜1가,명륜쉐르빌(B동),3,6,69.72,23-17,11110,2
"58,800",1986,2010,98.41,명륜1가,(22-0),3,8,177.45,22,11110,3
"29,500",2008,2010,39.03,명륜1가,명륜쉐르빌(B동),3,10,69.72,23-17,11110,1
"18,000",2003,2010,40.16,명륜1가,진한쉐르빌,3,10,70.84,5-34,11110,1
"4,000",1996,2010,4.46,명륜1가,릴리스위트,3,19,9.68,5-103,11110,1
"5,000",1996,2010,9.32,명륜1가,릴리스위트,3,19,20.18,5-103,11110,4
"5,000",1996,2010,9.32,명륜1가,릴리스위트,3,19,20.18,5-103,11110,2
"29,700",1998,2010,35.7,명륜1가,대보하이츠,3,22,84.28,29-4,11110,2
"30,000",2008,2010,39.03,명륜1가,명륜쉐르빌(B동),3,25,69.72,23-17,11110,4
"4,000",1986,2010,30.43,명륜2가,(86-36),3,12,40.11,86-36,11110,1
"24,200",1995,2010,38.87,명륜2가,대보빌라(86-10),3,19,65.52,86-10,11110,3
"10,000",2001,2010,7.02,창신동,(640-187),3,12,19.28,640-187,11110,4
"22,000",1993,2010,30.13,창신동,도시빌라B,3,15,53.38,138-115,11110,-1
"17,000",1997,2010,19.23,창신동,(619-1),3,16,50.13,619-1,11110,3
