거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"25,000",2004,2010,29.6,남창동,남산파크빌,1,4,50.59,205-18,11140,3
"35,500",2003,2010,52.73,필동2가,푸른마을,1,6,89.21,134-2,11140,1
"26,500",2009,2010,31.8,장충동1가,선라이즈,1,21,60.11,52-10,11140,2
"20,500",2009,2010,23.2,장충동1가,선라이즈,1,21,38.09,52-10,11140,5
"28,000",2008,2010,24.67,쌍림동,쌍림동,1,19,41.58,179,11140,2
"5,300",2003,2010,29.4,신당동,정우빌라 B동,1,4,52.55,432-358,11140,3
"24,200",2007,2010,26.4,만리동2가,(41-6),1,8,33.34,41-6,11140,2
"4,760",2001,2010,14.02,장충동2가,정보빌라,2,9,34.26,193-127,11140,4
"1,834",2001,2010,5.4,장충동2가,정보빌라,2,9,13.2,193-127,11140,1
"2,926",2001,2010,8.62,장충동2가,정보빌라,2,9,21.06,193-127,11140,-1
"1,834",2001,2010,5.4,장충동2가,정보빌라,2,9,13.2,193-127,11140,-1
"2,926",2001,2010,8.62,장충동2가,정보빌라,2,9,21.06,193-127,11140,1
"1,834",2001,2010,5.4,장충동2가,정보빌라,2,9,13.2,193-127,11140,2
"2,926",2001,2010,8.62,장충동2가,정보빌라,2,9,21.06,193-127,11140,2
"4,760",2001,2010,14.02,장충동2가,정보빌라,2,9,34.26,193-127,11140,3
"24,000",2001,2010,23.058,신당동,청구102동,2,1,58.68,841-13,11140,5
"27,500",1985,2010,50,신당동,장충그린빌라,2,4,55.83,432-13,11140,2
"18,500",2000,2010,19.86,신당동,진성빌라,2,15,59.81,432-2003,11140,2
"33,300",2004,2010,32.25,신당동,장충아트빌라 16차,2,17,67.36,432-779,11140,4
"15,500",2002,2010,16.37,신당동,세원빌라,2,19,45.81,432-2343,11140,1
"23,650",2009,2010,18.18,신당동,(236-48),2,19,22.92,236-48,11140,3
"21,000",1999,2010,21.2,신당동,약수마을에이동,2,22,59.98,432-676,11140,3
"36,000",2001,2010,52.84,신당동,글로리안빌,2,23,77.85,346-453,11140,1
"21,300",2000,2010,25.28,신당동,약수마을빌라(B동),2,26,56.02,432-677,11140,4
"20,000",2000,2010,17.375,신당동,청구103동,2,27,41.16,841-12,11140,3
