거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"39,500",1989,2010,29.9,후암동,(102-9),1,8,40.32,102-9,11170,-1
"18,200",1995,2010,17,후암동,(46-1),1,9,41.8,46-1,11170,2
"28,000",2008,2010,29.43,후암동,(60-57),1,15,50.2,60-57,11170,3
"24,000",1995,2010,31,후암동,(30-57),1,28,47.28,30-57,11170,1
"54,800",2000,2010,41.09,후암동,삼안리치하우스,1,30,80.58,123-15,11170,3
"37,000",2008,2010,35.05,용산동2가,(37-6),1,4,42.24,37-6,11170,1
"36,700",2009,2010,26.92,용산동2가,(18-9),1,6,31,18-9,11170,2
"35,000",1984,2010,36.7,용산동2가,청암,1,7,42.66,29-1,11170,1
"23,000",1988,2010,19.4,용산동2가,(31-1),1,7,39.49,31-1,11170,-1
"12,500",1997,2010,11.8,용산동2가,(5-1476),1,15,24.39,5-1476,11170,2
"36,000",2009,2010,33.06,용산동2가,(5-759),1,18,42.66,5-759,11170,2
"17,500",1998,2010,16.1,용산동2가,(5-1473),1,22,34.36,5-1473,11170,-1
"39,000",2007,2010,29.66,용산동2가,이레쉐레빌,1,27,36,16-3,11170,2
"25,000",2008,2010,21.49,용산동2가,(42-29),1,28,19.26,42-29,11170,1
"23,000",2007,2010,19.8,용산동2가,(5-948),1,28,17.06,5-948,11170,3
"60,000",1981,2010,92.48,용산동2가,수호,1,30,97.39,46-3,11170,3
"55,000",2004,2010,41.11,갈월동,동성빌라,1,4,77.65,7-13,11170,3
"65,000",2005,2010,49.93,갈월동,(7-97),1,8,84.92,7-97,11170,3
"53,000",2004,2010,39.99,동자동,오페라하우스,1,15,76.33,3-19,11170,3
"23,000",1973,2010,18.3,동자동,새마을,1,29,49.59,9-3,11170,3
"25,000",1997,2010,13.62,서계동,(247-28),1,6,44.726,247-28,11170,-1
"24,000",1996,2010,17,서계동,(251-11),1,7,32.86,251-11,11170,1
"48,500",1993,2010,40.91,서계동,동산빌라(33-5),1,25,68.82,33-5,11170,1
"31,000",2008,2010,33.058,청파동1가,다흥,1,9,50.65,89-32,11170,2
"30,000",1996,2010,31.4,청파동1가,한마음빌라트,1,16,55.31,97-13,11170,1
"35,000",2009,2010,33.058,청파동1가,동궁빌라,1,18,60.74,89-5,11170,2
"27,000",1997,2010,16.35,청파동1가,(102-11),1,22,19.6,102-11,11170,-1
