거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"19,000",2001,2010,25.73,마장동,(797-18),1,20,62.09,797-18,11200,5
"22,000",1996,2010,19.84,행당동,(104-9),1,5,35.3,104-9,11200,-1
"26,000",1993,2010,34,행당동,(128-30),1,12,45,128-30,11200,1
"16,000",1991,2010,16.5,행당동,(122-6),1,20,26.19,122-6,11200,-1
"22,000",1990,2010,18.21,행당동,(128-806),1,23,33.8,128-806,11200,-1
"25,000",2003,2010,14.72,행당동,(128-543),1,25,19.86,128-543,11200,3
"13,000",2006,2010,14.63,응봉동,(264-95),1,22,34.54,264-95,11200,4
"24,000",1995,2010,24.4,응봉동,(265-7),1,22,56.18,265-7,11200,4
"21,000",2003,2010,22.2,응봉동,금호파크빌115동,1,30,58.22,264-89,11200,2
"27,800",2009,2010,33.058,금호동1가,보람맨션,1,5,60.04,128-8,11200,2
"12,000",2000,2010,13.23,금호동1가,그린빌라,1,6,44.59,20,11200,2
"11,000",1993,2010,15.18,금호동1가,(53-0),1,6,29.28,53,11200,2
"11,000",1993,2010,15.18,금호동1가,(53-0),1,6,29.28,53,11200,1
"20,000",2002,2010,23.47,금호동1가,삼성빌(5차A),1,7,43.48,598-11,11200,1
"12,000",1996,2010,11.38,금호동1가,동일빌라,1,14,28.8,65,11200,-1
"14,000",2000,2010,13.23,금호동1가,그린빌라,1,16,44.59,20,11200,4
"13,900",1999,2010,21.2,금호동1가,(14-2),1,20,53.01,14-2,11200,2
"12,000",1996,2010,16.2,금호동1가,(42-3),1,20,40.1,42-3,11200,4
"18,000",2009,2010,31.2,금호동1가,(27-0),1,20,70.16,27,11200,2
"16,000",1992,2010,24.008,금호동1가,(165-22),1,25,42.99,165-22,11200,2
"10,400",1994,2010,11.799,금호동1가,(69-10),1,25,28.04,69-10,11200,3
"26,500",2005,2010,28.77,금호동2가,삼성빌11차 B동,1,7,52.12,506,11200,3
"27,000",2004,2010,28.758,금호동2가,삼성빌9차,1,22,52.4,505,11200,4
"25,900",2005,2010,29.23,금호동2가,삼성빌11차 B동,1,23,52.96,506,11200,4
"18,800",1992,2010,20.73,금호동2가,(501-10),1,27,41.98,501-10,11200,1
"11,000",1993,2010,19.35,금호동2가,(675-0),1,29,26.28,675,11200,1
"38,500",2009,2010,46.08,금호동2가,타워파크주택,1,31,77.46,500-8,11200,3
"31,000",2002,2010,34.66,금호동3가,대우아트빌라,1,22,68.94,1344-72,11200,3
"21,000",1991,2010,20.66,금호동3가,(1344-80),1,29,32.13,1344-80,11200,3
"29,000",2002,2010,26.35,금호동3가,타워드림빌라,1,30,51.86,1344-32,11200,4
"35,000",1980,2010,41.1,금호동4가,(1531-5),1,15,45.72,1531-5,11200,1
