거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"23,700",2001,2010,24.49,중곡동,와이엔빌라에이동,1,1,58.38,30-4,11215,3
"22,700",2002,2010,25.57,중곡동,에덴빌라3차,1,2,56.32,259-21,11215,4
"16,400",1988,2010,34.62,중곡동,(170-7),1,2,51.66,170-7,11215,1
"22,000",1996,2010,28.41,중곡동,삼원아트빌라,1,2,46.88,32-3,11215,3
"32,000",2002,2010,34.545,중곡동,금호아트빌에이동,1,3,69.51,113-16,11215,2
"19,700",2004,2010,25.88,중곡동,대광그린빌,1,3,45.5,135-9,11215,2
"10,700",1986,2010,29.41,중곡동,(103-7),1,4,41.21,103-7,11215,-1
"11,000",2002,2010,20.68,중곡동,리드빌,1,5,38.26,32-6,11215,2
"24,950",2003,2010,32.11,중곡동,금성빌라3차,1,5,61,198-26,11215,5
"17,600",1995,2010,28,중곡동,해광가든빌라,1,6,50.1,646-3,11215,-1
"9,500",1993,2010,23.47,중곡동,(51-46),1,9,36.09,51-46,11215,-1
"29,000",1997,2010,41.62,중곡동,뉴신아그린빌,1,9,84.96,50-51,11215,1
"21,000",2002,2010,23.205,중곡동,대광빌에이동,1,11,49.67,134-45,11215,3
"18,400",2005,2010,29.65,중곡동,그레이스빌,1,11,52.63,169-23,11215,4
"25,000",2001,2010,33.77,중곡동,용아파트빌,1,11,70.96,141-3,11215,2
"30,000",2002,2010,43.657,중곡동,(257-9),1,12,65.97,257-9,11215,2
"28,800",2003,2010,44.591,중곡동,미성아트빌,1,12,80.1,49-77,11215,1
"29,500",2001,2010,46.571,중곡동,파인빌(161-17),1,12,71.58,161-17,11215,1
"15,000",1996,2010,22.82,중곡동,삼익빌라,1,12,52.25,58-7,11215,1
"18,000",2002,2010,30.77,중곡동,씨티빌라,1,13,57.62,96-36,11215,5
"32,500",2001,2010,46.09,중곡동,파인빌(161-17),1,13,70.84,161-17,11215,3
"15,000",1997,2010,24.03,중곡동,현대하이츠빌라,1,13,52.98,51-33,11215,-1
"18,000",2007,2010,21.82,중곡동,우림하우스,1,14,35.62,191-35,11215,4
"33,000",2008,2010,45.28,중곡동,용아트빌,1,14,62.91,29-53,11215,3
"20,800",1991,2010,36.903,중곡동,대림아트빌라,1,15,66.03,195-4,11215,3
"26,000",2002,2010,27.61,중곡동,성원아트빌,1,15,55.23,132-3,11215,5
"11,100",2001,2010,11.52,중곡동,건양빌라,1,16,19.78,29-33,11215,1
"23,000",2002,2010,28.875,중곡동,신성아트빌,1,16,59.63,150-76,11215,4
"21,000",2003,2010,23.656,중곡동,해든집6,1,16,47.04,139-37,11215,3
"10,800",2002,2010,11.169,중곡동,샤롬빌라트,1,16,18.87,53-11,11215,3
"30,000",1979,2010,63.51,중곡동,(624-19),1,18,63.08,624-19,11215,2
"26,000",2002,2010,30.81,중곡동,대명하이츠빌라,1,18,54.86,141-29,11215,2
"32,700",2004,2010,46.803,중곡동,대광그린빌,1,18,82.29,135-9,11215,4
"30,500",2002,2010,42.38,중곡동,롯데빌리지,1,18,83.7,81-14,11215,1
"11,300",2002,2010,12.557,중곡동,샤롬빌라트,1,18,21.22,53-11,11215,3
"19,500",1996,2010,21.32,중곡동,세진빌라,1,19,47.91,113-23,11215,3
"8,500",1986,2010,29.41,중곡동,(103-7),1,20,41.21,103-7,11215,-1
"23,600",1992,2010,56.63,중곡동,삼익맨숀다동,1,20,77.84,294-14,11215,1
"19,500",2002,2010,23.553,중곡동,샤롬빌라트,1,20,39.8,53-11,11215,2
"21,000",2002,2010,41.39,중곡동,행복이가득한집,1,20,70.91,82-11,11215,1
"13,500",2003,2010,19.18,중곡동,정수아트빌B동,1,20,29.47,96-27,11215,4
"25,200",2001,2010,28.83,중곡동,해든집,1,21,80.23,139-7,11215,4
"23,000",2003,2010,29.19,중곡동,신원캐스빌A동,1,21,60.53,239-8,11215,5
"34,800",2002,2010,45.31,중곡동,파인빌11차,1,21,77.8,134-28,11215,4
"23,000",1996,2010,32.59,중곡동,대웅아트빌라,1,22,55.08,134-29,11215,3
"29,000",2005,2010,43.21,중곡동,대광빌라,1,23,69.57,254-5,11215,3
"31,000",2002,2010,34.041,중곡동,파인빌(647-7),1,23,80.37,647-7,11215,4
"27,300",2006,2010,34.31,중곡동,선진시티빌,1,24,63,135-8,11215,5
"15,000",2001,2010,19.91,중곡동,상록빌라트,1,25,37.24,47-4,11215,1
"23,000",2002,2010,26.48,중곡동,대신아트빌,1,25,51.74,135-4,11215,5
"23,000",1986,2010,38.65,중곡동,(246-64),1,26,59.25,246-64,11215,1
"18,500",2004,2010,31.37,중곡동,시범빌라,1,27,50.31,288-21,11215,2
"22,500",2002,2010,31.595,중곡동,목화빌라,1,27,57.59,162-20,11215,2
"25,000",2010,2010,29.8,중곡동,헤렌하우스(29-52),1,28,51.36,29-51,11215,5
"17,000",2002,2010,26.5,중곡동,주영빌라,1,28,62.77,73-23,11215,1
