거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"28,000",1987,2010,33.2,용두동,대명빌라,1,11,34.44,20-3,11230,3
"25,000",2002,2010,36.46,제기동,청솔그린빌,1,6,67.07,274-8,11230,3
"33,000",2009,2010,43.06,제기동,리첸빌리지,1,11,65.13,192,11230,2
"13,400",1980,2010,22.53,제기동,(1184-0),1,14,55.19,1184,11230,3
"33,000",2009,2010,41.75,제기동,리첸빌리지,1,15,63.15,192,11230,4
"33,000",2009,2010,40.76,제기동,리첸빌리지,1,15,61.65,192,11230,1
"14,900",1979,2010,27.6,제기동,(1190-0),1,15,60.6,1190,11230,2
"6,500",1980,2010,20.53,제기동,(1180-0),1,22,67.9,1180,11230,-1
"15,000",2002,2010,25.4,제기동,성일빌라108동,1,30,66.14,1156-13,11230,3
"28,000",1998,2010,26.02,전농동,현진빌라,1,20,48.21,644-47,11230,2
"21,000",1981,2010,29,전농동,(605-64),1,26,21.16,605-64,11230,1
"22,000",2002,2010,21.6,전농동,진아빌리지(55-15),1,26,39.36,55-15,11230,1
"25,500",2008,2010,40.77,전농동,더하우스,1,29,66.85,103-445,11230,2
"16,900",1994,2010,26.5,답십리동,(25-158),1,13,32,25-158,11230,1
"18,000",1996,2010,31.49,답십리동,(17-23),1,16,37.22,17-23,11230,-1
"17,000",2003,2010,26.63,답십리동,유영빌라,1,26,45.65,892,11230,2
"20,000",1982,2010,70.13,장안동,부일(98-28),1,4,63.17,98-28,11230,1
"27,200",2008,2010,41.09,장안동,삼성리치빌,1,6,76.2,445-10,11230,2
"22,200",1981,2010,61.5,장안동,광진1차(289-3),1,18,59.9,289-3,11230,2
"22,500",1981,2010,53.56,장안동,동남(296-3),1,18,53.55,296-3,11230,2
"28,000",2009,2010,42.36,장안동,삼성빌22차,1,19,74.64,407-10,11230,3
"20,000",1981,2010,49.66,장안동,금성(443-1),1,20,49.16,443-1,11230,1
"22,800",2010,2010,32.39,장안동,명품리버빌,1,21,59.96,93-115,11230,2
"12,000",1986,2010,21.2,장안동,삼용10호(284-10),1,23,41.74,284-10,11230,-1
"26,800",2009,2010,42.36,장안동,삼성빌22차,1,28,74.64,407-10,11230,2
"18,800",2010,2010,23.7,장안동,명품리버빌,1,28,39.98,93-115,11230,4
"25,500",2008,2010,38.57,장안동,삼성리치빌,1,30,71.54,445-10,11230,5
"17,000",1992,2010,31.13,청량리동,(205-116),1,1,42.6,205-116,11230,1
"17,000",1992,2010,55.95,청량리동,(205-116),1,1,76.57,205-116,11230,2
"15,000",1992,2010,30.82,청량리동,(205-116),1,1,42.17,205-116,11230,-1
"24,300",2003,2010,40.95,청량리동,해성빌라트10차,1,15,77.76,199-212,11230,2
"6,900",1996,2010,13.9,회기동,한스빌라A동,1,26,25.65,109-99,11230,1
"15,000",2006,2010,29.75,휘경동,(286-109),1,12,44.47,286-109,11230,3
"23,000",2008,2010,33.1,휘경동,(312-27),1,20,68.25,312-27,11230,5
"8,000",1991,2010,24.79,휘경동,(308-137),1,27,33.9,308-137,11230,1
"13,700",1997,2010,24.31,휘경동,휘경타운,1,27,40.06,281-72,11230,1
"10,700",1994,2010,17,휘경동,(149-19),1,28,21.32,149-19,11230,-1
"9,500",1995,2010,19.83,이문동,이문빌라(163-235),1,11,14.57,163-235,11230,-1
"10,500",1991,2010,19.51,이문동,(257-704),1,11,31.5,257-704,11230,-1
"20,000",1984,2010,73.67,이문동,현대그린빌라 B,1,15,66.12,348-1,11230,1
"8,000",1997,2010,10.03,이문동,(263-9),1,15,20.79,263-9,11230,1
"9,500",1990,2010,17.98,이문동,(257-522),1,24,24.67,257-522,11230,1
"9,500",1994,2010,17.51,이문동,(262-47),1,26,19.62,262-47,11230,-1
"14,700",1991,2010,29.93,이문동,(89-50),1,26,33.72,89-50,11230,1
"14,750",2002,2010,20.75,이문동,한동빌딩,1,27,41.47,257-469,11230,2
"7,000",1991,2010,13.86,이문동,(262-57),1,27,20.73,262-57,11230,-1
"13,800",1992,2010,25.32,이문동,(172-7),1,31,36.2,172-7,11230,1
"21,500",2009,2010,34.81,용두동,정원드림빌,2,9,60.96,138-151,11230,2
"28,450",2009,2010,41.57,용두동,정원드림빌,2,10,72.8,138-151,11230,3
"28,300",2009,2010,41.57,용두동,정원드림빌,2,20,72.8,138-151,11230,2
"24,300",2004,2010,28.57,용두동,쎄느빌라C동,2,22,63.15,237-61,11230,2
"39,000",2001,2010,65.51,용두동,엘림맨션,2,22,126.76,138-45,11230,2
"7,500",1992,2010,18.17,용두동,(129-135),2,25,30.62,129-135,11230,-1
"24,000",2009,2010,34.81,용두동,정원드림빌,2,27,60.96,138-151,11230,3
"33,000",2009,2010,45.98,제기동,리첸빌리지,2,1,69.55,192,11230,3
"33,000",2009,2010,40.02,제기동,리첸빌리지,2,1,60.54,192,11230,4
"14,000",1981,2010,23.7,제기동,(1199-0),2,8,50.54,1199,11230,3
"20,500",2001,2010,13.3,제기동,(1211-17),2,25,62.97,1211-17,11230,5
"20,000",1998,2010,29.8,전농동,(459-3),2,7,52.85,459-3,11230,2
"30,000",1995,2010,40.55,전농동,청재빌라트,2,11,93.51,206-71,11230,4
"14,000",1999,2010,22.65,전농동,뉴화양빌라,2,25,59.89,103-23,11230,2
"22,500",2008,2010,27.79,답십리동,삼성아트빌,2,9,49.01,3-79,11230,4
"11,500",1993,2010,21.99,답십리동,(25-44),2,18,26.82,25-44,11230,1
"20,000",2008,2010,20.67,답십리동,삼성아트빌,2,25,36.46,3-79,11230,5
"13,800",2010,2010,20.52,장안동,명품리버빌,2,2,29.76,93-115,11230,5
"7,850",2002,2010,7.56,장안동,우성포커스텔(306-3),2,3,24.73,306-3,11230,4
"9,300",2002,2010,9.37,장안동,우성포커스텔(306-3),2,6,30.68,306-3,11230,5
"14,500",2010,2010,20.52,장안동,명품리버빌,2,6,29.76,93-115,11230,5
"27,000",2009,2010,42.36,장안동,삼성빌22차,2,9,74.64,407-10,11230,2
"12,000",2002,2010,19.61,장안동,시환드림빌(293-15),2,10,37.52,293-15,11230,5
"18,000",1982,2010,53.39,장안동,리도맨션(316-6),2,16,53.22,316-6,11230,1
"18,600",2010,2010,23.7,장안동,명품리버빌,2,22,39.98,93-115,11230,4
"19,400",2003,2010,31.36,청량리동,대창쉐르빌,2,1,53.31,199-170,11230,1
"11,000",2002,2010,12.67,청량리동,가단빌라,2,17,29.03,46-18,11230,3
"18,000",1992,2010,28.3,청량리동,한일아트빌라,2,19,55.48,33-3,11230,3
"17,000",1981,2010,29.59,청량리동,(889-0),2,23,42.81,889,11230,2
"17,400",2004,2010,26.29,회기동,장미원빌라,2,22,45.51,102-99,11230,2
"15,000",2006,2010,22.29,휘경동,(28-26),2,8,40.35,28-26,11230,1
"11,350",1989,2010,19.71,휘경동,(139-34),2,9,30.86,139-34,11230,1
"25,800",2002,2010,33.45,휘경동,남영아트빌,2,18,67.57,183-218,11230,2
