거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"17,000",2008,2010,19.18,면목동,현대파크빌(137-2),1,4,31.49,137-2,11260,2
"20,000",2003,2010,42.7,면목동,엠.팰리스,1,4,72.99,1133-1,11260,2
"19,500",1986,2010,52.78,면목동,(352-30),1,4,75.25,352-30,11260,1
"25,000",1986,2010,42,면목동,(535-8),1,5,77.19,535-8,11260,3
"26,950",2004,2010,31.938,면목동,노블,1,5,67.09,399-5,11260,5
"23,500",2009,2010,29.77,면목동,주원그린빌,1,5,51.76,410-4,11260,3
"21,000",2003,2010,24.93,면목동,민우하이츠빌,1,6,47.22,174-11,11260,3
"17,800",1995,2010,22.11,면목동,현대그린빌라,1,6,46.96,377-37,11260,1
"19,000",2008,2010,25.44,면목동,스카이빌,1,7,43.86,173-66,11260,4
"12,800",2003,2010,19.93,면목동,(141-55),1,7,33.12,141-55,11260,4
"19,000",1983,2010,50.4,면목동,태양빌라,1,7,63.91,55-5,11260,1
"9,900",1990,2010,30.333,면목동,현대(583-84),1,9,37.08,583-84,11260,-1
"29,000",2008,2010,56.937,면목동,혜원쉐르빌,1,10,80.02,100-5,11260,4
"22,700",2008,2010,35.882,면목동,현대파크빌(558-7),1,11,60.61,558-7,11260,2
"24,600",2008,2010,39.576,면목동,현대파크빌(558-7),1,11,66.85,558-7,11260,2
"22,500",2008,2010,31.75,면목동,전원하이츠,1,12,50.54,109-98,11260,4
"27,500",1985,2010,82,면목동,용덕빌라,1,12,84.24,80-2,11260,1
"21,800",2009,2010,31.91,면목동,브라운하우스,1,13,42.67,339-39,11260,5
"20,000",2003,2010,27.93,면목동,중앙아트,1,13,50.46,65-57,11260,4
"23,500",2008,2010,31.33,면목동,금성B,1,13,56.49,465-44,11260,4
"21,000",2009,2010,29.45,면목동,동성네스트,1,13,49.58,1180,11260,4
"12,000",1991,2010,27.51,면목동,보성하이츠빌라(A),1,15,51.63,468-29,11260,-1
"26,000",2008,2010,36.4,면목동,극동하이츠빌3차,1,15,60.16,108-67,11260,3
"15,700",1978,2010,31,면목동,(1412-0),1,15,52.2,1412,11260,3
"34,000",2001,2010,45.775,면목동,면목동다세대주택,1,15,98,166-9,11260,4
"18,050",1979,2010,33,면목동,(520-76),1,15,34.78,520-76,11260,2
"23,500",2008,2010,31.43,면목동,금성A,1,15,56.62,465-14,11260,4
"20,500",2002,2010,31.42,면목동,부영벨리스(나),1,16,57.08,1113,11260,5
"11,700",1992,2010,24.66,면목동,남영빌라,1,16,47.84,173-10,11260,-1
"24,000",1979,2010,91.897,면목동,초원빌라,1,17,84.46,1343-3,11260,2
"24,800",2003,2010,37.701,면목동,소라스위트빌라,1,18,66.8,151-13,11260,3
"16,000",1991,2010,35.03,면목동,(180-18),1,20,59.4,180-18,11260,2
"26,300",2009,2010,31.77,면목동,영신주택,1,20,54.21,619-9,11260,3
"19,500",1991,2010,33.1,면목동,두산아트빌라(A),1,20,61.55,112-1,11260,3
"18,000",2009,2010,17.629,면목동,오페라하우스(2차),1,20,41.26,64-29,11260,4
"15,500",1992,2010,26.25,면목동,현대하이츠빌라(가),1,21,38.29,107-2,11260,-1
"19,000",2008,2010,29.48,면목동,면목동드림스페이스,1,23,50.08,14-51,11260,3
"22,400",2009,2010,33.6,면목동,성진파크빌,1,25,60.09,548-2,11260,3
"32,500",1984,2010,91,면목동,대농빌라,1,26,120.77,618-6,11260,2
"23,500",2008,2010,29.175,면목동,동부아트빌,1,29,52.1,113-2,11260,4
"16,900",1990,2010,35.463,면목동,현대파크,1,29,48.32,52-24,11260,1
"24,700",2009,2010,34.31,면목동,주원그린빌,1,29,59.61,410-4,11260,3
"11,500",1986,2010,17.44,면목동,금성연립(다),1,30,31.23,135-25,11260,3
"19,800",1996,2010,23.34,상봉동,임창빌라 마동,1,8,45.36,315-67,11260,3
"9,800",1991,2010,22.91,상봉동,일신빌라(2동),1,10,36.06,31-28,11260,3
"22,000",2005,2010,32.38,상봉동,도양라비앙빌5동,1,15,68.22,34-6,11260,5
"14,000",2001,2010,29.4,상봉동,형지빌라,1,19,47.92,121-12,11260,3
"22,000",2005,2010,40.53,상봉동,도양라비앙빌1동,1,22,74.25,37-6,11260,5
"13,500",2003,2010,25.83,중화동,세종하이빌(E),1,6,59.4,281-24,11260,-1
"21,500",2000,2010,30.69,중화동,보람맨션,1,8,61.76,319-20,11260,2
"27,000",2002,2010,61.73,중화동,나빈벨라지오,1,11,116.72,279-17,11260,2
"12,500",1994,2010,32.53,중화동,한영빌라,1,11,54.48,31-1,11260,-1
"12,700",1986,2010,28.35,중화동,(291-22),1,11,42.06,291-22,11260,1
"17,000",2002,2010,30.36,중화동,청호빌,1,16,58.54,291-44,11260,2
"25,000",2008,2010,47.41,중화동,정우빌라,1,17,80.61,90-5,11260,2
"11,000",1986,2010,23.41,중화동,세광,1,18,38.62,296-44,11260,3
"21,500",2005,2010,33.32,중화동,동부아트빌,1,23,64.28,283-12,11260,2
"24,900",2003,2010,32.89,중화동,세종리치빌,1,26,63.18,315-23,11260,1
"15,500",2003,2010,18.73,묵동,성우파크빌,1,7,35.235,159-37,11260,5
"18,000",1987,2010,59.22,묵동,삼정빌라나동,1,9,55.08,60-10,11260,1
"27,000",2003,2010,35.67,묵동,산내들빌라가동,1,11,72.81,249-144,11260,4
"30,000",2009,2010,48.8,묵동,숲속의작은빌2,1,12,61.67,122-37,11260,4
"24,500",2009,2010,40.49,묵동,세영월드빌,1,19,70.58,154-2,11260,2
"35,000",2009,2010,39.9,묵동,엘림캐슬,1,20,72.16,122-1,11260,3
"26,000",2009,2010,42.98,묵동,모닝아트빌,1,22,78.59,186-9,11260,2
"25,000",2009,2010,36.65,묵동,모닝아트빌,1,23,67,186-9,11260,4
"22,200",2009,2010,35.74,묵동,숲속의작은빌,1,23,64.01,121-120,11260,2
"21,000",2002,2010,27.17,묵동,세종하이빌,1,24,58.98,122-190,11260,1
"15,500",1998,2010,44.48,묵동,동양그린빌라트,1,26,83.02,122-295,11260,-1
"16,800",2009,2010,28.13,묵동,숲속의작은빌2,1,28,35.54,122-37,11260,1
"13,000",2002,2010,17,묵동,갑을빌라,1,28,34.49,122-100,11260,4
"15,200",2003,2010,18.73,묵동,성우파크빌,1,29,35.235,159-37,11260,3
"17,600",2002,2010,27.7,망우동,진양하이츠,1,5,43.27,437-5,11260,2
"17,200",1991,2010,30.32,망우동,장미빌라(나),1,19,49.14,474-31,11260,2
"14,500",2007,2010,24.375,망우동,경운아센빌,1,21,36.72,514-5,11260,3
"23,400",2002,2010,45.58,망우동,알프스빌,1,22,81.88,120-1,11260,3
"10,900",1994,2010,17.23,망우동,대창빌라,1,26,40.94,434-6,11260,1
