거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"12,000",1998,2010,80.96,성북동,(130-11),1,15,110.01,130-11,11290,2
"20,500",1997,2010,99.25,성북동,사보이빌라,1,15,59.99,349-1,11290,-1
"21,000",1997,2010,99.25,성북동,사보이빌라,1,15,59.99,349-1,11290,1
"20,500",1997,2010,99.25,성북동,사보이빌라,1,15,59.99,349-1,11290,-1
"21,000",1997,2010,99.25,성북동,사보이빌라,1,15,59.99,349-1,11290,1
"20,500",1997,2010,99.25,성북동,사보이빌라,1,15,59.99,349-1,11290,-1
"21,000",1997,2010,99.25,성북동,사보이빌라,1,15,59.99,349-1,11290,1
"21,000",1997,2010,99.25,성북동,사보이빌라,1,15,59.99,349-1,11290,2
"21,000",1997,2010,99.25,성북동,사보이빌라,1,15,59.99,349-1,11290,2
"21,000",1997,2010,99.25,성북동,사보이빌라,1,15,59.99,349-1,11290,2
"21,000",1997,2010,99.25,성북동,사보이빌라,1,15,59.99,349-1,11290,2
"20,000",1992,2010,36.4,성북동,운광빌라,1,19,73.98,168-31,11290,3
"26,000",2009,2010,35.2,성북동,청운주택,1,21,58.31,131-51,11290,4
"31,000",1991,2010,57,성북동,진주맨션B,1,27,72.3,168-286,11290,2
"11,100",2002,2010,19.82,성북동1가,성북CYONHILL,1,22,39.6,35-28,11290,3
"24,000",2010,2010,49.362,돈암동,쁘띠메종,1,21,64.33,413-115,11290,1
"18,000",1991,2010,38,돈암동,오영빌라C동,1,29,49.86,535-38,11290,3
"15,500",2001,2010,19.3,동소문동6가,(52-0),1,17,42.4,52,11290,1
"12,000",1991,2010,35.82,동소문동7가,현대가든빌라,1,15,63.52,87-1,11290,1
"11,000",1993,2010,19.22,삼선동1가,(242-1),1,26,36,242-1,11290,1
"16,500",2003,2010,25.28,삼선동5가,부강쉐르빌,1,20,42.01,64-6,11290,5
"17,200",2001,2010,35.53,삼선동5가,양지빌라트(170-3),1,28,71.87,170-3,11290,2
"24,000",2009,2010,43.72,동선동5가,미다하이츠빌라,1,17,71.78,70-44,11290,3
"24,800",2003,2010,35.3,안암동3가,양지빌라트,1,27,67.92,133-60,11290,3
"22,500",2009,2010,44.445,정릉동,해오름빌라트,1,3,72.38,226-34,11290,2
"26,500",1990,2010,65.1,정릉동,일화하이츠빌라,1,4,66.99,561-2,11290,3
"23,000",1991,2010,42.98,정릉동,로얄아트빌라,1,7,57.75,181-46,11290,-1
"9,300",1997,2010,19.18,정릉동,그린빌라(508-46),1,8,35.16,508-46,11290,1
"23,800",2003,2010,55.76,정릉동,금강메트로빌가동,1,9,84.28,383-41,11290,3
"14,000",2001,2010,21.98,정릉동,우진빌라(410-32),1,9,40.99,410-32,11290,3
"20,700",2009,2010,36.46,정릉동,진솔아트빌,1,11,60.13,403-24,11290,3
"7,000",1993,2010,17.92,정릉동,소산하이츠맨션4차,1,12,36.54,266-52,11290,-1
"27,500",2004,2010,58.31,정릉동,원길하이츠빌라,1,13,96.68,788-22,11290,1
"14,300",2001,2010,33.39,정릉동,동현하이츠,1,14,53.64,226-30,11290,2
"21,000",2008,2010,27.63,정릉동,로이넥스빌,1,14,48.22,16-339,11290,3
"16,700",2002,2010,26.45,정릉동,영강하이츠빌라,1,14,49.77,402-71,11290,2
"10,000",2003,2010,29.31,정릉동,스위스빌라,1,15,67.94,508-80,11290,3
"17,400",1991,2010,34.97,정릉동,한남빌라,1,15,54.06,226-14,11290,2
"17,100",2007,2010,27.36,정릉동,유로스빌(412-51),1,16,50.31,412-51,11290,3
"7,000",2003,2010,12.25,정릉동,리치빌리지,1,16,24.17,227-119,11290,3
"10,000",1993,2010,18.44,정릉동,건영빌라B,1,18,32.21,815-28,11290,3
"18,200",2002,2010,28.73,정릉동,굿모닝빌,1,19,48.2,410-16,11290,2
"21,800",2008,2010,34.33,정릉동,정릉어울림,1,20,60.98,385-7,11290,3
"30,100",1982,2010,72.48,정릉동,신흥주택가동,1,22,71.7,607-11,11290,2
"19,500",2009,2010,33.35,정릉동,일성아크로빌(822-19),1,23,61.18,822-19,11290,3
"12,600",2002,2010,21.41,정릉동,삼성아트빌,1,24,44.47,508-8,11290,4
"16,200",1992,2010,50.7,정릉동,인산빌라,1,26,60.87,820-12,11290,1
"20,000",1996,2010,34.5,정릉동,현대아트빌라(266-29),1,26,54.95,266-29,11290,3
"26,400",1994,2010,58.87,정릉동,광진빌라,1,29,90.4,816-2,11290,4
"22,900",2008,2010,43.47,정릉동,태솔에버빌(800-48),1,30,77.24,800-48,11290,4
"8,300",1991,2010,30.6,정릉동,신성빌라,1,31,39.9,830-5,11290,2
"13,500",1994,2010,17.2,길음동,(503-18),1,5,28.46,503-18,11290,-1
"6,000",1996,2010,21.49,길음동,(503-58),1,7,27.82,503-58,11290,-1
"14,200",1994,2010,20.8,길음동,(502-15),1,7,30.01,502-15,11290,2
"13,475",1997,2010,13.58,길음동,(893-72),1,12,31.6,893-72,11290,1
"14,000",1998,2010,20,길음동,(510-159),1,14,40.05,510-159,11290,-1
"25,000",1992,2010,29.73,길음동,순명빌라,1,15,61.92,963-1,11290,4
"13,700",1966,2010,16.53,길음동,(499-77),1,18,18.41,499-77,11290,1
"11,000",1996,2010,23,길음동,(502-3),1,22,32.44,502-3,11290,-1
"12,500",1993,2010,16.29,길음동,(492-13),1,30,25.98,492-13,11290,-1
"22,500",1999,2010,30.42,종암동,우성하우스빌,1,4,64.51,10-106,11290,3
"20,000",1997,2010,32.51,종암동,덕신타운,1,10,59.03,125-30,11290,1
"16,500",2003,2010,28.83,하월곡동,금성빌라2차,1,28,51.06,13-12,11290,5
"23,000",1997,2010,24.63,장위동,우성빌라,1,6,38.4,76-264,11290,-1
"20,000",1997,2010,23.24,장위동,우성빌라,1,8,36.24,76-264,11290,2
"11,750",1992,2010,15.41,장위동,구덕빌라,1,9,31.72,293-11,11290,4
"33,000",2001,2010,46.5,장위동,한솔그린빌,1,9,69.61,230-9,11290,3
"18,500",2003,2010,25.43,장위동,신생주택,1,10,47.87,231-180,11290,3
"18,000",2002,2010,25.88,장위동,투원베스트빌,1,11,49.96,219-130,11290,4
"19,000",2003,2010,20.96,장위동,명신아트빌(231-162),1,13,39.12,231-162,11290,2
"20,500",2003,2010,21.49,장위동,명신아트빌라,1,16,46.22,233-192,11290,4
"20,000",1991,2010,25.73,장위동,도시빌라 B동,1,19,52.26,219-491,11290,4
"26,000",2002,2010,28.04,장위동,성진아트빌,1,19,46.38,219-67,11290,2
"18,000",1993,2010,21.15,장위동,대창빌라(마)동,1,19,39.15,233-518,11290,1
"19,600",1995,2010,32.3,장위동,장위한양맨션,1,19,60.43,231-314,11290,-1
"20,000",1997,2010,18.24,장위동,진성맨션,1,22,42.18,233-599,11290,2
"18,000",1996,2010,25.69,장위동,창경그린맨션2차,1,22,43.6,233-303,11290,3
"32,000",2002,2010,32.25,장위동,두일파크빌1차,1,23,69.94,252-21,11290,2
"27,000",2002,2010,24.89,장위동,정원센트레빌,1,25,61.86,68-1260,11290,2
"24,000",2002,2010,27.24,장위동,영동빌하우스,1,26,54.13,231-585,11290,2
"27,000",1994,2010,45.43,장위동,(233-512),1,27,72.69,233-512,11290,3
"17,000",1994,2010,21.12,장위동,"해성타운 A,B동",1,28,38.88,230-167,11290,1
"28,000",1992,2010,24.16,장위동,장원빌라B동,1,30,45.45,97-3,11290,2
"16,000",1990,2010,33.76,석관동,단독형(332-54),1,9,51.04,332-54,11290,1
"7,800",1993,2010,18.82,석관동,단독형(334-5),1,11,25.88,334-5,11290,-1
"16,000",1994,2010,26.91,석관동,(340-300),1,12,37.18,340-300,11290,1
"7,000",1994,2010,24.12,석관동,(340-300),1,15,33.32,340-300,11290,1
"26,100",2009,2010,36.25,석관동,DS빌6차(261-65),1,21,60.02,261-65,11290,4
"15,500",1996,2010,27.54,석관동,(61-16),1,22,44.87,61-16,11290,1
"22,200",2003,2010,28.18,석관동,예건A동,1,23,59.31,168-75,11290,2
"30,200",1996,2010,58.96,성북동,진한맨션,2,2,84.49,161-18,11290,-1
"30,500",2009,2010,44.62,성북동,청운주택,2,3,73.9,131-51,11290,3
"26,000",2009,2010,35.11,성북동,청운주택,2,3,58.16,131-51,11290,4
"30,000",2009,2010,44.17,성북동,청운주택,2,4,73.17,131-51,11290,2
"35,000",2009,2010,51.775,성북동,(186-20),2,16,76.32,186-20,11290,3
"280,000",2006,2010,284.25,성북동,성북어승재A단지,2,17,244.99,303-8,11290,1
"34,000",1998,2010,53.71,성북동,센츄리빌라트,2,24,84.5,161-19,11290,1
"22,000",1998,2010,28.32,성북동,반석빌라,2,26,50.27,145-13,11290,1
"34,000",2008,2010,51.51,성북동1가,성북파크빌,2,8,75.96,110-1,11290,4
"25,000",2010,2010,53.867,돈암동,쁘띠메종,2,8,70.2,413-115,11290,3
"25,000",2010,2010,53.867,돈암동,쁘띠메종,2,8,70.2,413-115,11290,3
"21,900",2002,2010,31.22,돈암동,힐탑빌라트101동,2,12,64.51,552-29,11290,3
"16,300",1986,2010,26.65,돈암동,돈암빌라(13-127),2,20,36.6,13-127,11290,2
"20,800",1997,2010,30.71,돈암동,일류타워맨숀,2,22,67.35,74-226,11290,6
"12,000",1965,2010,23.21,돈암동,돈암아파트,2,26,21.32,48,11290,3
"27,000",1996,2010,44.36,동소문동4가,도시그린빌리지,2,1,78.28,103-15,11290,2
"25,500",2002,2010,33.39,동소문동7가,우리빌(101동),2,16,72.16,109-10,11290,1
"13,100",1991,2010,32.9,동소문동7가,현대가든빌라,2,22,57.82,87-1,11290,-1
"13,100",1991,2010,32.9,동소문동7가,현대가든빌라,2,22,57.82,87-1,11290,1
"29,500",1994,2010,62.38,삼선동3가,삼익하이츠맨션,2,12,110.4,24,11290,1
"17,600",1991,2010,28.01,삼선동4가,(51-0),2,18,47.28,51,11290,2
"23,000",1986,2010,47.73,동선동4가,현대주택,2,23,56.81,359-1,11290,-1
"23,500",2003,2010,40.78,안암동3가,양지빌라트,2,2,78.48,133-60,11290,2
"18,000",2002,2010,28.66,보문동6가,(208-2),2,1,44.2,208-2,11290,1
"40,000",1979,2010,95,보문동6가,한영연립,2,11,90.84,153,11290,2
"17,000",2002,2010,46.91,정릉동,효정타운,2,1,58.35,704-15,11290,3
"9,000",1993,2010,15.27,정릉동,청담빌라(716-143),2,2,35.12,716-143,11290,1
"21,500",2009,2010,37.55,정릉동,정성주택7차(266-400),2,4,68.34,266-400,11290,4
