거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"13,000",1989,2010,29.5,미아동,(791-1550),1,4,37.53,791-1550,11305,1
"22,500",2009,2010,41.11,미아동,삼성쉐르빌,1,5,66.34,791-1481,11305,2
"9,980",1988,2010,24.67,미아동,우광빌라,1,5,36.58,258-664,11305,2
"15,800",2003,2010,12.93,미아동,(445-17),1,6,20.68,445-17,11305,1
"14,600",2003,2010,13.61,미아동,대원아트빌5차,1,7,25.31,309-32,11305,5
"16,750",2002,2010,24.89,미아동,대동아트빌,1,11,46.33,215-81,11305,4
"22,000",2009,2010,28.45,미아동,미래빌라2차,1,11,60.36,776-113,11305,4
"12,000",1996,2010,19.95,미아동,동일빌라,1,11,46.67,791-1221,11305,3
"14,000",1987,2010,39.33,미아동,궁전빌라(258-201),1,11,54.93,258-201,11305,-1
"18,500",2009,2010,32.54,미아동,세명캐슬,1,12,62.86,791-1984,11305,1
"14,500",1996,2010,20.03,미아동,장미빌라,1,13,39.03,734-163,11305,1
"12,750",1988,2010,31.17,미아동,동성주택27,1,15,41.16,258-630,11305,1
"13,500",1995,2010,24.9,미아동,신건영빌라나동,1,15,44.85,258-739,11305,2
"28,000",1997,2010,29.53,미아동,대도맨션,1,15,74.07,455-1,11305,2
"15,000",1992,2010,20.51,미아동,(636-152),1,16,31.86,636-152,11305,1
"17,000",2003,2010,25.82,미아동,동아하이빌(158-3),1,16,50,158-3,11305,5
"17,500",1994,2010,23.63,미아동,경화빌라,1,16,48.6,234-26,11305,3
"12,000",2007,2010,15.2,미아동,천수빌라,1,17,35.72,830-12,11305,-1
"14,000",1996,2010,26.3,미아동,신일빌라,1,18,53.63,791-1510,11305,-1
"15,000",1988,2010,41.07,미아동,성도주택,1,18,55.92,258-244,11305,1
"13,400",1994,2010,19.4,미아동,삼흥하이츠빌라,1,19,34.26,223-31,11305,4
"26,000",2003,2010,32.3,미아동,삼정베스트빌,1,20,73.06,222-22,11305,2
