거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"22,000",2009,2010,38.47,쌍문동,황지클래스18차,1,2,69.84,75-44,11320,3
"13,000",1993,2010,17.6,쌍문동,동아빌라트,1,5,35.46,345-6,11320,2
"14,500",1995,2010,24.41,쌍문동,금강맨션,1,6,46.85,691,11320,-1
"18,000",2008,2010,33.96,쌍문동,백운빌라트,1,6,59.1,81-350,11320,4
"18,000",2008,2010,33.91,쌍문동,풀내음파크빌,1,7,57.27,141-25,11320,3
"12,000",2001,2010,19.98,쌍문동,현대그랑빌,1,11,44.37,315-14,11320,2
"20,000",2009,2010,37.94,쌍문동,충효그랑빌,1,11,66.1,315-247,11320,3
"16,000",2009,2010,22.833,쌍문동,청명빌라,1,13,39.275,709-6,11320,5
"15,900",1985,2010,57.82,쌍문동,우이빌라2차,1,14,50.36,524-87,11320,3
"22,000",2009,2010,38.47,쌍문동,황지클래스18차,1,15,69.84,75-44,11320,4
"13,000",2002,2010,17.02,쌍문동,한솔쉐르빌,1,15,31.34,460-162,11320,4
"16,000",2009,2010,28.53,쌍문동,황지클래스18차,1,16,51.8,75-44,11320,3
"7,500",1991,2010,16.67,쌍문동,대일맨션3,1,18,32.19,103-169,11320,-1
"20,250",2008,2010,33.03,쌍문동,우림파크빌,1,19,59.35,103-233,11320,2
"14,000",1992,2010,28.7,쌍문동,진성빌라,1,19,50.32,103-168,11320,3
"11,800",2001,2010,19.32,쌍문동,현대그랑빌,1,20,42.9,315-14,11320,2
"16,000",1992,2010,26.59,쌍문동,이화빌라(460-60),1,22,45.09,460-60,11320,2
"10,200",1993,2010,16.93,쌍문동,염광하이츠2차,1,23,34.86,679-1,11320,3
"8,000",1993,2010,18,쌍문동,나우빌라,1,25,31.86,530-11,11320,-1
"12,500",1993,2010,27.51,쌍문동,(460-179),1,25,50.28,460-179,11320,-1
"5,500",1993,2010,21.82,쌍문동,토양하이츠빌라,1,26,38.97,26-76,11320,-1
"24,000",2008,2010,39.138,쌍문동,아이파크,1,27,71.88,137-79,11320,3
"18,000",2008,2010,33.96,쌍문동,백운빌라트,1,27,59.1,81-350,11320,4
"20,000",2003,2010,26.88,쌍문동,삼우아트빌,1,27,59.26,427-42,11320,4
"15,000",1985,2010,46.4,쌍문동,(681-3),1,29,66.66,681-3,11320,2
"9,500",1992,2010,22.47,쌍문동,대보빌라,1,29,35.46,138-155,11320,2
"10,500",1997,2010,29.56,쌍문동,삼희아트빌라,1,29,65.7,460-267,11320,-1
"21,000",2008,2010,40.02,쌍문동,우림하이츠,1,30,68.85,520-51,11320,5
"12,000",1991,2010,20.66,쌍문동,진주빌라(460-184),1,30,33.03,460-184,11320,1
"24,000",2008,2010,39.138,쌍문동,아이파크,1,30,71.88,137-79,11320,4
"21,000",2009,2010,38.47,쌍문동,황지클래스18차,1,31,69.84,75-44,11320,5
"18,700",2009,2010,23.582,방학동,신일투윈빌(B동),1,1,52.255,724-22,11320,5
"12,800",2003,2010,18.46,방학동,영흥맨션12차,1,3,42.42,623-40,11320,4
"13,800",2008,2010,30.11,방학동,현대빌라(619-29),1,5,54.08,619-29,11320,3
"14,300",2001,2010,21.98,방학동,삼성빌라(688-3),1,8,46.89,688-3,11320,5
"17,300",2009,2010,25.263,방학동,리빙하우스(684-27),1,8,42.5,684-27,11320,3
"10,500",1991,2010,26.23,방학동,한양빌라(A),1,9,44.06,608-57,11320,4
"7,000",1991,2010,20.33,방학동,(633-13),1,11,31.45,633-13,11320,-1
"15,000",2002,2010,26.15,방학동,예인아트빌,1,12,47.9,304-32,11320,3
"19,000",2002,2010,29.757,방학동,진솔아트빌,1,13,71.05,620-1,11320,2
"19,000",2002,2010,26.76,방학동,대동아트빌(A동),1,15,56.62,621-12,11320,5
"15,000",2002,2010,24.65,방학동,송이주택,1,16,52.2,673-31,11320,4
"12,600",2002,2010,23,방학동,삼호파크빌,1,17,41.64,690-21,11320,2
"22,300",2009,2010,36.05,방학동,"엔젤하우스(A,B동)",1,18,72.94,725-45,11320,3
"12,500",1991,2010,31.91,방학동,혜성빌라,1,20,43.13,408-4,11320,2
"16,000",1998,2010,52.8,방학동,우방연립,1,20,60,737,11320,3
"17,500",2002,2010,26.85,방학동,삼호골드타운(가동),1,22,50.76,600-8,11320,5
"12,400",2002,2010,22.44,방학동,삼성파크빌,1,23,41.94,605-23,11320,4
"15,000",1992,2010,31.49,방학동,정한주택,1,25,36.51,393-9,11320,1
