거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"15,600",2002,2010,27,월계동,영화궁전빌,1,6,56.94,534-76,11350,3
"25,000",1977,2010,47,월계동,(633-121),1,10,44.99,633-121,11350,2
"16,500",1992,2010,27.89,월계동,경원빌라2동,1,12,53.13,429-26,11350,3
"9,000",1993,2010,18,월계동,유림하이츠빌라,1,14,31.92,392-48,11350,3
"12,000",2002,2010,12.3,월계동,더보아트빌,1,14,16.83,382-62,11350,2
"13,500",1991,2010,28,월계동,송학빌라,1,15,51.28,534-120,11350,1
"10,000",1998,2010,19.95,월계동,오성빌라,1,20,44.71,911-3,11350,-1
"13,800",1976,2010,37.19,월계동,(271-10),1,23,46.05,271-10,11350,2
"18,300",1997,2010,32.67,월계동,(534-145),1,26,59.97,534-145,11350,3
"11,400",2002,2010,16.76,월계동,대성빌라트,1,26,32.41,400-8,11350,1
"14,000",2008,2010,19.67,월계동,해인베스트빌(392-43),1,27,32.16,392-43,11350,4
"14,500",2002,2010,22.19,월계동,하나빌라B동,1,28,43.38,500-26,11350,2
"15,500",1994,2010,33.86,공릉동,광신빌라,1,11,71.5,240-212,11350,-1
"22,300",2003,2010,41.5,공릉동,투윈빌라,1,13,67.2,684-9,11350,3
"20,500",2002,2010,37.42,공릉동,고창빌라,1,14,58.77,517-27,11350,2
"24,500",2008,2010,45.96,공릉동,대화주택,1,14,71.12,621-10,11350,2
"22,300",1995,2010,32.35,공릉동,제2차태성그린빌라,1,21,67.48,240-214,11350,1
"12,500",1993,2010,19.57,공릉동,진주아트빌라 A동,1,25,37.98,415-80,11350,1
"21,500",2002,2010,28.85,공릉동,덕산빌리지,1,25,65.24,591-20,11350,1
"16,000",2003,2010,22.12,공릉동,삼우맨숀 B동,1,28,41.28,589-9,11350,5
"24,000",2002,2010,32.51,공릉동,리치빌,1,30,65.29,593-8,11350,1
"30,000",1999,2010,41.91,하계동,삼성씨티빌102동,1,22,84.21,276-12,11350,2
"15,000",1999,2010,31.7,상계동,나래빌딩,1,1,51.55,85-68,11350,2
"14,300",1995,2010,23.8,상계동,타워그린빌라A,1,5,38.88,111-30,11350,4
"18,000",1996,2010,33.54,상계동,현대주택(581-213),1,5,61.18,581-213,11350,1
"20,000",2000,2010,24,상계동,춘당빌라,1,5,47.64,71-53,11350,2
"13,000",1993,2010,16.25,상계동,천일빌라(456-144),1,5,36.48,456-144,11350,-1
"22,600",2008,2010,45.21,상계동,"풀내음파크빌A,B동",1,7,76.05,1049-48,11350,4
"13,000",1992,2010,24.5,상계동,이화빌라 G,1,8,37.71,322-42,11350,1
"34,350",1999,2010,61.99,상계동,한신빌라,1,8,84.75,1278,11350,3
"9,000",1994,2010,31.33,상계동,아세아빌라,1,8,36.36,156-5,11350,2
"20,000",1999,2010,56.26,상계동,한신빌라,1,10,76.92,1278,11350,2
"18,000",1994,2010,36.06,상계동,보람빌라(1116-36),1,11,73.87,1116-36,11350,2
"14,500",2008,2010,18.5,상계동,서울하이츠,1,11,31.34,1116-58,11350,4
"21,000",2009,2010,32.97,상계동,대광그린빌,1,12,59.93,169-500,11350,4
"16,000",1993,2010,16.43,상계동,용정빌라,1,14,35.36,138-183,11350,2
"27,700",2009,2010,39.7,상계동,느티울,1,15,72.31,389-622,11350,5
"10,200",1992,2010,60.47,상계동,선진파크빌라,1,15,83.97,111-9,11350,4
"8,000",1994,2010,16.21,상계동,보람빌라(1116-36),1,15,33.21,1116-36,11350,-1
"23,900",2008,2010,46.56,상계동,"풀내음파크빌A,B동",1,17,78.33,1049-48,11350,2
"22,800",2004,2010,31.36,상계동,(1048-37),1,19,54.2,1048-37,11350,3
"21,500",2007,2010,42.98,상계동,동일씨티빌(1116-60),1,19,74.04,1116-60,11350,3
"15,000",1998,2010,39.41,상계동,한성아트빌라,1,19,66.68,1097-5,11350,3
"15,500",1993,2010,31.98,상계동,"백승빌라3,4동",1,19,39.18,1116-96,11350,3
"14,200",2003,2010,20.78,상계동,한솔그랑빌 101동,1,20,44.52,1118-29,11350,5
"20,000",1986,2010,39.73,상계동,불암빌라 다동,1,20,53.25,109-48,11350,-1
"18,000",1996,2010,32.88,상계동,5차홍진그린맨션,1,21,75.76,111-181,11350,1
"24,000",2008,2010,46.56,상계동,"풀내음파크빌A,B동",1,27,78.33,1049-48,11350,3
"17,200",2009,2010,22.857,상계동,힐하우스,1,28,39.47,442-2,11350,3
"16,000",2007,2010,25.81,상계동,D.S빌,1,28,47.75,1117-14,11350,3
"17,000",1997,2010,25.58,상계동,홍진그린맨션7차,1,29,59.58,111-223,11350,-1
"27,300",2008,2010,47.1,중계동,청운그랑빌,1,5,74.1,58-36,11350,4
"31,000",2009,2010,44.81,중계동,삼호VILL,1,11,76.52,110-10,11350,3
"19,500",2009,2010,30.68,중계동,삼호VILL,1,17,52.39,110-10,11350,5
"17,400",2004,2010,47.1,중계동,토우-미빌라,1,20,71.42,134-3,11350,2
"12,500",2003,2010,23.7,중계동,한울아트빌,1,28,49.88,107-55,11350,3
"18,500",2003,2010,33.25,중계동,세한빌라,1,30,55.45,68-5,11350,2
"16,000",1995,2010,39.71,중계동,동신 다가구(90-26),1,30,47.21,90-26,11350,3
"12,400",1993,2010,16.85,월계동,협성빌리지(534-92),2,2,39.88,534-92,11350,2
"15,000",2003,2010,28.66,월계동,대동하이츠빌라,2,3,53.52,407-1,11350,2
"15,200",1976,2010,42.25,월계동,(472-16),2,4,48.76,472-16,11350,2
"21,800",2003,2010,34.88,월계동,대동하이츠빌라,2,8,65.14,407-1,11350,5
"14,750",1987,2010,36.5,월계동,한전빌라A동(447-2),2,12,50.37,447-2,11350,3
"7,500",1994,2010,21.33,월계동,협성빌리지(534-154),2,24,39.78,534-154,11350,2
"22,600",2003,2010,32.25,공릉동,청우컨스빌,2,3,68.49,240-39,11350,2
"18,000",2002,2010,22.26,공릉동,석정빌라,2,5,44.71,592-4,11350,4
"22,700",2003,2010,33.48,공릉동,삼성하이빌,2,6,62.62,504-13,11350,5
"14,500",1994,2010,43.5,공릉동,삼정빌라,2,8,77.58,270-42,11350,-1
"21,950",1995,2010,32.35,공릉동,제2차태성그린빌라,2,18,67.84,240-214,11350,2
"22,100",2009,2010,36.08,공릉동,스위트빌,2,18,61.5,644-63,11350,2
"17,400",2002,2010,26.53,공릉동,주인맨션(366-3),2,19,48,366-3,11350,2
"13,500",1996,2010,17.3,공릉동,선화빌라,2,23,39.03,502-7,11350,1
"23,600",2003,2010,38.21,공릉동,경희그린빌 B동,2,25,72.73,604-29,11350,3
"13,800",1997,2010,18.83,공릉동,(589-7),2,26,32.155,589-7,11350,-1
"35,600",1996,2010,77.52,하계동,코오롱마들101,2,20,85.85,252-2,11350,4
"18,000",1997,2010,32,상계동,초원빌라2차,2,2,53.91,111-274,11350,3
"18,500",2009,2010,36.98,상계동,덕산맨션(1011-48),2,7,59.95,1011-48,11350,2
"22,000",1990,2010,27.5,상계동,경운빌라,2,9,35.8,85-111,11350,2
"16,500",2009,2010,22.857,상계동,힐하우스,2,11,39.47,442-2,11350,4
"9,300",1995,2010,30.22,상계동,우진빌라,2,11,52.92,1008-49,11350,-1
"19,300",1991,2010,36.27,상계동,보람하이츠빌라,2,16,59.82,456-68,11350,2
"12,900",1992,2010,34.38,상계동,진주빌라A,2,18,36.35,397-7,11350,3
"12,000",1993,2010,18.84,상계동,산정빌라,2,22,45.53,111-337,11350,1
"18,000",2009,2010,24.89,상계동,대광그린빌,2,23,45.24,169-500,11350,4
"11,200",1994,2010,14.12,상계동,(370-16),2,23,33.24,370-16,11350,2
"20,000",1986,2010,38.53,상계동,(136-47),2,23,49.89,136-47,11350,2
"13,000",1996,2010,15.5,상계동,천일빌라,2,24,39.27,43-20,11350,4
"22,000",2003,2010,40.88,상계동,삼원골드빌103동,2,24,71.32,394-19,11350,2
"19,000",1997,2010,33.5,상계동,가토빌라,2,25,65.4,111-234,11350,3
"20,000",2009,2010,27.28,상계동,현대아트빌,2,26,46.84,442-14,11350,3
"7,200",1996,2010,13.47,상계동,천우빌라 10차,2,27,29.94,450-1,11350,-1
"20,000",1992,2010,50.5,중계동,불암산빌라,2,1,56.16,90-10,11350,2
"14,000",2005,2010,40.07,중계동,한신빌라트,2,8,72.44,68-8,11350,5
"27,500",2009,2010,47.5,중계동,새울센스빌,2,11,80.92,451,11350,3
"26,200",2009,2010,44.6,중계동,새울센스빌,2,12,75.91,451,11350,3
"30,000",2009,2010,39.03,중계동,삼호VILL,2,28,66.64,110-10,11350,4
"9,990",2002,2010,25.2,월계동,영동빌하우스,3,8,38.53,534-12,11350,2
"11,000",1987,2010,27.08,월계동,동산빌라B,3,11,40.34,534-259,11350,1
"14,700",1987,2010,36.5,월계동,한전빌라A동(447-2),3,13,50.37,447-2,11350,1
"22,800",2008,2010,33.61,월계동,스타리버빌,3,15,60.49,534-129,11350,5
"7,500",1990,2010,23.3,월계동,(402-57),3,16,37.45,402-57,11350,-1
"14,000",1987,2010,20.63,월계동,동산주택1,3,19,38.76,382-52,11350,3
"22,000",1990,2010,37.09,월계동,가람빌라,3,24,47.63,285-11,11350,1
"13,500",1994,2010,22.1,월계동,협성빌리지(534-154),3,24,38.52,534-154,11350,4
"11,000",1993,2010,18.48,공릉동,풍산빌라A동,3,5,35.17,513-17,11350,-1
"21,800",2002,2010,29.47,공릉동,덕산빌리지B동,3,6,64.26,591-10,11350,1
"23,500",1979,2010,73.68,공릉동,연호연립(375-8),3,8,57.59,375-8,11350,1
