거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"28,000",1995,2010,25.94,수색동,(354-10),1,5,58.29,354-10,11380,4
"22,000",2009,2010,20.82,수색동,(377-12),1,13,28.21,377-12,11380,2
"29,500",2005,2010,30.83,수색동,세은아트빌,1,14,52.74,348-10,11380,2
"21,500",2009,2010,19.52,수색동,(377-12),1,14,26.97,377-12,11380,3
"24,000",2009,2010,22.89,수색동,(377-12),1,15,29,377-12,11380,5
"21,000",2009,2010,19.85,수색동,(377-12),1,15,26.97,377-12,11380,2
"41,800",2002,2010,56.76,수색동,월드컵빌라,1,18,79.61,135-9,11380,1
"25,000",1991,2010,34.66,수색동,(13-1),1,21,42.09,13-1,11380,-1
"25,500",2005,2010,38.3,수색동,(324-8),1,28,69.46,324-8,11380,3
"27,500",1987,2010,27.84,수색동,(150-44),1,28,36.18,150-44,11380,2
"8,000",1991,2010,25.8,녹번동,수정빌라(105-15),1,4,31.07,105-15,11380,-1
"25,000",2008,2010,41.67,녹번동,천지월드빌,1,5,76.92,144-17,11380,3
"21,000",2002,2010,44.69,녹번동,은성빌라(31-22),1,5,62.51,31-22,11380,4
"11,500",2002,2010,36.19,녹번동,은성빌라(31-22),1,6,50.61,31-22,11380,3
"6,500",2002,2010,21.73,녹번동,은성빌라(31-22),1,6,30.38,31-22,11380,3
"23,000",1991,2010,36.54,녹번동,낙원주택(B),1,7,51.62,53-88,11380,-1
"18,500",2003,2010,31.515,녹번동,명남하이츠빌(29-208),1,7,59.44,29-208,11380,4
"18,000",1995,2010,37.56,녹번동,송남빌라(94-6),1,9,54.62,94-6,11380,1
"11,000",1992,2010,23.02,녹번동,초원빌라(43-36),1,12,39.75,43-36,11380,1
"19,000",2004,2010,34,녹번동,금강(156-2),1,13,69.48,156-2,11380,3
"12,000",1995,2010,18.49,녹번동,(21-269),1,15,45.18,21-269,11380,3
"16,000",2002,2010,36.19,녹번동,은성빌라(31-22),1,18,50.61,31-22,11380,2
"20,000",1991,2010,30.9,녹번동,젤라빌리지(19-21),1,18,56.43,19-21,11380,-1
"19,500",2001,2010,28.74,녹번동,동일빌라(144-18),1,18,53.9,144-18,11380,3
"9,500",1991,2010,14.07,녹번동,젤라빌리지(28-43),1,18,26.62,28-43,11380,1
"20,800",2007,2010,38.54,녹번동,드림맨션,1,19,67.06,86-81,11380,3
"16,000",2002,2010,36.19,녹번동,은성빌라(31-22),1,19,50.61,31-22,11380,3
"22,000",2002,2010,43.88,녹번동,번영하이츠빌(80-27),1,19,83.21,80-27,11380,2
"14,500",2002,2010,21.67,녹번동,준성빌라트(나동),1,21,43.27,81-6,11380,2
"33,800",2005,2010,47.09,녹번동,뉴펠리스(B동),1,21,84.95,120-48,11380,3
"19,000",2004,2010,31.989,녹번동,에덴빌(76-5),1,24,56.58,76-5,11380,5
"20,000",1979,2010,85.417,녹번동,보림주택(81-18),1,25,76.63,81-18,11380,2
"20,150",2008,2010,42.796,녹번동,진성파크빌,1,25,60.45,75-36,11380,5
"18,000",1992,2010,27.63,녹번동,타워빌라3차,1,27,58.32,35-67,11380,1
"11,500",1994,2010,18.71,녹번동,가든빌라(E동),1,28,34.08,168-5,11380,1
"10,800",1993,2010,17.05,녹번동,삼환하이츠맨션,1,29,36.13,120-52,11380,3
"21,700",2009,2010,36.16,녹번동,다원샤인빌(31-12),1,30,59.21,31-12,11380,4
"13,500",1986,2010,27,녹번동,(35-93),1,30,44.12,35-93,11380,2
"18,000",2002,2010,24.36,녹번동,세림(B동),1,30,42.45,172-1,11380,2
"15,500",1984,2010,31.617,녹번동,(21-111),1,30,41.83,21-111,11380,1
"17,000",2010,2010,21.41,녹번동,명진하이빌(131-162),1,31,39.34,131-162,11380,5
"21,500",2009,2010,36.16,녹번동,다원샤인빌(31-12),1,31,59.21,31-12,11380,5
"15,000",1991,2010,28.16,불광동,우진빌라(C),1,4,36.84,236-2,11380,-1
"14,000",2009,2010,28.63,불광동,해마루빌,1,4,34.31,442-8,11380,1
"18,450",1993,2010,35.33,불광동,(238-146),1,6,46.87,238-146,11380,1
"8,000",1992,2010,18.03,불광동,신아주택,1,7,37.24,28-10,11380,2
"11,691",1991,2010,17.72,불광동,(549-2),1,7,30.2,549-2,11380,1
"23,000",2003,2010,38.024,불광동,백마빌리지(C),1,9,64.73,391-103,11380,3
"8,200",1993,2010,15.93,불광동,삼협빌라(218-34),1,9,28.23,218-34,11380,2
"10,250",1994,2010,16.793,불광동,(547-3),1,13,27.89,547-3,11380,-1
"19,400",1987,2010,43,불광동,(221-46),1,13,49.77,221-46,11380,1
"15,400",2002,2010,26.26,불광동,삼성그린빌,1,13,55.16,105-49,11380,2
"22,000",2002,2010,33.66,불광동,수성아트빌,1,15,73.58,285-15,11380,2
"21,400",2009,2010,33.57,불광동,삼성홈타운,1,17,57.48,484-286,11380,4
"16,000",1991,2010,24.89,불광동,(272-14),1,18,34.68,272-14,11380,1
"16,000",2001,2010,34.09,불광동,청송아트빌라,1,20,67.56,221-32,11380,1
"16,000",1990,2010,35.83,불광동,은광주택(218-45),1,20,35.75,218-45,11380,1
"12,500",2002,2010,25.08,불광동,현보포스빌(170-109),1,20,48.21,170-109,11380,4
"15,500",2004,2010,28.77,불광동,삼오그린빌(A동),1,20,50.18,170-14,11380,3
"13,900",1997,2010,23.42,불광동,(246-17),1,21,43.75,246-17,11380,-1
"16,000",1997,2010,39.062,불광동,(163-11),1,21,57.52,163-11,11380,1
"18,000",2009,2010,27.206,불광동,재승파크빌,1,21,49.25,8-195,11380,5
"12,398",2003,2010,17.26,불광동,이레빌라,1,23,38.96,542-10,11380,3
"21,000",2009,2010,32.93,불광동,재승파크빌,1,24,59.61,8-195,11380,3
"25,000",2009,2010,40.45,불광동,거성리젠시,1,24,72.08,421-8,11380,4
"9,300",1989,2010,27.5,불광동,삼협하이츠빌라(8-255),1,27,36.3,8-255,11380,2
"23,000",1998,2010,46.7,불광동,아름맨션,1,28,68.57,329-12,11380,2
"14,500",2001,2010,26.43,불광동,선우씨티빌,1,28,50.26,444-6,11380,3
"15,500",2002,2010,33.72,불광동,현보포스빌(170-109),1,28,64.83,170-109,11380,2
"20,000",2002,2010,33.071,불광동,솔미빌라트,1,28,59.55,219-11,11380,2
"11,100",1993,2010,17.91,불광동,미빌,1,29,35.64,369-1,11380,2
"19,500",1991,2010,31.87,불광동,태광빌라(244-129),1,30,38.47,244-129,11380,1
"17,500",2009,2010,29.84,갈현동,호림리슈리안트6차,1,3,49,434-29,11380,2
"20,000",2001,2010,32.02,갈현동,양지빌리지,1,7,61.39,496-19,11380,4
"18,850",2001,2010,25.01,갈현동,두진(430-20),1,7,58.86,430-20,11380,3
"8,000",1993,2010,9.14,갈현동,청록하이츠,1,8,19.29,8-12,11380,-1
"25,600",2009,2010,42.55,갈현동,중앙하이츠(6-104),1,10,76.29,6-104,11380,3
"21,000",2001,2010,46.506,갈현동,부성맨션(495-3),1,12,84.77,495-3,11380,1
"14,250",1991,2010,27.33,갈현동,호암빌라,1,13,37.26,285-98,11380,2
"24,900",2009,2010,35.95,갈현동,해창위너스빌(480-2),1,13,61.71,480-2,11380,5
"14,800",1990,2010,34.98,갈현동,세봉빌라,1,14,41.73,468-4,11380,3
