°Å·¡±Ý¾×,°ÇÃà³âµµ,³â,´ëÁö±Ç¸éÀû,¹ýÁ¤µ¿,¿¬¸³´Ù¼¼´ë,¿ù,ÀÏ,Àü¿ë¸éÀû,Áö¹ø,Áö¿ªÄÚµå,Ãþ
"15,000",1993,2010,32.9,Ãµ¿¬µ¿,(120-32),1,7,51.74,120-32,11410,2
"35,000",1993,2010,34.32,ºÏ¾ÆÇöµ¿,¿ì½Åºô¶ó8Â÷,1,4,65.03,3-212,11410,2
"34,000",1999,2010,34.7,ºÏ¾ÆÇöµ¿,(129-75),1,9,78.48,129-75,11410,6
"34,000",1998,2010,42.75,ºÏ¾ÆÇöµ¿,¾Æ¸²ºô¶ó,1,11,70.24,123-67,11410,1
"24,000",1994,2010,35.61,ºÏ¾ÆÇöµ¿,Çö´ëÈÑ¹Ì¸®ºô¶ó,1,18,62.37,1-657,11410,2
"23,500",2003,2010,24.36,ºÏ¾ÆÇöµ¿,¹Ì°¡ºô,1,20,44.2,1-111,11410,1
"17,000",1970,2010,14.2,ºÏ¾ÆÇöµ¿,(770-7),1,22,15.4,770-7,11410,2
"34,000",2003,2010,32.4,ºÏ¾ÆÇöµ¿,(123-52),1,25,52.86,123-52,11410,3
"51,000",1991,2010,92.02,ºÏ¾ÆÇöµ¿,Á¤¸²ÆÄÅ©,1,25,144.54,1-327,11410,1
"34,000",2003,2010,32.4,ºÏ¾ÆÇöµ¿,(123-52),1,25,52.86,123-52,11410,3
"40,000",2001,2010,42.42,ºÏ¾ÆÇöµ¿,Áø¿µ¾ÆÆ®ºô,1,25,69.93,123-75,11410,2
"35,800",2001,2010,47.13,ºÏ¾ÆÇöµ¿,½ºÀ§½º±×¸°ºô,1,26,76.29,3-211,11410,5
"34,000",2003,2010,31.7,ºÏ¾ÆÇöµ¿,(123-52),1,27,51.59,123-52,11410,5
"35,000",1993,2010,15.99,ºÏ¾ÆÇöµ¿,(123-21),1,29,84.79,123-21,11410,3
"28,000",2007,2010,40.41,È«Á¦µ¿,¿¡¶ß¾Ëºô¶óÆ®,1,2,74.25,267-69,11410,4
"10,600",1991,2010,19.75,È«Á¦µ¿,ÃÊµ¿ºô¶ó,1,6,49.97,360-96,11410,1
"23,000",2008,2010,35.41,È«Á¦µ¿,(122-38),1,7,49.92,122-38,11410,2
"24,800",2008,2010,48.58,È«Á¦µ¿,¼¼Á¾¾ÆÆ®ºô,1,9,77.76,5-107,11410,3
"10,300",1987,2010,33.3,È«Á¦µ¿,(6-135),1,13,48.97,6-135,11410,2
"17,200",2003,2010,29.96,È«Á¦µ¿,À¯°æºô¶ó,1,19,54.98,278-21,11410,5
"19,750",1994,2010,32.45,È«Á¦µ¿,±¤ÀÏºô¶ó,1,22,59.76,349-1,11410,3
"10,300",1996,2010,26.01,È«Á¦µ¿,Èù±¹ÇüÁÖÅÃ,1,23,46.61,360-50,11410,2
"14,000",1987,2010,44.11,È«Á¦µ¿,¼­°­ºô¶ó2µ¿,1,25,48.01,90-6,11410,3
"17,000",1994,2010,32.83,È«Á¦µ¿,±¤ÀÏºô¶ó,1,29,60.48,349-1,11410,4
"13,000",1997,2010,24.2,È«Á¦µ¿,(361-12),1,30,46.36,361-12,11410,-1
"14,000",1982,2010,23.16,Ã¢Ãµµ¿,(4-118),1,6,45.62,4-118,11410,-1
"10,000",2001,2010,11.658,Ã¢Ãµµ¿,ºí·çÈú,1,27,23.02,100-124,11410,1
"14,000",1993,2010,44.4,¿¬Èñµ¿,¸íÁöÁÖÅÃ,1,8,47.16,721-8,11410,2
"24,500",1991,2010,77.11,¿¬Èñµ¿,¿¬ÈñÆÄÅ©(200-120),1,8,65.13,200-120,11410,1
"15,000",1993,2010,40.66,¿¬Èñµ¿,¿¬Èñºô¶ó(51-0),1,11,82.17,51,11410,2
"25,000",1996,2010,38.31,¿¬Èñµ¿,½ÅÁøºô¶ó,1,15,76.68,45-20,11410,4
"11,500",1986,2010,26.73,¿¬Èñµ¿,µ¿ÁøÁÖÅÃ2µ¿,1,15,37.71,142-30,11410,1
"15,100",2003,2010,23.48,¿¬Èñµ¿,ÆÓ¸®½ººô,1,19,43.23,723-10,11410,4
"17,000",1993,2010,27.53,¿¬Èñµ¿,(519-123),1,21,57.54,519-123,11410,-1
"26,000",2008,2010,49.69,¿¬Èñµ¿,¼º¿î,1,23,73.13,290-2,11410,3
"11,500",1986,2010,26.73,¿¬Èñµ¿,µ¿ÁøÁÖÅÃ2µ¿,1,25,37.71,142-30,11410,1
"19,000",1996,2010,26.46,¿¬Èñµ¿,»óÁöÁÖÅÃ,1,25,59.72,»ê118-57,11410,1
"20,000",1997,2010,25.7,¿¬Èñµ¿,µÎ·¹ÁÖÅÃ3,1,25,59.82,519-63,11410,1
"26,000",2008,2010,49.69,¿¬Èñµ¿,¼º¿î,1,26,73.13,290-2,11410,2
"24,500",1985,2010,59.83,¿¬Èñµ¿,µ¿Áøºô¶ó,1,27,45.96,141-34,11410,1
"16,000",2001,2010,26.263,¿¬Èñµ¿,¿¬Èï°¡³ª¾Èºô¶ó(520-120),1,28,59.53,520-120,11410,3
"17,000",2000,2010,19.8,¿¬Èñµ¿,¿¬Èï°¡³ª¾Èºô¶ó(520-110),1,29,59.87,520-110,11410,4
"21,750",1990,2010,35.478,¿¬Èñµ¿,(193-21),1,29,63.24,193-21,11410,2
"16,500",1986,2010,37,¿¬Èñµ¿,(519-33),1,29,47.85,519-33,11410,2
"11,500",1994,2010,16.01,È«Àºµ¿,¹é³â(338-27),1,8,31.01,338-27,11410,-1
"8,000",1986,2010,27.77,È«Àºµ¿,(9-229),1,11,44.14,9-229,11410,-1
"36,700",2003,2010,46.25,È«Àºµ¿,ÁøÈ­¾ÆÆ®,1,15,83.88,325-33,11410,3
"7,000",1997,2010,14.23,È«Àºµ¿,ÈúÅ¸¿î,1,15,23.03,265-288,11410,1
"18,000",1986,2010,38.56,È«Àºµ¿,ÃÊ¿øÁÖÅÃ,1,15,51.48,408-21,11410,-1
"21,500",2004,2010,35.04,È«Àºµ¿,´ö¾ç¾ÆÆ®ºô,1,17,59.58,407-16,11410,4
"17,700",1993,2010,27.55,È«Àºµ¿,"µ¿¾çºô¶ó(°¡,³ªµ¿)(17-4)",1,19,59.43,9-798,11410,1
"24,000",1993,2010,37,È«Àºµ¿,Çö´ë¾ÆÆ®ºô¶ó,1,20,84.64,265-230,11410,4
"10,500",1987,2010,27.66,È«Àºµ¿,(8-444),1,21,39.53,8-444,11410,1
"10,200",1991,2010,34.1,È«Àºµ¿,Ã»¹Ìºô¶ó(Bµ¿),1,22,44.79,189-2,11410,2
"9,000",1987,2010,44.8,È«Àºµ¿,±ÝÈ£ÁÖÅÃ-¿¡ÀÌµ¿,1,23,49.38,354-6,11410,-1
"13,000",1987,2010,22.62,È«Àºµ¿,¿¬ÈñÁÖÅÃ-¶óµ¿,1,23,35.95,294-52,11410,2
"8,000",1994,2010,18.25,È«Àºµ¿,¼ºÁøºô¶ó,1,23,42.39,195-5,11410,4
"24,500",2003,2010,39.29,È«Àºµ¿,¹é¼ÛÇÏÀÌÃ÷,1,24,78.12,396-39,11410,4
"20,000",2001,2010,47.86,È«Àºµ¿,·Î¾âºô¶ó,1,25,83.73,188-11,11410,3
"8,400",1991,2010,30.91,È«Àºµ¿,´ÃÇÏ´Ã1Â÷,1,25,52.25,265-190,11410,1
"19,500",2009,2010,30.84,È«Àºµ¿,¸íÁøÇÏÀÌºô2Â÷,1,26,60.64,396-37,11410,5
"9,950",1973,2010,18.47,È«Àºµ¿,È«Àººô¶ó(9-534),1,27,23.14,9-534,11410,2
"20,200",2003,2010,32.9,È«Àºµ¿,Ã»»ê,1,29,58.54,411-9,11410,2
"18,500",2006,2010,33.78,È«Àºµ¿,¹é¼®ºô¶ó,1,29,70.75,8-427,11410,2
"16,300",2002,2010,22.95,È«Àºµ¿,Çö´ëÇÏ´Ïºô,1,30,49.14,397-6,11410,1
"23,000",2005,2010,38.213,È«Àºµ¿,¿¥È­ÀÏºô¶óÆ®-¿¡ÀÌ,1,30,66.87,394-10,11410,4
"24,500",1982,2010,51.765,ºÏ°¡ÁÂµ¿,½ÅÃÌ(Aµ¿),1,2,67.93,370-8,11410,2
"11,000",1986,2010,27.18,ºÏ°¡ÁÂµ¿,(369-26),1,4,40.68,369-26,11410,1
"20,800",2009,2010,29.76,ºÏ°¡ÁÂµ¿,ÇÑ¾ç¾ÆÆ®ºô(328-46),1,5,54.49,328-46,11410,3
"13,500",1986,2010,28.32,ºÏ°¡ÁÂµ¿,ÀÓÃ¢ºô¶ó(Dµ¿),1,6,36.58,324-45,11410,1
"18,300",1992,2010,20.64,ºÏ°¡ÁÂµ¿,¼ÛÀçºô¶ó,1,10,48.3,350-13,11410,4
"19,000",1996,2010,21.42,ºÏ°¡ÁÂµ¿,¹é¸í±×¸°Å¸¿î(°¡),1,10,46.04,310-31,11410,2
"16,500",2008,2010,20.08,ºÏ°¡ÁÂµ¿,µ¿È­ºô¶ó2Â÷,1,10,35.73,3-106,11410,5
"17,000",2009,2010,23.15,ºÏ°¡ÁÂµ¿,ÇÑ¾ç¾ÆÆ®ºô(328-46),1,10,40.63,328-46,11410,4
"22,000",2003,2010,31.9,ºÏ°¡ÁÂµ¿,µ¿È­ºô¶ó,1,10,56.28,340-8,11410,2
"17,000",2004,2010,23.48,ºÏ°¡ÁÂµ¿,¸ñÀÎºô¸®Áö,1,11,33.36,368-3,11410,4
"13,500",1993,2010,16.9,ºÏ°¡ÁÂµ¿,(380-8),1,13,36.18,380-8,11410,-1
"22,000",1994,2010,29.19,ºÏ°¡ÁÂµ¿,´ëµ¿¾ÆÆ®¸Ç¼Ç,1,16,59.78,374-2,11410,1
"18,300",1995,2010,35.63,ºÏ°¡ÁÂµ¿,¹é¸íÇÏÀÌÃ÷ºô¶ó(6-9),1,16,61.47,6-9,11410,2
"12,500",1986,2010,20.16,ºÏ°¡ÁÂµ¿,(342-17),1,17,34.92,342-17,11410,1
