거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"20,000",1988,2010,27.66,아현동,(715-7),1,11,56.46,715-7,11440,1
"17,800",1986,2010,33,아현동,(700-10),1,12,37.8,700-10,11440,2
"28,000",1981,2010,41.8,아현동,(651-10),1,14,54.35,651-10,11440,1
"35,000",2004,2010,54.46,아현동,근라빌,1,20,75.98,694-1,11440,3
"16,200",1976,2010,18.5,아현동,(653-2),1,28,43.17,653-2,11440,3
"41,000",1981,2010,67.27,용강동,(39-1),1,6,101,39-1,11440,2
"35,000",2002,2010,30.49,용강동,(149-45),1,6,72.13,149-45,11440,3
"28,800",2007,2010,28.2,용강동,(116-9),1,26,45.2,116-9,11440,5
"42,000",2009,2010,47.92,마포동,지민하우스,1,10,79.74,292-81,11440,5
"28,000",2001,2010,41.95,마포동,썬힐빌라,1,12,77.7,410-2,11440,2
"22,800",1995,2010,14.66,대흥동,대흥동다세대주택,1,27,34.2,43-17,11440,1
"25,000",1997,2010,37.65,염리동,(21-129),1,6,45.95,21-129,11440,2
"30,000",2003,2010,48.74,염리동,다울아크로빌(27-49),1,15,95.14,27-49,11440,2
"41,000",2005,2010,40.3,신수동,(71-5),1,8,57.63,71-5,11440,3
"50,000",2005,2010,65.41,신수동,(93-31),1,12,106.38,93-31,11440,3
"29,000",1987,2010,39.25,신수동,(91-124),1,16,43.26,91-124,11440,2
"21,500",1993,2010,26.56,신수동,(91-318),1,21,57.6,91-318,11440,1
"24,000",2002,2010,43.35,신수동,동해그랑빌105동,1,27,47.34,429-11,11440,5
"40,000",1993,2010,40.17,현석동,현신아트빌라,1,16,54.68,105-4,11440,2
"36,700",1993,2010,33.18,현석동,현신아트빌라,1,25,45.18,105-4,11440,1
"25,500",2008,2010,40.96,구수동,(79-9),1,28,62.34,79-9,11440,2
"30,800",2008,2010,23.14,상수동,미주빌2차,1,12,23.36,327-11,11440,3
"31,000",2008,2010,23.14,상수동,미주빌2차,1,12,23.36,327-11,11440,2
"41,500",2008,2010,33.06,상수동,(328-7),1,15,37.11,328-7,11440,3
"28,500",2008,2010,21.49,상수동,미주빌1차,1,15,23.23,333-15,11440,3
"31,000",2008,2010,23.14,상수동,미주빌1차,1,16,26.34,333-15,11440,3
"30,200",1992,2010,22.03,상수동,(338-1),1,16,46.8,338-1,11440,2
"20,800",2003,2010,24.46,상수동,(344-3),1,23,44.91,344-3,11440,5
"29,000",2005,2010,36.74,상수동,아카데미아2nd world,1,23,59.53,312-3,11440,2
"38,800",2008,2010,28.56,상수동,미주빌2차,1,23,37.76,327-11,11440,3
"36,500",2008,2010,27.43,상수동,미주빌2차,1,25,33.91,327-11,11440,2
"36,500",2008,2010,27.43,상수동,미주빌2차,1,25,33.91,327-11,11440,3
"39,400",2008,2010,29.78,상수동,미주빌2차,1,25,49.53,327-11,11440,4
"38,800",2008,2010,28.52,상수동,미주빌2차,1,26,37.76,327-11,11440,2
"29,900",2008,2010,21.56,상수동,(328-6),1,26,32.4,328-6,11440,5
"45,000",2008,2010,34.86,상수동,만호빌,1,28,57.32,322-6,11440,2
"43,000",2008,2010,33.06,상수동,미주빌1차,1,30,59.79,333-15,11440,4
"40,800",2001,2010,35.31,당인동,동궁빌리지 다동,1,4,74.1,24-7,11440,1
"33,500",1990,2010,24.75,당인동,(12-24),1,28,36.8,12-24,11440,3
"21,000",1991,2010,36,서교동,성일서교빌라,1,9,43.16,5-12,11440,2
"26,000",2002,2010,27.07,서교동,대광아크로빌,1,13,68.75,452-1,11440,4
"30,000",1991,2010,37.79,서교동,한일빌리지,1,16,60.65,329-12,11440,2
"17,500",2000,2010,20.75,서교동,서교동포인트빌라,1,23,47.38,454-5,11440,2
"28,300",2002,2010,32.23,서교동,현대하이츠빌라,1,29,77.6,451-26,11440,4
"33,000",2000,2010,37.14,동교동,삼성주택,1,29,76.79,154-24,11440,3
"34,000",1973,2010,16.17,합정동,합정아파트,1,4,57.23,375-1,11440,4
"40,000",1988,2010,32.78,합정동,홍희빌라,1,5,38.12,372-37,11440,1
"32,200",2008,2010,24.69,합정동,홍익파크빌,1,6,38.26,91-19,11440,5
"25,400",1994,2010,27.09,합정동,백운빌라,1,7,42.71,429-14,11440,1
"42,500",2001,2010,27.47,합정동,흥아빌라나동,1,7,66.45,377-11,11440,1
"40,000",2001,2010,27.47,합정동,흥아빌라나동,1,9,66.45,377-11,11440,1
"25,500",2008,2010,24.28,합정동,홍익파크빌,1,9,37.62,91-19,11440,4
"26,950",1986,2010,16.73,합정동,경성빌라,1,11,30.24,381-33,11440,1
"28,000",1990,2010,20.62,합정동,백운아트빌라(445-2),1,11,36.6,445-2,11440,2
"35,000",1990,2010,37.34,합정동,미도빌라1,1,13,37.21,458-10,11440,2
"27,400",2008,2010,26.75,합정동,합정쉐르빌,1,13,36.68,433-27,11440,4
"21,500",1990,2010,20.62,합정동,백운아트빌라(445-2),1,13,36.6,445-2,11440,2
"38,000",2001,2010,26.02,합정동,흥아빌라 가동,1,14,61.31,377-28,11440,1
"20,000",2002,2010,16.86,합정동,동양하이츠빌,1,14,28.24,443-11,11440,3
"32,000",1989,2010,26.55,합정동,강변타운,1,15,34.47,74-27,11440,1
"23,600",2009,2010,18.85,합정동,(429-40),1,15,26.47,429-40,11440,2
"27,100",1993,2010,13.16,합정동,덕원빌라,1,16,44.96,428-50,11440,3
"50,000",2001,2010,43.15,합정동,동하아트빌,1,16,73.35,361-49,11440,4
"42,000",2008,2010,36.02,합정동,솔빛주택,1,16,60.72,447-4,11440,5
"29,000",1986,2010,27.08,합정동,(450-31),1,17,39.6,450-31,11440,3
"31,900",2002,2010,19.37,합정동,일석맨션,1,18,35.52,364-20,11440,4
"32,000",2002,2010,19.37,합정동,일석맨션,1,18,35.52,364-20,11440,4
"23,870",1993,2010,25.66,합정동,삼화주택,1,18,40.68,441-7,11440,1
"32,000",2002,2010,19.37,합정동,일석맨션,1,19,35.52,364-20,11440,4
"32,000",2002,2010,19.37,합정동,일석맨션,1,19,35.52,364-20,11440,4
"29,000",2002,2010,22.08,합정동,진흥테크빌,1,19,44.43,429-51,11440,3
"23,900",1996,2010,21.35,합정동,삼성주택(434-30),1,20,42.39,434-30,11440,4
"29,000",1996,2010,24.17,합정동,삼성주택(434-30),1,20,48.01,434-30,11440,2
"26,500",2008,2010,24.07,합정동,굿모닝빌(434-34),1,21,35.18,434-34,11440,3
"40,000",2003,2010,26.86,합정동,(369-35),1,21,56.63,369-35,11440,3
"35,300",2010,2010,33.83,합정동,온세그린빌,1,22,60.96,430-1,11440,3
"18,400",1994,2010,15.34,합정동,무지개빌라(434-14),1,22,26.77,434-14,11440,2
"36,000",1991,2010,27.74,합정동,백운아트빌라,1,23,36.32,445-19,11440,2
"28,500",1991,2010,17.03,합정동,신건빌라,1,23,65.81,440-7,11440,3
"28,500",1992,2010,28.84,합정동,청구아트빌라,1,26,62.41,430-20,11440,3
"23,300",2009,2010,18.85,합정동,(429-40),1,27,26.47,429-40,11440,3
"37,000",1992,2010,26.6,합정동,합정빌라,1,27,68.04,400-17,11440,2
"39,700",2001,2010,26.69,합정동,부성그랜드빌라,1,28,58.93,198-17,11440,2
