거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"21,900",2009,2010,29.73,신정동,시온타운,1,5,53.17,964-13,11470,3
"21,700",2003,2010,48.05,신정동,목동파크빌C동,1,7,79.6,1052-9,11470,1
"20,500",2003,2010,29.97,신정동,대산파크빌(946-25),1,8,64.41,946-25,11470,1
"10,000",2002,2010,39.3,신정동,월드타운,1,8,80.25,927-25,11470,-1
"14,000",1990,2010,34.53,신정동,한성빌라,1,8,35.64,907-6,11470,2
"21,000",2002,2010,28.08,신정동,예지쉐르빌(929-4)(19차),1,11,60.48,929-4,11470,2
"25,200",2002,2010,29.73,신정동,예지쉐르빌C동,1,11,65.88,885-22,11470,4
"21,800",2002,2010,28.4,신정동,금남골드빌,1,13,64.52,1196-6,11470,2
"12,800",2003,2010,17.07,신정동,제일미노빌,1,15,33.88,923-31,11470,2
"15,000",2002,2010,21.15,신정동,MK빌라,1,16,45.06,1008-9,11470,4
"21,500",2009,2010,28.84,신정동,태영아트빌(927-12),1,16,50.86,927-12,11470,4
"19,750",2002,2010,28.08,신정동,예지쉐르빌(929-4)(19차),1,16,60.48,929-4,11470,3
"23,700",2009,2010,30.96,신정동,시온타운,1,18,55.38,964-13,11470,3
"25,600",2002,2010,29.73,신정동,예지쉐르빌C동,1,19,65.88,885-22,11470,5
"23,000",2003,2010,38.82,신정동,송원주택(957-14),1,20,79.59,957-14,11470,3
"15,200",1998,2010,39.26,신정동,신정빌라(916-6),1,21,83.16,916-6,11470,-1
"24,000",2002,2010,24.3,신정동,목민그린파크,1,22,51.48,1203-10,11470,1
"18,000",2002,2010,24.12,신정동,태영아트빌C동,1,23,51.54,1198-6,11470,5
"20,500",2002,2010,25.35,신정동,리브르빌라,1,23,56.04,989-9,11470,3
"16,500",2001,2010,21.3,신정동,다다빌라트5차,1,25,43.74,931-4,11470,1
"23,000",2002,2010,34.25,신정동,현대빌리지가동,1,25,77.19,1208-10,11470,1
"27,000",2009,2010,34.25,신정동,예지쉐르빌53차,1,26,60.34,886-5,11470,5
"26,000",2009,2010,34.28,신정동,시온타운,1,26,61.31,964-13,11470,5
"13,250",2001,2010,19.38,신정동,정운빌라(933-1),1,26,40.46,933-1,11470,3
"23,000",2002,2010,33.57,신정동,다다빌라트(965-11),1,26,68.97,965-11,11470,5
"12,700",2003,2010,19.38,신정동,국제아트빌(1205-6),1,28,28.92,1205-6,11470,1
"18,000",2003,2010,23.87,신정동,영광해피빌,1,29,49.25,967-21,11470,4
"28,000",1980,2010,78.78,신정동,문화,1,29,70.02,922-1,11470,1
"27,000",2002,2010,44.92,신정동,삼호타운,1,29,83.57,982-2,11470,2
"16,500",2008,2010,23.03,신정동,로데오,1,29,34.29,891-26,11470,2
"19,000",2002,2010,24.17,신정동,우진파크빌다동,1,30,51.42,1218-9,11470,1
