거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"21,000",1989,2010,25.2,염창동,(253-13),1,15,41.05,253-13,11500,2
"26,000",2003,2010,24.89,등촌동,녹십초훼미리타운8동,1,4,62.67,662-14,11500,4
"24,500",2001,2010,29.35,등촌동,삼성그린빌,1,7,59.04,365-129,11500,1
"11,000",2002,2010,18.05,등촌동,삼성오투빌,1,9,30.6,365-212,11500,-1
"12,500",2002,2010,16.85,등촌동,삼성오투빌,1,11,28.56,365-212,11500,2
"18,500",2002,2010,22.88,등촌동,목원하이츠빌A,1,11,43.8,530-1,11500,3
"11,950",2002,2010,15.4,등촌동,삼성오투빌,1,12,26.1,365-212,11500,2
"17,500",1988,2010,51.53,등촌동,계광빌라,1,16,36.36,647-4,11500,3
"17,450",1994,2010,23.58,등촌동,현대하이츠빌라,1,16,39.92,365-183,11500,1
"22,000",2002,2010,29.01,등촌동,오성트레빌,1,18,53.88,365-182,11500,1
"12,200",1986,2010,27.93,등촌동,모란다동,1,19,39.6,645-41,11500,-1
"26,000",2009,2010,28.39,등촌동,증미하이츠,1,19,64.52,636-41,11500,2
"23,500",2002,2010,31.37,등촌동,동아빌라트다동,1,23,61.64,575-10,11500,3
"18,000",2001,2010,24.65,등촌동,스카이빌,1,23,46.74,366-94,11500,2
"9,500",2002,2010,28.04,등촌동,성호타운빌C동,1,25,61.41,514-31,11500,1
"10,500",1986,2010,27.92,등촌동,모란가동,1,26,39.6,645-17,11500,-1
"17,600",2010,2010,21.88,등촌동,다원슈슈빌(365-34),1,27,37.91,365-34,11500,4
"22,000",2003,2010,31.09,등촌동,낙원빌라,1,27,63.03,516-28,11500,2
"29,600",1988,2010,66.33,등촌동,두보하이츠빌라,1,29,53.22,515-44,11500,2
"17,700",2010,2010,21.88,등촌동,다원슈슈빌(365-34),1,30,37.91,365-34,11500,4
"9,400",1991,2010,30.32,화곡동,예원아트빌라가동,1,2,36.9,372-81,11500,-1
"19,900",2008,2010,32.56,화곡동,은하위너빌,1,2,44.24,1129-28,11500,3
"20,000",2009,2010,28.65,화곡동,제선그랜드빌,1,2,39.21,160-14,11500,1
"18,400",2004,2010,27.24,화곡동,후암아트빌,1,2,56.53,159-2,11500,4
"17,500",2002,2010,26.59,화곡동,대동빌라다동,1,2,58.95,352-61,11500,2
"18,500",2009,2010,28.43,화곡동,금강파크빌(102-20),1,3,51.03,102-20,11500,4
"21,500",2008,2010,30.67,화곡동,스위트빌(102-82),1,4,46.98,102-82,11500,3
"23,000",2003,2010,31.98,화곡동,덕수빌라A동,1,4,59,105-428,11500,3
"21,000",2002,2010,27.22,화곡동,에이스빌라에이동,1,5,59.94,61-21,11500,1
"22,000",2008,2010,32.67,화곡동,인터시티빌라(56-705),1,5,60.12,56-705,11500,1
"14,000",1999,2010,23.91,화곡동,신한빌라트,1,5,50.16,46-94,11500,5
"33,000",2002,2010,40.88,화곡동,신신빌,1,5,66.57,1062-14,11500,4
"17,500",2001,2010,25.26,화곡동,살렘하우스5차,1,5,43.86,480-22,11500,5
"16,000",1991,2010,21.85,화곡동,까치타운다동,1,5,40.68,350-92,11500,2
"20,000",2009,2010,29.25,화곡동,스페이스빌,1,5,53.18,430-9,11500,2
"23,650",2007,2010,36.79,화곡동,대은비전빌,1,5,63.92,341-25,11500,4
"18,500",2009,2010,26.35,화곡동,한백리츠빌,1,6,46.13,859-19,11500,4
"7,300",1991,2010,16.02,화곡동,진성하이츠빌라,1,6,38.29,927-7,11500,-1
"13,300",2003,2010,19.97,화곡동,대성탑스빌,1,7,35.41,1045-11,11500,3
"25,500",2008,2010,33.58,화곡동,애플씨티,1,7,61,394-27,11500,5
"14,500",1990,2010,25.333,화곡동,동화주택(56-429),1,7,32.66,56-429,11500,2
