거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"6,700",2003,2010,11.4,구로동,(744-34),1,5,36.96,744-34,11530,1
"29,000",1983,2010,75.02,구로동,대흥연립,1,12,84.78,142-2,11530,3
"12,000",2007,2010,15.75,구로동,(780-94),1,15,39.2,780-94,11530,2
"11,000",2007,2010,15.75,구로동,(780-94),1,15,39.2,780-94,11530,1
"14,500",2000,2010,23.88,구로동,(763-19),1,15,54.29,763-19,11530,2
"8,500",1985,2010,10.66,구로동,(252-22),1,16,22.94,252-22,11530,3
"15,500",1993,2010,20.25,구로동,(738-29),1,18,45.57,738-29,11530,2
"15,500",1994,2010,15.54,구로동,(739-41),1,19,41.22,739-41,11530,3
"13,500",1987,2010,33.44,구로동,배원연립,1,25,35.76,166-34,11530,3
"16,700",1995,2010,28.2,구로동,백산빌라 가동(570-159),1,29,50.58,570-159,11530,3
"30,500",2003,2010,30.61,가리봉동,승보맨션(121-33),1,27,67.58,121-33,11530,2
"25,000",1996,2010,19.4,가리봉동,(134-92),1,29,51.94,134-92,11530,3
"13,700",1994,2010,28.39,고척동,행복빌라,1,21,49.89,241-68,11530,2
"16,400",2002,2010,26.61,고척동,진주아트빌2동,1,22,49.32,167-13,11530,4
"19,500",2009,2010,29.15,개봉동,예은파크힐,1,2,51.27,335-22,11530,4
"19,500",2009,2010,29.13,개봉동,예은파크힐,1,2,51.22,335-22,11530,4
"22,400",2009,2010,35.39,개봉동,스카이빌,1,2,64.33,342-9,11530,4
"17,100",2009,2010,32.53,개봉동,스카이빌,1,4,59.11,342-9,11530,5
"18,500",2001,2010,21.73,개봉동,대림성화홈타운(가)(455-1),1,8,44.18,455-1,11530,4
"16,000",2003,2010,41.26,개봉동,상우하이츠빌,1,8,79.26,33-21,11530,3
"18,700",1994,2010,39.91,개봉동,중앙주택 가동(323-18),1,9,75.03,323-18,11530,2
"4,000",1990,2010,28.5,개봉동,거성빌라 13동,1,10,36.72,23-24,11530,1
"19,990",2009,2010,29.15,개봉동,예은파크힐,1,10,51.27,335-22,11530,3
"12,300",1976,2010,26.45,개봉동,중앙빌라(357-5),1,11,48.46,357-5,11530,1
"19,500",2002,2010,32.27,개봉동,시몬아트빌라 5차(322-17),1,11,74.97,322-17,11530,1
"15,300",2009,2010,27.75,개봉동,뉴랜드빌(320-8),1,12,49.61,320-8,11530,5
"20,900",2002,2010,34,개봉동,건양빌라(327-4),1,12,60.07,327-4,11530,1
"19,000",2002,2010,35.75,개봉동,우덕맨션(368-3),1,12,58.92,368-3,11530,1
"10,900",2002,2010,18.87,개봉동,미건스위트빌(102동)417-10,1,14,39.9,417-10,11530,5
"9,000",1994,2010,21.35,개봉동,화신빌라 B동(111-6),1,15,42.25,111-6,11530,2
"11,000",2001,2010,16.93,개봉동,대륙빌라,1,16,36.26,11-26,11530,5
"11,450",2002,2010,19.89,개봉동,삼원빌라(344-8),1,17,31.62,344-8,11530,4
"23,000",2009,2010,37.25,개봉동,브라운스톤(15-2),1,18,67.8,15-2,11530,2
"9,970",1990,2010,26.43,개봉동,한양빌라(335-20),1,18,36,335-20,11530,2
"23,000",1981,2010,59.5,개봉동,원진연립(170-23),1,21,63.77,170-23,11530,2
"15,500",2001,2010,37.72,개봉동,수정맨션(357-3),1,23,67.95,357-3,11530,-1
"11,500",1994,2010,16.5,개봉동,청구빌라(323-26),1,25,36.33,323-26,11530,2
"9,000",1990,2010,47.03,개봉동,성현빌라C(355-18),1,28,67.23,355-18,11530,2
"19,500",2000,2010,32.13,개봉동,동도주택(358-12),1,30,75.61,358-12,11530,2
"18,000",2002,2010,36.26,개봉동,한우빌리지(368-5),1,31,61.86,368-5,11530,4
"22,150",2009,2010,37.54,오류동,대신아트빌,1,5,67.89,217-10,11530,5
"17,800",1989,2010,45.83,오류동,미래빌라,1,6,41.76,68-21,11530,2
"30,500",1984,2010,71,오류동,삼미주택,1,13,77.4,206-2,11530,3
"27,500",1982,2010,60.77,오류동,성신빌라(가)(다),1,13,68.26,184-1,11530,2
"22,500",2009,2010,37.54,오류동,대신아트빌,1,17,67.89,217-10,11530,3
"17,000",1993,2010,35.47,오류동,록지아트빌라104,1,25,59.07,108-83,11530,4
"19,000",1986,2010,43.78,오류동,"우석빌라(1,2동)",1,29,60.36,152,11530,2
"8,900",1992,2010,27.47,오류동,삼우빌라(가),1,30,33.03,145-98,11530,2
"16,500",2003,2010,21.22,오류동,우덕센스빌(라),1,30,41.235,141-11,11530,3
"5,500",1993,2010,20.45,궁동,윤성주택6동(178-23),1,4,28.18,178-23,11530,-1
"26,000",1988,2010,59.57,궁동,우신빌라,1,6,46.51,213-21,11530,3
"12,500",1994,2010,25.12,궁동,궁동하이츠빌라(281-6),1,8,36.86,281-6,11530,4
"25,500",1988,2010,59.57,궁동,우신빌라,1,13,46.51,213-21,11530,2
"35,000",2009,2010,42.4,궁동,샤론펠리스,1,14,75.66,89-18,11530,2
"12,600",1994,2010,26.55,궁동,대덕하이츠빌라B동,1,15,39.66,279-4,11530,1
"19,100",1993,2010,40.9,궁동,윤성주택6동(178-23),1,18,56.36,178-23,11530,4
"20,800",2003,2010,50,궁동,태림그린빌라A동(156-5),1,18,75.29,156-5,11530,3
"12,000",1995,2010,26.97,궁동,현대그린빌라(170-10),1,20,44.46,170-10,11530,3
"9,850",1994,2010,20.1,궁동,태성빌라(280-7),1,23,34.12,280-7,11530,4
"25,000",1988,2010,59.57,궁동,우신빌라,1,23,46.51,213-21,11530,1
"31,500",1988,2010,71.76,궁동,우신빌라,1,25,57.19,213-21,11530,2
"21,000",1988,2010,51.95,궁동,우신빌라,1,25,39.86,213-21,11530,2
"12,000",1991,2010,33.88,궁동,낙원빌라나동(212-11),1,29,35.94,212-11,11530,3
"14,000",1993,2010,33.5,온수동,오덕빌라 8동(62-12),1,6,39.78,62-12,11530,1
"18,500",2000,2010,31.4,온수동,온수현대빌라 105동(73-11),1,11,60.95,73-11,11530,1
"16,500",2002,2010,26.1,온수동,조양그랜드맨션103동,1,11,42.72,55-28,11530,5
"20,000",2004,2010,47.7,온수동,삼성그린빌,1,12,74.83,75-5,11530,5
"18,000",1985,2010,53.14,온수동,두암빌라,1,17,62.34,7-5,11530,1
"20,000",1995,2010,53.09,온수동,수림빌라(5-13),1,23,84.61,5-13,11530,4
"21,000",1985,2010,63.89,온수동,서능빌라,1,28,67.49,64-1,11530,3
"14,000",1996,2010,41.59,온수동,온수그린빌 3차,1,31,59.88,86-14,11530,-1
"18,000",1997,2010,32.83,구로동,한가족빌라(429-211),2,1,61.89,429-211,11530,-1
"7,100",1985,2010,11.57,구로동,(252-48),2,2,33.8,252-48,11530,1
"9,900",1993,2010,12.85,구로동,(738-38),2,2,30.78,738-38,11530,2
"11,300",1994,2010,12.7,구로동,(743-69),2,3,34.62,743-69,11530,2
"9,750",1993,2010,16.5,구로동,(749-45),2,4,41.98,749-45,11530,3
"25,000",1983,2010,66.85,구로동,대흥연립,2,6,74.21,142-2,11530,1
