거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"20,000",2002,2010,27.65,가산동,조양그랜드빌,1,21,64.54,234-26,11545,4
"16,000",2002,2010,25.233,가산동,원평 8차,1,23,50.53,238-78,11545,3
"25,000",2003,2010,41.2,가산동,백운한비치 다라동,1,31,79.89,238-119,11545,2
"22,000",1979,2010,56.1,독산동,"공단연립(A,B,C)",1,6,54.05,335-4,11545,2
"18,400",2004,2010,25.04,독산동,행복이가득한집,1,7,50.28,993-31,11545,3
"20,500",2002,2010,27.32,독산동,럭스그린빌B동,1,12,58.29,201-23,11545,4
"23,500",2003,2010,28.68,독산동,동성홈타운,1,12,63.24,1032-15,11545,1
"21,000",2002,2010,29.9,독산동,그린파크빌,1,13,69.04,887-9,11545,3
"23,900",2002,2010,33.56,독산동,설화센스빌(1006-128),1,15,62.95,1006-128,11545,3
"21,700",2009,2010,34.028,독산동,세진써미트빌,1,17,60.52,977-43,11545,2
"17,000",1993,2010,23.1,독산동,약수빌라,1,20,60.93,182-2,11545,4
"23,000",2003,2010,36.58,독산동,동오그린빌라,1,20,70.9,1029-6,11545,4
"14,500",1991,2010,32.56,독산동,삼성빌라(889-17),1,22,47.66,889-17,11545,2
"14,000",2001,2010,26.62,독산동,신정아이빌,1,25,48.75,1070-36,11545,1
"17,500",2003,2010,28.06,독산동,유선레오빌,1,25,59.92,379-3,11545,4
"15,000",2003,2010,20.36,독산동,원일맨션,1,26,49.48,378-228,11545,4
"25,800",2009,2010,39.67,독산동,노블레스빌,1,26,60,1057-22,11545,4
"17,200",2002,2010,22.29,독산동,삼성아르빌B,1,27,44.49,1057-9,11545,2
"20,000",2009,2010,34.16,독산동,보래빌,1,29,61.36,977-44,11545,3
"14,800",1993,2010,26.01,독산동,(우월하이츠B),1,30,46.32,890-19,11545,3
"13,000",2002,2010,21.25,독산동,(캐슬빌라),1,30,39.97,993-35,11545,4
"23,000",1997,2010,58.526,시흥동,관악빌라,1,10,96.06,957-5,11545,1
"25,000",2008,2010,41.654,시흥동,현주빌(821-26),1,11,76.05,821-26,11545,2
"21,100",2008,2010,33.297,시흥동,한얼빌라,1,11,60.08,924-4,11545,3
"16,000",1982,2010,46.1,시흥동,미도연립6동,1,12,41.32,960,11545,3
"16,300",2002,2010,30.77,시흥동,도영빌리지,1,13,52.59,797-31,11545,4
"22,000",1991,2010,25.92,시흥동,럭키빌라,1,15,48.29,120-3,11545,1
"19,500",1991,2010,30.4,시흥동,유남빌라,1,15,36.12,919-28,11545,1
"23,000",1986,2010,63.79,시흥동,대 도,1,16,50.94,955-7,11545,2
"19,000",1993,2010,31.68,시흥동,미성맨션,1,16,55.26,920-54,11545,-1
"27,000",2009,2010,45.4,시흥동,주성리치빌(842-11),1,18,82.86,842-11,11545,5
"25,500",2009,2010,37.85,시흥동,현진빌,1,18,69.96,957-1,11545,2
"20,500",2007,2010,40.745,시흥동,(926-41),1,19,51.79,926-41,11545,3
"20,500",2007,2010,40.745,시흥동,(926-41),1,19,51.79,926-41,11545,2
"17,000",1984,2010,61.5,시흥동,대흥,1,20,52.73,1003,11545,3
"25,450",2008,2010,39.6,시흥동,건우노블빌,1,22,68.04,869-16,11545,3
"12,500",1989,2010,32.83,시흥동,현대빌라,1,25,25.44,982,11545,1
"12,500",1993,2010,22.84,시흥동,일광빌라,1,25,41.88,841-14,11545,3
"9,300",1987,2010,25.21,시흥동,대흥 4동,1,26,35.46,797-35,11545,2
"14,900",2002,2010,37.81,시흥동,평주빌라,1,28,60.92,3-35,11545,1
"20,000",2002,2010,33.93,시흥동,롯데빌리지 A동,1,29,58.49,951-20,11545,2
"17,500",1987,2010,33.79,시흥동,(825-14),1,30,40.09,825-14,11545,2
"3,600",1991,2010,9.98,가산동,그린빌라,2,3,15.51,149-36,11545,1
"27,000",1991,2010,31.72,가산동,봉암빌라 가나동,2,11,60.54,237-6,11545,4
"14,750",1992,2010,21.5,가산동,영화빌라2동(149-48),2,12,39.24,149-48,11545,1
"16,500",2002,2010,19.98,가산동,원평 8차,2,18,40.02,238-78,11545,5
