거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"29,900",1991,2010,26.86,노량진동,수정빌라,1,8,47.85,294-35,11590,-1
"12,700",2002,2010,20.51,노량진동,우성빌라,1,10,35.13,214-178,11590,2
"15,000",1968,2010,36.41,노량진동,우성(284-1),1,15,58.31,284-1,11590,2
"42,500",2001,2010,43.37,노량진동,골든데코빌,1,23,76.65,314-7,11590,2
"14,100",2008,2010,19.87,상도동,(279-72),1,4,33.75,279-72,11590,4
"19,500",2008,2010,26.28,상도동,다나네스트빌(211-91),1,5,28.26,211-91,11590,1
"22,000",2008,2010,31.74,상도동,한강리치빌(283-159),1,5,84.34,283-159,11590,4
"18,000",1992,2010,43.6,상도동,제일하이츠빌라,1,6,60.71,279-91,11590,1
"13,200",1990,2010,39.17,상도동,성림빌라,1,6,53.18,279-374,11590,-1
"30,200",2007,2010,42.05,상도동,강현맨션(335-72),1,7,77.3,335-72,11590,4
"11,000",1996,2010,17.36,상도동,현대하이츠빌라,1,7,34.28,470,11590,4
"23,000",1995,2010,27.02,상도동,대영빌라,1,9,60.14,126-46,11590,2
"7,100",1994,2010,19.46,상도동,대영,1,10,42.08,299-2,11590,2
"14,000",1990,2010,24.83,상도동,현대빌라(266-4),1,11,32.05,266-4,11590,2
"8,000",1991,2010,26.84,상도동,동방빌라(299-137),1,11,51.18,299-137,11590,-1
"24,000",2008,2010,32.73,상도동,다나네스트빌(211-91),1,13,45.86,211-91,11590,3
"14,700",1992,2010,19.77,상도동,한솔빌라B,1,13,38.17,361-162,11590,2
"23,000",2008,2010,33.7,상도동,그린피아빌,1,14,60.86,244-146,11590,2
"17,500",1998,2010,26.11,상도동,(299-50),1,14,42.93,299-50,11590,1
"15,000",1991,2010,31.84,상도동,진주빌라(259-79),1,15,41.52,259-79,11590,3
"13,300",1992,2010,26.48,상도동,영산아트빌라,1,15,47.92,56-102,11590,1
"13,500",1987,2010,23.17,상도동,문화주택B동,1,15,34.57,211-469,11590,2
"28,000",1994,2010,66.19,상도동,미승그린빌리지,1,17,76.95,1-15,11590,1
"22,600",2003,2010,34.48,상도동,삼영홈타운,1,17,60.29,294-34,11590,4
"27,000",1979,2010,68,상도동,대림연립(159-37),1,18,63.24,159-37,11590,2
"8,400",1991,2010,19.83,상도동,성우빌라(244-197),1,19,34.71,244-197,11590,-1
"23,000",1997,2010,32.12,상도동,동녘빌라,1,19,69.45,126-65,11590,3
"42,000",2002,2010,63.39,상도동,다울네버빌B(335-52),1,20,115.46,335-52,11590,3
"28,000",2002,2010,33.13,상도동,현대맨션,1,21,67.16,210-54,11590,2
"22,000",2008,2010,26.44,상도동,다나네스트빌(56-31),1,21,43.11,56-31,11590,3
"14,000",1974,2010,25.13,상도동,중앙(259-12),1,22,48.22,259-12,11590,1
"25,200",2006,2010,57.5,상도동,신건쉐르빌(335-178),1,22,74.75,335-178,11590,1
"15,400",2001,2010,28.52,상도동,대왕주택(214-421),1,23,47.82,214-421,11590,3
"25,500",1984,2010,70.08,상도동,상도빌라,1,23,64.62,7-98,11590,3
"10,000",1997,2010,18.72,상도동,수지빌라,1,24,45,126-127,11590,-1
"28,000",2009,2010,37.225,상도동,만민베스트빌,1,24,65.54,156-12,11590,3
"20,000",1993,2010,29.31,상도동,광진빌라트,1,25,67.07,299-178,11590,1
"25,800",2009,2010,40.6,상도동,덕성빌라,1,26,62.7,214-228,11590,2
"13,500",1997,2010,27.18,상도동,청우그린8차,1,26,45.72,279-386,11590,1
"16,700",1992,2010,25.53,상도동,예서빌라,1,26,35.73,22-58,11590,-1
"14,900",1991,2010,22.88,상도동,천수빌라,1,27,36.06,299-245,11590,2
"13,000",2003,2010,22.15,상도동,상아빌,1,28,53.345,321-2,11590,5
"28,500",1997,2010,48.09,상도동,(290-53)내고향빌라,1,28,79.75,290-53,11590,1
"19,000",2008,2010,25.4,상도동,다나네스트빌(211-91),1,29,26.84,211-91,11590,2
"28,000",2003,2010,45.97,상도동,장금빌라,1,29,80.09,210-53,11590,3
"22,000",2001,2010,35.31,상도동,태성빌라트,1,31,71.4,279-209,11590,4
"20,300",1997,2010,29.21,상도1동,평화빌라(311-2),1,4,54.6,311-2,11590,2
"22,000",1998,2010,30.02,상도1동,화이트빌라,1,9,60.84,483-15,11590,5
"35,200",2009,2010,38.12,상도1동,리센츠 빌,1,21,75.75,483-7,11590,4
"23,000",2001,2010,43.45,상도1동,지혜빌라트,1,27,70.47,335-1,11590,4
"58,000",2004,2010,91.72,흑석동,성동알이엘,1,4,143.22,186-10,11590,-1
"33,000",1994,2010,18.99,흑석동,일신하이츠빌라,1,11,40.2,240-3,11590,2
"28,000",1986,2010,31.33,흑석동,(274-5),1,11,41.22,274-5,11590,1
"31,000",1992,2010,44.05,흑석동,초원빌라가동,1,17,47.04,211-40,11590,2
"31,500",1986,2010,20.85,흑석동,동림빌라(238-97),1,23,31.05,238-97,11590,-1
"38,500",1987,2010,62.01,동작동,공작빌라(58-107),1,21,58.73,58-107,11590,2
"25,000",2008,2010,26.45,사당동,아우름타운,1,4,46.35,278-33,11590,3
"24,400",1986,2010,39.67,사당동,궁전나동,1,5,54.54,240-14,11590,-1
