거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"23,900",2004,2010,31.17,봉천동,재영맨션(1515-8),1,1,73.24,1515-8,11620,3
"12,000",1993,2010,18.5,봉천동,현대맨션,1,3,43.02,647-182,11620,2
"25,000",2005,2010,32.66,봉천동,양지빌(1536-18),1,6,57.775,1536-18,11620,4
"13,900",1977,2010,23.48,봉천동,대진연립,1,6,21.69,1614-13,11620,2
"23,500",1997,2010,20.26,봉천동,동방파레스,1,6,69.97,702-108,11620,4
"28,000",2003,2010,36.58,봉천동,휴먼아트빌,1,7,74.13,1644-29,11620,4
"15,200",2003,2010,21.13,봉천동,밀레니엄19차,1,7,44.115,635-452,11620,4
"17,500",1986,2010,39.89,봉천동,(1-72),1,8,41.88,1-72,11620,1
"12,500",1986,2010,21.94,봉천동,(964-28),1,9,40.24,964-28,11620,1
"9,300",2002,2010,13.64,봉천동,수정빌라(1523-5),1,9,24.28,1523-5,11620,5
"19,000",1993,2010,19.79,봉천동,원앙맨션,1,9,50.75,1557-1,11620,4
"17,500",1991,2010,30.81,봉천동,동방파레스12차,1,10,57.48,41-136,11620,2
"20,000",2002,2010,25.46,봉천동,신봉아트빌라(466-24),1,10,53.02,466-24,11620,1
"30,600",1993,2010,47.98,봉천동,인헌(173-9),1,11,80.79,173-9,11620,2
"9,400",1993,2010,16.79,봉천동,남부빌라,1,11,39.24,911-9,11620,-1
"20,000",1992,2010,29.4,봉천동,궁전아트빌라,1,12,54.55,635-312,11620,1
"27,000",1986,2010,47.33,봉천동,(1-1462),1,12,57.43,1-1462,11620,1
"23,200",1992,2010,17.81,봉천동,건영빌라,1,12,38.7,1547-1,11620,2
"11,400",1991,2010,31,봉천동,대성빌라(1639-4),1,12,43.14,1639-4,11620,-1
"26,850",2009,2010,43.482,봉천동,행복한그집,1,13,52.82,716-1,11620,4
"25,900",2009,2010,43.243,봉천동,행복한그집,1,13,52.53,716-1,11620,2
"25,800",1987,2010,44.3,봉천동,미성빌라(1536-14),1,13,62.46,1536-14,11620,1
"12,400",1986,2010,23.6,봉천동,(635-99),1,13,35.4,635-99,11620,2
"20,000",2004,2010,25.36,봉천동,봉천쉐르빌,1,13,52.89,662-70,11620,4
"29,000",1997,2010,19.45,봉천동,성호빌라(915-19),1,14,74.42,915-19,11620,3
"25,000",2002,2010,29.75,봉천동,(1543-19),1,14,57.96,1543-19,11620,2
"14,500",2000,2010,20.73,봉천동,밀레니엄맨숀,1,14,50.37,1518-2,11620,3
"23,000",1996,2010,34.05,봉천동,청송하이츠빌라,1,14,57.79,876-21,11620,1
"22,000",2008,2010,32.39,봉천동,관전아르빌,1,15,49.66,41-52,11620,3
"25,500",1997,2010,35.86,봉천동,보람아트빌라,1,15,74.84,196-64,11620,1
"12,000",2001,2010,15.1,봉천동,넥스트월드하우스,1,16,29.66,649-41,11620,2
"31,000",1996,2010,42.07,봉천동,세진그린맨션,1,16,83.01,1605-3,11620,3
"29,500",1998,2010,44.51,봉천동,천우빌라,1,16,80.4,1604-3,11620,3
"14,800",1989,2010,34.15,봉천동,(964-5),1,17,38.31,964-5,11620,2
"12,400",1995,2010,18.01,봉천동,공간2차,1,18,37.28,635-272,11620,3
"16,000",1986,2010,25.33,봉천동,(207-35),1,18,37.92,207-35,11620,2
"20,950",2008,2010,36.36,봉천동,아이빌(662-10),1,19,53.68,662-10,11620,3
"22,500",2009,2010,23.15,봉천동,랜드파크빌,1,19,46.23,719-35,11620,4
"14,000",1989,2010,27.83,봉천동,삼성빌라,1,19,36.6,100-174,11620,1
"6,000",1991,2010,25,봉천동,강성빌라,1,20,44.96,63-69,11620,-1
"12,500",2003,2010,21.13,봉천동,밀레니엄19차,1,20,44.115,635-452,11620,2
"19,500",1996,2010,36.46,봉천동,세진그린맨션(5차),1,21,59.14,1651-21,11620,4
"26,000",2009,2010,45.17,봉천동,이조위버드림빌,1,21,74.95,673-200,11620,3
"19,000",1987,2010,30.9,봉천동,화신빌라(1692-12),1,22,41.16,1692-12,11620,2
"9,500",1990,2010,27.73,봉천동,봉천빌라,1,23,36.63,909-37,11620,-1
"18,900",2001,2010,33.89,봉천동,다산빌라,1,23,63.7,900-42,11620,1
"22,000",2001,2010,29.44,봉천동,은천파크빌,1,23,58.07,180-40,11620,4
"20,000",1992,2010,24.72,봉천동,운산빌라,1,24,56.66,196-250,11620,3
"15,400",2001,2010,22.23,봉천동,넥스트월드하우스,1,25,43.66,649-41,11620,3
"17,500",2003,2010,19.64,봉천동,궁전맨션B동,1,25,41.94,63-72,11620,4
"22,500",2002,2010,27.78,봉천동,경원하이츠,1,25,79.81,1688-4,11620,4
"19,500",2002,2010,25.41,봉천동,대영센스빌(924-43),1,25,45,924-43,11620,5
"20,000",1994,2010,18.34,봉천동,장미빌라,1,26,50.79,484-18,11620,1
