거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"70,000",1983,2010,85.8,방배동,효진빌라,1,4,110.39,993-3,11650,3
"60,000",1982,2010,59.81,방배동,삼원(834-21),1,4,72.66,834-21,11650,1
"62,000",1984,2010,87.11,방배동,천우가든,1,5,114.45,537-24,11650,1
"28,500",1988,2010,28.33,방배동,삼화빌라,1,7,36.84,539-178,11650,-1
"16,000",1996,2010,9.49,방배동,방배동테마하우스,1,10,32.54,539-29,11650,1
"27,000",2003,2010,34.29,방배동,다인빌라,1,10,70.3,530-49,11650,3
"27,500",1986,2010,26.04,방배동,(459-3),1,12,38.22,459-3,11650,2
"61,000",2008,2010,47.34,방배동,쉬크빌,1,12,84.54,841-15,11650,5
"21,600",2001,2010,28.07,방배동,봉일헌,1,13,43.49,793-18,11650,3
"17,400",2001,2010,22.6,방배동,봉일헌,1,13,35.01,793-18,11650,3
"21,600",2001,2010,28.07,방배동,봉일헌,1,13,43.49,793-18,11650,3
"17,400",2001,2010,22.6,방배동,봉일헌,1,13,35.01,793-18,11650,3
"21,600",2001,2010,28.07,방배동,봉일헌,1,13,43.49,793-18,11650,2
"21,600",2001,2010,28.07,방배동,봉일헌,1,13,43.49,793-18,11650,2
"17,400",2001,2010,22.6,방배동,봉일헌,1,13,35.01,793-18,11650,2
"15,500",2001,2010,19.89,방배동,봉일헌,1,13,30.8,793-18,11650,4
"17,400",2001,2010,22.6,방배동,봉일헌,1,13,35.01,793-18,11650,2
"48,200",2001,2010,59.18,방배동,봉일헌,1,13,91.67,793-18,11650,4
"54,500",2003,2010,31.14,방배동,드림빌,1,13,66.8,430-19,11650,3
"23,300",2001,2010,42.55,방배동,봉일헌,1,13,65.9,793-18,11650,1
"56,000",2003,2010,54.5,방배동,신호빌 5차(456-12),1,15,84.95,456-12,11650,4
"19,900",1987,2010,35.83,방배동,서원빌라,1,15,51.49,980-27,11650,-1
"59,000",2003,2010,52.8,방배동,청광아트빌,1,16,84.78,857-4,11650,2
"41,000",2003,2010,42.6,방배동,클레버빌2,1,17,76.26,858-12,11650,4
"39,500",2007,2010,36.67,방배동,방배팰리스,1,18,65.61,978-6,11650,3
"27,000",1988,2010,28.33,방배동,(539-183),1,21,36.84,539-183,11650,1
"59,000",2004,2010,54.37,방배동,(528-44),1,23,104.16,528-44,11650,2
"57,000",2003,2010,59.54,방배동,남양빌라트,1,23,120.1,921-28,11650,5
"49,000",2004,2010,44.03,방배동,그린하우스,1,25,75.96,857-13,11650,4
"33,000",1986,2010,33.85,방배동,황옥빌라,1,26,45.24,539-74,11650,-1
"28,500",1988,2010,41.04,방배동,방배파크빌라,1,27,50.1,978-9,11650,-1
"10,800",1997,2010,16.66,방배동,방배로즈빌2,1,27,27.29,769-6,11650,1
"19,000",1995,2010,17.7,방배동,현대빌라,1,27,39.17,530-75,11650,4
"31,000",2008,2010,26.74,방배동,베토벤하이츠,1,27,45.92,923-5,11650,5
"28,440",1987,2010,28.5,방배동,덕진빌라(539-173),1,29,36.42,539-173,11650,1
"32,000",2008,2010,30.84,방배동,클래식빌라,1,30,48.73,766-31,11650,2
"40,000",2003,2010,34.03,양재동,우일빌라,1,2,69.73,366-3,11650,3
"26,500",1986,2010,46.51,양재동,장미타운 가,1,5,55.69,19-3,11650,-1
"20,000",1996,2010,17.65,양재동,현대빌라(375-7),1,6,34.69,375-7,11650,1
"17,000",1996,2010,15.06,양재동,(272-10),1,7,30.5,272-10,11650,4
"43,000",1994,2010,47.81,양재동,(382-4),1,7,83.7,382-4,11650,2
"26,000",1996,2010,18.89,양재동,언남하이츠,1,8,41.16,251-2,11650,2
"26,500",1995,2010,21.29,양재동,운영타운,1,9,42.9,243-5,11650,1
"38,500",2002,2010,31.85,양재동,강산스윗빌,1,12,65.89,386-4,11650,4
"32,000",2000,2010,26.1,양재동,양재빌라,1,12,60.3,88,11650,2
"27,000",1995,2010,21.75,양재동,뉴궁전빌라,1,13,46.73,338-6,11650,2
"35,000",2003,2010,33.78,양재동,서초베스트빌A,1,14,68.06,16-44,11650,5
"31,000",1995,2010,28.58,양재동,그린아트빌라(375-5),1,16,55.91,375-5,11650,1
"28,000",1992,2010,24.01,양재동,삼영하우징,1,18,43.8,360-11,11650,3
"12,000",1993,2010,11.58,양재동,현대빌라,1,18,23.4,84-9,11650,1
"16,000",1993,2010,15.28,양재동,양재빌라,1,19,33.16,115-2,11650,1
"23,500",1996,2010,16.88,양재동,뉴아트빌라(259-2),1,20,36.72,259-2,11650,3
"30,000",1996,2010,21.97,양재동,양지빌라나동,1,21,49.17,251-4,11650,1
"18,000",1993,2010,15.39,양재동,현대빌라,1,22,31.11,84-9,11650,1
"45,000",1992,2010,42.92,양재동,삼호아트빌라,1,22,83.24,371-4,11650,2
"17,000",1993,2010,16.18,양재동,양재빌라,1,22,35.1,115-2,11650,3
"29,000",1995,2010,20.3,양재동,뉴아트빌라(244-0),1,23,49.07,244,11650,4
"24,500",1995,2010,16.38,양재동,뉴아트빌라,1,23,36.18,349-1,11650,1
"54,000",1994,2010,46.89,양재동,(383-3)정수시그마빌라,1,24,84.7,383-3,11650,3
"63,000",1989,2010,77.16,양재동,현대빌라(7-56),1,27,84.53,7-56,11650,3
"26,500",1993,2010,18.41,양재동,대영빌라,1,27,40.85,342-6,11650,3
"19,000",1993,2010,16.5,양재동,두원빌라,1,29,35.36,302-6,11650,2
"26,000",1986,2010,41.2,양재동,은행주택,1,29,54.84,19-9,11650,1
"30,000",1993,2010,22.05,양재동,태림,1,30,45.96,395-11,11650,2
"20,500",1993,2010,14.95,양재동,홍익빌라,1,31,33.84,369-3,11650,2
"29,500",2008,2010,22.62,반포동,반포동빌딩,1,4,30.57,734-18,11650,2
"29,000",2008,2010,22.62,반포동,반포동빌딩,1,5,30.57,734-18,11650,3
"29,000",1987,2010,46.4,반포동,청하빌라B동,1,15,52.59,577-60,11650,1
"112,500",1994,2010,128.41,반포동,한미빌라,1,18,221.19,54-4,11650,3
"63,250",1993,2010,64.65,반포동,반포빌리지,1,22,126.33,108-1,11650,4
"49,500",2002,2010,55.08,반포동,목화빌리지,1,25,94.64,701-53,11650,3
"49,000",1995,2010,136.18,반포동,동수빌라,1,25,240.9,81-13,11650,-1
"33,000",2002,2010,26.71,반포동,목화빌리지,1,25,45.89,701-53,11650,2
"36,000",2002,2010,27.28,반포동,내슈빌B,1,25,45.48,72-12,11650,4
"44,000",1991,2010,37.82,반포동,(715-17),1,25,60.48,715-17,11650,2
"33,500",2002,2010,26.69,반포동,목화빌리지,1,25,45.87,701-53,11650,2
"40,000",2003,2010,33.58,반포동,제이빌 2,1,30,79.21,85-9,11650,4
"13,000",1995,2010,22.18,서초동,유니빌,1,6,30.8,1523-8,11650,1
"17,500",1994,2010,23.47,서초동,상지빌라,1,15,47.07,1465-2,11650,2
"40,000",1996,2010,60.14,서초동,동화빌라,1,25,98.66,1527-6,11650,3
"56,000",2004,2010,53.95,방배동,(460-20),2,2,99.94,460-20,11650,4
"51,000",2009,2010,44.63,방배동,방배비바체,2,2,76.12,879-14,11650,4
"35,000",2008,2010,32.4,방배동,프라임빌,2,2,51.61,463-24,11650,2
"40,900",2007,2010,39.67,방배동,(829-3),2,3,84.71,829-3,11650,3
"31,000",1992,2010,29.1,방배동,(459-48),2,3,37.21,459-48,11650,-1
"35,000",2007,2010,34.4,방배동,아이파크빌,2,3,53.93,763-19,11650,3
"52,500",2002,2010,37.14,방배동,(819-10),2,5,74.1,819-10,11650,3
"18,000",1986,2010,21.7,방배동,궁전빌라,2,5,35.4,539-135,11650,1
"38,600",2007,2010,36.6,방배동,방배그린빌라,2,5,63.36,768-10,11650,4
"30,500",2002,2010,32.09,방배동,이수아트빌,2,6,71.81,814-3,11650,4
"60,000",1993,2010,50.56,방배동,방배타운(143-10),2,8,109.65,143-10,11650,4
"42,800",2009,2010,43.87,방배동,방배비바체,2,8,74.82,879-14,11650,3
"33,100",2004,2010,21.61,방배동,(870-3),2,9,40.5,870-3,11650,3
"74,300",1987,2010,70.58,방배동,동문공원빌라,2,10,67.41,973-1,11650,1
"39,900",1987,2010,36.8,방배동,현대빌라(480-14),2,10,54.85,480-14,11650,1
"55,000",1992,2010,63.51,방배동,삼부빌라,2,12,127.04,841-11,11650,1
"27,000",1988,2010,28.17,방배동,삼화타운(539-177),2,18,36.36,539-177,11650,1
"30,500",1989,2010,40.17,방배동,금강약수빌라,2,19,50.19,539-73,11650,2
"25,000",1994,2010,19.02,방배동,(966-40),2,19,36.3,966-40,11650,-1
"51,000",1987,2010,59.98,방배동,방배아트빌라 F동,2,20,81.9,537-56,11650,1
"41,000",1994,2010,42.88,방배동,동광빌라(941-8),2,20,76.74,941-8,11650,3
"30,500",2004,2010,20.58,방배동,덕산럭스빌6차,2,20,37.47,435-23,11650,5
"50,000",1979,2010,87.93,방배동,(935-18),2,20,80.9,935-18,11650,1
"25,000",1988,2010,27.99,방배동,(980-37),2,23,38.03,980-37,11650,2
"49,000",2010,2010,47.3,방배동,시티빌,2,23,79.23,828-23,11650,3
"40,500",1991,2010,44.15,방배동,신구아트빌라B동,2,23,65.92,332-6,11650,1
"39,500",1988,2010,37.86,방배동,은진빌라(가),2,24,50.1,541-113,11650,2
"34,300",2004,2010,28.8,방배동,(434-11),2,24,44.56,434-11,11650,1
"44,500",2010,2010,42.9,방배동,시티빌,2,25,71.76,828-23,11650,4
"25,000",1991,2010,33,방배동,대성가든빌라,2,26,45.48,528,11650,2
"50,000",2004,2010,42.24,방배동,아진빌라트,2,27,77.27,528-74,11650,3
"29,500",1992,2010,25.17,양재동,삼영하우징,2,1,45.9,360-11,11650,2
"16,000",1993,2010,16.36,양재동,현대빌라(383-0),2,2,36.9,383,11650,-1
"30,000",2008,2010,21.2,양재동,현대힐빌리지,2,2,30.69,344-3,11650,1
"56,500",1990,2010,69.6,양재동,롯데골드빌라,2,4,78.41,265-4,11650,1
"37,000",1989,2010,29.95,양재동,포이빌라,2,5,35.7,312-7,11650,3
"18,500",1994,2010,15.2,양재동,금성빌라(293-2),2,5,34.43,293-2,11650,-1
"40,500",1992,2010,32.02,양재동,삼영하우징,2,5,58.4,360-11,11650,4
"43,000",1994,2010,47.81,양재동,(382-4),2,6,83.7,382-4,11650,1
"32,700",1986,2010,34.68,양재동,서건주택,2,9,49.63,16-8,11650,1
"38,000",1987,2010,44.1,양재동,영동아트빌라,2,10,49.68,110-3,11650,1
"33,000",1991,2010,27.96,양재동,효신빌라(400-4),2,10,56.7,400-4,11650,3
"15,500",1993,2010,13.67,양재동,홍익빌라(296-1),2,11,33.9,296-1,11650,-1
"39,800",1988,2010,45.11,양재동,도곡한신빌라,2,12,42.71,18-12,11650,2
"25,700",1993,2010,21.67,양재동,그린아트빌라,2,16,41.5,383-2,11650,1
"51,000",1999,2010,47.37,양재동,초원파크빌,2,16,77.82,391-14,11650,1
"27,000",1993,2010,21.58,양재동,그린아트빌라,2,18,41.5,383-2,11650,2
"45,000",2001,2010,27.52,양재동,현대빌라(348-9),2,18,67.07,348-9,11650,3
"45,000",1988,2010,35.43,양재동,광흥빌라,2,19,46.88,367-1,11650,1
"21,850",1992,2010,16.71,양재동,삼영하우징,2,19,30.48,360-11,11650,1
"39,000",2002,2010,31.77,양재동,현대베스트빌,2,19,64.19,358-2,11650,3
"37,000",1996,2010,38.66,양재동,신동일빌라2차,2,20,69.66,386-11,11650,1
"25,500",2009,2010,23.14,양재동,에코빌,2,21,30.77,271,11650,5
"28,000",1992,2010,23.27,양재동,양재빌라가,2,22,52.27,397-4,11650,4
"90,000",1990,2010,128.1,양재동,풍림빌라,2,23,151.83,18-18,11650,2
"25,000",1995,2010,18.99,양재동,금성빌리지,2,24,36.4,306-6,11650,1
"25,500",1997,2010,27.42,양재동,백송빌리지(398-6),2,25,59.26,398-6,11650,-1
"37,000",2007,2010,30.07,양재동,프라임그린빌,2,25,51.1,292-9,11650,2
"26,500",1993,2010,21.89,양재동,금성빌라(305-3),2,26,45.72,305-3,11650,3
"17,500",1997,2010,24.93,양재동,서현하이츠빌라,2,27,45.18,254-1,11650,-1
"35,000",2002,2010,26.39,반포동,목화빌리지,2,2,45.35,701-53,11650,1
"27,900",1993,2010,45.54,반포동,성원파크,2,6,52.06,82-6,11650,1
"41,000",1991,2010,33.77,반포동,평화빌라,2,11,40.59,733-2,11650,1
"25,000",1999,2010,47.83,반포동,초원빌라,2,16,65,91-9,11650,1
"90,000",1991,2010,149.44,반포동,청광아트8(89-1),2,16,235.71,89-1,11650,2
"148,000",1984,2010,203.93,반포동,강남원효성빌라,2,16,175.74,590-25,11650,3
"120,000",1994,2010,160.09,반포동,삼창골든빌리지,2,17,170.85,586-3,11650,1
"121,500",1991,2010,111.61,반포동,대림빌라A,2,22,164.93,45-1,11650,4
"28,000",1986,2010,24.4,반포동,(735-7),2,25,31.42,735-7,11650,-1
"22,500",1987,2010,33,반포동,(612-99),2,27,40.85,612-99,11650,-1
"25,000",1986,2010,28.68,서초동,삼오타운(1),2,1,35.58,1549-1,11650,1
"33,000",1988,2010,45.03,서초동,초원빌라(1440),2,2,57.15,1440-3,11650,2
"25,000",2004,2010,26.71,서초동,소망빌라(1666-7),2,3,51.59,1666-7,11650,5
"43,500",1986,2010,62.03,서초동,신성빌라,2,4,97.73,1527-9,11650,1
"44,000",1997,2010,48.14,서초동,서초그린빌라,2,5,84.7,1521-7,11650,2
"21,500",2003,2010,20.62,서초동,베이직하우스,2,9,40.62,1508-42,11650,5
"20,000",1986,2010,30.43,서초동,성원주택(17),2,10,41.6,1647-17,11650,-1
"72,000",1998,2010,57.75,서초동,주웅빌라,2,18,91.96,1665-12,11650,3
"42,700",1986,2010,52.62,서초동,일광빌라(1512),2,22,60.27,1512-3,11650,3
"54,500",1983,2010,91.4,서초동,궁전빌라,2,26,118.81,1464-1,11650,3
"58,800",1998,2010,58.6,방배동,신구빌라트,3,1,119.86,469-2,11650,4
"13,200",1992,2010,19.53,방배동,정성힐탑,3,2,34.68,860-4,11650,-1
"6,000",1986,2010,28.33,방배동,동아주택(1002-20),3,3,37.93,1002-20,11650,-1
"29,000",2004,2010,24.12,방배동,피스풀하우스,3,5,46.68,792-23,11650,4
"34,000",2004,2010,30.04,방배동,피스풀하우스,3,5,58.13,792-23,11650,2
"40,000",2002,2010,25.07,방배동,광림빌라,3,5,45.25,964-12,11650,2
"52,500",1993,2010,46.37,방배동,은하빌라,3,5,93.26,1031-9,11650,2
"7,800",1996,2010,5.46,방배동,방배동테마하우스,3,6,18.72,539-29,11650,2
"85,000",1996,2010,140.48,방배동,동양빌라,3,6,229.38,845-4,11650,1
"7,800",1996,2010,5.35,방배동,방배동테마하우스,3,6,18.33,539-29,11650,2
"44,500",2003,2010,46.22,방배동,클레버빌(773-15),3,8,71.1,773-15,11650,4
