거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"32,000",1989,2010,55.75,역삼동,현대하이츠1,1,10,55.78,661-28,11680,1
"14,000",2000,2010,14.7,역삼동,드림하우스,1,10,27.36,777-14,11680,3
"16,000",2000,2010,15.93,역삼동,타임빌라,1,13,32.45,780-19,11680,2
"16,000",1991,2010,24.97,역삼동,역삼빌리지,1,14,47.04,695-23,11680,-1
"28,000",2003,2010,26.94,역삼동,예원네오빌,1,25,50.08,781-2,11680,5
"33,000",2002,2010,33.26,역삼동,(783-1),1,25,72.73,783-1,11680,5
"20,000",2002,2010,16.08,역삼동,리치빌,1,26,30.39,777-22,11680,2
"35,000",2000,2010,31.98,역삼동,나이스빌라,1,27,55.8,778-40,11680,1
"45,000",1991,2010,56.26,개포동,다세대주택(3세대),1,2,83.31,1172-3,11680,-1
"44,500",1990,2010,41.65,개포동,반도빌라 나동,1,4,50.07,1166-6,11680,1
"63,000",1990,2010,79.58,개포동,조양빌라,1,5,84.81,1199,11680,2
"29,700",1997,2010,27.1,개포동,대림빌리지,1,7,51.54,1200-6,11680,2
"50,000",1993,2010,48.84,개포동,효창빌라,1,8,89.24,1236-14,11680,4
"18,300",1991,2010,23.12,개포동,영신아트빌,1,11,37.71,1213-7,11680,-1
"17,700",1994,2010,21.17,개포동,뉴 아트빌라(1182-4),1,12,40.71,1182-4,11680,-1
"32,000",1989,2010,44.01,개포동,현대하이츠빌라,1,12,49.5,1195-10,11680,-1
"51,000",1993,2010,40.6,개포동,평화빌라C동,1,14,79.5,160-8,11680,1
"25,900",1994,2010,21.52,개포동,삼보빌라,1,14,51.02,1265-5,11680,4
"37,200",1994,2010,35.43,개포동,한농하이츠빌라,1,15,69.11,1189-5,11680,3
"35,000",2000,2010,37.23,개포동,충원아트빌,1,15,70.36,1200-8,11680,3
"13,500",1993,2010,15.5,개포동,청담빌라,1,15,38.78,1255-2,11680,-1
"9,900",1996,2010,11.63,개포동,운영빌라,1,16,26.08,1218-14,11680,-1
"29,300",1991,2010,25.95,개포동,일산빌라,1,18,52.53,1211-6,11680,4
"12,000",1996,2010,14.73,개포동,셍상스1,1,19,22.69,1221-10,11680,-1
"49,000",1991,2010,49.31,개포동,롯데빌리지,1,19,84.53,1221-3,11680,2
"20,000",1995,2010,24.29,개포동,청솔아트빌 A동,1,19,46.27,1214-3,11680,-1
"35,000",1994,2010,29.41,개포동,현진,1,20,59.38,1211-12,11680,1
"42,000",2003,2010,30.93,개포동,다원하모니빌,1,21,69.13,1200-2,11680,2
"18,500",1993,2010,17.34,개포동,금성빌라,1,21,38.2,1171-4,11680,1
"30,900",2003,2010,26.45,개포동,플러스빌,1,21,51.98,1255,11680,3
"21,500",1993,2010,19.33,개포동,강남하이츠,1,22,39.9,1219-11,11680,1
"14,500",1995,2010,16.08,개포동,현대아트,1,22,37.44,1252-10,11680,-1
"54,000",1989,2010,57.09,개포동,비룡빌라,1,22,60.96,1263-1,11680,1
"36,500",2001,2010,34.53,개포동,광현빌라,1,22,62.76,1235-16,11680,2
"53,000",1989,2010,57.09,개포동,비룡빌라,1,26,60.96,1263-1,11680,2
