거래금액,건축년도,년,대지권면적,법정동,연립다세대,월,일,전용면적,지번,지역코드,층
"22,700",1994,2010,21.04,잠실동,잠실빌라(245-22),1,9,42.84,245-22,11710,2
"35,200",2002,2010,35.14,잠실동,태종아트빌A동,1,11,67.35,243-5,11710,5
"38,250",2003,2010,39.3,잠실동,일마레(312-1),1,12,79.23,312-1,11710,5
"12,800",2003,2010,13.5,잠실동,(297-18),1,16,24.07,297-18,11710,2
"28,200",1991,2010,38.38,잠실동,중앙빌라(303-6),1,16,53.07,303-6,11710,1
"27,200",2004,2010,26.96,잠실동,초롱빌라투,1,25,47.86,238-10,11710,3
"43,000",2009,2010,46.28,잠실동,(318-9),1,28,81.97,318-9,11710,2
"12,700",1992,2010,9.91,잠실동,(199-10),1,29,22.42,199-10,11710,1
"17,900",1995,2010,19.04,잠실동,동방빌라(321-5),1,30,39.95,321-5,11710,3
"20,000",1986,2010,32.67,풍납동,미성빌라,1,21,47.34,217,11710,2
"14,750",1996,2010,18.1,풍납동,칼라하우스 101동,1,27,34.23,398-12,11710,3
"18,000",1986,2010,31.39,풍납동,목련주택,1,28,43.68,126-195,11710,1
"23,300",2003,2010,22.94,송파동,선경아트빌,1,3,48.21,115-2,11710,5
"19,500",2003,2010,19.705,송파동,보성파크빌,1,6,41.58,187-9,11710,5
"24,000",2003,2010,24.1692,송파동,보성파크빌,1,9,51,187-9,11710,4
"15,500",1983,2010,24.86,송파동,(111-42),1,12,43.68,111-42,11710,-1
"25,700",2010,2010,25.27,송파동,명성빌하우스,1,13,44.28,37-7,11710,3
"26,000",2010,2010,25.61,송파동,명성빌하우스,1,13,44.28,37-7,11710,3
"16,500",1988,2010,34.23,송파동,미성빌라B,1,14,36.28,91-11,11710,-1
"24,400",1988,2010,34.23,송파동,미성빌라B,1,14,36.28,91-11,11710,2
"23,800",1988,2010,34.23,송파동,미성빌라B,1,14,36.28,91-11,11710,2
"23,600",1988,2010,34.23,송파동,미성빌라B,1,14,36.28,91-11,11710,1
"23,600",1988,2010,34.23,송파동,미성빌라B,1,14,36.28,91-11,11710,1
"16,100",1988,2010,28.34,송파동,미성빌라A,1,14,36.78,91-24,11710,-1
"15,900",1988,2010,28,송파동,미성빌라A,1,14,36.28,91-24,11710,-1
"23,100",1988,2010,28.34,송파동,미성빌라A,1,14,36.78,91-24,11710,2
"22,900",1988,2010,28,송파동,미성빌라A,1,14,36.28,91-24,11710,2
"22,900",1988,2010,28.34,송파동,미성빌라A,1,14,36.78,91-24,11710,1
"22,700",1988,2010,28,송파동,미성빌라A,1,14,36.28,91-24,11710,1
"16,500",1988,2010,34.23,송파동,미성빌라B,1,14,36.28,91-11,11710,-1
"12,700",2004,2010,12.19,송파동,(38-9),1,14,20.63,38-9,11710,2
"20,000",2010,2010,18.51,송파동,명성빌하우스,1,16,44.27,37-7,11710,4
"25,500",2010,2010,25.27,송파동,명성빌하우스,1,19,44.28,37-7,11710,2
"23,000",2010,2010,21.52,송파동,명성빌하우스,1,19,27.28,37-7,11710,4
"25,900",2010,2010,25.61,송파동,명성빌하우스,1,21,44.28,37-7,11710,2
"33,900",2004,2010,39.82,송파동,스카이빌,1,22,73.16,110-14,11710,3
"35,500",2001,2010,28.43,송파동,쉬크빌,1,22,61.6,17-5,11710,2
"37,500",2004,2010,24,송파동,한영빌,1,22,51.99,18-12,11710,2
"37,000",2008,2010,44.89,송파동,더원플러스B,1,22,72.82,149-9,11710,2
"48,500",2002,2010,32.04,송파동,서도빌라트,1,23,71.22,18-6,11710,3
"25,500",2003,2010,27.47,송파동,드림하이존,1,25,50.51,144-12,11710,3
"24,900",2004,2010,26.73,송파동,스카이빌,1,26,49.11,110-14,11710,4
"31,500",1991,2010,38.37,송파동,우암빌리지 가,1,27,66.69,104-2,11710,2
"25,500",2003,2010,26.22,송파동,(132-11),1,29,51.85,132-11,11710,2
"30,000",2004,2010,35.18,송파동,스카이빌,1,30,64.63,110-14,11710,4
"25,600",2001,2010,28,석촌동,석촌쉐르빌,1,11,52.89,259-3,11710,2
"25,500",2004,2010,24.39,석촌동,모던하우스,1,12,52.42,232-2,11710,4
"23,500",2002,2010,24.19,석촌동,(150-22),1,13,41.61,150-22,11710,3
"30,000",2008,2010,26.44,석촌동,작은것이아름답다,1,15,45.05,261-5,11710,3
"33,000",2004,2010,29.36,석촌동,장미빌라B동,1,15,63.23,176-16,11710,3
"25,000",2004,2010,25.55,석촌동,잠실맨션,1,22,50.34,171,11710,3
"27,000",2004,2010,26.62,석촌동,호암주택,1,23,49.73,210-24,11710,3
"20,200",2008,2010,23.14,석촌동,(246-20),1,23,41.4,246-20,11710,3
