건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
2008,2011,도선동,"15,000",상원빌V,1,0,15,61.53,316,11200,5
1982,2011,마장동,"13,000",명성연립나동,1,0,24,56.93,783-4,11200,1
1991,2011,사근동,"4,500",한양빌라B동,1,0,8,19.8,309-113,11200,
1991,2011,사근동,"4,000",한양빌라A동,1,50,9,29.8,309-108,11200,1
2006,2011,사근동,"5,500",하바빌,1,0,14,56.26,213-20,11200,2
2003,2011,사근동,"13,000",(291-22),1,0,15,46.105,291-22,11200,4
1970,2011,행당동,500,(128-170),1,25,2,81.36,128-170,11200,2
1985,2011,행당동,"5,000",(128-802),1,0,6,47.94,128-802,11200,2
2005,2011,행당동,"4,000",(1-62),1,35,8,92.03,1-62,11200,2
1992,2011,행당동,"10,000",한양아트빌라,1,0,13,66.22,96-41,11200,2
2011,2011,행당동,"17,000",행당빌,1,0,13,63.64,306-5,11200,
1990,2011,행당동,"9,000",(128-108),1,0,14,36.96,128-108,11200,1
2003,2011,행당동,"5,500",(128-543),1,0,22,19.86,128-543,11200,3
1986,2011,행당동,"16,500",무학빌라 10동,1,0,24,83.13,116-10,11200,2
2002,2011,행당동,"2,000",(1-23),1,50,26,30.06,1-23,11200,4
2001,2011,행당동,"1,000",(1-69),1,65,26,19.3,1-69,11200,1
2005,2011,행당동,"1,500",(138-14),1,80,29,37.92,138-14,11200,2
1993,2011,응봉동,"10,000",상봉빌라,1,0,8,57.59,265-87,11200,4
1994,2011,응봉동,"8,500",(265-93),1,0,11,52.89,265-93,11200,1
2001,2011,응봉동,"9,000",노블레스빌라13동,1,0,13,59.79,264-87,11200,2
1995,2011,응봉동,"6,500",(265-7),1,0,17,40,265-7,11200,
1994,2011,응봉동,"4,700",(265-65),1,0,21,35.28,265-65,11200,
1993,2011,응봉동,"3,500",(265-30),1,0,24,20.18,265-30,11200,3
1999,2011,응봉동,"6,000",정은빌라,1,30,26,53.85,193-134,11200,2
1993,2011,응봉동,"5,500",(265-139),1,0,27,35.52,265-139,11200,
2003,2011,응봉동,"14,000",동산파크빌,1,0,30,70.31,193-117,11200,3
1993,2011,응봉동,"6,000",(265-158),1,15,31,45.8,265-158,11200,1
1991,2011,금호동1가,500,(226-0),1,35,7,39.36,226,11200,1
1994,2011,금호동1가,"12,000",(167-5),1,0,8,49.63,167-5,11200,4
2005,2011,금호동1가,"10,000",금호동근생및다세대,1,0,15,39.44,167-28,11200,5
1992,2011,금호동1가,"3,000",(132-23),1,55,17,59.55,132-23,11200,1
1992,2011,금호동1가,700,(83-0),1,30,18,50.8,83,11200,3
1992,2011,금호동1가,300,(132-12),1,35,20,46.44,132-12,11200,1
1999,2011,금호동1가,"1,000",(19-0),1,50,21,29.51,19,11200,4
1998,2011,금호동2가,"13,000",신도아트빌라,1,0,11,78.13,508-2,11200,
1986,2011,금호동2가,"8,000",(640-2),1,0,15,37.61,640-2,11200,
1981,2011,금호동2가,"1,000",(501-100),1,50,19,68.1,501-100,11200,
1996,2011,금호동3가,"8,000",(1265-15),1,0,3,43.5,1265-15,11200,
1995,2011,금호동3가,"11,000",보람맨숀,1,0,6,43.5,48,11200,
1991,2011,금호동3가,"7,000",(176-1),1,0,12,32.64,176-1,11200,
1993,2011,금호동3가,"7,000",(516-0),1,0,20,34.54,516,11200,
2000,2011,금호동3가,"15,500",(1344-99),1,0,25,113.5,1344-99,11200,
1996,2011,금호동3가,"6,000",(1265-15),1,0,26,43.5,1265-15,11200,
1999,2011,금호동3가,"13,000",금호빌라,1,0,31,59.83,842-1,11200,
1980,2011,금호동4가,"10,000",(1546-6),1,0,11,70.74,1546-6,11200,2
