건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
2003,2011,중곡동,"8,000",(103-18),1,0,3,57.96,103-18,11215,
2004,2011,중곡동,"12,000",시범빌라,1,0,4,49.5,288-21,11215,3
2002,2011,중곡동,"13,000",명인하이츠,1,0,4,54.7,87-38,11215,2
2011,2011,중곡동,"12,000",풀하우스(41-3),1,0,4,40.82,111-16,11215,3
2001,2011,중곡동,"8,000",기틀빌라,1,0,5,70.02,30-59,11215,1
2004,2011,중곡동,"18,000",(120-14),1,0,5,87.06,120-14,11215,2
2003,2011,중곡동,"14,000",브니엘빌라,1,0,6,59.1,169-90,11215,3
2001,2011,중곡동,"18,000",삼보드림빌,1,0,6,69.89,18-136,11215,4
2002,2011,중곡동,"11,500",중원아트빌102,1,0,6,37.24,106-31,11215,3
2003,2011,중곡동,"5,000",(121-4),1,30,7,31.2,121-4,11215,2
2004,2011,중곡동,"15,000",해오름빌,1,0,7,64.87,103-17,11215,1
2011,2011,중곡동,"14,500",(294-16),1,0,8,53.36,294-16,11215,1
2002,2011,중곡동,"7,000",삼경,1,0,8,25.47,647-13,11215,3
2003,2011,중곡동,"15,500",덕유하이빌,1,0,10,80.9,233-44,11215,2
2003,2011,중곡동,"12,000",왕성아트빌,1,0,10,39.48,633-8,11215,2
1994,2011,중곡동,"12,000",시티빌리지,1,0,11,58.8,150-29,11215,1
1986,2011,중곡동,"18,500",신향빌라,1,0,11,79.08,18-24,11215,1
2003,2011,중곡동,"5,000",성암아트빌(647-10),1,100,12,64.1,647-10,11215,2
2011,2011,중곡동,"14,500",(294-16),1,0,13,49.66,294-16,11215,3
1995,2011,중곡동,"10,000",극동빌라(102-37),1,0,13,46.72,102-37,11215,3
1992,2011,중곡동,"8,000",은종아트빌라,1,0,14,40.07,238-13,11215,3
2002,2011,중곡동,"13,000",에스케이빌리지,1,0,14,51.4,296-3,11215,4
2004,2011,중곡동,"14,000",파인하우스,1,0,14,55.89,293-4,11215,3
2004,2011,중곡동,"20,000",한성빌,1,70,15,118.89,150-32,11215,3
2002,2011,중곡동,"13,000",현대아트빌(148-10),1,0,15,60.18,148-10,11215,1
2003,2011,중곡동,"15,000",월드빌,1,0,15,65.78,245-7,11215,4
2008,2011,중곡동,"13,000",리첸하우스,1,0,15,41.31,623-3,11215,2
2010,2011,중곡동,"18,000",엘림빌라(294-3),1,0,16,71.7,294-3,11215,2
2009,2011,중곡동,"12,000",허니빌(2차),1,0,18,39.795,242-42,11215,2
1994,2011,중곡동,"11,500",우영빌라,1,0,18,49.11,29-21,11215,2
2004,2011,중곡동,"7,000",(121-33),1,42,18,43.51,121-33,11215,3
2008,2011,중곡동,"13,500",로마네스크(3차),1,0,19,49.6,189-99,11215,2
2004,2011,중곡동,"12,000",로즈시티빌,1,0,19,42.3,114-15,11215,4
1991,2011,중곡동,"5,000",(140-20),1,75,20,66.16,140-20,11215,3
2000,2011,중곡동,"12,000",미성빌라,1,0,20,59.67,614-12,11215,2
2011,2011,중곡동,"15,000",(294-16),1,0,21,52.67,294-16,11215,2
2004,2011,중곡동,"5,000",(98-7),1,65,22,57.5,98-7,11215,3
2003,2011,중곡동,"1,000",드림빌(243-21),1,40,22,77.79,243-21,11215,4
2002,2011,중곡동,"15,000",금강베스트빌,1,0,22,69.85,97-3,11215,2
2003,2011,중곡동,"8,500",리더스홈,1,0,22,24.89,162-27,11215,2
2003,2011,중곡동,"11,000",대훈빌,1,0,22,51.58,150-314,11215,4
1993,2011,중곡동,"10,000",우암가든빌라,1,0,22,41.9,190-1,11215,2
1990,2011,중곡동,"10,000",신형빌라,1,0,24,49.77,124-55,11215,2
2002,2011,중곡동,"6,000",(632-8),1,0,24,14.43,632-8,11215,4
1993,2011,중곡동,100,한진빌라,1,40,25,39.63,172-25,11215,2
2003,2011,중곡동,"13,000",국화주택,1,0,25,70.07,150-246,11215,4
2008,2011,중곡동,"8,000",대호아트빌(104-67),1,20,25,35.11,104-67,11215,4
2002,2011,중곡동,"13,000",참존빌딩,1,0,25,67.42,167-21,11215,4
2008,2011,중곡동,"15,000",(51-18),1,0,26,99.95,51-18,11215,3
1994,2011,중곡동,"8,000",시티빌리지,1,50,26,61.32,150-29,11215,3
2002,2011,중곡동,"16,500",파인빌(647-9),1,0,27,60.44,647-9,11215,4
2008,2011,중곡동,"17,000",(51-41),1,0,27,60.88,51-41,11215,3
2002,2011,중곡동,"12,000",유오디아,1,0,30,40.98,101-15,11215,4
2003,2011,중곡동,"11,000",송정아트빌,1,0,31,64.08,29-22,11215,1
1994,2011,중곡동,"2,000",윤성그린빌라,1,70,31,66.9,296-22,11215,-1
2003,2011,중곡동,"4,000",이화하이츠,1,60,31,60.57,81-18,11215,4
2010,2011,능동,"20,000",대명피렌체,1,0,5,51.78,382,11215,3
2006,2011,능동,"15,000",(161-0),1,0,6,67.11,161,11215,2
2002,2011,능동,"20,000",삼호빌라트,1,0,10,75.59,283-21,11215,3
2010,2011,능동,"35,000",빌라헤르메스,1,0,12,66.8,177-3,11215,3
1997,2011,능동,"1,500",(171-0),1,35,15,41.68,171,11215,-1
2006,2011,능동,"14,000",(165-0),1,0,17,45.78,165,11215,3
1997,2011,능동,"2,500",(171-0),1,20,20,37.81,171,11215,
1997,2011,능동,"5,000",(171-0),1,35,21,34.27,171,11215,2
2006,2011,능동,"14,200",(165-0),1,0,23,42.58,165,11215,3
2009,2011,능동,"22,000",LAX VILL,1,0,24,73.86,246-15,11215,3
2002,2011,능동,"8,500",PARK.C.Y.VILLE,1,0,25,30.45,243-11,11215,2
2002,2011,능동,"8,500",PARK.C.Y.VILLE,1,0,27,30.81,243-11,11215,1
2001,2011,능동,"6,500",(283-32),1,0,28,56.26,283-32,11215,1
2001,2011,능동,"12,000",신궁전빌라,1,0,28,47.82,249-41,11215,3
2001,2011,능동,"8,000",(245-4),1,0,28,27.56,245-4,11215,2
2001,2011,능동,"20,000",태성아트빌,1,0,29,75.22,373,11215,1
2009,2011,능동,"6,500",로뎀하우스,1,0,29,12.74,239-42,11215,3
2003,2011,구의동,"4,000",원당주택,1,30,1,25.2,224-57,11215,4
1996,2011,구의동,"15,000",광진빌라,1,0,3,69.41,254-49,11215,1
2002,2011,구의동,"19,000",에스엠파크빌,1,0,4,68.67,60-46,11215,2
2002,2011,구의동,"7,000",(28-49),1,0,4,25.36,28-49,11215,5
2010,2011,구의동,"20,000",솔라빌리지,1,0,4,64.24,45-19,11215,2
1995,2011,구의동,"9,500",베네치아,1,0,6,77.17,647-9,11215,
2002,2011,구의동,"16,300",성원아트빌,1,0,7,61,211-26,11215,2
2002,2011,구의동,"7,500",(587-15),1,0,8,89.45,587-15,11215,3
1991,2011,구의동,"5,000",삼보빌라A,1,0,10,42.13,242-42,11215,
2002,2011,구의동,"8,000",(211-39),1,0,10,41.54,211-39,11215,3
2001,2011,구의동,"15,000",선경빌라트(56-14),1,0,10,67.16,56-14,11215,1
2003,2011,구의동,"17,000",파크빌,1,0,10,76.63,46-4,11215,2
2010,2011,구의동,"23,000",욱현스카이빌(77-56),1,0,11,59.15,77-56,11215,4
1992,2011,구의동,"11,500",호암빌라,1,0,12,49.59,211-11,11215,2
2002,2011,구의동,"16,500",성원아트빌,1,0,12,60.59,211-26,11215,2
2001,2011,구의동,"15,000",상평그린빌,1,0,12,79.33,554-5,11215,1
2008,2011,구의동,"19,000",자이에버빌,1,0,13,72.45,253-41,11215,3
2004,2011,구의동,"8,500",코지하우스,1,50,13,80.31,34-1,11215,
1997,2011,구의동,"12,700",정온빌라트,1,0,13,60.76,48-22,11215,2
2010,2011,구의동,"13,500",대건빌,1,0,13,43.48,207-39,11215,2
2003,2011,구의동,"13,000",정원빌라,1,0,13,56.47,253-38,11215,4
1997,2011,구의동,"18,700",현대로얄빌라,1,0,13,75.6,210-19,11215,4
2003,2011,구의동,"8,000",원당주택,1,0,14,38.52,224-57,11215,1
2003,2011,구의동,"9,000",(207-21),1,0,14,37.53,207-21,11215,2
2003,2011,구의동,"3,000",(209-13),1,60,14,53.04,209-13,11215,3
2001,2011,구의동,"20,000",테크노빌1,1,0,14,80.69,591-13,11215,
1986,2011,구의동,"5,500",대덕연립(나),1,0,15,36.97,253-61,11215,
2002,2011,구의동,"15,000",소라스위트빌A동,1,0,15,75.21,119-5,11215,3
