건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
1995,2011,용두동,"7,000",(118-9),1,0,15,32.42,118-9,11230,2
2002,2011,용두동,"5,000",(758-3),1,75,24,74.67,758-3,11230,2
1994,2011,용두동,"10,000",화원빌라,1,0,31,46.59,735-8,11230,1
2002,2011,제기동,"13,000",청솔그린빌,1,0,3,52.35,274-8,11230,4
2008,2011,제기동,"13,000",(218-7),1,0,5,53.79,218-7,11230,2
2010,2011,제기동,"1,000",MAI BAUM RODEM,1,40,5,12.55,1149-10,11230,2
2003,2011,제기동,"7,000",(148-46),1,0,11,63.46,148-46,11230,3
2005,2011,제기동,"10,000",영흥A동 아트빌,1,10,11,48.47,170-9,11230,3
2010,2011,제기동,"2,000",MAI BAUM RODEM,1,35,12,13.2,1149-10,11230,2
2010,2011,제기동,"1,500",MAI BAUM RODEM,1,40,15,13.6,1149-10,11230,3
2003,2011,제기동,"1,000",(134-19),1,70,19,24.08,134-19,11230,3
2010,2011,제기동,"3,000",MAI BAUM RODEM,1,35,20,16.62,1149-10,11230,4
2002,2011,제기동,"3,000",(134-23),1,25,25,49.33,134-23,11230,2
2003,2011,제기동,"10,000",동원빌딩,1,0,27,59.29,1145-3,11230,4
2002,2011,제기동,"6,000",제기COLORHOUSE,1,10,28,26.94,136-294,11230,2
2009,2011,제기동,"16,000",블레스빌,1,0,29,55.8,892-123,11230,5
2002,2011,전농동,"14,000",삼경빌라,1,0,4,86.92,269-5,11230,5
2008,2011,전농동,"14,000",(126-22),1,0,7,60.49,126-22,11230,3
2007,2011,전농동,"9,000",전농그린빌라,1,0,15,37.3,127-159,11230,2
2001,2011,전농동,"12,000",화이트빌라,1,0,15,63.44,206-108,11230,3
2007,2011,전농동,"5,000",(103-276),1,0,16,21.64,103-276,11230,3
1995,2011,전농동,"13,000",현대빌라트,1,0,22,57.26,103-19,11230,3
2008,2011,전농동,"11,000",명품파크빌,1,0,22,40.23,646-6,11230,2
1986,2011,전농동,"5,000",현대연립나동,1,20,26,41.03,25-8,11230,3
2003,2011,전농동,"16,000",세양아트빌,1,0,29,60.11,103-352,11230,4
2010,2011,장안동,"2,000",어반하우스(341-23),1,45,7,21.84,341-23,11230,3
1997,2011,장안동,"1,000",명경빌(380-5),1,70,8,52.22,380-5,11230,5
2002,2011,장안동,500,우성포커스텔(306-3),1,60,10,30.68,306-3,11230,4
1983,2011,장안동,"12,000",영신(394-8),1,0,10,84,394-8,11230,
2010,2011,장안동,"1,000",어반하우스(341-23),1,55,10,21.84,341-23,11230,4
2010,2011,장안동,"2,000",어반하우스(341-23),1,45,11,21.84,341-23,11230,3
1982,2011,장안동,"10,000",대명A(426-8),1,0,11,63.14,426-8,11230,3
1986,2011,장안동,"9,000",현대(92-38),1,0,12,72.48,92-38,11230,2
1982,2011,장안동,"11,000",행운(349-8),1,0,14,51.47,349-8,11230,3
2008,2011,장안동,"14,000",청운그랑빌,1,0,18,62.63,186-45,11230,5
2002,2011,장안동,"3,000",우성포커스텔(306-3),1,50,25,39.78,306-3,11230,5
1992,2011,장안동,"12,000",다영(427-9),1,0,27,48.18,427-9,11230,4
2010,2011,장안동,"3,000",어반하우스(341-23),1,35,28,21.84,341-23,11230,2
1983,2011,장안동,"10,000",88연립,1,0,28,72.45,392-10,11230,1
1986,2011,장안동,"7,000",삼용10호(284-10),1,0,29,41.08,284-10,11230,2
2009,2011,장안동,"14,000",뉴베스트빌,1,0,31,60.74,105-13,11230,4
