건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
2002,2011,성북동,"13,000",삼보월드빌(가),1,0,6,76.78,178-31,11290,4
1992,2011,성북동,"3,500",(168-68),1,0,10,33.96,168-68,11290,2
1991,2011,성북동,"11,500",현대하이츠빌라,1,0,19,70.05,168-30,11290,1
1992,2011,성북동,"3,000",(168-68),1,28,20,31.44,168-68,11290,2
2008,2011,성북동,"5,000",(300-2),1,0,20,43.86,300-2,11290,2
1994,2011,성북동,"2,000",(183-35),1,0,26,35.52,183-35,11290,-1
1987,2011,성북동,"8,000",(299-1),1,0,27,32.1,299-1,11290,
1992,2011,성북동,"7,000",(173-14),1,0,29,31.25,173-14,11290,1
2002,2011,성북동1가,"1,000",정승빌리지,1,40,8,30.63,113-2,11290,
1997,2011,성북동1가,"11,000",(104-37),1,20,26,104.79,104-37,11290,3
1994,2011,돈암동,"6,500",(42-3),1,0,4,38.07,42-3,11290,
1987,2011,돈암동,"5,000",북악하이츠빌라,1,15,29,94.59,535-54,11290,3
2002,2011,동소문동1가,"1,000",삼선파크빌,1,50,12,90.98,129,11290,
2005,2011,동소문동1가,"16,000",(64-0),1,0,21,66.19,64,11290,2
1994,2011,동소문동1가,"8,000",광국빌라,1,0,25,59.07,55-1,11290,4
2008,2011,동소문동1가,"15,000",성북리츠빌,1,0,31,106.59,140-50,11290,2
2004,2011,동소문동4가,"8,000",양지빌라트(243-0),1,0,7,49.23,243,11290,2
2002,2011,동소문동4가,"14,000",양지빌라트(176-0),1,0,15,55.41,176,11290,1
2002,2011,동소문동4가,"3,000",우석주택,1,0,25,33.8,231,11290,3
1996,2011,동소문동7가,"8,000",현대하이츠빌라,1,0,25,29.73,119-4,11290,4
1996,2011,삼선동1가,"9,000",(239-0),1,0,14,47.1,239,11290,3
2002,2011,삼선동1가,"7,000",세종씨티빌(A동),1,0,20,61.47,212-1,11290,
2004,2011,삼선동1가,"8,000",(110-0),1,0,21,103.11,110,11290,1
1991,2011,삼선동1가,"11,000",신안빌라2차,1,0,24,66,274-98,11290,2
2005,2011,삼선동1가,"1,000",화이트빌,1,50,25,70,237-3,11290,2
2009,2011,삼선동1가,"14,000",삼선하임,1,0,25,65.06,11-6,11290,2
1987,2011,삼선동1가,"8,000",홍익빌라,1,0,29,38.4,57,11290,1
2011,2011,삼선동1가,"6,000",J&K 하우스,1,0,29,29.92,104,11290,2
1994,2011,삼선동3가,"20,000",삼익하이츠맨션,1,0,8,110.4,24,11290,2
2002,2011,삼선동3가,"8,000",(5-5),1,10,15,45.1,5-5,11290,5
2001,2011,삼선동3가,"2,000",성종그린빌1,1,40,27,44.45,11,11290,2
2005,2011,삼선동5가,"14,000",(94-2),1,0,3,64.33,94-2,11290,1
2003,2011,삼선동5가,"9,500",문화,1,0,11,44.29,247,11290,5
2008,2011,삼선동5가,"17,000",파크하우스,1,0,14,79.59,42-3,11290,3
2002,2011,삼선동5가,"4,000",지성빌,1,30,18,24.64,299-3,11290,5
2003,2011,삼선동5가,"6,000",문화,1,0,31,22.06,247,11290,4
2001,2011,동선동2가,"9,000",(262-0),1,0,6,45.3,262,11290,
2002,2011,동선동2가,"6,500",(263-0),1,0,9,27.43,263,11290,4
2002,2011,동선동2가,"6,000",(263-0),1,0,20,22.57,263,11290,2
2002,2011,동선동2가,"6,000",(263-0),1,0,25,21.19,263,11290,4
2003,2011,동선동3가,"7,000",원양빌라,1,0,8,26.52,189-1,11290,4
1996,2011,동선동3가,"8,000",대호빌라,1,0,11,35.09,251-7,11290,4
2008,2011,동선동3가,"1,000",두나빌딩,1,35,17,58.09,43,11290,5
2002,2011,동선동3가,"7,500",그린트윈(216-0),1,22,24,40.47,216,11290,3
2002,2011,동선동4가,"16,000",중앙빌라트,1,0,15,75.67,349,11290,4
2002,2011,동선동5가,"13,000",유창아트빌,1,0,7,60.91,172-9,11290,1
2009,2011,동선동5가,"8,500",(128-0),1,0,10,24.06,128,11290,1
2002,2011,동선동5가,"6,500",(172-3),1,0,19,49.89,172-3,11290,2
2001,2011,안암동1가,"3,000",성종그린빌,1,35,11,24.32,87-1,11290,5
1996,2011,안암동1가,"4,000",태멘원룸,1,10,13,34.94,105-1,11290,2
2002,2011,안암동1가,"13,000",파인힐하우스(B),1,0,19,44.75,87-2,11290,3
2003,2011,안암동2가,"3,000",옥인호주택,1,55,14,37.63,8,11290,2
2003,2011,안암동2가,"6,000",안암동다세대주택,1,30,26,36.98,136,11290,3
2003,2011,안암동3가,"13,500",구성안암동스위트빌(B),1,0,10,81.11,133-39,11290,2
1995,2011,안암동3가,"13,000",기주빌라,1,0,17,60.59,133-3,11290,1
1992,2011,안암동3가,"3,500",안암타워빌라,1,65,20,64.96,133-42,11290,1
2003,2011,안암동3가,"14,000",(57-0),1,0,20,64.23,57,11290,3
2002,2011,안암동4가,"16,000",삼성하이츠(41-41),1,0,26,57.94,41-41,11290,5
2009,2011,보문동7가,"13,000",토천그린존,1,0,5,51.39,65,11290,5
2009,2011,보문동7가,"12,000",토천그린존,1,0,10,50.21,65,11290,2
2005,2011,보문동7가,"16,000",(71-1),1,0,13,66.87,71-1,11290,
2003,2011,보문동7가,"9,000",드림빌,1,40,14,51.97,134-15,11290,3
1995,2011,보문동2가,"12,000",은혜빌라,1,0,1,45.19,64-3,11290,3
2002,2011,보문동2가,"4,000",대원빌2,1,30,26,31.92,74-8,11290,5
2002,2011,정릉동,"8,000",파인하우스,1,0,1,53.47,226-48,11290,3
1987,2011,정릉동,"6,500",전원빌라,1,0,3,48.6,925-1,11290,
2011,2011,정릉동,"7,000",(822-24),1,0,3,59.67,822-24,11290,2
2011,2011,정릉동,"7,000",(822-24),1,0,3,59.76,822-24,11290,5
1992,2011,정릉동,"6,500",보광빌라(903-13),1,0,4,44,903-13,11290,3
1995,2011,정릉동,"1,000",건일빌라,1,50,4,45.13,716-119,11290,2
2011,2011,정릉동,"3,000",(822-24),1,0,4,59.67,822-24,11290,4
1982,2011,정릉동,"2,000",삼락연립,1,40,5,72.13,222,11290,2
2008,2011,정릉동,"8,500",(266-127),1,0,5,40.84,266-127,11290,3
2002,2011,정릉동,"6,700",스카이화이트빌라,1,0,6,53.62,559-64,11290,1
1989,2011,정릉동,"7,000",정수빌라(431-70),1,0,6,66.21,431-70,11290,3
2009,2011,정릉동,"7,000",신구하이빌,1,40,7,61.16,266-104,11290,4
2000,2011,정릉동,"9,000",현대로얄빌라B동,1,0,7,56.6,508-91,11290,
1995,2011,정릉동,"6,000",대원타운,1,0,8,36.15,550,11290,2
2009,2011,정릉동,"6,000",토토그랑빌,1,40,8,51.82,559-75,11290,4
2008,2011,정릉동,"10,000",예솔하이츠,1,0,9,46.47,402-80,11290,3
2010,2011,정릉동,"3,000",골든빌5차,1,80,9,64.8,227-61,11290,4
2001,2011,정릉동,"10,500",스카이한양빌라,1,0,10,79.96,508-60,11290,3
2007,2011,정릉동,"9,000",삼성그린빌3차,1,0,10,47.53,699-3,11290,4
2008,2011,정릉동,"10,000",(266-127),1,0,10,43.13,266-127,11290,4
2008,2011,정릉동,"13,000",단풍나무빌라1동,1,0,12,64.78,410-87,11290,1
2008,2011,정릉동,"6,000",예솔하이츠,1,30,12,46.47,402-80,11290,2
1995,2011,정릉동,"10,000",갑도그림빌라,1,0,13,71.16,227-105,11290,4
2009,2011,정릉동,"4,000",영월드,1,0,13,26.53,192-198,11290,3
1997,2011,정릉동,"8,000",드림빌라(885-5),1,0,14,39.58,885-5,11290,3
1994,2011,정릉동,"4,500",덕수빌라,1,0,14,61.44,170-36,11290,
1994,2011,정릉동,"4,000",덕수빌라,1,10,14,59.8,170-36,11290,-1
1996,2011,정릉동,"3,000",하이눈빌리지,1,40,15,59.79,506-19,11290,2
2010,2011,정릉동,"10,000",상윤빌,1,0,15,62.58,227-60,11290,4
1990,2011,정릉동,300,신두빌라,1,37,15,36.42,640,11290,
2009,2011,정릉동,"13,000",프리모유,1,0,15,83.38,266-54,11290,3
2008,2011,정릉동,"11,000",플러스빌,1,0,16,72.93,266-46,11290,3
2007,2011,정릉동,"8,000",삼성그린빌2차(B동),1,0,17,53.57,164-4,11290,2
2002,2011,정릉동,"1,500",학동빌라(671-3),1,50,17,83.65,671-3,11290,3
1989,2011,정릉동,"8,000",정수빌라(431-70),1,0,17,66.21,431-70,11290,2
1996,2011,정릉동,"19,200",하이눈빌리지,1,0,17,59.79,506-19,11290,3
2001,2011,정릉동,"8,000",삼진파크빌라 C동(508-73),1,0,18,55.26,508-73,11290,2
2010,2011,정릉동,"10,000",상윤빌,1,0,18,62.58,227-60,11290,2
1994,2011,정릉동,"10,000",경원그린빌라(333),1,0,19,59.99,333,11290,
2003,2011,정릉동,500,리치빌리지,1,35,19,24.17,227-119,11290,2
2002,2011,정릉동,"5,000",성은힐타운,1,20,20,64.33,266-43,11290,1
1996,2011,정릉동,"5,500",기원아트빌라,1,0,20,49.74,716-45,11290,3
2002,2011,정릉동,"10,000",정릉쉐르빌,1,0,20,61.38,226-2,11290,2
1991,2011,정릉동,"11,000",홍우빌리지가동,1,0,21,67.68,318-4,11290,2
1997,2011,정릉동,"5,000",대창그린빌라,1,0,22,37.3,822-4,11290,1
2010,2011,정릉동,"8,500",상윤빌,1,0,22,62.58,227-60,11290,
2008,2011,정릉동,"11,000",(266-127),1,0,22,59.97,266-127,11290,4
2009,2011,정릉동,"8,000",현대타운하우스C동,1,0,22,54.68,266-38,11290,1
1990,2011,정릉동,"11,000",청구아트빌라,1,0,23,79.56,815-6,11290,2
2007,2011,정릉동,"10,000",신용쉐르빌,1,0,24,66.56,289-12,11290,2
1990,2011,정릉동,"1,300",일화하이츠빌라,1,22,25,68.42,561-2,11290,3
1991,2011,정릉동,"1,000",삼성주택,1,40,25,38.37,226-16,11290,2
1995,2011,정릉동,"6,000",창신빌라508-116,1,0,26,38.58,508-116,11290,-1
1990,2011,정릉동,"6,000",현대빌라 가동,1,0,28,32.67,266-583,11290,1
2008,2011,정릉동,"12,000",단풍나무빌라2,1,0,29,62.7,410-10,11290,1
2008,2011,정릉동,"13,500",예은빌라트,1,0,29,64.1,42-13,11290,2
1988,2011,정릉동,"5,000",동우빌라,1,0,31,38.34,266-563,11290,2
1991,2011,길음동,"4,000",(510-66),1,0,4,43.92,510-66,11290,3
1979,2011,길음동,"2,000",금성연립,1,50,4,62.48,1175,11290,1
1992,2011,길음동,"5,000",(510-128),1,0,4,32.88,510-128,11290,1
2002,2011,길음동,"11,000",다보베스트빌가동,1,0,6,57.2,1047,11290,3
1995,2011,길음동,"6,000","초원빌라E-1,E-2동",1,0,6,41.01,1271-306,11290,1
1998,2011,길음동,"7,000","초원빌라A,B동",1,0,7,51.48,1271-305,11290,1
2003,2011,길음동,"11,000",신생하이츠102동,1,0,12,54.48,1061-1,11290,3
1989,2011,길음동,"7,000",(503-60),1,0,13,64.49,503-60,11290,4
1994,2011,길음동,"3,500",(487-1),1,0,14,23.88,487-1,11290,
1994,2011,길음동,"8,500",(503-56),1,0,15,62.3,503-56,11290,1
1998,2011,길음동,"4,000",(510-159),1,0,15,40.05,510-159,11290,
1994,2011,길음동,"2,500",(501-2),1,0,17,26.76,501-2,11290,
1992,2011,길음동,"12,500",독일하이츠빌라,1,0,18,76.08,961,11290,
2003,2011,길음동,"9,300",경진아트빌,1,0,22,47.97,989,11290,4
2003,2011,길음동,"15,000",신생리츠빌101동,1,0,25,64.8,1061,11290,3
1990,2011,길음동,"4,000",(486-17),1,0,27,31.2,486-17,11290,1
1986,2011,길음동,"8,000",성인빌라,1,0,29,47.88,964,11290,2
1992,2011,길음동,"5,500",(481-177),1,0,29,25.03,481-177,11290,3
1997,2011,종암동,"2,500",(33-43),1,30,3,19.06,33-43,11290,3
2002,2011,종암동,"11,500",동성빌리지,1,0,3,66.32,54-397,11290,2
2000,2011,종암동,"14,000",수림산장빌라,1,0,5,76.41,58-1,11290,3
2003,2011,종암동,"12,000",우성맨션에이동,1,0,7,67.68,7-63,11290,2
2005,2011,종암동,"13,000",종암아트빌,1,0,8,53.4,9-3,11290,3
1982,2011,종암동,"2,000",한일주택,1,70,9,75.77,34-9,11290,3
1986,2011,종암동,"7,000",대구빌라 A동,1,0,17,36.96,70-129,11290,1
1994,2011,종암동,"3,500",(3-203),1,0,18,26.67,3-203,11290,
2008,2011,종암동,"14,500",에덴빌라,1,0,27,56.09,3-687,11290,3
1994,2011,종암동,"5,000",두산빌라,1,0,29,35.2,10-148,11290,-1
2003,2011,상월곡동,"13,000",진한그랑빌C동,1,0,13,84.57,7-116,11290,3
2002,2011,장위동,"10,000",상민아트빌 102동,1,0,3,50.98,230-115,11290,4
2002,2011,장위동,"8,000",로즈힐빌라트(238-195),1,0,4,50.12,238-195,11290,3
1994,2011,장위동,"6,000",한전빌라,1,0,4,49.02,193-8,11290,3
2001,2011,장위동,"8,000",충효쉐르빌(나)동,1,15,4,60.03,233-468,11290,3
1996,2011,장위동,"3,000",도원맨션(나)동,1,30,6,59.35,231-320,11290,
1995,2011,장위동,"5,500",백운빌라(가)동,1,0,6,41.34,231-315,11290,3
1997,2011,장위동,"3,000",신궁전맨션 5차,1,40,7,46.81,230-150,11290,4
2007,2011,장위동,"12,000",현대베스트빌D동,1,0,7,65.52,216-49,11290,4
2001,2011,장위동,"8,000",수정빌리지2차,1,0,8,45.24,76-30,11290,2
1988,2011,장위동,"4,000",홍익주택B동,1,0,8,37.18,68-1310,11290,1
2005,2011,장위동,"9,000",삼성타운빌,1,0,8,50.69,62-55,11290,2
2003,2011,장위동,"13,500",씨엠오스빌,1,0,10,70.02,50-35,11290,7
2004,2011,장위동,"8,000",세경빌리지,1,10,10,57.72,68-850,11290,4
2002,2011,장위동,"1,000",파크빌,1,40,10,21.44,246-159,11290,4
1996,2011,장위동,"2,000",청구빌라,1,20,11,29.64,219-101,11290,4
2001,2011,장위동,"2,000",대경빌라,1,30,12,39.6,225-74,11290,3
2003,2011,장위동,"15,000",씨엠오스빌,1,0,14,68.89,50-35,11290,7
1996,2011,장위동,"6,000",청구빌라,1,0,15,40.22,219-101,11290,1
2002,2011,장위동,"10,000",동진씨티빌라B동,1,0,16,74.82,66-252,11290,4
2002,2011,장위동,"7,500",드림빌,1,0,16,41.93,219-154,11290,2
2002,2011,장위동,"8,000",명신빌라트(234-25),1,0,18,53.58,234-25,11290,3
2003,2011,장위동,"12,000",삼성하이츠빌,1,0,18,55.55,75-575,11290,4
1994,2011,장위동,"7,000",명성빌라(74-39),1,0,19,25.43,74-38,11290,
1991,2011,장위동,"3,000",복주머니빌라,1,45,20,62.31,42-39,11290,
1981,2011,장위동,300,단독형(233-358),1,20,20,14.87,233-358,11290,1
2004,2011,장위동,"8,000",세경빌리지,1,0,21,47.84,68-850,11290,5
1996,2011,장위동,"7,000",진성하이츠빌라,1,0,22,42.9,232-125,11290,2
2002,2011,장위동,"10,500",석사드림빌,1,0,22,59.38,62-52,11290,5
2003,2011,장위동,"2,000",장위동드림빌,1,40,22,46.82,231-221,11290,5
1992,2011,장위동,"7,000",(219-261),1,20,23,58.15,219-261,11290,1
1993,2011,장위동,"2,500",창신빌라(라)동,1,20,24,39.66,246-381,11290,
1997,2011,장위동,"6,000",진주빌라,1,0,25,36.25,219-339,11290,4
1992,2011,장위동,"2,000",(225-98),1,45,26,63.6,225-98,11290,2
2004,2011,장위동,"8,000",무지개빌,1,0,27,33.53,68-1235,11290,2
1994,2011,장위동,"3,000","승원빌라(가),(나)동",1,20,29,47.55,219-85,11290,1
2005,2011,장위동,"7,000",(110-21),1,0,30,38.91,110-21,11290,3
2000,2011,장위동,"2,000",한성빌라트,1,30,31,56.1,218-40,11290,
2002,2011,장위동,"9,000",우성아트빌,1,0,31,48.26,66-69,11290,4
1995,2011,장위동,"1,000",신궁전빌라,1,45,31,43.83,230-24,11290,4
1990,2011,석관동,"2,000",진영주택,1,40,5,33.41,175-6,11290,3
2010,2011,석관동,"6,000",D.S 하우징,1,0,7,17.67,198-4,11290,3
2003,2011,석관동,"12,000",경보데코빌,1,0,7,83.67,261-231,11290,4
2010,2011,석관동,"4,000",D.S 하우징,1,20,10,18.71,198-4,11290,5
2008,2011,석관동,"10,000",DS빌3차,1,0,10,50.4,277-1,11290,3
1996,2011,석관동,340,(334-74),1,11,13,41.17,334-74,11290,1
1996,2011,석관동,800,(334-74),1,0,13,41.17,334-74,11290,1
2010,2011,석관동,"6,000",D.S 하우징,1,0,14,17.67,198-4,11290,4
2010,2011,석관동,"6,000",D.S 하우징,1,0,15,21.25,198-4,11290,5
2010,2011,석관동,"6,000",D.S 하우징,1,0,21,17.67,198-4,11290,2
1992,2011,석관동,"2,500",단독형(332-126),1,0,21,40,332-126,11290,
2010,2011,석관동,"3,000",D.S 하우징,1,30,22,21.25,198-4,11290,
2003,2011,석관동,"10,000",경보데코빌,1,0,26,61.08,261-231,11290,5
2002,2011,석관동,"2,000",석관동 골든벨-3,1,60,26,59.86,132-41,11290,3
1993,2011,석관동,"2,000",단독형(332-387),1,15,30,24.67,332-387,11290,1
2010,2011,석관동,"6,000",D.S 하우징,1,0,30,21.25,198-4,11290,4
2002,2011,석관동,"9,700",대건빌라(206-2),1,0,30,43.68,206-2,11290,3
2003,2011,성북동,"2,000",(213-7),2,0,1,62.83,213-7,11290,1
2006,2011,성북동,"7,000",드림빌(B),2,50,8,76.26,178-38,11290,3
2003,2011,성북동,"11,000",대명아트빌,2,0,9,58.77,145-6,11290,1
1991,2011,성북동,"10,000",성북써니빌라,2,0,11,60.71,168-44,11290,2
1998,2011,성북동,"13,000",(145-22),2,0,12,59.63,145-22,11290,2
1996,2011,성북동,"4,000",(177-7),2,0,15,24.68,177-7,11290,2
2006,2011,성북동,"5,000",드림빌(B),2,58,15,76.26,178-38,11290,3
2002,2011,성북동,"12,950",해피타운2차,2,0,19,48.22,161-20,11290,4
1992,2011,성북동,"13,500",태양빌라,2,0,21,70.79,126-28,11290,3
1992,2011,성북동,"45,000",현대빌라(264-5),2,0,28,222.29,264-5,11290,-1
2002,2011,성북동1가,"6,000",테크빌,2,0,14,40.42,106-50,11290,1
1995,2011,성북동1가,"12,000",팔복빌라,2,0,14,55.28,108,11290,4
2002,2011,성북동1가,"6,000",테크빌,2,0,14,40.42,106-50,11290,
2002,2011,성북동1가,"7,000",정승빌리지,2,0,16,38.7,113-2,11290,4
1992,2011,성북동1가,"11,000",혜성빌라,2,0,17,39.22,106-46,11290,3
2002,2011,성북동1가,"9,500",정승빌리지,2,0,26,46.52,113-2,11290,2
1992,2011,돈암동,"6,000",(83-54),2,0,13,49.95,83-54,11290,
2010,2011,돈암동,"15,000",쁘띠메종,2,0,14,59.71,413-115,11290,2
1991,2011,돈암동,"16,000",진도그린빌라,2,0,25,83.79,538-57,11290,2
1993,2011,동소문동1가,"16,000",경덕하이츠빌라,2,0,14,120.73,140-44,11290,-1
1998,2011,동소문동1가,"7,000","엘하우스,타운힐빌딩,한마음",2,0,28,24.48,51,11290,
1998,2011,동소문동1가,"7,000","엘하우스,타운힐빌딩,한마음",2,0,28,26,51,11290,4
2002,2011,동소문동4가,"3,000",동인주택,2,38,17,61.82,233,11290,5
2001,2011,동소문동4가,"17,000",양지빌라트(103동),2,0,17,58.19,218,11290,4
2003,2011,삼선동1가,"5,500",(222-0),2,0,1,26.8,222,11290,1
2011,2011,삼선동1가,"6,000",J&K 하우스,2,0,6,29.92,104,11290,1
2011,2011,삼선동1가,"3,000",J&K 하우스,2,30,7,23,104,11290,
2011,2011,삼선동1가,"1,000",J&K 하우스,2,45,9,23,104,11290,1
2011,2011,삼선동1가,500,J&K 하우스,2,50,17,23,104,11290,
1991,2011,삼선동1가,"12,000",신안빌라,2,0,21,47.4,131,11290,2
2011,2011,삼선동1가,"5,500",J&K 하우스,2,0,22,49.29,104,11290,2
2011,2011,삼선동1가,"3,000",J&K 하우스,2,25,28,29.7,104,11290,3
1998,2011,삼선동1가,"3,000",원앙빌라다동,2,0,28,34.72,278-41,11290,-1
1995,2011,삼선동2가,"13,000",신안오피스빌라,2,0,1,67.89,231-2,11290,4
1998,2011,삼선동2가,"7,500",(232-11),2,0,15,60.63,232-11,11290,1
1997,2011,삼선동2가,"1,000",(232-4),2,40,25,25.38,232-4,11290,3
1995,2011,삼선동3가,"8,000",원흥하이츠빌라,2,0,8,40.56,42-7,11290,1
2011,2011,삼선동3가,"1,500",천우,2,50,15,14.82,42-5,11290,4
2011,2011,삼선동3가,"1,000",천우,2,55,15,15.3,42-5,11290,4
2002,2011,삼선동3가,"7,000",굿모닝빌,2,0,16,34,14,11290,2
2011,2011,삼선동3가,"3,000",천우,2,40,16,15.3,42-5,11290,4
2011,2011,삼선동3가,"2,000",천우,2,50,19,14.82,42-5,11290,5
2003,2011,삼선동3가,"16,000",삼성하이츠(22-0),2,0,22,69.02,22,11290,4
2011,2011,삼선동3가,"2,500",천우,2,45,23,15.3,42-5,11290,3
2003,2011,삼선동3가,"9,000",ACE,2,0,25,31.33,3-4,11290,3
2001,2011,삼선동4가,"5,500",코지빌,2,0,10,41.9,40-2,11290,2
2002,2011,삼선동4가,"2,000",(352-3),2,0,13,31.49,352-3,11290,5
2002,2011,삼선동5가,"15,000",수정아트빌,2,0,2,66.92,7,11290,3
2001,2011,삼선동5가,"4,000",성종그린빌2,2,25,9,54.07,2-6,11290,5
2002,2011,삼선동5가,"1,000",(394-0),2,37,15,15.72,394,11290,3
2001,2011,삼선동5가,"7,000",성종그린빌2,2,0,18,54.07,2-6,11290,2
2003,2011,삼선동5가,"6,500",문화,2,0,22,19,247,11290,
2003,2011,삼선동5가,"6,500",문화,2,0,24,25.21,247,11290,4
2004,2011,삼선동5가,"4,000",(150-6),2,130,25,79.97,150-6,11290,3
2001,2011,삼선동5가,"6,500",참진빌라,2,0,26,21.69,151-13,11290,2
2003,2011,동선동2가,"1,000",동선동다세대주택,2,40,10,18.18,76,11290,2
2000,2011,동선동2가,"1,500",다우,2,50,15,27.25,181,11290,4
2001,2011,동선동2가,"6,000",(262-0),2,0,26,21.62,262,11290,2
1993,2011,동선동3가,"13,000",현대아트빌리지(D),2,0,15,47.17,253-1,11290,
1997,2011,동선동3가,"6,000",(218-0),2,0,18,24.75,218,11290,3
2002,2011,동선동3가,"5,000",원촌빌라,2,40,26,45.49,160-1,11290,3
2000,2011,동선동4가,"14,000",삼성아트빌라,2,0,15,70.78,319-1,11290,2
2002,2011,동선동5가,"3,500",(172-3),2,25,7,49.89,172-3,11290,3
2009,2011,동선동5가,"2,200",(174-1),2,0,7,70.46,174-1,11290,4
1993,2011,동선동5가,"13,500",씨티빌라,2,0,12,69.24,171-3,11290,1
