건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
1988,2011,미아동,"4,000",청송주택다,1,0,4,38.37,258-671,11305,
1995,2011,미아동,"9,500",영진빌라,1,0,4,59.75,306-53,11305,2
2005,2011,미아동,"2,000",(84-21),1,35,5,24.36,84-21,11305,4
2002,2011,미아동,"5,000",청운프리티빌,1,30,5,43.32,3-476,11305,1
1996,2011,미아동,"7,500",중앙맨션,1,0,5,46.71,320-21,11305,4
1994,2011,미아동,"6,000",(760-121),1,0,5,42.44,760-121,11305,2
2004,2011,미아동,"8,000",우남파크빌(8-205),1,0,5,46.02,8-205,11305,1
2009,2011,미아동,"11,000",썬빌라(2동),1,0,5,60.19,791-2013,11305,4
2009,2011,미아동,"8,800",다솜빌라(791-1478),1,0,5,43.66,791-1478,11305,3
2009,2011,미아동,"2,500",힐하우스(791-1411),1,55,5,59.87,791-1411,11305,2
2008,2011,미아동,"10,000",영창빌라,1,0,6,45.47,791-1342,11305,3
2009,2011,미아동,"13,000",썬빌라(1동),1,0,6,59.84,791-2012,11305,3
1996,2011,미아동,"5,000",광미맨션,1,0,7,30.05,791-2188,11305,
2011,2011,미아동,"2,000",리치하우스(127-18),1,44,7,15.53,127-18,11305,3
1994,2011,미아동,"13,500",거유주택,1,0,7,97.2,158-74,11305,3
2009,2011,미아동,"10,500",썬빌라(1동),1,0,7,59.89,791-2012,11305,3
1988,2011,미아동,"4,000",경성주택,1,0,7,36.21,258-74,11305,
2009,2011,미아동,"2,000",진어울림,1,30,8,38.29,791-1731,11305,3
2007,2011,미아동,"7,000",은혜빌리지,1,0,8,62.92,791-1035,11305,1
1988,2011,미아동,"5,000",(258-633),1,0,8,39,258-633,11305,1
2009,2011,미아동,"10,000",골든펠리스빌,1,0,8,43.83,226-53,11305,2
1994,2011,미아동,"3,500",성일빌라,1,0,10,35.34,836-30,11305,-1
2003,2011,미아동,"13,000",삼성빌라(325-56),1,0,10,79.61,325-56,11305,3
2009,2011,미아동,"2,000",힐하우스(791-1411),1,40,10,49.81,791-1411,11305,4
2009,2011,미아동,"2,000",힐하우스(791-1411),1,40,10,59.87,791-1411,11305,
1994,2011,미아동,"10,000",동광그린빌라6차,1,0,10,44.22,8-84,11305,2
2006,2011,미아동,"8,500",미도하이캐슬,1,0,10,67.89,791-3793,11305,3
2009,2011,미아동,"10,000",다솜빌라(791-1478),1,0,10,41.25,791-1478,11305,3
1978,2011,미아동,"5,500",신흥,1,0,11,39.87,61-5,11305,1
1994,2011,미아동,"7,500",산장빌라,1,0,11,41.58,8-292,11305,2
1991,2011,미아동,"8,000",(436-6),1,0,11,51.96,436-6,11305,1
1994,2011,미아동,"9,000",신일주택,1,0,12,79.48,791-3071,11305,4
2002,2011,미아동,"14,000",동성파크빌(137-102),1,0,12,61.29,137-102,11305,4
2003,2011,미아동,"4,500",미아동근생주택,1,0,13,23.83,694-1,11305,3
1994,2011,미아동,"6,000",(836-70),1,0,13,47.79,836-70,11305,2
1988,2011,미아동,"5,000",동아맨션,1,0,15,41.37,258-94,11305,1
1999,2011,미아동,300,양정빌라(5동),1,15,15,59.89,791-1899,11305,1
2008,2011,미아동,"4,000",수빌라,1,0,15,23.04,791-1681,11305,1
2002,2011,미아동,"8,000",청림하이빌,1,0,15,50.59,791-1818,11305,1
2004,2011,미아동,"7,500",시온빌라,1,0,15,39.36,3-490,11305,1
2003,2011,미아동,"4,800",청한에버빌B동,1,0,16,24.18,217-28,11305,5
1997,2011,미아동,"6,000",영흥맨션(358-1),1,0,17,34.39,358-1,11305,1
2008,2011,미아동,"8,000",우성빌라,1,0,17,46.62,791-1615,11305,1
2003,2011,미아동,"7,000",(1264-141),1,0,18,47.74,1264-141,11305,1
1988,2011,미아동,"7,000",신동성2동,1,0,18,31.5,258-190,11305,1
1993,2011,미아동,"4,000",삼진빌라,1,0,18,35.14,791-1370,11305,4
2008,2011,미아동,"4,000",월드빌라(791-2172),1,0,18,19.03,791-2172,11305,5
2009,2011,미아동,"13,000",썬빌라(2동),1,0,18,61.75,791-2013,11305,2
1988,2011,미아동,"5,000",우광빌라,1,0,18,39.51,258-100,11305,1
2008,2011,미아동,"10,000",희화어울림,1,0,19,42.77,128-96,11305,4
1995,2011,미아동,"8,000",현대빌라(791-366),1,0,19,45.53,791-366,11305,2
2003,2011,미아동,"10,000",삼성파크빌,1,0,19,48.4,137-72,11305,1
2004,2011,미아동,"12,000",경남빌라D,1,0,19,75.87,5-25,11305,2
1991,2011,미아동,"1,000",(436-24),1,20,20,27.69,436-24,11305,
2002,2011,미아동,"8,000",가람빌리지,1,0,20,44.86,198-11,11305,
2003,2011,미아동,"15,000",동성파크빌,1,0,20,61.29,87-8,11305,1
1995,2011,미아동,"2,000",한신아트빌라,1,40,21,32.73,783-18,11305,3
2011,2011,미아동,"7,900",리치하우스(127-18),1,0,21,26.45,127-18,11305,4
1987,2011,미아동,"3,500",삼우주택7동,1,0,21,48.87,258-543,11305,
2008,2011,미아동,"1,000",(776-140),1,50,21,45.69,776-140,11305,1
2002,2011,미아동,"8,000",파크뷰1,1,0,22,38.58,198-3,11305,2
2005,2011,미아동,"6,000",(84-21),1,0,23,21.84,84-21,11305,4
2006,2011,미아동,"12,000",청운힐스빌,1,0,24,74.72,791-1499,11305,3
2002,2011,미아동,"5,000",청운아트빌라16차,1,0,24,17.63,311-79,11305,3
1994,2011,미아동,500,소망빌라(3-338),1,10,24,46.72,3-338,11305,3
1991,2011,미아동,"8,000",은혜빌라,1,0,25,47.02,130-80,11305,2
1993,2011,미아동,"7,000",풍산빌라,1,0,25,41.25,783-14,11305,4
1973,2011,미아동,"1,500",(403-13),1,40,26,41.52,403-13,11305,2
2003,2011,미아동,"5,000",삼성골드빌(791-1840),1,10,26,33.91,791-1840,11305,2
1994,2011,미아동,"3,500",(836-69),1,0,26,53.46,836-69,11305,1
2009,2011,미아동,"1,500",힐하우스(791-1411),1,60,27,58.26,791-1411,11305,4
2002,2011,미아동,"10,000",성우하이츠빌,1,0,28,58.62,258-358,11305,1
1991,2011,미아동,"5,000",(3-835),1,0,28,47.22,3-835,11305,1
2005,2011,미아동,"9,000",한양빌라(403-34),1,0,29,47.04,403-34,11305,4
1988,2011,미아동,"4,500",(258-681),1,0,31,39.03,258-681,11305,1
1979,2011,미아동,"8,000",제물포,1,0,31,54.78,791-2691,11305,
2009,2011,미아동,"5,000",썬빌라(1동),1,0,31,59.8,791-2012,11305,4
1995,2011,미아동,"1,000",신일주택(A동),1,40,31,48,791-1675,11305,
1991,2011,번동,"3,000",전주주택(148-285),1,30,1,48.21,148-285,11305,1
1993,2011,번동,"4,000",그린하이츠4차,1,0,4,35.13,148-138,11305,1
1988,2011,번동,"10,000",진숙로얄AB동,1,0,4,54.99,441-30,11305,2
1989,2011,번동,"2,500",진주B,1,0,6,35.37,148-365,11305,-1
1994,2011,번동,"4,500",백합빌라,1,0,8,49.49,148-117,11305,-1
1989,2011,번동,500,광신주택C,1,35,10,31.545,148-209,11305,2
1987,2011,번동,300,한성빌라,1,25,12,60,442-1,11305,
2002,2011,번동,"10,000",삼성쉐르빌(447-48),1,0,12,53.24,447-48,11305,3
1989,2011,번동,"3,500",광신주택B,1,0,14,36.53,148-92,11305,2
1994,2011,번동,"6,000",광신주택(148-129),1,0,14,46.8,148-129,11305,1
1992,2011,번동,"3,000",광신주택(148-266),1,0,16,31.47,148-266,11305,1
1989,2011,번동,"4,000",석정주택(148-293),1,0,16,25.68,148-293,11305,1
1990,2011,번동,"3,000",전주주택,1,0,18,37.58,148-206,11305,-1
1990,2011,번동,"4,500",효성주택8,1,0,20,32.78,148-264,11305,1
1989,2011,번동,"5,000",진주115동,1,20,20,39.96,437-94,11305,
1998,2011,번동,"6,000",대화주택,1,0,21,43.65,316-2,11305,1
2008,2011,번동,"3,000",성신오피리스,1,20,22,33.93,447-80,11305,2
2003,2011,번동,"11,000",한솔그랑빌(416-80),1,0,22,52.42,416-80,11305,2
1991,2011,번동,"1,000",효성102,1,30,22,31.05,148-343,11305,1
1990,2011,번동,"4,000",목향주택(마),1,0,23,31.5,148-304,11305,1
2003,2011,번동,"8,000",(459-61),1,0,25,46.98,459-61,11305,3
2003,2011,번동,"8,000",샤인빌리지,1,0,25,42.7,458-51,11305,4
1987,2011,번동,"6,500",진주빌라7동,1,0,25,41.04,437-77,11305,1
2004,2011,번동,"8,000",삼성쉐르빌(445-59),1,0,26,41.04,445-59,11305,3
1988,2011,번동,"6,000",부성빌라,1,0,27,54.75,148-202,11305,1
1994,2011,번동,"3,700",사방빌라,1,0,28,35.44,148-15,11305,1
1989,2011,번동,"3,000",성일주택C,1,0,28,38.08,148-276,11305,-1
2002,2011,번동,"11,000",설악빌라트9차,1,0,28,45.66,447-76,11305,2
1991,2011,번동,"5,000",전주주택(148-285),1,18,28,48.21,148-285,11305,2
2001,2011,번동,"10,000",청솔아트빌(521-30),1,0,29,51.1,521-30,11305,4
1995,2011,번동,"2,000",대원(119),1,30,29,32.55,461-119,11305,4
1991,2011,번동,"3,500",우진주택,1,0,31,25.33,148-268,11305,1
2008,2011,번동,"11,000",나루아이빌4차,1,0,31,57.36,465-10,11305,3
2002,2011,수유동,"6,500",북한산쉐르빌(A),1,0,2,56.69,519-21,11305,-1
2010,2011,수유동,"5,000",공간애빌라트,1,0,3,33.7,166-2,11305,4
1996,2011,수유동,"10,000",중앙아트빌라5차,1,0,3,55.24,165-2,11305,3
1991,2011,수유동,"6,000",현대빌라(526-13),1,0,3,37.92,526-13,11305,3
1995,2011,수유동,"6,500",한솔빌라(다동),1,0,4,38.62,393-3,11305,1
