건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
1992,2011,월계동,"3,000",(534-10),1,30,4,44.64,534-10,11350,1
2008,2011,월계동,"1,000",맥길하우스,1,40,4,29.32,534-42,11350,3
1976,2011,월계동,"4,000",(270-8),1,0,7,43.2,270-8,11350,2
2003,2011,월계동,"8,500",월계동도원그린힐,1,0,8,58.86,534-69,11350,3
1985,2011,월계동,"8,500",(432-8),1,0,8,82.5,432-8,11350,2
2003,2011,월계동,"5,000",한솔리치빌,1,20,15,51.6,534-47,11350,1
1992,2011,월계동,"6,500",경원빌라2동,1,0,18,33.93,429-26,11350,2
2002,2011,월계동,"5,500",영화궁전빌,1,0,19,47.74,534-76,11350,
1984,2011,월계동,"17,500",동신빌라(438),1,0,19,114.44,438,11350,2
2004,2011,월계동,"7,000",현대파크빌,1,0,19,57.6,534-13,11350,5
2008,2011,월계동,"8,000",맥길하우스,1,0,22,41.07,534-42,11350,2
1995,2011,월계동,"1,500",제일빌라,1,20,25,28.29,376-27,11350,
1986,2011,월계동,"6,000",(447-3),1,0,27,37.64,447-3,11350,
1990,2011,월계동,"3,000",광운(가)빌라,1,0,28,35.07,398-1,11350,-1
2008,2011,월계동,"12,000",아트빌,1,0,28,59.78,378-65,11350,2
1992,2011,공릉동,"6,000",우성빌라 A동,1,0,4,36.93,366-14,11350,3
2003,2011,공릉동,"7,500",두두빌라,1,0,5,35.92,596-25,11350,2
1996,2011,공릉동,"7,000",선화빌라,1,0,6,38.55,502-7,11350,2
2003,2011,공릉동,"8,000",(494-3),1,0,6,42.95,494-3,11350,2
2003,2011,공릉동,"7,500",두두빌라,1,10,6,35.92,596-25,11350,2
1993,2011,공릉동,"9,000",금성빌라,1,0,7,40.36,503-19,11350,2
2003,2011,공릉동,"14,000",투윈아트빌,1,0,10,74.795,684-12,11350,5
1990,2011,공릉동,"7,000",한보빌라,1,0,12,37.09,609-20,11350,2
1994,2011,공릉동,"11,000",장미빌라(645-22),1,0,13,60,645-22,11350,4
1986,2011,공릉동,"5,000",중앙연립,1,0,15,41.8,597-18,11350,
2002,2011,공릉동,"4,200",에덴빌리지C동,1,0,16,36.23,592-18,11350,3
2002,2011,공릉동,"2,000",대한,1,35,17,21,609-35,11350,3
1993,2011,공릉동,"2,000",(404-16),1,40,19,44.22,404-16,11350,2
2002,2011,공릉동,"11,000",화인빌,1,0,19,51.48,493-30,11350,3
2002,2011,공릉동,"5,000",(684-30),1,0,20,25.2,684-30,11350,3
1986,2011,공릉동,"6,000",(499-46),1,0,21,50,499-46,11350,
2005,2011,공릉동,"1,500",마인드밸리,1,40,22,72.25,503-41,11350,4
2002,2011,공릉동,"2,000",오스틴빌리지,1,30,22,41.89,240-47,11350,4
