건축년도,년,법정동,보증금액,연립다세대,월,월세금액,일,전용면적,지번,지역코드,층
1992,2011,수색동,"4,000",(325-8),1,0,1,32.83,325-8,11380,
1993,2011,수색동,"5,000",(360-4),1,0,4,43.76,360-4,11380,
2010,2011,수색동,"7,000",(372-1),1,0,4,25.92,372-1,11380,5
1994,2011,수색동,"5,000",(307-9),1,0,5,38.7,307-9,11380,4
1997,2011,수색동,"1,000",(346-1),1,45,7,49.03,346-1,11380,1
2000,2011,수색동,"12,000",나성빌라B동,1,0,14,76.44,328-5,11380,5
1992,2011,수색동,"3,000",(345-11),1,0,14,18.76,345-11,11380,4
1983,2011,수색동,"6,500",(343-5),1,0,17,77.97,343-5,11380,1
1991,2011,수색동,"3,000",(362-9),1,0,17,33.48,362-9,11380,2
1992,2011,수색동,500,삼환빌라(340-3),1,30,21,40.11,340-3,11380,
1992,2011,수색동,"5,000",삼성하이츠빌라(23-1),1,0,22,50.14,23-1,11380,4
1987,2011,수색동,"5,000",(343-6),1,0,22,36.36,343-6,11380,2
1989,2011,수색동,500,(358-20),1,40,24,35.38,358-20,11380,2
2002,2011,수색동,"7,000",성연하이빌(356-13),1,0,28,48.25,356-13,11380,2
1987,2011,수색동,"4,500",(344-5),1,0,28,37.29,344-5,11380,1
1986,2011,수색동,"2,000",(150-5),1,28,28,35.82,150-5,11380,2
1992,2011,수색동,"9,000",원광빌라,1,20,29,97.86,320-1,11380,2
1991,2011,수색동,"5,000",(189-55),1,0,31,45.24,189-55,11380,1
1991,2011,수색동,500,(189-15),1,20,31,23.61,189-15,11380,-1
1993,2011,수색동,"5,000",동양빌라(377-6),1,0,31,43.2,377-6,11380,1
2006,2011,녹번동,"9,000",녹번동뉴캐슬(28-25),1,0,2,48.87,28-25,11380,2
2002,2011,녹번동,"6,500",은성빌라(31-22),1,0,3,30.38,31-22,11380,3
1994,2011,녹번동,"6,000",궁전빌(33-1),1,0,3,43.84,33-1,11380,3
1986,2011,녹번동,"1,500",은행빌라(96-14),1,25,4,23.19,96-14,11380,
2008,2011,녹번동,"16,000",주영빌트(142-28),1,0,5,84.82,142-28,11380,2
1986,2011,녹번동,"4,000",(31-17),1,0,5,38.13,31-17,11380,-1
2008,2011,녹번동,"14,000",주영빌트(142-28),1,0,7,60.48,142-28,11380,4
2008,2011,녹번동,"7,000",현진빌라,1,40,7,61.96,152-89,11380,3
1988,2011,녹번동,"1,700",(21-211),1,0,8,29.72,21-211,11380,
1985,2011,녹번동,"4,000",(21-270),1,0,9,44.93,21-270,11380,3
1989,2011,녹번동,"11,000",백운하이츠빌B(169-30),1,0,10,54.36,169-30,11380,1
2008,2011,녹번동,"6,500",부강네스코,1,0,10,25.74,35-74,11380,4
1986,2011,녹번동,"4,500",(133-9),1,0,10,33.61,133-9,11380,1
1991,2011,녹번동,"2,500",예림빌라(21-246),1,0,11,34.65,21-246,11380,1
1994,2011,녹번동,"4,000",대지빌라(144-47),1,0,12,38.34,144-47,11380,
1994,2011,녹번동,"1,000",삼본빌리지(21-274),1,35,12,52.28,21-274,11380,1
1994,2011,녹번동,"4,000",대지빌라(144-47),1,0,12,38.34,144-47,11380,
1987,2011,녹번동,"5,000",(133-7),1,0,12,41.295,133-7,11380,
1994,2011,녹번동,"5,500",삼익주택(29-112),1,0,13,32.17,29-112,11380,4
2002,2011,녹번동,"12,000",녹번골든빌2,1,0,13,54.81,31-21,11380,2
1997,2011,녹번동,"9,000",CHL맨션(19-17),1,0,14,68.04,19-17,11380,2
2008,2011,녹번동,"12,000",임창에버빌,1,0,15,53.63,157-5,11380,5
1996,2011,녹번동,"10,000",효성맨션(151-4),1,0,17,63.56,151-4,11380,2
1993,2011,녹번동,"1,500",광명맨션(118-24),1,30,17,50.6,118-24,11380,
1990,2011,녹번동,"1,000",(21-198),1,30,17,35.63,21-198,11380,2
1992,2011,녹번동,"8,200",초원빌라(43-36),1,0,18,39.39,43-36,11380,2
1991,2011,녹번동,"8,500",동룡주택(29-171),1,0,18,49.32,29-171,11380,1
2007,2011,녹번동,"15,000",은평하이빌,1,0,18,76.44,35-46,11380,3
1994,2011,녹번동,"5,500",(130-1),1,0,19,52.32,130-1,11380,1
2003,2011,녹번동,"10,000",다원하이빌(31-15),1,0,19,53.79,31-15,11380,2
1991,2011,녹번동,"10,500",청운빌라(168-8),1,0,19,50.79,168-8,11380,3
1994,2011,녹번동,"6,000",현대그린빌라(76-22),1,0,20,53.42,76-22,11380,
1993,2011,녹번동,"4,000",미도빌라(154-14),1,0,21,31.64,154-14,11380,
1993,2011,녹번동,"8,500",백운빌라(137-31),1,0,21,47.82,137-31,11380,4
2002,2011,녹번동,"12,500",(110-8)우공스카이빌,1,0,21,82.48,110-8,11380,5
2002,2011,녹번동,"9,500",세림(B동),1,0,22,42.45,172-1,11380,2
1991,2011,녹번동,"8,500",청운빌라(168-8),1,0,22,49.53,168-8,11380,1
1988,2011,녹번동,"6,000",(159-23),1,0,22,32.01,159-23,11380,1
2005,2011,녹번동,"4,000",이지플아트빌(152-59),1,40,22,43.04,152-59,11380,3
1990,2011,녹번동,"4,000",(21-212),1,0,24,30.2,21-212,11380,1
1994,2011,녹번동,"7,500",가든빌라(D동),1,0,24,39.99,168-53,11380,2
2002,2011,녹번동,"12,000",에이원빌라(42-7),1,0,25,59.88,42-7,11380,1
1994,2011,녹번동,"7,500",명미하이츠빌라(43-53),1,0,25,46.59,43-53,11380,4
2002,2011,녹번동,"12,500",참솔빌라(131-39),1,0,26,63.6,131-39,11380,3
2000,2011,녹번동,"13,000",한주,1,0,27,67.68,98-28,11380,2
2002,2011,녹번동,"9,000",목화트윈스(B동),1,0,27,34.76,137-27,11380,4
1994,2011,녹번동,"8,500",현대빌라(94-2),1,0,28,55.18,94-2,11380,2
1995,2011,녹번동,"8,500",삼환아트빌리지,1,0,28,44.95,141-9,11380,2
1993,2011,녹번동,"7,000",삼환골든맨션(19-95),1,0,29,52.88,19-95,11380,2
2002,2011,녹번동,"12,000",세림(A동),1,0,29,42.84,172-6,11380,3
1995,2011,녹번동,"8,500",청구빌라(98-30),1,0,30,47.52,98-30,11380,3
1991,2011,녹번동,"6,700",덕진맨션(102-9),1,0,31,59.37,102-9,11380,
2002,2011,불광동,"11,000",거성리젠시 A동,1,0,1,55.8,259-10,11380,4
1986,2011,불광동,"1,000",동서주택(16-247),1,40,3,41.44,16-247,11380,1
1990,2011,불광동,"1,000",(238-180),1,20,3,24.196,238-180,11380,
1992,2011,불광동,"8,000",정우빌라(23-40),1,0,3,37.62,23-40,11380,2
1993,2011,불광동,400,(244-95),1,20,3,84.77,244-95,11380,2
1986,2011,불광동,"6,500",(344-5),1,0,3,33.89,344-5,11380,
1988,2011,불광동,"3,800",천일빌라,1,0,3,33.03,481-1,11380,1
1991,2011,불광동,"6,500",한양골든빌리지(B),1,0,4,40.13,189-22,11380,1
1986,2011,불광동,"4,000",(171-0),1,30,4,44.36,171,11380,1
1998,2011,불광동,"11,000",아름맨션,1,0,4,68.76,329-12,11380,1
1996,2011,불광동,"2,000",삼호주택(8-204),1,20,4,39.07,8-204,11380,
2008,2011,불광동,"7,000",혜성빌라,1,0,4,40.1,480-153,11380,3
2006,2011,불광동,"16,000",현영쉬크빌,1,0,5,72.48,329-6,11380,3
2002,2011,불광동,"7,500",정은하트빌,1,0,6,36.44,445-215,11380,2
2010,2011,불광동,"11,000",금강센트레빌,1,0,7,39.24,480-263,11380,2
1999,2011,불광동,"7,500",신대빌라,1,0,7,47.8,391-22,11380,3
2010,2011,불광동,"12,500",제일하우징,1,0,8,55.06,391-89,11380,2
1993,2011,불광동,"1,000",(272-1),1,40,8,42.84,272-1,11380,2
2002,2011,불광동,"8,000",대진아트빌(104-77),1,0,8,41.59,104-77,11380,3
1993,2011,불광동,"4,500",동현빌라(8-207),1,0,11,37.92,8-207,11380,
1990,2011,불광동,"7,000",효성빌라(246-9),1,0,11,38.54,246-9,11380,1
1987,2011,불광동,"5,000",(484-26),1,0,11,35.46,484-26,11380,1
2002,2011,불광동,"10,000",장미쉐르빌,1,0,13,67.48,445-152,11380,3
2010,2011,불광동,"2,000",위브홈타운,1,50,13,27.6,484-246,11380,5
1993,2011,불광동,"6,000",(238-143),1,0,14,39.9,238-143,11380,1
1986,2011,불광동,"3,000",(301-63),1,10,14,36.77,301-63,11380,1
2002,2011,불광동,"10,000",에이치피 푸른빌라,1,0,14,73.93,445-73,11380,2
1996,2011,불광동,"8,200",청송빌라(445-186),1,0,15,62.72,445-186,11380,3
2010,2011,불광동,"15,000",제일하우징,1,0,15,59.72,391-89,11380,3
2005,2011,불광동,"1,000",(369-12),1,40,15,29.7,369-12,11380,5
1997,2011,불광동,"12,000",태극빌라,1,0,15,83.94,246-1,11380,2
1995,2011,불광동,"6,000",(486-10),1,0,16,43.87,486-10,11380,3
1993,2011,불광동,"11,000",(8-37),1,0,18,62.92,8-37,11380,3
1991,2011,불광동,"8,000",혜성연립,1,0,18,51.24,244-122,11380,3
1993,2011,불광동,"3,500",(272-39),1,0,18,38.07,272-39,11380,
1993,2011,불광동,"7,000",태양빌라(480-91),1,0,19,57.66,480-91,11380,3
2009,2011,불광동,"8,500",누림빌(219-8),1,0,19,44.91,219-8,11380,1
1997,2011,불광동,"9,000",홍영빌라(105-34),1,0,21,53.21,105-34,11380,4
1986,2011,불광동,"4,000",동서주택(16-247),1,0,22,41.44,16-247,11380,
1989,2011,불광동,"5,000",신양빌라(가),1,0,22,30.88,194-3,11380,2
1995,2011,불광동,"11,000",(244-146),1,0,22,68.54,244-146,11380,1
2001,2011,불광동,"12,000",유림빌리지 B동,1,0,24,62.91,391-41,11380,3
1992,2011,불광동,"4,000",(391-144),1,0,25,28.88,391-144,11380,1
1993,2011,불광동,"1,000",스위트홈,1,30,25,96,295-4,11380,3
1986,2011,불광동,"4,500",(484-16),1,0,25,50.51,484-16,11380,
2001,2011,불광동,"10,000",호순빌라3차,1,0,26,60.44,12-15,11380,4
1991,2011,불광동,"3,000",태광빌라(244-129),1,0,26,38.68,244-129,11380,
1989,2011,불광동,"3,500",경석빌라,1,10,27,34.86,244-127,11380,1
